[00:00:00.240] に
[01:39:02.560] 見つかっちまうし全部お前のせいだこれで
[01:39:04.440] もくらえ今年28うんあありがとうござい
[01:39:07.880] ますなんかくれたよ技マシン21これは技
[01:39:11.639] を強制的にポケモンに覚えさせられるやつ
[01:39:13.840] ね技マシン八つ当たり八つ当たりよしこの
[01:39:17.119] 隙ま対優しい優しいとためアとためアした
[01:39:22.760] あそうなんだ
[01:39:25.239] ギウ
[01:39:26.920] [音楽]
[01:39:28.599] ババウほら俺が見つけてやったんだよ金一
[01:39:31.520] よせおおハーデリアこんなとこで1人で
[01:39:34.960] こんな奥まで来ちゃって何があったんだ何
[01:39:36.760] はとまれ君たちには感謝だ
[01:39:39.960] よこピスためためそうそううんちゃのため
[01:39:43.400] キだないやいやあれはだって敵からもらっ
[01:39:46.239] たやんもしかしたら本当にポケモンがい
[01:39:48.280] なくなったかもしれないだぞもっと切しろ
[01:39:50.000] よなわうざいなあいつ熱いなあいつなん
[01:39:53.440] 切れてんの怖いな女の子時かふむ彼には
[01:39:57.400] 何かあったのかなポケモンがいなくないる
[01:39:58.880] こと怯えてるようななんかやそういう過去
[01:40:01.719] ありそうでも優しい子だよなんかそういう
[01:40:04.440] 過去ありそうなんかなんかあったなこれれ
[01:40:07.920] ちょっと紐解いていくストーリーあります
[01:40:10.560] ねさあハーデリアみんなが待ってるよ
[01:40:13.239] 帰ろうなんかあったぞ
[01:40:16.360] あいつちょっとこれちょっと待って回復し
[01:40:19.679] てるしてないやんけに傷持ってるす傷者だ
[01:40:24.320] なあいつ仲間だ俺
[01:40:26.930] [音楽]
[01:40:28.760] と色違いとか出たらクソちんだけどなあ
[01:40:32.840] ハーデリアヨーテリー
[01:40:35.280] うまでもヨーテリーは使わないよなうん俺
[01:40:39.719] も高校生のこ寝取られてるからね彼女ね
[01:40:41.800] うん傷もだよ高校の先生に寝取られてる
[01:40:45.520] からな傷もも傷もで傷をったで確かに
[01:40:50.080] さっきさっき追ったよ可愛いいけど使わ
[01:40:53.599] ないかなノーマルタイプのポケモンは
[01:40:57.040] ちょっとポケモン持ってきてくれたら私が
[01:41:00.239] 黒してあげるよ黒てんだ黒
[01:41:04.370] [音楽]
[01:41:06.440] てグググだねオ帰ってきたほらあはいはい
[01:41:12.840] はいはい助けました私がありがとう君と君
[01:41:15.320] のポケモンたちのおかげだねすごいねあれ
[01:41:16.920] かアデになんかおさ色違いポケモンあそう
[01:41:20.560] いうねね
[01:41:23.560] がハーデリア見つけてくれたのね回復して
[01:41:25.520] くれ
[01:41:26.360] よババウババウよし良かった
[01:41:30.960] なじゃさっきのじじとライアとこ戻るか
[01:41:34.280] 煉獄コロアとこ戻るわこのトラック鼻
[01:41:37.400] シティのやつじゃねえの
[01:41:39.639] これえっとどこだったっけ確かにノーマル
[01:41:42.840] タイプはあんまり使わないかもしれない
[01:41:45.599] 色違い色違いとか出たらいよねさんがいる
[01:41:48.840] さん
[01:41:49.880] られてただん
[01:41:53.480] 人だったよねお友達にタンパップ渡すよう
[01:41:56.159] だなふむわずかの間にお前さんもポケモン
[01:41:59.239] を見違えるようだし鍛えるのはなし代わり
[01:42:02.800] にお前とポケモンの力を貸してくれ
[01:42:05.960] 煉獄ね
[01:42:07.639] これ1回ちょっと回復しに戻るわ1回お
[01:42:11.760] なんかよおさんがいるじゃんよオックス
[01:42:14.639] が牧場だかな野生のポケモンも飛び出すん
[01:42:17.520] じゃぞえそれはもう自分のポケモンだけが
[01:42:20.159] 頼り中
[01:42:22.159] よい前の煉獄さんも煉獄コアだって煉獄
[01:42:27.239] コア詩人
[01:42:29.639] 逮捕回復
[01:42:32.280] するおなんか可愛いメガねっこいるじゃん
[01:42:35.840] 横に何あるメガっこ時とワみてじゃん元祖
[01:42:38.960] メガネッコアイドルな時と網時と網いる
[01:42:42.159] じゃんここ
[01:42:44.639] にあなたの道丸て遅なんだめちゃめちゃ
[01:42:48.360] 懐かしくない時とランディーしか反応し
[01:42:51.960] ねえ
[01:42:54.239] ランディしか反応しねけ時と網そうと網の
[01:42:57.040] 泡ちっちゃい穴時と網の泡ちっちゃい穴え
[01:43:01.719] ポケモンのオストメスって何が何が違うの
[01:43:03.800] かね懐かしいねかなり前で驚かなり前だよ
[01:43:08.840] 懐かしいモンスターボールと傷薬買っても
[01:43:11.840] いい買ってもいいけどなえ時と知らん
[01:43:15.719] の元祖萌えアイドルだお前索して
[01:43:19.560] た元祖萌えアイドルだろが
[01:43:23.440] 元祖あばけアイドルってやつだよお前知ら
[01:43:26.599] ねんか時とメ懐かしい笑メールとかあった
[01:43:30.840] ねゴミ箱漁ろう乞食だから乞食だからも
[01:43:34.520] ゴミ箱
[01:43:35.639] 漁る何しろって言ってたあいつああああな
[01:43:39.320] 感じのメガネッコブラビそうだねそうだね
[01:43:43.679] スピーダーここな見たことないかも
[01:43:47.719] しれんここはあアデクスさんその人を鍛え
[01:43:52.320] てあげるのえでもこの人なんだか強そうだ
[01:43:55.000] よお強いだろうななか負けて招くことも
[01:43:57.639] ある何よりポケモン勝負は楽しもうと言っ
[01:43:59.920] てるだろうというわけでね彼らのえ
[01:44:04.000] ちょっと大丈夫これじゃあ僕のポケモン
[01:44:05.840] かっこいいとこ見せてあげますこれ大丈夫
[01:44:07.280] これ2年生ってこと大丈夫回復してきた
[01:44:10.119] けど大丈夫レベル大丈夫
[01:44:12.000] かうわ嫌いなガキ
[01:44:16.719] ありえある確かにバオップ待て待て待て
[01:44:20.440] これあったうわレベル高い待てこれ勝てる
[01:44:24.080] レベル高く
[01:44:26.400] ねためや
[01:44:28.360] んしたらなめる
[01:44:31.800] エロい攻でもこれはまだいいけど
[01:44:35.800] さ絶対3匹出してくるべこれ絶対3匹出し
[01:44:40.119] てくる
[01:44:41.280] べ炎タイプには水タイプが効くんだな
[01:44:45.400] うん170
[01:44:48.679] うまうま良い経験になりました私の
[01:44:53.239] まし
[01:44:54.880] た検索塾帰りの
[01:44:57.679] 検索いい名前してじゃじじみたいな名前し
[01:45:00.280] てんなお前若いのに若いのにじじみたいな
[01:45:03.440] 名前してるこいつあ1匹なんだよかった
[01:45:06.040] よかった今の勝負はどちらもかなりの
[01:45:09.239] なかなか
[01:45:10.130] [音楽]
[01:45:11.560] 何これ何これえこれあっぱれて読むのてか
[01:45:16.440] こんな難しい感じ出すなよこんな難しい
[01:45:19.520] 感じ子供呼べるかよあっぱれかなこれって
[01:45:23.599] のこんなもんお前子供読めるかさお次は
[01:45:27.520] あっぱれ読めない
[01:45:30.119] の読めるかいはかと思ったハレこの前に
[01:45:35.080] その前に年のポケモン元気にしあ元気にし
[01:45:36.920] てくださいおじさんのポケモンも元気に
[01:45:38.840] なっちゃったよ
[01:45:46.760] ボロン
[01:45:48.400] えんかい
[01:45:51.320] でかいやっぱり弱点ついてくんねんな弱点
[01:45:55.480] ついてくんのよこういう風に顔になるの
[01:45:57.880] やめな弱点ついてくんだ
[01:46:00.800] よまあでも引かだったら
[01:46:04.119] まああオケーオケ全然やれる
[01:46:07.040] ヤナップ名前いいわヤナップこいつもし
[01:46:10.360] 捕まえたら俺あれだわ名前つけなくていい
[01:46:12.599] わヤナップはヤナップで行くわバカみたい
[01:46:14.360] な名前だ
[01:46:15.480] から
[01:46:17.320] ヤナップあパナップにしようえパナップ
[01:46:21.040] いい受けなかったからて
[01:46:24.760] パナップじゃんパナップパナップにしよう
[01:46:26.599] 名前緑色は基本草タイプなんいやまあだ
[01:46:30.119] からいや絶対そううってわけじゃないんだ
[01:46:32.639] けどそうだからポケモンのタイプなんで
[01:46:35.040] 分かるかってもうほともうフィーリングよ
[01:46:37.400] ねフィーリング草っぽいなってだ俺はこの
[01:46:40.159] ポケモン前回も出たから知ってただけで
[01:46:42.159] 初見のポケモンじゃわかんない俺
[01:46:44.480] も水遊び覚えたひまが長年の完成長年の
[01:46:49.040] 完成可愛いなえこの相性で私が負けちゃう
[01:46:53.199] か初見わからんかった確かあれ電気って
[01:46:55.480] 感じしないよななるほど嘘いや実に心を
[01:46:58.960] 踊る戦いだったな嘘言わな嘘岩どの
[01:47:03.000] ポケモンからも危機とした喜びが気持ちが
[01:47:06.199] 使ってきたぞワンパチ出ないワンパチは出
[01:47:08.960] ないと思うどうだれポケモンのタイプは
[01:47:11.520] 勝負によって大事だろう水は炎に強く炎は
[01:47:14.480] 草に強く草は水に強い最もタイプの相性
[01:47:18.480] だけで全てが決まるわけではないがなでも
[01:47:20.679] ねでもねポケモンのタイプと技のタイプが
[01:47:22.599] 同だと技の威力が増すんだよそうそうそう
[01:47:25.599] 水タイプのポケモンが水タイプの技を出す
[01:47:28.040] と1.5倍なんすよデフォルトでだから
[01:47:31.080] ミヒが水タイプのミヒが水鉄砲を使うと
[01:47:34.040] ちょっと強くなるいやもっと後じゃない
[01:47:37.679] 水丸霊のためによくやったなありがとう
[01:47:39.880] ござい
[01:47:40.880] ます縁のなかったポケモンや人と出会う
[01:47:44.159] これが旅の良さだなタイプ1てやつだね
[01:47:47.080] これをタイプ
[01:47:48.599] とかサンムン盾じゃなかった多分の夢は
[01:47:53.320] ですねここでポケモン育てて一種地方で
[01:47:55.760] 強いポケモントレーナーになることです
[01:47:57.119] これ多分あれだろうな寺田心だろうな
[01:47:59.080] こいつこの年で敬語使って
[01:48:01.560] やがる坂しぶとあれだろうな多分あの共演
[01:48:04.760] させたら多分気まずい空気になるなうんで
[01:48:07.360] もお父さんいないんで言うだろうなこいつ
[01:48:10.679] あ誰こ気持ち
[01:48:13.599] 悪突然ですか初めましてさあ何も言わず
[01:48:16.760] これ受け取ってください何何何これ
[01:48:19.920] USBメモリメダルボックスレはメダル
[01:48:23.719] ボックスを大事なものポケットに使しまっ
[01:48:25.400] たこれはメダルボックスそして私はメダル
[01:48:27.119] 親父メダルおじメダルメダルメダル王を
[01:48:30.040] いるのメダル王小さのメダルところで知っ
[01:48:32.199] てるんですかメダルラリーという競技を
[01:48:33.639] 知らん通報な知っていうが知っていまいが
[01:48:37.040] 説明させてもらいますよメダルラリーとは
[01:48:39.560] トレーナーの様々な行動を評価するおせか
[01:48:41.960] なイベント本当おせかだなというわけで
[01:48:43.800] 記念してこのメダルをどうぞあチーメだレ
[01:48:48.440] は初めての一歩を手に入れたさしてメダル
[01:48:51.080] ラリーの音もヒントメダルも差し上げます
[01:48:53.199] ヒントメダル6何言ってんこれちなみに
[01:48:55.880] メダルは条件を満してからポケモン
[01:48:57.400] センターに行けば私からバンバンもらえ
[01:48:58.880] ますとりあえずメダルボックスを使い仲を
[01:49:01.360] 確かめて
[01:49:03.119] くださいメダルボックスっ
[01:49:06.199] てなんかもうちょっとちょっと色々あり
[01:49:08.920] すぎて何なんや儀にできた新しいポケモン
[01:49:12.000] ジムだかなジムリーダーが着したと連絡が
[01:49:14.440] あったぞお前がどれほど強くなったか試し
[01:49:15.800] てみるといいだろあ
[01:49:19.159] ジモンかん
[01:49:23.080] じみい出てきたよねさんがじじになった姿
[01:49:25.840] みたいほら出てきた4さんの年77年後7
[01:49:30.239] 年後ってそんなおじさんなならんわいすい
[01:49:33.040] ません
[01:49:33.690] [笑い]
[01:49:36.080] こんばんは
[01:49:37.840] 実実績か
[01:49:40.560] 実績トロフィーみたいな感じな多分
[01:49:44.000] トロフィーメダルボックス
[01:49:47.560] 笑笑これ多分そういうことだメダル
[01:49:50.080] ボックス日説明メダルに合わせてAボタン
[01:49:53.280] 押すバージョン7え右端の四角を立すると
[01:49:57.080] メダルのメダルを1押しメダルに到でき
[01:49:59.360] ます1押しメダルは通信で他のプレイヤー
[01:50:01.239] に見せられますマススタートボタンを押す
[01:50:03.159] か右下のボタンをタッチするとメダルの
[01:50:04.679] 表示を変えられますなんやねんそれもう
[01:50:06.080] なんか難しいの10年ぶりぐらいにタッチ
[01:50:08.960] ペン使うわあ一押しメダルになった
[01:50:12.599] よヒントメダルってこれ何どういうことや
[01:50:15.560] ねんよくわかんねえよこれああ条件が
[01:50:19.639] 分かるみたいな感じか条件が旅の記録は
[01:50:22.199] こめに
[01:50:24.280] 君の前に全身はなく君の後ろに道ができる
[01:50:26.960] うんなんかあのsdgだな今で言うこれ
[01:50:29.840] sdgうんこれSDです1番厄介うんSD
[01:50:34.639] 推進してる人一番厄介です
[01:50:37.199] はい
[01:50:39.239] こいあっ
[01:50:42.960] たSDです
[01:50:47.400] SDレポートうか
[01:50:51.639] とりあえのえなあだこう
[01:50:54.520] [音楽]
[01:50:58.760] だレポート書きますよあだこ
[01:51:04.000] だオ1回戻ろうかなんかジムができたって
[01:51:08.400] 言ってた
[01:51:10.520] ねもうジムなか今日喉カクめっちゃ喋る
[01:51:14.159] からね喉カはモンストロでも飲むか
[01:51:17.480] モンストロちょっとモンストロ寝る前に
[01:51:19.760] 飲むのもあれだけどモンスター
[01:51:23.159] 久しぶりにこの全然カメラに映ってない
[01:51:25.400] このゲーミング冷蔵庫が役に立ちました
[01:51:28.199] ね珍し珍しいでしょシュワシュワ飲み
[01:51:34.480] たいモンストロドレ好きえ俺結構これ結構
[01:51:40.320] これが好きあのエナジードリンク独特の
[01:51:43.760] 臭みがないから
[01:51:45.159] これあの緑のやつってさちょっとあれ
[01:51:48.440] でしょ白白好きこれ普通にごくごく飲めて
[01:51:52.199] はね俺はね白何
[01:51:55.760] 味うーんなんかねスポーツドリンクのった
[01:51:59.480] な確かにそれないねえそれないチルアウト
[01:52:03.840] チルアウトはスポドリ感あるよね白そう
[01:52:06.239] スポドリそうスポドリの炭酸みたいな感じ
[01:52:08.000] だからねあのえり特々の臭みがないのよ
[01:52:11.639] そうそうそうあよしそうそう臭みないよね
[01:52:13.360] これねそうそうそうオレンジも好きあと
[01:52:15.679] ピンクもいいよねピンクも好きまだ残って
[01:52:17.800] ますよねえ何チルアウトなんかもうの中に
[01:52:23.400] のチルアウト残ってたそういうこと言う
[01:52:25.239] やめてくれる残ってないですからね運営の
[01:52:26.920] 皆さんすいませんあの本当残ってないです
[01:52:28.320] もう全部いだきましたありがとうござい
[01:52:29.760] ましたあのいっぱい送っていただいてね
[01:52:31.119] たくさん飲めて本当にうんはいあの本当
[01:52:39.040] です余る
[01:52:41.239] て余るってまずいとかじゃないから余
[01:52:44.719] るってダンボールつもおおダンボール3つ
[01:52:48.840] も送られてきたら飲みきれんやろがそんな
[01:52:50.639] にたくさん
[01:52:52.840] そんなにありがとうございます本当に
[01:52:54.040] ありがとうご
[01:52:56.760] ますコーラばっか飲んでる
[01:52:59.560] からダンボールで送ってもらったダン
[01:53:02.400] ボールで送ってもらったコーラ速攻
[01:53:04.000] なくなったけど私もまだ残ってる言うなっ
[01:53:08.000] ておいチルアウトとてう言う美味しくない
[01:53:11.760] よ絶対いやわかんないおいしいすすいませ
[01:53:13.199] んおいしいっすおいしいけどねおいしい
[01:53:15.119] けどねうんはいなんでしょうかレお前なん
[01:53:18.000] で常にそんなとこにいるのこいつ足腰強い
[01:53:21.239] じじ
[01:53:23.320] 足腰強いじじ大切に飲んでるそういうこと
[01:53:25.880] だね俺も大切に飲んでんだえすまぬ大事な
[01:53:28.719] ことを伝えの忘れておったまずはこれを
[01:53:30.800] 受け取れレのみああはい木のみね高いと
[01:53:34.480] 好きなああなるほどねバカと煙はなんと
[01:53:36.639] やらねレはレのみを木のみポケットに
[01:53:39.320] しまった今渡したのは俺のみという木の実
[01:53:42.440] だポケモンに与えると体力を回復するぞ
[01:53:45.560] さらにポケモンにみを持たせておくとだな
[01:53:48.119] 戦いのさか体力が減った時にポケモンが
[01:53:50.400] 自分で食べて元気になる
[01:53:52.960] さてと先ほどジムリーダーにどめと言った
[01:53:55.239] が儀のジムリーダーはとても強いポケモン
[01:53:57.679] トレーナーだだけどあずることはない共に
[01:54:00.719] 戦うポケモンは何ができるのかそして
[01:54:02.599] トレーナーであるお前は何をすべきか
[01:54:04.560] 考えれば必ず勝てるつまりポケモンにレ
[01:54:07.320] のみを上げると体力がそういうことなん
[01:54:10.760] です今ちょっと説明しますからちょっと
[01:54:12.400] 待っててくださいねちょっと待ってて
[01:54:14.760] くださいね強いトレーナーそうだな各地の
[01:54:16.840] ジムリーダー2度笑笑えポケモンと力を
[01:54:20.560] 合せることポケモントレーナーとして
[01:54:26.639] はというアイテムましたこれ普通の
[01:54:29.560] アイテムといましてえポケモンにはですね
[01:54:32.599] モンスターをモンスターじゃないアイテム
[01:54:34.480] を1個だけ持たせることができるんですよ
[01:54:36.560] 各ポケモンに1個だけね何でも持たせる
[01:54:39.199] ことができるんですけど木の実っていうの
[01:54:42.920] はていうとそういうことですそうあのて
[01:54:47.679] いうのはそういうことそういうこといや
[01:54:51.040] 以外にもんでも食べるあのんでもあの持た
[01:54:54.119] せられるんだけど木だけはうるせえな
[01:54:57.880] うるせえなうるせえなうるせえなやって
[01:55:01.440] やってんだろう
[01:55:03.679] が言ってやってんだろうがよ俺のもうもう
[01:55:08.520] 教えてやんないもう教えてやんないもう
[01:55:12.760] 教えてやんないなんちゃら巻きもあるけど
[01:55:14.480] 教えてやんないロザリオに持た
[01:55:17.760] せよめっちゃくれ5個もくれる5個もくれ
[01:55:21.320] てる教てあげない教えてあげないよちゃん
[01:55:24.599] 聞いてるよえこの彼氏の名前教え気だよケ
[01:55:28.400] 教えてあげない
[01:55:30.719] よあ間違ったあの要はオレの実木の実だけ
[01:55:35.239] は自動で使うことができるのポケモンが
[01:55:37.199] これが例えば傷薬っていうものは持たせて
[01:55:40.159] もポケモンは傷薬の使い方分かりません
[01:55:43.040] バカなんでうんオの身を高いとこに置くと
[01:55:46.239] ポ全然違う全然違うもうわけわからんわけ
[01:55:49.360] わからんこと言ってるけ屋が出てきたらえ
[01:55:51.800] なりとケを一緒に預けてみよもう卵でき
[01:55:54.960] ちゃうじゃねえかよなんで俺がお前それ俺
[01:55:57.840] が孵化されなきゃいけねえんだよなんで
[01:56:00.560] あいつらの子供を俺が育てなきゃいけねえ
[01:56:02.159] んてたらんだろうかよたらんじゃねえかよ
[01:56:05.079] お前それDNA関係するぞDNA
[01:56:11.040] 鑑定疲れちゃったもう大きな声出すから
[01:56:14.000] 大きな声ばっか出すからもう疲れちゃった
[01:56:15.760] よ
[01:56:16.920] もういっぱい喋るねなんてよく知ってたね
[01:56:21.199] ちゃまく怖い話やめてねそういうそういう
[01:56:25.079] のはよく知ってんだよたんだのなんだの
[01:56:27.520] かんだ
[01:56:29.800] のスケベ木のみ以外もでスケベなんだよ
[01:56:34.960] ほえそうそうそうそうあのモンスターが
[01:56:37.719] 使わなくても持たせてるだけで効果が
[01:56:39.800] アイテムとかがあるから一概に木の実しか
[01:56:42.480] 持たせるのが意味ないってわけじゃないん
[01:56:43.920] だよ例えばなんか持たせたら攻撃力が
[01:56:46.639] 上がるみたいなそういうのもありますの闇
[01:56:49.800] ですね
[01:56:52.480] どこああそういうこともうロマンだけだよ
[01:56:55.239] こんな俺と一緒に会話してゲーム見て
[01:56:57.280] くれんのは他のやらこっちこっこっちこっ
[01:57:00.239] 何を言ってるんだよここかいここかい
[01:57:03.639] ポケモンジムっていうのはここかい聞こえ
[01:57:06.320] てるよ聞こえ聞こえてるのはそうでしょ
[01:57:10.599] なんなんだよえっとえ3タウンのアデク
[01:57:14.199] さんに先生をお願いしたでもこれからは
[01:57:15.599] 若い人の時代だからって辞退されたのね
[01:57:21.050] [音楽]
[01:57:22.400] ポケモンに道具を持たせられるだろでもさ
[01:57:24.719] 人が作った道具ほらほらこれこれこれこれ
[01:57:27.520] でもさ人が作った道具例えば傷薬とかは
[01:57:30.280] 使い方がわかんないみたいだねだ木のみと
[01:57:32.280] かバカでも分かるやんえポケモンは君は
[01:57:35.599] ポケモン勝負の時道具を使ったりしてる
[01:57:37.360] よければこれを使ってみてよあこれは
[01:57:41.420] [拍手]
[01:57:41.580] [音楽]
[01:57:53.840] あんま道具に頼りたくないフも分かるのに
[01:57:56.280] ねなんだよこのゲームグルポンこんばんは
[01:57:58.800] よポケモンだよ
[01:58:00.159] ポケモン状態移動状態以上もあります毒
[01:58:03.400] 麻痺眠り火傷氷これはおよい説明し
[01:58:07.520] ますえノーマルポケモンノーマルタイプの
[01:58:11.400] ポケモンは格闘タイプに弱いだけどこの辺
[01:58:13.599] 牧場のリオルぐらいしかいないからね炎水
[01:58:15.560] 草タイプのポケモン戦うんだったら純粋な
[01:58:17.599] になるね
[01:58:19.800] 笑笑お前それあれじゃねえかやめろ
[01:58:22.719] 使わなくてすことできるできるよできる
[01:58:25.280] できる持たせるだけで意味なるアテある
[01:58:28.960] て切れるぞ本当に俺それだけはマジで
[01:58:31.920] 切れるからなそれだけは俺本当に切れる
[01:58:34.320] からなお前ら本当にあいつあいつあいつ
[01:58:38.360] あいつ来たらマジで本当に怒る
[01:58:41.520] からあちゃうそれあのポケモンね1回だ
[01:58:45.920] から言われたことあんねんそれまた
[01:58:48.199] ポケモンやっ
[01:58:51.040] てる次はもう容赦なくBしていいからな
[01:58:54.199] 笑笑次俺のことあいつを怒らせたらあの
[01:58:56.599] 本当にBANしていいからねあの野郎
[01:59:00.480] こんなやいるんだよいるんだよ俺が
[01:59:02.719] ポケモンやってると文句言うやつけ剣持ち
[01:59:07.199] の特権だ
[01:59:08.360] ぞいやなんかネタでさちゃネタでうわまた
[01:59:12.599] ポケモン興味ねえよって言うんだったら俺
[01:59:14.599] もネタで返すんだけどあガチやねんあいつ
[01:59:17.360] いやもうほんまいやも重んないから他行く
[01:59:19.800] わとかさ知らねえやあああごめん本当に
[01:59:23.079] ごめんまたイララしてちゃったごめん1周
[01:59:25.960] 1周本気で配信コメント欄で切れガチで
[01:59:28.520] 切れちゃっごめんガチでな気分悪いよな
[01:59:31.800] あの野郎いやも本人にもガチで言ってる
[01:59:33.880] からもう別に本人に言ったからねコメント
[01:59:36.320] してくるのがむかつくライラしないよ
[01:59:39.119] 思い出思い出しイライラしてきしまっ
[01:59:41.760] た本人が本人が来ない限り名前を出さない
[01:59:44.840] けどな本人が来てそういうこと言ったら
[01:59:46.079] 言うよ知らねえよな話題変えようか話題
[01:59:50.280] 変えましょうねさジム行きましょう
[01:59:52.800] てもちゃまくは怒りを貯めるタイプ
[01:59:56.440] ちょっと待ってどうもあれあそこにいるの
[02:00:00.119] 邪魔が最近シ女優誰あ
[02:00:03.760] え
[02:00:06.000] ええ最近なんか出会いで抜いてるからな俺
[02:00:09.679] 出会いなんでお前俺が抜いてるとこ抜いて
[02:00:12.079] るって話しなきゃいけないんだふざけんな
[02:00:13.719] おいおいおいなんで俺が抜いてるって話し
[02:00:17.159] なきゃいけないんだここでお前らとおいで
[02:00:19.119] 俺最近出会いやねん最近あの誰誰とかじゃ
[02:00:22.560] ないねん誰とかじゃなくてもうこうあの
[02:00:25.239] ユネのユネユネのそういうことじゃねえよ
[02:00:28.880] ユネの要は誰とかじゃないあのこうこう
[02:00:31.719] バーって見放題見放題を
[02:00:35.199] こうの女優そうそう見放題のやつをこ
[02:00:38.320] パーって見て君に決めたあサトシだから俺
[02:00:42.960] 君に決め
[02:00:44.000] [音楽]
[02:00:45.440] たジム挑戦ありがとうございます記念に
[02:00:48.119] これを差し上げる美味しい水あざおすめだ
[02:00:51.000] から見てみて
[02:00:52.560] レンジの今日のシオレンジの髪ってどれ
[02:00:56.239] あれ違う帽子であれわかるわかるわかる
[02:00:59.360] わかるポケモンゲットだぜそういうこと
[02:01:01.800] ですねあの真ん中にいるのさ前作に出てき
[02:01:04.639] たやつじゃないのチェレンじゃない
[02:01:06.840] チェレンチェレンチェレンチェレンじゃ
[02:01:09.119] ないのあれチェレンや影笑えポケモンジム
[02:01:13.440] はポケモントレーナーの腕前がいかほどか
[02:01:15.320] 試す施設なんです分かりやすくいえばジム
[02:01:17.520] リーダーに勝てばなかなかのトレーナーと
[02:01:19.119] して認められますとえケモン勝負は
[02:01:21.960] ポケモンいなくなければ負けですので
[02:01:23.520] たくさんのポケモンを連れてる料理かも
[02:01:25.239] ですねとはいはいはいえ待っていきなり
[02:01:27.239] 戦うのやだよいきなり戦うのやだやだお前
[02:01:30.079] 絶対チェレン
[02:01:31.599] じゃんこれ前作のライバルキャラだ
[02:01:35.000] ねようこそひシティのポケモンジムやお前
[02:01:38.119] ジムリーダーになったんか僕はチェレン
[02:01:40.000] ジェムリーダーをしてますあららららジム
[02:01:41.960] リーダーになったんだお前んしてるという
[02:01:44.639] はなりましたと言うべきかなそんなこと
[02:01:46.159] よりジムとしてキを迎える準備をしないと
[02:01:48.360] ハードは何なのDSでございますDSDS
[02:01:52.760] ですチャレンジャーを迎えるよ2人とも
[02:01:54.599] 持ち場に移動して2年でジムリーダーって
[02:01:56.800] すごいそうだねすごいねあの2人に勝てた
[02:01:59.960] なら僕が追い手しますからチェレ出初見で
[02:02:03.520] やった時嬉しかっ
[02:02:05.040] たや12歳やろ12歳から働いてる富岡場
[02:02:10.960] がここなあ富岡止場じゃねえかよ12歳
[02:02:13.960] から働いてんじゃん治中かよ笑笑12歳
[02:02:17.679] から働いてんの笑笑富岡じゃねえかよ
[02:02:22.199] 12時まで働くからな
[02:02:23.800] おい朝の朝の5時から夜の12時まで働き
[02:02:28.560] ます子供がな岡を
[02:02:32.000] もろなことにならな富岡場じゃねえかよよ
[02:02:38.320] 出たな今この速さで富岡場子供が働くと
[02:02:42.159] 言えばみたいな俺のの俺の脳み所の中で
[02:02:46.880] あるんだろうな子が働くといえば富岡場
[02:02:53.480] ちゃんと覚えてるのがすげえたまたま出て
[02:02:56.320] きたな今な早かった
[02:02:59.000] な
[02:03:01.760] えなんだっけもうジム行く前にちょっと
[02:03:05.320] さこれちょっと全員レベル10にしたく
[02:03:08.480] ない衝撃だったんだろうな多分当時衝撃
[02:03:12.239] だったんだろうな社会の教科書の社会の
[02:03:14.840] 教科書じゃないあの社会のもう1個副教科
[02:03:17.840] 書みたいあったじゃんなんかあのちょっと
[02:03:18.960] 大きいあのなんのあのなんて言だか社会の
[02:03:22.440] 教科書って教科書あったじゃんちょっと
[02:03:23.840] 大きいさ資資料資料集資料集に詳しく書い
[02:03:28.119] てあってさ子供が子供が働いてたて呼んで
[02:03:31.840] なんかすごい衝撃だったんだろうな当時な
[02:03:34.639] 朝5時から夜の12時まで
[02:03:38.079] うん衝撃だったんだろうね当時
[02:03:41.280] ねちょっとレベル全員11にしてくるわ治
[02:03:46.480] 地あったあった種のあったな
[02:03:52.320] ちょっとレベル上げてくるレベル10に
[02:03:54.040] なったらあれ行くわ私知らねえ富岡止場ご
[02:03:56.760] 存知で
[02:03:58.000] ないえこのこの宝箱どうやっておんのはえ
[02:04:03.880] 何あれどうやっておんのあれえどこにある
[02:04:06.800] んだっけ富岡
[02:04:08.040] った
[02:04:10.079] 仲あ働いてるたんだごめん辛い
[02:04:13.860] [音楽]
[02:04:15.119] 思いねこれどうやって行くのこれどうやっ
[02:04:17.760] てのあれ働いてた人いる笑笑群のめっ近い
[02:04:23.119] じゃんえ取れなくねあれ富岡場走ってる
[02:04:27.840] けど子供の話走らなかった子供なんか俺
[02:04:30.599] ごめん俺もこれなんかなんか確か子供から
[02:04:32.800] 働いてた気がするんだよな違ったっけ
[02:04:34.679] なんか治中って大体子供働くや
[02:04:38.280] んなんか色々怒られそうな色々怒られそう
[02:04:41.960] なコメントだった今先
[02:04:46.159] か
[02:04:48.360] えルリリ
[02:04:52.000] 星のルリ来たんだけど星のルリね星のルリ
[02:04:56.119] が来たその言い方は戦争経験してるやつな
[02:04:59.800] のよただこれただこれミュまと被るなえ
[02:05:03.520] めっちゃ可愛い
[02:05:05.040] なえこれもレアなんじゃないのアイドル
[02:05:10.360] じゃんこれもレアなんじゃねえのこれ
[02:05:12.599] 捕まえて
[02:05:15.890] [音楽]
[02:05:19.360] いい可愛いなえなんでこれダメなんだいい
[02:05:22.840] だ捕まえようよただ別にだってあの捕まえ
