[00:00:05.040] テる
[04:55:07.160] もうそこのジムまで行ってるんだけどそこ
[04:55:09.760] タイプのジだからえっと電気タイプが
[04:55:14.200] 欲しくて今電気タイプ育てて
[04:55:19.400] とこもう本当終盤だよもう終盤だ今日
[04:55:22.600] クリアすんじゃ
[04:55:23.798] ないちょっと時間かかりそうだけどりたく
[04:55:26.798] ないわけ事故りたくない
[04:55:29.958] よ事故りたくないよやだよもうクリアまで
[04:55:34.480] 行きたいよ
[04:55:37.718] もうやりたいゲームもえてる
[04:55:41.798] でもこれもクリアしたいしさだ今日クリア
[04:55:45.080] までやろうと思ってさ明日もかけめっちゃ
[04:55:48.360] 故たいや本当だよ1個前のその7個目の
[04:55:53.200] ジム死ぬほど事故ったあうんちゃん
[04:55:58.120] ありがとう死ぬほど事故って全滅してる
[04:56:00.638] から
[04:56:00.960] [音楽]
[04:56:02.798] ねおいバカおいおっぱいじゃないおっぱい
[04:56:06.400] だっもある明日だ今日終わんなければ
[04:56:09.798] ずっとやる
[04:56:11.360] 昼間ま終わったら夜やろっかなと思ってる
[04:56:15.200] けどちちウパだよおっぱいおっぱいそう
[04:56:20.670] [音楽]
[04:56:31.638] おっぱいボインボイン
[04:56:33.920] ボインボインボインボインやってないあの
[04:56:39.120] アプリゲーでしょめちゃめちゃめちゃない
[04:56:40.958] らしいじゃんなんか全然なんか放置ゲ
[04:56:44.240] みたいな感じで重んねえみたい
[04:56:47.280] ななんキャラクターが走ってるだけで
[04:56:49.760] 面白くないみたいなんか色々聞くけど思
[04:56:53.200] ないんだやった
[04:56:55.600] のでもやってるやってるんだ意外やってる
[04:57:00.440] んだんでガシに呼んでないガと絶対面白い
[04:57:05.480] の分かってんだけどさあそうなんだ
[04:57:10.400] だけどあんなもん途中で止止めらんねえ
[04:57:12.798] もん全部出から全部一気に読みたいもん
[04:57:15.798] 途中で止まりたく
[04:57:19.280] ねえおもんないレベル上がらんしあそうな
[04:57:23.280] ん
[04:57:24.320] だなんかあののがあるから育ててるあそう
[04:57:28.160] なのなんか
[04:57:29.798] あのキャラクターの背中しか見えなくて
[04:57:32.638] 悲しいってレビューがあって笑った課金ゲ
[04:57:35.600] だけど無課金で遊んでるああ重課金ゲなん
[04:57:39.958] だ
[04:57:41.600] 笑笑なんかキャラクターが背中しか見え
[04:57:44.080] ないから悲しいってずっと走ってる背中
[04:57:47.000] しか見えないみたい
[04:57:49.280] な俺はどんなゲームか知らねえ
[04:57:53.040] けどそうかもそうなん
[04:57:58.000] だいやマジでなんかナルティメット
[04:58:00.638] ストームみたいな感じで完全にアニメのさ
[04:58:03.480] 世界観でゲーム作ってほしいよないや背中
[04:58:07.200] しか見えないけてもなかなかねえけどな
[04:58:11.600] ナルティメットストームはさ漫画のゲーム
[04:58:14.040] の中ではすげえいいと思う悲しい
[04:58:17.878] なやっぱガッシュはせやっぱ見たいもんね
[04:58:21.680] 姿がね魔物好きだから魔物の好きな魔物の
[04:58:25.040] 姿見たいよ
[04:58:27.680] ねそんな重課金ゲなんだえ何キャラクター
[04:58:31.638] が出てくんの課金ナルトのナルトはやっぱ
[04:58:36.320] すごいよあのナルティメットストームとか
[04:58:38.760] さアニメ
[04:58:40.638] ナルト電気だっけ渦巻きナルト電気みたい
[04:58:43.200] なやつ使いたいのに強くないのよあそうな
[04:58:47.120] の終わってる
[04:58:50.280] ねナルトのゲームはマジですごいと思う
[04:58:53.480] 本当にアニメ動かしてるみたいだ
[04:58:55.878] もんそれを世界観でやってほしいわゲーム
[04:58:59.200] 1本出してほしいマジ
[04:59:00.878] で本気のガッシュのゲームざるが使える方
[04:59:05.480] が
[04:59:06.718] 強いが使えるのと使えないのがいるんだ
[04:59:09.440] ガッシュでも
[04:59:12.320] ドッカンバトルもすごいよなドッカンバト
[04:59:14.798] ルって何だっけ
[04:59:16.600] えっとキチョメは変わらずいいあれかあの
[04:59:21.280] ドラゴンボールかあれもすごいっていう
[04:59:30.280] ね大きくなるあディカポルク
[04:59:37.958] ねガシュでてもピースみたいにしょぼいの
[04:59:41.480] しか出ないねえそうなんだよもっとガチの
[04:59:44.000] やつ作ってほしいよねガシの
[04:59:46.680] ゲームだってあれゲーム性的には絶対
[04:59:49.480] おもろいや
[04:59:50.600] んバトルマンガなんだし絶対面白くなんの
[04:59:54.160] に割とゲームアドバンスのさガッシュの
[04:59:57.440] ゲーム面白かったもんちゃんとしてて殊な
[05:00:00.400] のが多すぎて難しまあまあまあまあなま
[05:00:04.200] それはそうかもしんないけどそこどうにか
[05:00:06.040] さまぐらいになると魔持ってるんでしょよ
[05:00:10.400] 魔法てか俺が俺があれかもしんね俺があれ
[05:00:13.680] かもしんね魔物かもここここに線こうやっ
[05:00:16.360] て入れこうやっ
[05:00:19.680] てラウザルク出るまでむそうラウザルク
[05:00:29.020] [音楽]
[05:00:33.160] 懐かしいアドバンスのラウザルクがしくそ
[05:00:35.878] 弱かったけどね呪文使えねえし
[05:00:40.718] ただ攻撃力が強い
[05:00:42.090] [音楽]
[05:00:52.798] だけアクションになるならラウザルク行た
[05:00:56.080] じゃねまあまあ確かにねアクションゲーム
[05:00:59.520] になら
[05:01:03.200] ななんかもう1回アニメやり直してほしい
[05:01:06.718] けどね眠くなってきたごめんなさいすませ
[05:01:10.320] 食べたよおめえが寝てる間によとっても
[05:01:13.360] 面白いことがあったよ
[05:01:15.440] [音楽]
[05:01:18.558] 見ろ恵
[05:01:21.160] 感触ああこんな面白いの見逃しちゃってさ
[05:01:26.160] あったよあったあったあったあったゲーム
[05:01:28.040] キューブと同じやつでしょゲームキューブ
[05:01:30.440] 版も出てるやつねさっきの止まったこも
[05:01:34.160] 同じ顔してたよそ
[05:01:39.520] [音楽]
[05:01:42.280] 友情のタッグバトルそうそうそうそう
[05:01:45.400] そうあと1
[05:01:52.170] [音楽]
[05:01:54.638] レベこっちみんな違うだ角が本当にここ
[05:01:58.878] だったんだ
[05:02:00.480] もん東北島東北島向いてったら調べたら
[05:02:05.440] 東北島ってどこって調べたら本当にこの
[05:02:07.400] カメラのここだったのすごくないここ東北
[05:02:10.638] 島なのよ本当
[05:02:12.040] [音楽]
[05:02:23.240] にもうちょっと笑顔で食べてよちゃうあの
[05:02:27.760] 食べてる間は喋っちゃいけない笑っちゃ
[05:02:30.200] いけないって言われたからのキス顔ほんま
[05:02:32.520] 悪いよな
[05:02:36.360] 笑キス顔とか言われたしね
[05:02:41.140] [音楽]
[05:02:46.480] 笑笑ちょっとついてる
[05:02:49.830] [音楽]
[05:02:52.840] のく眠くなってきたねも寝ないけどね今日
[05:02:56.680] は今日は寝ない
[05:02:58.230] [音楽]
[05:02:59.558] けどあと1レベ上がったらもうボス行って
[05:03:02.600] もば早えからでも
[05:03:04.920] なまだ早いよならた
[05:03:10.120] たのうんカピまカピとなんだろうなか色々
[05:03:14.840] なんかキノコあの何えっと椎茸とアーダ
[05:03:19.600] コーダみたいな
[05:03:24.958] やつそっち系かそうなのよ俺サラダサラダ
[05:03:29.320] 巻き系が食べたかったんだよなキノコ笑っ
[05:03:32.160] たキノコじゃんだってキノコ
[05:03:35.040] でしょサラダ巻き系が食べたかったのツと
[05:03:38.080] か卵とかさ
[05:03:40.320] エビとか入ってるの食べたかったなの50
[05:03:43.558] 前後だっそう前のジムが48とか最大だ
[05:03:47.040] から40じゃ早いよ
[05:03:48.920] なやん何がよ何がやね肉
[05:03:53.600] オンリーであれ肉オンリーでもよかっ
[05:03:57.718] たあいる来
[05:04:00.320] てるやレベル上げしんどい
[05:04:08.230] [音楽]
[05:04:21.400] ああどうすか40まで育ってたらもう進化
[05:04:24.600] させちゃうわ40まで育てたら進化させ
[05:04:26.878] ちゃってエレキルにしちゃっ
[05:04:30.480] てうんそしたら学習装置じゃなくても多分
[05:04:33.760] 戦えるからちょっとはレベル上がんの早く
[05:04:36.600] なるけどこれ何時までやるんだこのレベル
[05:04:38.200] 上げマジでもう
[05:04:40.600] とんでもねえよこのゲームずっとレベル
[05:04:42.200] 上げし
[05:04:42.780] [音楽]
[05:04:47.320] てる行けるかな40じゃでも40だも多分
[05:04:52.718] 次50レベとか出してくるもんね絶対
[05:04:56.120] ね40じゃ厳しいよねちょっとな
[05:05:03.360] [音楽]
[05:05:15.320] これはちょっとね酒は許して本だよそれ
[05:05:19.400] リーダーのレーナーまままままま4だ45
[05:05:24.440] ぐらいまでは45ぐらいまでは
[05:05:28.958] ねそうそうそうそうそうちゃそこまで行っ
[05:05:31.920] てるん
[05:05:32.840] だえ
[05:05:35.760] な50出てきても50ばでしょ
[05:05:39.920] これしてんの70とか出してくるでしょ
[05:05:41.558] 多分相当強え
[05:05:45.040] ぞやっと40なったああ10万ボルト来た
[05:05:48.680] やったぜこれが欲しかったんだよクリアし
[05:05:51.400] てたよねあもうクリアし
[05:05:53.780] [音楽]
[05:05:57.000] たどうするこれ放電
[05:06:00.760] 消す電池波は欲しいよ
[05:06:04.240] な光の壁行っか
[05:06:10.760] う放電いらねえかえどうだろうこれ放電
[05:06:14.920] いらないえどうしよう
[05:06:16.638] え間違え
[05:06:18.110] [音楽]
[05:06:23.718] たえ1万色95
[05:06:27.760] でしょ電は80だ15アップしてんだよな
[05:06:32.240] 2個もいらんやろ電気技特殊の電気技な
[05:06:36.920] うん電いらないと思う君本当に電磁波残し
[05:06:41.240] て使うあーそうやって言われたら使わない
[05:06:43.680] 気もしてきたでも放電と10万ボルト
[05:06:47.160] どっちも使うかそっちの方が使わないと
[05:06:48.798] 思うじゃこれあのポケモン捕まえる時には
[05:06:51.600] 使うから
[05:06:52.718] さ一応取っとくそんなこと言ったら光の壁
[05:06:56.600] 使うんかては使わねえよ
[05:06:58.040] [笑い]
[05:07:06.200] なねね
[05:07:08.520] ねねねえのねえ
[05:07:17.600] のじゃ進化させよっかじゃ進化させよっ
[05:07:24.060] [音楽]
[05:07:27.600] かうまい
[05:07:30.718] じゃんねねねのね
[05:07:32.840] [音楽]
[05:07:35.200] のキブルパイセン可愛いよなエレブーって
[05:07:38.920] し
[05:07:40.200] たけうんあの赤緑からいるむしろ
[05:07:44.160] エレキットが最初はいない金銀で初めて出
[05:07:47.280] てきた進化前のポケモン
[05:07:52.400] がエレキブルパイズ行く
[05:07:55.240] かピチューとかもそうじゃないピチューと
[05:07:57.718] かPとかなんかその赤ちゃんポケモンって
[05:07:59.958] いうのがなんか当時ベイビーブームだった
[05:08:02.440] んだかな知んねえけど赤ちゃんポケモンっ
[05:08:04.080] てのが出てきたんだよ
[05:08:06.120] いっぱいそもそも卵ポケモンの卵っての
[05:08:08.958] があの金銀からだから
[05:08:13.638] ねあブビとかそう赤ちゃんポケモン
[05:08:18.040] は途中から出てきたんだ
[05:08:25.840] よ卵精度導入でベイビーが来たそうそう
[05:08:29.480] そうそうそう
[05:08:33.890] [音楽]
[05:08:40.080] プレイ時間79時間もやってのおかしくね
[05:08:42.400] ルリリも可愛いルリリも可愛いねだださ
[05:08:45.160] ベービーポケモンってあんま使い道はない
[05:08:47.080] よねあとムチュールとか
[05:08:54.080] かこれさセーブ長く
[05:08:57.958] ない長かったいやこんなもんだよ最近の
[05:09:01.798] セーブ長いよポケモン
[05:09:08.360] はこアイテム持たせたりってできんのあ
[05:09:11.000] でき
[05:09:16.558] るっぽいオオッケーじゃこれ回あれしてえ
[05:09:21.600] ちょっと待っ
[05:09:26.040] てあやか可愛いよ
[05:09:28.760] あやかまじ相手の
[05:09:32.080] さちゃ対戦じゃ
[05:09:34.340] [音楽]
[05:09:37.320] ないブラックホワイトのこの女主人公マジ
[05:09:40.760] 可愛いんだけどどうしてくれん
[05:09:43.600] の性癖が歪む俺
[05:09:49.600] のそれなん回言うねん待てこれじゃ学習
[05:09:53.240] 装置奪われちまうこれじゃ学習装置奪われ
[05:09:56.600] ちまうちょっと待ってもう歪んでる
[05:09:59.570] [笑い]
[05:10:03.360] 定ブラックホワイト可愛い女の子多いんだ
[05:10:06.160] よメイちゃんも可愛いしねめちゃんだっけ
[05:10:09.040] 違うえっとなんだっけあのメガの子メガの
[05:10:11.638] 女の子なんつんだっ
[05:10:13.040] けメガの女の子なんて言うんだっけあの
[05:10:15.840] 金髪のなんだっけ忘れたあれも可愛いよね
[05:10:19.798] めちゃん
[05:10:21.400] めえっと
[05:10:24.718] 違うめいちゃんて叫ぶおばあちゃんぬメス
[05:10:29.160] じゃねえよなんだっけ
[05:10:30.558] なめい
[05:10:34.240] ちゃんめちゃんはここにえな
[05:10:42.520] 何が今取り込み中やチェレンじゃない方ね
[05:10:45.840] そうそう
[05:10:48.920] そう思い出した声大体できるねだみ声得意
[05:10:53.680] だね俺うんだみ声
[05:10:55.520] 得いい子にしてたんだよ
[05:10:59.160] ねこれおばあちゃんがあのめいちゃんに
[05:11:02.520] あのあれあのさつきの学校に来ちゃった時
[05:11:05.840] のおばあちゃんいいこにしてんだよ
[05:11:13.840] やいお前ん配信屋敷やーいお前んちおっぱ
[05:11:19.718] やしカ
[05:11:27.200] たこれをだ1回出してじゃ1回ちょっと
[05:11:31.760] のんデリーをちょっとのんででいいよ
[05:11:37.050] [音楽]
[05:11:42.520] これ交換若干めんどくさいんだよ
[05:11:48.320] なオって隣のトトロ出てきそう出てる
[05:11:54.958] よよく探すと出
[05:12:03.480] てる俺ジブリ男子だから
[05:12:15.840] いらねえこの
[05:12:18.440] 犬豚うるせえ
[05:12:22.400] な飛べないただ俺見て見たことねんだよ
[05:12:25.400] くれないの
[05:12:26.400] 豚これキャンセルしたら2できないのかな
[05:12:30.638] ん何よ何をあ進化多分ねこういう進化はね
[05:12:35.798] 多分ねキャンセルできねえんじゃない
[05:12:40.558] 飛ばない豚はただの豚だぜ途中でケーブル
[05:12:44.400] 抜くんだよそういうことケーブルとかじゃ
[05:12:48.040] ないねんごめんなニさんごめんもう
[05:12:50.280] ケーブルとかそういう時代じゃないんだよ
[05:12:52.240] ワイヤレスごめん
[05:12:56.718] ねレキブースターを持たせる
[05:13:01.240] ともう声優さんなくなっちゃったけれど
[05:13:04.680] かっこよかったねのって
[05:13:08.120] すげえ声優誰の声優
[05:13:10.958] さん科学の力ってすげえ絶対にいるやつ
[05:13:18.558] ねちょっとこっちで持ち物持たせなきゃ
[05:13:21.638] いけないん
[05:13:22.718] か
[05:13:24.440] オ神アニメだよベ豚くれないの豚の主人公
[05:13:29.000] ポルコの声優さんマジでイケボだったんあ
[05:13:32.040] そうなのあもうトレーナーズカード見せて
[05:13:34.558] もらったどうでもええねんこんな
[05:13:37.450] [音楽]
[05:13:42.558] 2台操作すんのダリーな
[05:13:47.070] [音楽]
[05:13:50.000] よしこの犬
[05:13:53.200] とエレキットを交換
[05:13:57.100] [音楽]
[05:14:01.840] はいこっちもこれを交換
[05:14:05.290] [音楽]
[05:14:10.920] よしオッケーよしよしこれで進化する
[05:14:21.080] はず
[05:14:23.638] おらなめんな
[05:14:29.400] よきもあり
[05:14:33.878] なクの進化ねね
[05:14:40.000] なめてはだろう
[05:14:42.520] すマジでこれドすげえなや来
[05:14:48.320] たれ
[05:14:51.000] レレレれろれろ
[05:14:56.480] うわ俺エレキブル使うの初めてかもめんど
[05:15:00.958] くさくて捕まえたことなかった
[05:15:02.798] これうわ
[05:15:08.150] [音楽]
[05:15:10.040] 鳴き声がいい
[05:15:14.320] レロレロかっこよかっこよおい待て待て
[05:15:19.000] 待て待てかっこよすぎやしないかいエレキ
[05:15:22.040] ブルなんていいの使ってとか言っとき
[05:15:25.558] ながら好きとか言っときながら使ったこと
[05:15:28.160] ねえやいリアル俺子供の頃友達なくて通信
[05:15:31.798] 交換できなかったもっ
[05:15:34.160] て憧れだった憧れ
[05:15:39.320] に野生のエレキブルいたの思い出したえー
[05:15:42.320] あポケモンアルセウスやってねえなあれも
[05:15:44.240] なおもろいな
[05:15:46.878] あれあれパルワールドみたいなもん
[05:15:51.558] だろおもろかったよあそうなん
[05:15:56.680] だくあ本当だこいつあ特攻も強いじゃん
[05:16:00.400] どっちも行けるじゃん
[05:16:02.440] こいつ電気エンジン
[05:16:06.718] へ見た今のアニメーション見
[05:16:11.080] てこのドットアニメーション見てよ
[05:16:14.320] ジャンプし
[05:16:17.160] てるいいねエレキンゴいいよ磁石持た
[05:16:21.558] せよう持ち物磁石の技が光ねえこれドット
[05:16:25.520] 本当すげえよなワンフレームワンフレーム
[05:16:28.520] 全部打ち直してんのかなポケモンド絵に
[05:16:31.000] 戻ってくるマジで思うわポケモンはドット
[05:16:34.480] でいいよ
[05:16:39.360] 強力持たせる電気タイプの技の威力が
[05:16:41.440] 上がりますこれまた持たせましょうか
[05:16:44.878] ねド大わかるみち
[05:16:49.680] こんばんはブラックホワイト2も極上の
[05:16:53.320] これ極上のドットだよないやマジだこれ
[05:16:57.520] リザードンかっこよすぎる
[05:16:59.630] [音楽]
[05:17:01.680] でしょカポケは3D下手くそ
[05:17:04.878] 変だから大変だからねうん3dの楽なのか
[05:17:11.520] ねかっけな
[05:17:16.160] おやばいよもうポケモン最高だな今俺の
[05:17:21.400] 大好きなポケモンが超揃ってるあとは
[05:17:24.480] 馬刺しを何にするかだなここをななんか
[05:17:27.400] ここはさブラックホワイト特有のポケモン
[05:17:29.480] にしたいね全部過去作のポケモンなんだで
[05:17:32.718] もそうだよな好きなポケモンを集めるって
[05:17:34.920] なったらそうなるよね好きなポケモン集め
[05:17:38.120] るってなったら俺だ知らねえもんだって
[05:17:39.840] この
[05:17:40.440] ポケモンね今このタイプ見て炎ドラゴン
[05:17:44.718] 地面あ炎飛行ドラゴン地面元気え鋼エスパ
[05:17:50.600] はエスパは水氷あと何が必要毒とか好きな
[05:17:56.360] ポケモン号って言った口なかったね今悪の
[05:17:59.360] 復活あ悪タイプそうだな死んでるんだもん
[05:18:04.480] な悪タイプ欲しい
[05:18:07.200] ね草は
[05:18:11.120] で作って売れてるゲームもあるし文化
[05:18:13.718] 引き継がれてほしい悪ならな悪アタだと
[05:18:19.120] 好きなポケモンてなったらもうアブソルに
[05:18:21.160] なるよあアタイプいいかもなんかアクタイ
[05:18:25.718] プっていたゾロアーク
[05:18:28.958] ああせやゾロはいるやんえゾロワークって
[05:18:35.000] 強いのゾロは持ってるよ
[05:18:41.000] 確か持ってた
[05:18:42.410] [音楽]
[05:18:44.040] はず
[05:18:45.650] [音楽]
[05:18:47.160] ほらあか持ってるよイージョン持ちで
[05:18:50.680] 楽しい
[05:18:51.680] よ耐神耐久なんだえこれでもどうな悪
[05:18:56.520] タイプとして
[05:18:59.200] 優秀せか性格ですよあマジでせかて攻撃力
[05:19:03.200] アップだっけ
[05:19:05.878] かアタイプってちょっと見るかなんかいた
[05:19:10.160] かな悪タイプじゃなくてもなんか俺の持っ
[05:19:11.920] てないタイプだったら素早さ上がってボさ
[05:19:15.600] あ素早さが上がるんだ素早さウップ防御
[05:19:18.440] ダウンだっ詳しい
[05:19:21.520] な電気はい
[05:19:23.680] るっしょあー格闘もいい
[05:19:27.120] ね格闘もいいよねでも鋼また被るなく耐久
[05:19:32.280] 型は似合わないからよしズキとかあ
[05:19:35.400] ズルズキンて何タイプ悪格闘もう最高元
[05:19:39.120] 廃人なの
[05:19:40.680] でさも今は違いますみたいな今違う
[05:19:44.240] のえズルズキンた悪
[05:19:48.000] 格闘悪格闘だったらもうズズキ確定だよ
[05:19:51.680] 1番欲しい
[05:19:54.360] タイプあれズルズキンて悪格闘だよ
[05:20:00.760] なうわあ童貞んだっけえっとと本気の
[05:20:04.840] 鳴き声対決したいね行けんのえも行けんの
[05:20:10.638] マジ行けるやる
[05:20:13.040] じゃんみかも行ける口悪格闘だね悪格闘か
[05:20:17.480] 今1番欲しい
[05:20:21.600] じゃんワルビアル
[05:20:27.520] 懐かし悪格闘じゃありだよ
[05:20:32.760] なド鉄骨もお勧めしたいうんどなんだっけ
[05:20:36.480] 1番最後のポケモンどえっとだけるつもり
[05:20:39.558] はないけどフリーザーは
[05:20:44.718] 絶対もう音のピッチまで合ってるよ
[05:20:48.160] 俺笑笑似てるとかじゃないねもうカコ
[05:20:52.600] [音楽]
[05:20:55.958] ピズルズキン野生で出る
[05:21:01.160] ねあと持ってないタイプってなんだローブ
[05:21:04.958] シだローシ誰が審査するんそれはだから皆
[05:21:09.120] さん
[05:21:15.878] ですうーんまヘラクロスもまあなくはない
[05:21:20.480] けどヘラクロスもなくはないな虫格闘ダ
[05:21:25.600] まあでもズズキんだよなでもななんかこの
[05:21:29.200] 世代のポケモン使いたいもんねでちょぼ巻
[05:21:31.400] きって何タイプなのちょぼ
[05:21:33.798] 巻きちょぼ巻きってなんなのこれでも金銀
[05:21:36.718] ポケだからねそうなんそうそう
[05:21:39.920] そうそう虫あ虫
[05:21:48.240] 単体何リグレーて気持ち悪い
[05:21:56.690] [音楽]
[05:22:01.240] なかけこ鳴き声ね
[05:22:06.040] フあ言わねんかい
[05:22:09.100] [音楽]
[05:22:11.958] ほらあちょっとちょっと高かった俺
[05:22:14.200] ちょっと高かったないやいいやズズにすん
[05:22:18.680] べズズキにしようどこにいるたズズキ
[05:22:23.200] うまいうまいて言っとるやん全部出るねん
[05:22:26.440] 俺
[05:22:29.440] [音楽]
[05:22:30.680] ファファずるなんかこの辺に出るっつたら
[05:22:33.600] なんかな15本当に出るあ行ってねえとこ
[05:22:36.680] だあじゃずから行かなきゃいけねか
[05:22:39.280] ズルック
[05:22:41.600] からズルックから行かなきゃいけねえんか
[05:22:44.080] な
[05:22:47.600] 多分あこじ風もいるじゃん悪タイプじゃ
[05:22:51.680] ない
[05:22:53.718] けどこれ進化するよね確かコジフってね
[05:22:57.480] 覚えてないけどなんか全然覚えてないけど
[05:23:13.760] まあでもズズきんだ
[05:23:16.718] なズルック使わに行くべじゃどこにいんの
[05:23:20.000] ズルックっ
[05:23:22.000] てあ
[05:23:26.090] [音楽]
[05:23:29.718] たあやっぱ手にはここには野生じゃ出てこ
[05:23:33.080] ないなこれなはあはあはあそこに出てくん
[05:23:36.798] のねうオッケー分かった捕まえに行くかで
[05:23:40.638] もうそれは俺も育成はまもう道中でしてく
[05:23:43.440] あの多分ね育成はもうしないよもうこれ
[05:23:45.840] そいつ捕まえ
[05:23:47.440] たらちょっともう先進むわさすがにあでも
[05:23:51.000] エレキブルいやエレキブルどうかなエレ
[05:23:55.480] キブルこれもうちょっとレベル上げないと
[05:23:57.040] きついよね多分ねジム
[05:24:01.360] ねどうすっか
[05:24:03.958] なもう3時半でしょそろそろ進みたいよね
[05:24:12.638] あれズルックってどこに出てくるここっち
[05:24:15.280] この
[05:24:16.050] [音楽]
[05:24:23.200] 辺この辺あここかここかもここいたかも
[05:24:28.638] しんない確か
[05:24:29.220] [音楽]
[05:24:35.040] にこっちここってポケモン出たよね確かね
[05:24:39.480] [音楽]
[05:24:41.240] まだレベル低いなでも心ずるくじゃ
[05:24:44.200] なうわ懐かしいなお前ダルマッカ
[05:24:50.920] まあでもあれだ
[05:24:54.920] なここでレベル低いけどまあまあまあ最悪
[05:24:58.760] 多分でレベル砲
[05:25:04.240] でんや
[05:25:07.040] お前か
[05:25:08.878] 音
[05:25:10.240] わっかわっかねでもあいつはね死んだけど
[05:25:14.120] ねあのこっちのあのあやかちゃんのデータ
[05:25:16.080] の中でいる
[05:25:19.040] よてかベリちゃんって何もう終わったの
[05:25:21.920] ベリちゃんっても配信終わっ
[05:25:24.600] たクリアしたの
[05:25:26.410] [音楽]
[05:25:29.400] もう終わったよあクリアしたんだ早く
[05:25:34.680] ね早くないダイヤモンドパールクリア久
[05:25:37.798] もう終った
[05:25:42.958] 俺もう1週間以上やってんだけどこれ23
[05:25:46.240] 時間30分でったかえああ
[05:25:52.480] 懐かし早いねあでもそんなもん
[05:25:56.040] か俺はダイヤモンドパールがいちゃん好き
[05:25:59.440] だからなダイヤモンドパール
[05:26:02.920] のあのあれが一ちゃん好きだから俺マンク
[05:26:06.480] がしてるだけだそっかポケモン死んだら
[05:26:09.558] 作り直してるからねそれの時間がかかり
[05:26:11.360] すぎてるよ
[05:26:12.480] ねダイヤモンドパールのBGMめっちゃ
[05:26:15.160] 好きなんで俺あのナギタウンとか超好きだ
[05:26:17.958] よ
[05:26:27.070] [音楽]
[05:26:32.080] トゥ2009番ドロってどうのててん
[05:26:42.680] て
[05:26:42.940] [音楽]
[05:26:44.680] やつBGMいいよ
[05:26:48.040] ね番最初の道路
[05:26:51.020] [笑い]
[05:27:07.160] はあのゆのゆのポケモンのBGM引きがり
[05:27:13.440] メドレえぐいから見て
[05:27:15.440] ほしい俺もだそれで209番道路めっちゃ
[05:27:18.160] 好きになったんだもんなんか急に
[05:27:21.600] さて引き出してさめっちゃ良かったあれゆ
[05:27:25.440] すげえよなあいつの相対音っていうか
[05:27:28.920] 耳コピ一瞬でする
[05:27:34.480] じゃんのねそのポケモンのBGMの耳コピ
[05:27:38.878] してメドレにしたやつ
[05:27:41.340] [音楽]
[05:27:47.400] えぐいやっぱダイヤモンドパールだよな
[05:27:50.320] うわあやっぱりさプラチナのさポケ性風
[05:27:54.400] 頑張りたいなのリメイクはドットでお願い
[05:27:58.080] したいねでも3Dになるんだろうなそっか
[05:28:01.400] でももう次リメイク来んのブラック
[05:28:03.798] ホワイトかや然封やってよニコニコ
[05:28:08.920] さやりてえけど
[05:28:12.600] さず来いえズルックここ出ないのこんな出
[05:28:17.120] てこないズルックってレアなのか
[05:28:21.638] なポケセ封鎖もやりたいしあれもやりたい
[05:28:26.440] んだよ金
[05:28:29.980] [音楽]
[05:28:35.840] だら違う違う違うえずるくちょっとどこに
[05:28:39.400] 本当にここ
[05:28:41.760] 出る出たような気記憶はあるんだけど矢印
[05:28:45.240] 金ねダラねじやりたいよ
[05:28:47.810] [音楽]
[05:28:52.080] ねいや出る
[05:28:54.320] ねえ夜昼間しか出ないとかそんなことねえ
[05:28:58.200] よな俺いつも夜だもんね多分出たと思うわ
[05:29:03.670] [音楽]
[05:29:13.958] なんか全然出ないんです
[05:29:16.090] [音楽]
[05:29:23.440] けど全然出なくなってきた
[05:29:32.760] ね
[05:29:34.440] えだまっかもうええって
[05:29:39.040] ダルマッカの方がレアな感じするけど
[05:29:42.480] [音楽]
[05:29:51.718] ねやあ来たよしよしよしこいつアンダー
[05:29:56.638] テールにいたよ
[05:29:58.520] なこれこいつ見るたびに言ってる気がする
[05:30:01.080] これアンダーテールで見たよ
[05:30:03.040] [音楽]
[05:30:04.718] こいつこういう時のエレキンゴよ
[05:30:10.320] 笑笑アンダーテールにいたよなこいつ
[05:30:17.480] なアンダーテールのガキそうそうそうあの
[05:30:21.080] アンダインとこの
[05:30:22.840] ガキ
[05:30:27.520] よしなズルクって何ポケモンなのワニ
[05:30:30.920] これれ何これ
[05:30:32.718] 川あり川ありポケモンじゃんキブルの後
[05:30:36.600] コンテントになってるのいいよね
[05:30:39.680] 分かるそういうデザインいいよ
[05:30:45.878] な
[05:30:48.638] ああ
[05:30:50.600] よし川ありは手術しよう
[05:30:53.798] ねでも日本人の7割はそうだから大丈夫だ
[05:30:56.920] よはい1発はいはい1発これあのチャン
[05:31:01.958] マンがどうくそしょうもねえ列注射を決め
[05:31:05.878] た時にめちゃくちゃドヤがったセリフね
[05:31:08.320] はい一
[05:31:10.080] 発誰でもできるからそんくらい
[05:31:14.638] 笑笑笑誰でも別にできるよそんくらはこう
[05:31:18.600] やってこうやってこうやってはい一
[05:31:23.558] 発何をそんなドヤ顔
[05:31:27.120] でこいつの名前ウナちゃんに
[05:31:29.840] しようこいつウナなんか似てるしズズキの
[05:31:34.480] 顔ちょっとに似てるしちゃんにしよこつ声
[05:31:38.558] で抵抗するやつ何それえどじゃないのあの
[05:31:44.120] なんか初文のアクションだかなんだかでさ
[05:31:46.240] そんな別に声張ったてジャンプの距離
[05:31:48.798] 変わんねえのにジャンプして
[05:31:52.638] ドていうやつ全然変わんねえから別に
