[00:00:08.679] T
[02:34:58.440] [音楽]
[02:35:12.319] 落ち高いまあtwichオンラインにある
[02:35:15.960] んでねやりたい人は
[02:35:18.640] ぜひあ
[02:35:23.550] [音楽]
[02:36:09.279] ああもう勝つぞ
[02:36:13.800] [音楽]
[02:36:39.160] ええ
[02:36:40.800] なんかレッドアリマ投げてるよあの人え
[02:36:43.800] ええ何これ
[02:36:44.610] [音楽]
[02:36:47.399] か今のか何今
[02:36:53.399] のなんだ今
[02:36:57.590] [音楽]
[02:37:00.840] の壊れちゃっ
[02:37:03.200] た壊れちゃったよあんまりにも難しくする
[02:37:06.439] から
[02:37:08.500] [音楽]
[02:37:35.399] くそああ触っちゃあかんお前に触ったらあ
[02:37:39.680] かん
[02:37:40.510] [音楽]
[02:37:46.520] ね絶対ここ当たっちゃう無理だよ
[02:37:55.930] [音楽]
[02:38:14.279] ここちなみに
[02:38:17.399] これあの白い
[02:38:20.200] だけがどうなのこれ聞いたりしないのかな
[02:38:22.359] ちなみにこっち連射できんねんけどそし
[02:38:27.160] [音楽]
[02:38:34.600] たらこれをあの本体でプレイさせようって
[02:38:37.840] んだから次な話だよ本当だよなこれゲーム
[02:38:41.080] ボーイ本体でやろんだもんあくん
[02:38:45.359] かいくんかい
[02:38:48.050] [音楽]
[02:38:51.000] 絶対こっちの方が
[02:38:53.010] [音楽]
[02:38:56.720] ええ鬼1男鬼1
[02:39:02.840] ノおいおいおい
[02:39:06.070] [音楽]
[02:39:10.760] おい見えた
[02:39:17.720] な当たりがしやった
[02:39:23.350] [音楽]
[02:39:33.680] かうますぎ
[02:39:36.060] [音楽]
[02:39:59.760] 早い
[02:40:02.190] [音楽]
[02:40:14.279] な倒せそうダア男性
[02:40:19.770] [音楽]
[02:40:38.800] やややややややーれてる危ねえ出た
[02:40:45.640] パチパチパチパチパチパチちゃ
[02:40:51.600] お尻が出てる
[02:40:54.640] よお尻
[02:40:59.359] がさすがは赤い炎しかし本当の赤い炎の力
[02:41:06.319] をお前はまだ身につけておらん赤い炎の力
[02:41:11.560] を解放するにはこの魔界のソが必要なのだ
[02:41:17.560] 束
[02:41:20.840] あり邪魔どもあり破壊を倒せるのはお前
[02:41:25.760] しかおらん頼んだぞレッドアリーマー
[02:41:31.120] お凄まじい力が分りレッドアリーマーを
[02:41:35.479] 包み込む体の即から誰かが語りかけてい
[02:41:39.240] 我がを引くものよ自分の持つ本当の力を
[02:41:44.200] 読み出すのだそして破壊王を倒せ
[02:41:49.359] に無限の力を感じる全ての力が上がったダ
[02:41:53.120] ダーク
[02:41:54.760] ファイアいいね一番いいんだからダーク
[02:41:58.880] ファイアーが男の子は男の子は一番好き
[02:42:03.040] ダークファイアー
[02:42:04.600] ね暗黒の炎が一番好きなんだから男の子
[02:42:08.399] なんかこれ渡しとけば一番喜ぶんだからが
[02:42:12.279] うダークファイアが1番うん
[02:42:19.439] おダーク
[02:42:21.560] ファイア来た
[02:42:23.439] ね破壊王橋本今年のクリスマスダーク
[02:42:28.880] ファイヤーえウイング無限ウイング無限
[02:42:34.279] ですウイング無限になりまし
[02:42:39.680] た
[02:42:41.439] ももうもうもう無限の力もうもうもうもう
[02:42:46.680] もうよ
[02:42:51.439] あもだよ
[02:42:54.760] ああああ始まっちゃった逆襲が始まっ
[02:42:59.960] ちゃっ
[02:43:01.080] た連射効かないのがちょっとな強いけど
[02:43:05.120] 確か
[02:43:06.319] に別始まった強いけどただねこいつねあの
[02:43:11.560] 空高く舞い上がれないのよねあと落ちてく
[02:43:15.640] だけなんだよこいつだ
[02:43:18.120] からちょっと待ってこれ普通にこっちの方
[02:43:20.760] が良くねえかで
[02:43:25.040] も連射できんのが一番強んだよな正直ね
[02:43:28.920] ダークファイアーはボス戦の時に使うん
[02:43:36.040] だ
[02:43:37.680] おおラスボス
[02:43:39.870] [音楽]
[02:43:41.279] くせ神と神極
[02:43:44.479] 経法神極中違法
[02:43:52.439] ジャンプ力ジャンプ力えぐい快待て待て
[02:43:56.200] ジャンプ力
[02:43:57.680] [音楽]
[02:44:07.160] えぐいジャンプ力がえぐすぎ
[02:44:10.210] [音楽]
[02:44:13.760] て制御できねえいてこの体を
[02:44:21.439] あそこだそこえそこ
[02:44:23.680] ダメそこ
[02:44:28.000] [音楽]
[02:44:33.319] ダメジャンプ力がすごすぎてさ
[02:44:39.670] [音楽]
[02:44:51.560] どこが正規ルートだ
[02:44:52.890] [音楽]
[02:44:58.600] これなんか似たような地形ばっか
[02:45:01.439] でなんで今当たったのかな
[02:45:04.740] [音楽]
[02:45:07.359] お前2匹重なって
[02:45:09.800] やがる性格悪いな
[02:45:12.930] [音楽]
[02:45:19.200] いたジャンプ力があああああやめ
[02:45:24.480] [音楽]
[02:45:28.479] て逆に難しい
[02:45:31.100] [音楽]
[02:45:39.080] ないやだるい
[02:45:41.000] [音楽]
[02:45:44.920] だるいやもジャンプ力が御効か
[02:45:50.399] これこっからなん
[02:45:56.120] だあれちょっと待ってこっからってこは村
[02:46:00.279] に帰れないってこ
[02:46:02.120] え
[02:46:05.520] あのセーブ
[02:46:07.600] はえもしかしてこれセーブしたかったら
[02:46:12.560] またあそこからやり直すってこと
[02:46:20.080] えそれだるすぎない
[02:46:21.300] [音楽]
[02:46:25.560] それ今日クリアするしかないや
[02:46:35.279] ん行けるっしょタッグだろう
[02:46:39.520] がもういいや
[02:46:42.479] それタクだろうが何してん
[02:46:47.200] のタだろ笑せん
[02:46:52.620] [音楽]
[02:46:55.640] だろ田何してんの元ネタ知らんけどなんか
[02:47:00.479] 好きあのそれするちゃま好きあのあれな
[02:47:07.120] あのなんだっけあのドキュメンタル
[02:47:10.120] のドキュメンタルのえなんかよくわかん
[02:47:14.359] ねえなんかプロレスのネタをやるあの雑魚
[02:47:18.000] 師
[02:47:19.680] プロレプロレスのネタをやる雑魚じゃん
[02:47:22.439] なんかのなんか会見おお何タ何してんの
[02:47:28.120] タクだろう
[02:47:29.920] がでこのそこにかの栄光が栄光ちゃんが
[02:47:33.920] あれ持ってくるんだよあのあの言ったら
[02:47:37.479] 反復して返す猿みたいなやつをだからその
[02:47:40.399] 猿に向かって言うのお何してんのたら猿が
[02:47:44.520] お何してんのていうのねそれを何回
[02:47:46.960] 繰り返してあの
[02:47:49.920] ジュニアがねあのあれを持ってくんのよ
[02:47:52.439] ハーモニカをハーモニカを黙って渡すのね
[02:47:56.240] そしてタ何してんのて言ってって吹くんだ
[02:47:59.600] よそしたらその猿がてあの1億ター高い音
[02:48:04.760] であれあそこめっちゃおもろかった
[02:48:09.040] なめっちゃみんな笑い我慢してんだよ
[02:48:12.359] みんな笑い我慢してそんなことするから
[02:48:14.359] みんな笑ってたあそこめっちゃ笑った俺も
[02:48:18.430] [音楽]
[02:48:24.000] あれシーズン何だったかなみんな笑ったら
[02:48:27.520] ダメなそう笑っダメなんだよそうそうそう
[02:48:29.680] あお
[02:48:30.760] 疲れゲ
[02:48:32.840] ですにゲームですニマケーム
[02:48:38.160] ですなんかラストっぽいかな
[02:48:45.320] [音楽]
[02:48:50.640] わかん
[02:48:52.120] ないにゃん
[02:48:54.359] 負けでもなんかBGMかっこいいから多分
[02:48:57.520] てかかった方がいいよBGMかっこいいっ
[02:49:00.880] てことはさそういうことじゃないの
[02:49:03.880] あラストクリアできるとは言って
[02:49:08.920] ないえこれどっから行くのこれなんか道
[02:49:12.439] なくない最初からかっこよかったよ
[02:49:15.359] 思い出して熱いんだよでもここ
[02:49:20.670] [音楽]
[02:49:23.319] しょうもない臭いな
[02:49:25.460] [音楽]
[02:49:29.520] お前確かに熱い何か買うブラックライで
[02:49:35.239] それもねその話したのよもう俺俺その話
[02:49:38.680] そちで終わったお前ら何買うんだよなん俺
[02:49:42.040] さだから1番番良くない買い方しようとし
[02:49:45.520] てる
[02:49:50.279] なんかえ安くなんの女
[02:49:53.800] もやめよなんか本当に良くないそういう
[02:49:56.399] 言い方俺が悪もやそういう言い方はろく
[02:50:01.520] なるよ安くなんのマジかおじゃんじゃかだ
[02:50:06.080] ね大りバカ野郎バカ
[02:50:09.960] 野郎大り
[02:50:12.860] [音楽]
[02:50:15.160] だあだめだ行けない
[02:50:19.560] はいて
[02:50:24.000] それ心
[02:50:27.520] はを
[02:50:29.880] [音楽]
[02:50:32.680] 種種じゃねえごめん羽馬な種馬じゃねえや
[02:50:36.239] 引っ張られた女に種馬のようにだ
[02:50:44.200] 種ライダーやあるよ種ライダーて歌本に本
[02:50:49.680] にあるんだよ種ライダーのに種馬は
[02:50:52.120] ちゃんとだめたけ種馬ライダーって曲ある
[02:50:55.479] から
[02:50:58.490] [音楽]
[02:51:02.359] ねあここかここ
[02:51:08.120] かこれだ
[02:51:21.920] 心はマイクアームが欲しい何何配信で
[02:51:25.920] 始めるののマイクアームいくらした
[02:51:29.439] のこれねこのいやそんなに高いもんじゃ
[02:51:32.359] ないわかんないいくらだったかな覚えて
[02:51:34.680] ないそんなめちゃめちゃいいやつじゃない
[02:51:37.120] よマイクアームでもいいやつは高いからね
[02:51:48.680] 1800円そんなしてない多分何千じゃ
[02:51:51.000] ない
[02:51:52.260] [音楽]
[02:51:55.880] 多分なんでなんでマイクアブな必要なの
[02:51:58.720] なん配信する
[02:52:00.630] [音楽]
[02:52:11.000] のマイクラムにタバコさしてゲームし
[02:52:14.479] ながらどう
[02:52:16.930] [音楽]
[02:52:18.680] 上の思考性マイク使ってんだけどね
[02:52:21.640] キーボードつとどんどん響村じゃんお
[02:52:25.520] おめえそんなあれ
[02:52:31.479] なお友達とゲームしてるあそういうこと
[02:52:35.840] ねお友達ゲームすんのにってことかてか
[02:52:40.359] ここむず
[02:52:42.560] ねああえあえあこれ全回復なんの
[02:52:49.640] 使うタイミング絶対間違ってる
[02:52:51.250] [音楽]
[02:52:56.520] じゃんマイク買ったえなんか買う俺もいや
[02:53:00.520] でも俺なんか普通にそんな買うそんなのっ
[02:53:02.439] て言っちゃったそんなのじゃない
[02:53:05.330] [音楽]
[02:53:08.760] よっただ普通にィインターの
[02:53:18.760] デビューしたの
[02:53:22.080] へえいい
[02:53:26.560] [音楽]
[02:53:30.040] ね機材回り
[02:53:32.560] 今
[02:53:34.080] カメラおいちゃいい
[02:53:37.000] なウェブカメラって今何どんくらいするの
[02:53:39.920] 高い
[02:53:45.479] やつだから今日からまたたよだからじゃ
[02:53:50.479] ないだろそれ関係なく仕事はし
[02:53:53.560] なさい
[02:53:54.580] [音楽]
[02:54:00.000] えい仕事なんてしたくないしたくないよ誰
[02:54:03.439] だっ
[02:54:04.160] てでもなしせなかんねん
[02:54:08.080] ねしない
[02:54:15.279] 仕方な2万
[02:54:18.520] 本当に本当に妥協したくないんだったら
[02:54:22.279] zv買っちゃった方がいいと思う俺はもう
[02:54:24.960] ちょっと出してちょっとじゃないけど
[02:54:26.399] イベントもあるしあまあままままま
[02:54:29.680] そうそうそうそうか
[02:54:32.000] [音楽]
[02:54:34.000] あお前なんで無限に認してないんす
[02:54:38.720] かよしよしよしよししてないわ
[02:54:44.350] [音楽]
[02:54:48.560] 知ってます
[02:54:49.880] か2周目あるとかない許レベルアップ気に
[02:54:54.600] なる
[02:54:55.359] な闇の力4個めちゃめちゃくれる
[02:54:58.880] じゃんお前はラスボスボス赤い炎よよくぞ
[02:55:04.640] ここまで来たお前の力はわしが一番よく
[02:55:07.560] 知っておるどうだわしの部下にならんか
[02:55:10.439] お前がわしの部下になればこのおいおい
[02:55:12.640] ドラクエ1じゃないかこれドラおいそれっ
[02:55:15.319] てよドラクエ1のネタじゃんか
[02:55:20.960] まこれいい選ぶと終わっちゃうんですけど
[02:55:22.920] ね初見さんえこれね入ってやったら絶対
[02:55:26.800] 終わるよねはいごめ1回ここさここさ
[02:55:30.800] くださいこれさ1回セーブしていごめここ
[02:55:33.000] だけちょっと回見たくないどうなるかあの
[02:55:35.279] 配下になったら多分終わると思うけどこれ
[02:55:37.319] はちょっと許して痛いおおそうかよく言っ
[02:55:41.120] たぞさあこちらへ来いバカめお前の力を
[02:55:43.960] 吸い取ってやったわ何それ終わらないで
[02:55:46.160] ほしいあえ
[02:55:52.920] あれこれあれ
[02:55:57.080] だなるほどねなるほどいやよくわかんない
[02:56:01.720] あ
[02:56:03.880] え
[02:56:06.560] えんだったんだんだったのこれこんな
[02:56:13.080] 芸ではまたしてもわの邪魔をするつもりか
[02:56:16.120] だが最後に笑うのはわだ
[02:56:19.560] セピスパゾねなんかいいのがあれ
[02:56:23.960] ばこれまたあれなんじゃない魔これ
[02:56:28.800] だろ出たよまたそれかよ
[02:56:32.399] お前そればっかやんえわそれこの
[02:56:37.200] 技どこどこやねんそこ今度はどこに攻撃
[02:56:41.520] すればいいのこれどこどこに攻撃すんの
[02:56:45.200] これ
[02:56:46.610] [音楽]
[02:56:53.640] えどこに攻撃すんだ
[02:56:55.840] これこれどこに攻撃すんの
[02:56:59.300] [音楽]
[02:57:02.520] 今度
[02:57:07.870] [音楽]
[02:57:15.040] えた
[02:57:19.220] [音楽]
[02:57:23.680] えどこに攻撃すんだ
[02:57:25.330] [音楽]
[02:57:39.279] これえどこに攻撃すんです
[02:57:43.200] か多分頭なんだろうけどこんな手上げられ
[02:57:46.080] てたらさ
[02:57:53.720] [音楽]
[02:58:07.880] JAN
[02:58:10.470] [音楽]
[02:58:20.680] 腕下がるんかな
[02:58:22.410] [音楽]
[02:58:32.120] これ腕さがんないじゃん
[02:58:34.140] [音楽]
[02:58:44.000] 全然え何これどこ攻撃すんねん
[02:58:51.360] [音楽]
[02:58:56.600] 今のかまさか今のかいなかなかシビアだね
[02:59:00.760] 今の今ん
[02:59:04.319] とこ今ん
[02:59:06.380] [音楽]
[02:59:14.880] とこここ
[02:59:17.040] だあでもしかもこれ消せるんだあえもう
[02:59:19.680] これ簡単じゃんえ勝った
[02:59:23.200] わばやばい
[02:59:26.060] [音楽]
[02:59:53.160] で下げ
[02:59:56.810] [音楽]
[02:59:59.920] てやたんな一瞬すぎるだろう
[03:00:06.750] [音楽]
[03:00:20.080] 全然手下げないこの
[03:00:22.000] 人腕痛なる
[03:00:24.790] [音楽]
[03:00:26.040] やろむず当てんのむい
[03:00:29.920] の気持ちいいとこ探すかここ
[03:00:32.400] [音楽]
[03:00:35.520] かずだめだ当たるこれ
[03:00:42.359] に鍛えてんだ
[03:00:46.920] なめっちゃ上げたまんまや
[03:00:53.120] でいや定があたりしすや
[03:00:59.110] [音楽]
[03:01:07.120] それよしよしえ今どうった今った当たった
[03:01:12.820] [音楽]
[03:01:30.880] よしよしよしよし当たった当たったよし
[03:01:32.439] よし
[03:01:36.120] よしいかり近くであれか
[03:01:38.540] [音楽]
[03:01:41.160] なしでかくしてくれびく腕もうちょっと
[03:01:44.880] 下げてよ
[03:01:48.880] [音楽]
[03:02:04.560] 何この地味な
[03:02:08.460] [音楽]
[03:02:11.319] ボスやボケットしたボケットしてた今今今
[03:02:14.640] 腕下がってたやべえややボケットしてる
[03:02:17.319] あまりに緊張感が出さ
[03:02:22.200] [音楽]
[03:02:24.880] すぎる
[03:02:26.640] ああ
[03:02:28.560] [音楽]
[03:02:32.120] うってたら
[03:02:35.520] わ言ってくれ下がったらおい今下がってん
[03:02:40.470] [音楽]
[03:02:45.920] ぞって遅い
[03:02:48.380] [音楽]
[03:03:07.040] 上がってんの下がってんの
[03:03:13.250] [音楽]
[03:03:21.600] 下がっ
[03:03:22.890] [音楽]
[03:03:30.200] たえーこれマジこれ
[03:03:38.780] [音楽]
[03:03:59.000] やばいやばい
[03:04:00.130] [音楽]
[03:04:05.600] やばいこれ飛んでりゃいいんじゃないの
[03:04:08.080] 飛べるんだし俺
[03:04:11.680] 結局飛んで
[03:04:15.720] 待機あうまいういういいいぞいいぞいいぞ
[03:04:18.319] いいぞ今ので今のここで
[03:04:24.080] 待機戦や本当だよ
[03:04:32.560] [音楽]
[03:04:40.720] なああいいね入ん
[03:04:43.840] ね思ったよりもうちょっと気持ち高めで
[03:04:47.000] 待たないと
[03:04:48.880] 回
[03:04:51.370] [音楽]
[03:05:01.760] か腕下げなさいって
[03:05:07.320] [音楽]
[03:05:36.439] え倒したあ倒したあ倒した
[03:05:39.390] [音楽]
[03:05:43.080] あえ終わりまさかねグググ
[03:05:47.060] [音楽]
[03:05:49.080] まさかまさかなぜだなぜ俺が2度でも倒さ
[03:05:52.520] れるレッドリバーこのままではすまさん
[03:05:55.680] わしは必ず蘇るそそしてお前を
[03:06:08.200] ぐわ
[03:06:11.040] グ終わり終わりそうあ終わりそうだな
[03:06:16.239] レッドアリーマーバザ
[03:06:19.399] 赤い炎
[03:06:21.319] 万歳兄貴やりましたね俺は信じてました
[03:06:25.880] よ伝説の赤がお前であったとはなしかし
[03:06:31.279] よくやってくれたレッドはリーマよお前は
[03:06:34.120] 魔界を救ったの
[03:06:36.640] だこれからもその力を魔界のために使って
[03:06:40.920] くれる
[03:06:42.000] か
[03:06:43.720] よとこでレーマよお前に地上を任せる今
[03:06:48.000] 魔界のためにって言ったのに魔界のため
[03:06:50.840] にって言ったのに地上を任せるになっ
[03:06:53.000] ちゃったじゃん人間どもこ地上を奪って
[03:06:57.000] 見せそうすれば地上はお前のもんだ行け
[03:07:00.560] レッドアリーマー
[03:07:02.760] よわあ終わっ
[03:07:06.239] たブレイガーが倒されると魔界のダーク
[03:07:11.239] ロードを封じていた力も消え去った
[03:07:15.840] パチパチパチ急にはったダークロードは
[03:07:20.120] すぐに凄まじい力を解放し破壊王の軍団を
[03:07:25.640] 後方なく決ったかこうして魔界は元の姿を
[03:07:32.840] 取り戻しエドアリーマーは伝説を継ぐもの
[03:07:37.920] としてそその名を魔界にとかせたのであっ
[03:07:43.439] ただ地上を任せるっていうことは多分これ
[03:07:47.160] は魔界村の1につがるわけだコース1の
[03:07:51.439] 地上に普通に座ってたのは多分これこうや
[03:07:54.120] て魔界の地上を任されたからってこなんだ
[03:07:56.279] 多分なそこに繋がるんだザエンドてねお
[03:08:01.279] 疲れ様でしたて
[03:08:03.279] ねここで1につがるんやね泣い
[03:08:08.479] たやら
[03:08:10.200] ないやらないやりますかやらないお
[03:08:19.000] ズンド
[03:08:21.010] [音楽]
[03:08:32.239] ドルファーズ
[03:08:33.960] も適当な名前
[03:08:36.479] デインそう
[03:08:38.800] かあいいたたこれは覚えてるわなん気持ち
[03:08:42.040] 悪い
[03:08:44.359] なんかザックリガー
[03:08:48.160] ガンズ合流ガみたいじゃベルギムいよのな
[03:08:51.720] あベルギムいよ来たこらベルギムいいよだ
[03:08:54.560] べ
[03:08:55.270] [音楽]
[03:08:58.200] これガンズ合流がルシフェルあルシファー
[03:09:02.319] だったんだ
[03:09:03.010] [音楽]
[03:09:10.720] これゲームボーイだから
[03:09:14.399] ねキングブレイガーあおもろかったん
[03:09:18.120] ちゃうえんちゃんレッドアリーマー
[03:09:21.040] なかなか良かったよ難しかったけど
[03:09:22.920] ちょっと
[03:09:27.239] おえレッドアリーマーなんでこかっこ
[03:09:32.880] よくビッグタワーモンスタービッグタワ
[03:09:35.920] ビッグタワーモンスターどこ行ったんだよ
[03:09:38.850] [音楽]
[03:09:43.040] なプレゼンテッドバイたガ
[03:09:47.640] カプコンだけなんかちょっとあのフォント
[03:09:51.279] が
[03:09:52.760] 違うプレゼントバイカプコン
[03:09:59.720] キャプコンうわわここでここでここで
[03:10:06.120] もう操作受けつけないタイプ
[03:10:09.040] だはいということでやってまいりました
[03:10:12.680] たった2パートですけどたった2パート
[03:10:15.200] ですけどであ切りくださいあのたった2
[03:10:18.880] パートですけどもやってまいりました
[03:10:20.720] こちらのね
[03:10:22.279] レリれったれったれったいいゲームだった
[03:10:26.399] ねこんくらいでいいよねこんくらいサクっ
[03:10:31.680] とできちゃうのがいいよねありがとうお
[03:10:33.520] めでありがとうこれなかなか良かったっす
[03:10:35.880] ね文句言いながらやるにはちょうどいいね
[03:10:41.560] 888はいそんな感じでいいゲームでした
[03:10:44.520] ねちょっと最後ちょっとあれだけどアった
[03:10:48.319] やるのこれ2ちょ2覗いていい2見て
[03:10:52.080] みようぜねウィザードリーやりてんだよな
[03:10:55.720] なんか今日さウィザードリーのこと調べて
[03:10:57.720] たらさめちゃめちゃ面白そうだなと思っ
[03:11:00.239] ちゃったウィザードリーやりたいレッド
[03:11:03.120] アリマち見てみていどんなもんなんやと
[03:11:07.120] どんなもんなのか見せえとボリューム良き
[03:11:10.279] ゲームボリューム良きゲームだった
[03:11:13.160] ね見せて
[03:11:15.600] みろいいね
[03:11:18.319] ポケモンポケモンショックなるこれこれ
[03:11:20.359] ピカピカってポケモンショックなるこれ
[03:11:22.439] うわこれは良さそうポケモンショックなる
[03:11:24.880] こ炎の表現見て
[03:11:32.439] ください
[03:11:35.880] ショックはかな昔まだ人間界のできる以前
[03:11:39.840] の話である魔のエルトリアに
[03:11:43.040] レッドアリーマーという魔が住んでいた
[03:11:45.840] レッドアリーマー
[03:11:47.680] の戦士となる戦士の訓練所へと毎日通って
[03:11:51.120] いたこれなんかちょっと調べたんだけど
[03:11:52.800] これ1の前日らしいです前日たこっちのが
[03:11:56.600] 自系列的に前らしいそんなある
[03:12:00.880] 日よく来たレッドアリマよここに魔の戦士
[03:12:05.439] の印死神の爪があるああったなそんなな
[03:12:09.640] お前が1年前の戦士だったらこれお前に
[03:12:12.680] やろうさあ今日も戦士の訓練所に行くが
[03:12:15.680] 良い
[03:12:17.279] あ
[03:12:18.439] 可愛い悪魔の割に訓練所毎日行くて勤
[03:12:22.279] すぎる勤なんよ悪魔もちゃんと勤勉なあ
[03:12:25.319] いいな良くなってるねめちゃくちゃカラー
[03:12:28.800] になってるそりそうよだってファミコンだ
[03:12:31.600] もんこれ服ファミコン近の変なやつが
[03:12:35.479] うろついてるえっとあよ1日も早く1前の
[03:12:37.760] 戦士となるの
[03:12:43.680] だおになると言ってんのか無理だほらま
[03:12:48.720] ちょっとワンの時はさレッドアリーマーは
[03:12:51.479] さちょっと認められてた存在だったけどさ
[03:12:53.560] なんかちょっと誰も相手にしてくんない
[03:12:56.560] なんだこのおぼろええないいねやっぱこの
[03:13:00.399] 味がある
[03:13:02.160] ね味がある
[03:13:05.479] ねちょっとどい
[03:13:11.840] てちょっとさあのステージやりたい
[03:13:14.439] ステージ
[03:13:18.279] カウンターがあでかすぎるだろこれ
[03:13:21.520] カウンター4mぐらいあるだろこれおい遠
[03:13:24.960] すぎるだろこれカウンターが笑笑話しかけ
[03:13:28.040] らんねえしこっちカウンター越しで
[03:13:31.080] 話しかけらんねえのかよここレンジャ右の
[03:13:34.160] 部屋から行ける
[03:13:35.560] ぜこどんだけ高すぎるだろ壁だよ
[03:13:41.270] [音楽]
[03:13:42.600] 壁来たじゃないももだ
[03:13:50.720] キモキモキモありどもも
[03:13:54.200] ありおおいいねありちゃまども気持ちあな
[03:13:59.200] ちゃまども気持ちあり
[03:14:00.840] [音楽]
[03:14:02.120] いおいいぞいい
[03:14:07.120] ぞ悪く
[03:14:09.439] ねえ悪くねえ
[03:14:12.040] ぞさ1不思議な踊り不思議な踊り不思議な
[03:14:17.680] 踊初見初見
[03:14:21.880] 初見あBGMもちょっと初代っぽい無事
[03:14:25.800] だったかドリマ黒い光が突然早く王また
[03:14:29.920] またまた襲われてるんだよ急
[03:14:32.680] に気抜きすぎやねいっつも奇襲されてん
[03:14:35.800] じゃねえかよ
[03:14:40.960] ああああああすごいグラフィックが
[03:14:46.450] [音楽]
[03:14:57.000] おグラフィックいいねあね
[03:15:02.900] [音楽]
[03:15:12.080] お前ただなんかねゲームボーイに比べて
[03:15:14.800] 動きがすごいもっさりしてる
[03:15:18.600] ジャンプとかもなんかすもっさりしてん
[03:15:22.680] の
[03:15:24.279] ああ難しい
[03:15:27.180] [音楽]
[03:15:47.479] 見たことないゲーム屋がこれ今かなりレア
[03:15:50.399] えどうだろうどうなわかんないレアなんか
[03:15:55.680] な俺買った時そんな高くなかいや覚えて
[03:15:59.279] ねえないやこれファミコン
[03:16:01.600] [音楽]
[03:16:03.720] ファミコンレッドアリーマー2だよ
[03:16:06.040] レッドアリーマー
[03:16:07.600] 2だいぶ前に買ったゲームだからな値段
[03:16:10.520] もしかしたら上がってるかもわかんない
[03:16:11.960] けど
[03:16:13.530] [音楽]
[03:16:23.080] めちゃむずい
[03:16:24.720] わむずい
[03:16:27.720] なえどうしようこれえどうする連続でこれ
[03:16:32.279] やっ
[03:16:35.199] ちゃうお疲れおちゃも疲れもお
[03:16:40.880] 疲れ愛も変わらずレトロゲーマーちゃま
[03:16:43.600] ゲームですよ
[03:16:45.480] [音楽]
[03:16:59.479] ああどうしようかなこれ
[03:17:02.319] をこれをやる
[03:17:04.640] か違うゲーム違うゲームやろうかなどう
[03:17:08.479] しようか
[03:17:09.479] な2やっちゃうか
[03:17:12.460] [音楽]
[03:17:25.560] たおめでとう動画のライブ宣伝めちゃ
[03:17:28.840] 面白かっ
[03:17:29.960] た
[03:17:32.239] あキムのやつ
[03:17:34.680] ねあのめちゃめちゃ宣伝したやつ
[03:17:37.490] [笑い]
[03:17:38.920] でしょもう自分のイベントの宣伝しまくっ
[03:17:41.960] たわおめでとう動画のあよかったよかった
[03:17:45.080] よかった狙い通りですよかったいやそっち
[03:17:47.600] で転んでくれてよかったよいやこいねあの
[03:17:51.199] キム木村さんが誕生日だったでしょそれで
[03:17:53.720] なんか誕生日パーティーみたいのがあった
[03:17:56.239] んだけど俺行けなかったのよ次の仕事だっ
[03:17:58.479] たから都内だったから日曜日でさ行けなく
[03:18:02.160] て動画メッセージ行けない人はなんか短く
[03:18:05.359] 動画メッセージくださいみたいなやってて
[03:18:07.640] で動画メッセージ俺動画メッセージだけ
[03:18:09.199] 送ろうと思って1人10秒ぐらいで送って
[03:18:12.359] くださいって言ったの全然わかんなくて俺
[03:18:14.120] 1分半ぐらいの送ったのね
[03:18:17.120] みんな10秒ぐらいでキムおめでとうとか
[03:18:19.760] で終わってんのに俺だけどうもチャマ
[03:18:22.239] ゲームですみたいな感じで大御
[03:18:27.000] 所感1人だけめちゃめちゃ浮いてた
[03:18:30.279] なでめちゃめちゃでも良かったそあえて後
[03:18:34.359] で気づいたんだけどまあ多分笑いに変えて
[03:18:36.479] くれるだろうと思ってそのまんまその
[03:18:38.960] まんまめちゃめちゃあの12月の宣伝もし
[03:18:41.160] た
[03:18:44.800] しめちゃ無理備品やと1万2万人ほど説明
[03:18:50.800] 書ちゃんと読んでね1すんのこれ今
[03:18:53.120] めっちゃネタ上がってんじゃん高いこれ
[03:18:56.199] 高いじゃないむずいてむずいその持って
[03:18:59.760] ない持ってない持ってない俺は持ってない
[03:19:02.640] 持って
[03:19:07.680] なあーなるほどね2も面白そうではあるね
[03:19:13.439] やっぱね2も面白そうだえー
[03:19:18.840] どうしようか
[03:19:22.960] な久しぶりにちょっとちょっとちょっと
[03:19:25.359] 会いに行っていいか奴らに笑笑奴らに会い
[03:19:27.960] に行きたくね
[03:19:30.800] うんこの曲ないよあいい
[03:19:34.920] [音楽]
[03:19:43.880] [笑い]
[03:19:45.640] ねあ蘇るぜえた蘇る
[03:19:51.560] ぜブルポン助けてあげてよよよいいい
[03:19:56.070] [音楽]
[03:20:03.279] ねああいいねいいいいいいいい
[03:20:07.780] [音楽]
[03:20:11.399] いい来るぞ
[03:20:13.930] [音楽]
[03:20:14.170] [笑い]
[03:20:16.880] ああいいやに入るやに入る来
[03:20:20.840] た来た来た来たお前に開いてんだよ俺はに
[03:20:24.920] 会いたかったやたまに会いにこねとたまに
[03:20:28.800] は
[03:20:31.040] ないやどうしよう次次どう
[03:20:36.479] する次どうしようか
[03:20:40.800] なア2長くなりそうな感じすんだよね
[03:20:44.479] ゲーボは終わったけどファミコンだから
[03:20:47.120] もう結構長くなってると思うからそうだ
[03:20:51.359] ねいやドラクエもやりてんだよ普通に
