[00:00:04.560] G
[02:05:27.280] アドバイスをしてくれ
[02:05:29.639] ながら
[02:05:31.679] やし迷惑でした
[02:05:34.360] かねこんばんはですこないのデート
[02:05:37.079] ありがとうございましたでもやっぱり
[02:05:38.159] 女の子と連れてとのはだめですよねせっ
[02:05:40.119] ちゃんを連れて行ったことは皆さんに
[02:05:41.320] 申し訳ないと思ってます今更ですが次の駅
[02:05:43.800] にはぜその2人で行くのもいいかもしれ
[02:05:45.400] ませんねまたお待ちしてますそれではおみ
[02:05:47.679] なさい
[02:05:49.360] チェリーは連れてこないでねいやいや
[02:05:51.840] いやいや僕も感謝してるんですせっちゃん
[02:05:55.079] にはせねに
[02:05:56.840] はミッドナイト
[02:05:59.199] マほら個メール来てんじゃん先日はお店の
[02:06:04.520] 後お付き合いしてくださってありがとう
[02:06:05.840] ございましたあな何事もなくお帰りになら
[02:06:07.639] れましたか私は楽しかったから少し走れて
[02:06:09.800] しまい駅から家までスキップして帰りまし
[02:06:11.440] た汗汗えーそしたらたまたま近所の人に見
[02:06:14.280] られてしまってすごく恥ずかしい思いをし
[02:06:15.719] ましたご家族家族にこの話が伝わったら私
[02:06:18.360] は大笑いしてしまいますされてしまいます
[02:06:20.000] では私はこの後録画映画を見て寝ようと
[02:06:22.360] 思いますのでハートおやすみなさいれん
[02:06:23.920] さん
[02:06:25.440] チェリー汗汗
[02:06:27.639] 冷や汗ちょっと待っ
[02:06:32.840] て駅から家までスキップ15km汗汗そう
[02:06:38.520] 言ってもらうと心が驚かのせっちゃんに
[02:06:40.159] つめておきますね連さにだったらいお店の
[02:06:42.520] 色々な女の子で紹介してもいいかもと思い
[02:06:44.159] ます面白い人なのででもやっぱり次は2人
[02:06:46.400] だけで行きましょういいですねいいですね
[02:06:49.559] さバイトしねえと次行けねえからなバイト
[02:06:52.360] でも
[02:06:52.700] [音楽]
[02:06:58.280] しようあのボトル入ってから次大丈夫次は
[02:07:01.280] 大丈夫だ次はあのボトル入ってるからま
[02:07:03.719] あの金かかんない
[02:07:05.760] からいや買物行きてえ
[02:07:10.320] な11月のお休みが分かれば2週間バイト
[02:07:13.880] ぶち込んでもいいかもね甘が休みの日を
[02:07:17.000] 見越し
[02:07:18.440] て2週間バイトぶち込んで10万ぐら入れ
[02:07:22.440] ちょっと余裕持たせてもいいかもあでも
[02:07:24.320] 違う女行きたい
[02:07:25.920] ななおにも久しぶりに会いてえな
[02:07:29.119] いらっしゃいませようこそドリームクラブ
[02:07:31.840] へ今日はコスプレ
[02:07:34.520] です何今日のコスプレはけさん今日の
[02:07:37.199] コスプレについて教えて本日のコスプレは
[02:07:39.639] 体操服になっております懐かしく
[02:07:42.960] 甘酸っぱい思い出を楽しんでいただければ
[02:07:45.320] と思いますブルマてやつかブルマてやつ
[02:07:48.520] 一緒に過ごす女の子を指名してください
[02:07:52.119] まあねちゃんだよなご指名はあねさんです
[02:07:55.400] ねはい受付りました受付が買わそうなんよ
[02:07:59.520] こちらへどうぞ受ちゃん可愛いんだ
[02:08:02.320] よでもこれなんかうん他の人間のこと
[02:08:06.599] 見下してるからあの子
[02:08:10.119] は客のことをゴミだと思ってるからなこの
[02:08:13.880] 豚ともかってそれもいいそこも
[02:08:19.079] 最高あね
[02:08:22.159] いつもこめ本当にありがとうございます私
[02:08:27.800] 今日はとっても楽しみだっったんですよ
[02:08:30.079] ブルマじゃないこれあボトルが残ってい
[02:08:33.320] ますねえブルマって見たことあるみ
[02:08:39.679] 父俺ブルマってなどういうもののことか
[02:08:42.920] わかんないん
[02:08:43.450] [音楽]
[02:08:45.559] だ今ブありがとうございます俺の俺が子供
[02:08:49.760] の時からないよ見たことないも
[02:08:52.679] あなたのボトルをご一緒してもよろしく俺
[02:08:55.960] のボトルご一緒だめ冷初期には絶お前は
[02:08:59.400] マグマだあやっぱそうなんだなんでエロい
[02:09:02.679] から今日はおいしいお酒になりそうです
[02:09:05.159] エロいからってこそんな男子の性的なんと
[02:09:08.960] かを煽るみたいなうじがダメみたいなさア
[02:09:12.320] 世代までじゃないかなおらえ本当にそう
[02:09:15.559] いう理由なのにしてもブルマとはなかなか
[02:09:18.320] 男心をくぐるコスプレだね喜んでて嬉しい
[02:09:22.239] です
[02:09:23.079] プルマでもあんまりなんでなんでなんで
[02:09:27.559] このプルマ姿ってやはり恥ずかしいですか
[02:09:31.599] 恥ずかしくないよなで言われてもそれは
[02:09:33.760] 無理ってものだよあねちゃんだてその健康
[02:09:36.199] 的な太を見せられたら誰だって釘付けに
[02:09:39.079] なっちゃうからねだからもうあんまり見
[02:09:43.159] ないでくださいいや見るやろ見るために
[02:09:45.040] お前ハときてあそういえば人に見られると
[02:09:47.280] 意識して体が引き締まるって聞いたよな
[02:09:49.920] へえそれ
[02:09:52.000] 本当ですか俺もじゃ裸上半身裸でやろだと
[02:09:55.599] すると見たことないものも特にあそれは
[02:10:00.679] 難しい質問だね自分より自分が生まれる前
[02:10:05.000] のものを懐かしむ風潮みたいなことだよね
[02:10:07.040] 要はね俺なんかファミコンなんかやった
[02:10:10.079] ことないのにファミコンいいなレトロで
[02:10:12.639] いいなみたいな半身の次は上半身かよ
[02:10:15.840] なんかピンとこない気するまあでも確か
[02:10:19.520] ただエロいからっていう目でしか見てない
[02:10:22.440] わ正直今ここはだ別なかブルマって見た
[02:10:25.559] ことないからね確かに分かりましたでは私
[02:10:29.520] の太もも思う存分ご覧くださいいいんです
[02:10:33.440] かじゃ思うついでについでに顔をうめても
[02:10:37.079] いいです
[02:10:38.119] かエロい目でしか見てない発言大丈夫
[02:10:42.239] そやはり恥ずかしいです見るついでに
[02:10:45.639] ちょっとそんなに見ないでくださいなんで
[02:10:51.719] になるちゃんもやっぱり可いなどれどれ見
[02:10:54.559] させてもらじゃ
[02:10:56.280] ないいやいやいやいや顔なのいやいや
[02:11:00.040] めっちゃ
[02:11:01.920] 楽しんちょちょちょっとちょっといや椅子
[02:11:05.800] に座るの
[02:11:07.000] 朝椅子に座るの朝このタイプの椅子
[02:11:11.000] ツルツルしてるからぎゅってブリてあの
[02:11:13.719] 滑っちゃうない大丈夫気分がいいからでし
[02:11:17.159] にの浅くないてくさいはいはい
[02:11:21.800] せっちゃんと行ってきましどこどこどこ
[02:11:23.719] どこどこどこもちろん出た心霊スポットめ
[02:11:28.079] ですたまたまお休みが重なったので気に
[02:11:31.960] なっていた場所を見てきたんですなるほど
[02:11:34.079] ねここから少しいった道沿の屋なのです
[02:11:39.880] が国道沿いの屋けちゃんハウスじゃねえか
[02:11:44.000] それチンハウスってのあんだよあの栃木に
[02:11:48.119] も霊スポット普通のアティがボロい家なん
[02:11:52.280] だけどけんちゃんっていう頭おかしいやつ
[02:11:54.559] がいてなんか家族全員ぶっ殺しちゃった
[02:11:57.280] みたいななんかなんかそ本当かとかしん
[02:11:59.719] ないけどねそういうのがあった家なのか何
[02:12:02.079] なのかみたいな覚えてないわかんないんだ
[02:12:03.800] けどそこに行くとなんか実またけんちゃん
[02:12:06.520] が住んでてなんか殺されるみたいなけ
[02:12:09.599] ちゃんハウスじゃないちげえ宇都宮のあの
[02:12:12.559] けチンハウスじゃないのなんだ国造じゃ
[02:12:15.159] 騒がしく雰囲気なさそうだけどそんなこと
[02:12:17.320] はありませんよもチハウスじゃん帰って
[02:12:19.960] そこだけ沈まりってチャンハウスじゃねえ
[02:12:22.599] かなそれ表から見ただけでも背筋がゾクっ
[02:12:26.679] とするほどですけチャンハウスだよそれ
[02:12:29.360] 一緒にいたせせっちゃんハウスかも最初は
[02:12:32.679] 全然平気そうだったのですがああでもふに
[02:12:37.760] 人や車の往来がぴたりと止んでおそれから
[02:12:42.679] 古い木の扉が岸音を立てた瞬間ぎっとちゃ
[02:12:47.719] ハウスだ私についてきたんです
[02:12:51.480] には私も思わず悲鳴が出てしまいまし
[02:12:55.239] たでもそれが楽しかったんだねはい今度は
[02:12:59.480] ぜひ他の女の子たちと一緒に行ってみたい
[02:13:04.079] ですえあねちゃんよっぽど心霊スポット
[02:13:07.719] 巡りが好きなんだろうなそんなデートも
[02:13:09.679] あんのか
[02:13:13.880] などんな携帯使ってのお金を拾ったギャ
[02:13:17.280] うわどれも聞きてえなどれも聞きてえなん
[02:13:21.400] 使ってるのあの昔のベッキーみたいなあの
[02:13:25.719] ガラ系に死ぬほどキーホルダーつけたらや
[02:13:27.880] だなガチガチのか5050って感じのお話
[02:13:32.119] だったね確かに確かに確かに月本当せちゃ
[02:13:36.280] と長いんだなこれどれも聞きてえ
[02:13:41.599] な携帯この頃ガケだもんねお金を拾ったら
[02:13:45.840] ギャンブルギャンブルいやどんな携帯を
[02:13:49.360] 使って聞いていいちょっとちょっと聞き
[02:13:50.880] たい
[02:13:51.920] そういえばちゃんどんな携帯使ってんの
[02:13:53.719] 携帯電話です
[02:13:55.320] かあの普通のですフーマかフォーマ電話が
[02:14:00.800] かけられてメールもできてあはあとカメラ
[02:14:05.840] もついてます写メあの未だにさ写メって
[02:14:10.800] 言っちゃうのっておじさんP懐かしいPP
[02:14:15.719] 502さん
[02:14:17.480] こんばんは夏もう全然名覚えてないわ俺も
[02:14:21.520] なんかスライとさパカパカであの画面が
[02:14:25.119] 回るやつパカパカで画面が回ってテレビと
[02:14:29.920] か見れるやつあれなんて名前だったかなS
[02:14:34.760] えS502Cみたいな違うかな覚えて
[02:14:40.239] ねえ覚えてない
[02:14:43.119] わできたらメーカーとか騎士とか教えて
[02:14:45.920] くれると未だに写メって言っちゃう
[02:14:47.840] 巻き戻しみたいなのは古いのかなって思っ
[02:14:51.119] 巻き戻して古いのかそっ
[02:14:53.280] かsoえわかんないその機種名言ってくん
[02:14:56.639] ないとわかんないSsoアコーだしだから
[02:15:01.639] 早しあ早しなんだ今巻き戻してのはもう
[02:15:07.320] ビデオなVHSの話かメカ何を巻くの
[02:15:11.599] プラタですテープだよな
[02:15:14.440] プラタ
[02:15:16.960] フレッシュ唐揚げインラル
[02:15:21.400] アヨグオフジェフちゃまテープの話だから
[02:15:25.800] ねあ唐揚げセンキューforカミン
[02:15:28.239] センキュービッツありがとうありがとう
[02:15:30.280] 100ビッツ
[02:15:31.840] センキューえ巻き戻しチャンネル回してと
[02:15:35.079] か言っちゃうのもあれあチャンネルはこ
[02:15:37.760] このこの回すだもんねでも通じるな
[02:15:41.280] チャンネル回すは通じるわ通じる通じる
[02:15:45.480] 言っちゃうわ未だ
[02:15:47.280] に値段は分かりませんドラマに買って
[02:15:51.639] もらったものですかどこいつ実家金持ち
[02:15:54.239] じゃんすごいねさすがお嬢様あやべ
[02:15:58.559] 酔っ払う前に時間がちゃった延長延長
[02:16:02.920] ありがとうございます嬉しいですだろでは
[02:16:07.079] もう少しゆっくりなさっていってください
[02:16:09.480] はいよあいよちょっとおめえ酔っ払って
[02:16:13.000] くんねとよetsなの
[02:16:14.580] [音楽]
[02:16:15.760] ets血液
[02:16:20.330] [音楽]
[02:16:23.000] 何血液型はってだいぶ通なんで手出しが
[02:16:27.119] 完全なのにごめんごめんったいいや
[02:16:31.920] ちょっと見今血液型調べるの基本禁止だ
[02:16:35.280] から巻き戻しや早送り
[02:16:37.719] カセットルがあるのでこの言い方まだ絶滅
[02:16:41.760] はれてますね血液調べんの基本禁止ってん
[02:16:45.719] でえ今血液型調べない
[02:16:49.519] のなるから本当に必要な時以外は採決で
[02:16:54.120] ない
[02:16:55.960] ははあほうえじゃ何今の子供たちは自分の
[02:17:01.120] 決方知らない
[02:17:02.760] のマジでカセットテープのリバイバルあ
[02:17:06.800] カセットテープのリバイバル最近すごいね
[02:17:09.080] レコードもそうだけどって聞かれても知ら
[02:17:12.080] ないよって帰ってえだっそれってさやばい
[02:17:14.200] じゃん裕の知らんのかえ裕裕のさやばく
[02:17:18.200] ないなんかバーチ出てん
[02:17:21.359] えわかんないてわじゃん生た時に病院で
[02:17:24.479] 判明するんじゃないえこないだ息子の血液
[02:17:27.960] 型普通に調べられたんだが慈悲やだ病院で
[02:17:32.639] だからもう生まれた時にあれしてんのか
[02:17:37.080] ほちなみにゴリラハビー型しかないよる
[02:17:41.240] ところと断られるところある友の時に
[02:17:44.399] 初めて発覚するというパターン
[02:17:47.580] [音楽]
[02:17:48.679] 笑笑えじゃ今のはさB型の説明書とか読ま
[02:17:54.000] ないの一時期めっちゃ流行ったやつB型の
[02:17:57.639] 説明書生も知らない子いたマジでB型の
[02:18:01.760] 説明書とかA型の説明書みたいな方流行ん
[02:18:04.000] なかったあれよく読んだらさどこにでも誰
[02:18:07.000] にでもあれ当てはまるようなこと書いて
[02:18:08.519] あるだけで全然何もすごくねえんだよだ
[02:18:11.200] からあれ読んであ当たってるとか言ってる
[02:18:13.200] やつバカだからあれ全員にも当てはまる
[02:18:15.240] ようなことをなんか適当に書いてあるだけ
[02:18:16.800] だ大体誰でもそうだろっていうことにお願
[02:18:20.120] したら100円で調べますよにオだっ
[02:18:24.599] た占そうそう占てそうもんだな1100円
[02:18:28.960] って何々なんだろうな医療ミスとかのを
[02:18:32.519] 見込みを防ぐためにの
[02:18:35.120] にはいあれ呼んでるや全員バナム効あれ
[02:18:39.280] 読んでる全員アレルギー査とのついでも
[02:18:41.760] 行けたり
[02:18:43.800] るあのかる見込み思い込み思い込みかなん
[02:18:49.519] だちゃん
[02:18:51.599] 私の方からの人や周りのがあれば血液検査
[02:18:56.200] 可能だし治療行為のついでに調べられるの
[02:18:59.160] で難度まで高いわでは
[02:19:03.120] ないetsの時にBGM変わったの気づい
[02:19:05.960] たそれこそでわかるよね血液
[02:19:11.479] そう全血液方買っ
[02:19:16.319] たああれ
[02:19:20.920] を捉えてるような
[02:19:25.519] 方自分の知りたくて血増えるひめた
[02:19:33.000] えっとごめん
[02:19:34.960] なさいいつも以上になんだよその名札に
[02:19:38.160] 名前書いてあげよっかそのそのなんか右胸
[02:19:40.840] の名前の名札書いてあげよっか可いです
[02:19:44.760] やばいよねこいつ
[02:19:46.559] ね俺とれの中のこのetsのBGMがさ
[02:19:50.840] 変わったんだよ親密になってきた
[02:19:53.120] からそうですバカみたいな音楽じゃ
[02:19:55.560] なくなった私たち子供達まお友達お友達ね
[02:20:01.040] そう友達として何でも相談に乗るよ相談
[02:20:04.080] じゃないんです
[02:20:06.560] ああでもある意味相談になるのかなんだ
[02:20:11.920] そのエモーショナルな一緒に遊びに行き
[02:20:16.120] ませんか
[02:20:18.240] [音楽]
[02:20:20.920] 決って
[02:20:23.720] だそれってデートのお誘いかなもちろん
[02:20:26.439] いい
[02:20:28.000] よデートっていうほど大げさなものじゃ
[02:20:31.520] ないんですけどうんうんうんでも2人で
[02:20:35.399] 出かけるんだから間違ってないでしょあ
[02:20:37.520] そうです
[02:20:38.680] ねデートですよねうん軽い気持ちでデート
[02:20:44.520] です可愛い言葉狩りの
[02:20:46.930] [笑い]
[02:20:49.640] 連りだから本当にマスコミだから
[02:20:53.240] えーあねちゃんの方から誘ってくれる
[02:20:55.560] なんて嬉しいなはい誘ってしまいました
[02:20:59.319] おいおいおいだってお友達ですからじゃあ
[02:21:02.920] もう指名料いらないよね友達なんだから
[02:21:05.680] さそうだねでどこ行か行きたいどこあるの
[02:21:08.800] 実はお店のレカさんにボーリング場の無料
[02:21:12.640] チケットをいただいたんですボーリング
[02:21:14.760] なんてできない
[02:21:17.399] よじゃあままでもいいでしょオオオオい
[02:21:22.080] いいいいせっちゃん連れてくんじゃねえぞ
[02:21:24.880] 私も楽しみにして
[02:21:27.680] ます
[02:21:29.479] よしじゃあカラオケ歌ってもらおうかな
[02:21:32.040] 今日はう頑張っていきます酔っ払い
[02:21:35.319] カラオケで元カノの曲歌せよでは久しぶり
[02:21:40.200] に歌ってきます行ってこい久しぶりに見
[02:21:44.120] てえわこの曲パラダイスこの曲好き
[02:21:49.520] や笑しかもこの
[02:21:52.800] ああいい運動いい運動体育はい
[02:21:57.800] はいこの曲が一ちゃい
[02:22:00.479] やそしら俺
[02:22:02.510] [音楽]
[02:22:04.160] うまいはいはいはい
[02:22:08.479] ヘあでもちょっと可愛いかもいやめっちゃ
[02:22:12.200] 可愛いって待て待って背中お待ってもう
[02:22:15.399] ゲームいいやゲームどうでもいい今待って
[02:22:17.680] 背中背中にはねって書いてないか
[02:22:23.399] 酔背中に書てあるどうやって見る
[02:22:26.560] これてかんねんだよ
[02:22:29.490] [音楽]
[02:22:40.000] こぼれちゃうんですけどのポって
[02:22:46.600] ねのってた
[02:22:51.319] かい今聞い
[02:22:56.399] たにのポいつやったんだよあらはみ出し
[02:23:00.479] ちゃう
[02:23:01.000] [音楽]
[02:23:10.479] ねそう違うよ酔っ払いこれはあれ酔っ払っ
[02:23:14.680] てるのカラオケだから全然回ってないんだ
[02:23:22.010] [音楽]
[02:23:22.820] [拍手]
[02:23:26.530] [音楽]
[02:23:30.520] くそ可愛いじゃね
[02:23:32.720] かこの曲いいな
[02:23:37.940] [音楽]
[02:23:49.440] [拍手]
[02:23:52.359] 甘
[02:23:53.720] ねクソ可愛いやここ数ヶ月の配信で1番
[02:23:59.040] テンションが高いシリーズになってる笑
[02:24:02.200] ちょっとやってみたやりなあのやりなマジ
[02:24:06.640] でおもろいからだただただこれやるんだっ
[02:24:08.439] たらプレステ4のなんとかなんとかあれに
[02:24:11.880] 入った方がいいなんとかあのやり放題の
[02:24:14.920] プランあんじゃんなんかゲームやり放題の
[02:24:16.760] プラン終わってからかなマジで面白いやっ
[02:24:19.960] てこらんこれいん女の子いるから
[02:24:22.330] [音楽]
[02:24:24.399] ねッマン
[02:24:26.960] さん回次の楽しみきましたくださいゲゲ
[02:24:33.960] パスゲそうそうそうやり
[02:24:37.120] プレステPSプ入ると月50000円
[02:24:40.359] ぐらいで背から藤の見せろそんなに言うん
[02:24:44.240] だったらほんムのボ取っ
[02:24:46.680] さ俺しか見れねえ
[02:24:48.800] や待て待て背中お待ってもうゲームいいや
[02:24:52.000] ゲームどうでもいい今待って背中背中に
[02:24:55.359] はねって書いてないか
[02:24:57.680] 背ああ酔っ払ったやったわムトムトのボさ
[02:25:03.800] まだ知らないあなたに会いたくてやってた
[02:25:07.439] やってたよく見たらムドのポやってました
[02:25:11.240] なるほどね今日はすごく楽しかったです
[02:25:15.840] このボトルがあればまた来
[02:25:19.319] たくなくても来るあのこれプレステ3の
[02:25:21.960] ゲームなんですけどこれプレミアついてて
[02:25:23.399] 8000円ぐらいすんすよ今ね今顔すると
[02:25:25.760] ゲパスに位置するのがプスプラスという
[02:25:28.600] サービス今買おうとするとねプレミアつい
[02:25:30.680] ちゃってこと8000ぐらいするんですよ
[02:25:31.960] 高いんであのPSププラプラプスてプルス
[02:25:36.319] プレミアムああそうなんだだだとだとして
[02:25:39.640] も買うより安いっすだとしても買うより
[02:25:43.120] ずっと安いこれ買よ
[02:25:44.840] えそんなに人気お話したいことがあった
[02:25:49.120] ですゲームのプレミアていうのは人気が
[02:25:52.960] ないものほどプレミアつくんだよそれなん
[02:25:55.680] でかわかる全然売れてなかったいやこれ
[02:25:57.399] そこそこ売れたんだろうけどそこ隠れた
[02:25:59.800] 名作みたいのが高くなんのよやっぱり人気
[02:26:02.160] だとそんだけ売れてくるドラクエとかだっ
[02:26:03.640] たら高くなんないじゃん通量が少なそう
[02:26:05.720] 流通量が少ないからレアなのよだこんだけ
[02:26:08.800] 面白いじゃんだからやっぱこう動画とか見
[02:26:10.920] てみんなやりてえと思うと流通量少ない中
[02:26:13.160] からどんどんどんどん売れてちゃって
[02:26:14.479] どんどん高くなってくんだねそういう高い
[02:26:17.359] ゲームってのはね大人気なゲームじゃない
[02:26:19.080] んだよマリオFFなんてのはそんな高く
[02:26:22.680] なんないんだよめちゃくちゃ売れてるから
[02:26:24.560] どこにでも売ってるからねなんでこれやる
[02:26:27.439] んだったらそのゲパス入った方がい今だと
[02:26:29.279] 色々問題あって作れなさそうなゲームま
[02:26:32.160] そうだねそうだこれもね属性出せばいいん
[02:26:34.880] だけど
[02:26:37.240] ねそれなら私も同じですやるんだったら
[02:26:41.240] 原発入った方がいいやどうせ1ヶ月も配信
[02:26:43.040] すれば十分でしょそれで原発切れば
[02:26:46.600] 1000円なかそこら辺ででき間まで
[02:26:50.190] [音楽]
[02:26:52.439] そうなんだよDパブそうなんだ防衛地球
[02:26:56.120] 防衛軍はめちゃくちゃ流行ったからね
[02:26:57.960] めっちゃあの作ってるけど地球防衛軍って
[02:27:01.399] 同とこ出してんだこれ今日はおやすみ
[02:27:05.319] なさい
[02:27:07.080] 可愛いめちゃくちゃ可愛いこの子ああれの
[02:27:11.520] ドリームスいっぱいだなんなんだ一体
[02:27:14.040] ドリームスターてな集めるっていいこと
[02:27:17.080] あんのか
[02:27:18.480] [音楽]
[02:27:22.680] まこんくらいなって2万2万以下に抑え
[02:27:25.000] れるんだったらまいいでしょいつかちゃま
[02:27:27.520] くがききになったら最強のキャバゲ作ろ
[02:27:31.680] おおきてん
[02:27:34.399] だまままま言いたいことわるけど最高の
[02:27:38.680] キャバキャバクラ立てるよ俺俺が
[02:27:42.840] 立てる一生懸命尽くしますれですまたさん
[02:27:47.000] とおできるなんて嬉しいですもしかしてれ
[02:27:49.680] たらでととても心配したんですよ思い切っ
[02:27:52.760] て誘いしてよかったです楽しい1日になる
[02:27:55.279] ように私頑張りますからねネザも楽しみに
[02:27:58.040] してくださいそれとボーリングがうまく
[02:27:59.520] なくても笑わないでくださいねそれはお
[02:28:01.040] 約束の日に会いましょうあそっかデートか
[02:28:03.600] デートか今日はお金ある大丈夫
[02:28:05.800] はいデート行きましょう
[02:28:13.240] ネトおお冬服も可愛いね待って
[02:28:20.319] 冬服めっちゃ可愛いじゃん冬服めっちゃ
[02:28:24.000] 可愛く
[02:28:25.160] ないこれ可愛い
[02:28:28.439] わあちゃんごめ
[02:28:30.920] たかいね可愛いよねいえ私も今来たところ
[02:28:35.240] ですサンタ
[02:28:37.319] みたいサンタみたい可愛いよ
[02:28:40.760] ね
[02:28:43.120] て赤赤がこの子はなんて言だっけこういう
[02:28:46.920] のイベこれイベってやつこいつ言えべ
[02:28:51.880] サタンみたい
[02:28:54.479] 嘘全然面白い感じできなかったサタン
[02:28:57.760] みたいにていうボケに対して嘘の生地の硬
[02:29:00.359] さで揺れるのすごい
[02:29:02.040] なあそこだけ生地しあの先に申しやれます
[02:29:06.680] た嘘
[02:29:08.760] 私ボーリングってあんまり得意ではない
[02:29:11.880] です世界一
[02:29:14.240] 面白いご迷惑をおかけするかもしれません
[02:29:17.439] 迷惑とかないやろよろしくお願いいたし
[02:29:19.479] ますねボーイング下手だ
[02:29:22.840] からはいどうぞよろしくお願いいたします
[02:29:26.479] はいりしますなんだったら俺が手取り
[02:29:29.120] 足取り教えだけでもいいけどいや俺そんな
[02:29:30.800] 馬ないで
[02:29:35.200] もうおボーリングやりましたこれで
[02:29:40.000] ターキーですえさターキーって
[02:29:42.080] めちゃくちゃすごく
[02:29:44.279] ないそうだすごいよねターキーってすごい
[02:29:46.760] よねターキーって全部潰した時だよね全部
[02:29:50.279] 潰しあゆこんばんはゆこんばんはブル冬
[02:29:53.120] ってよりパステよりかなえブルベ冬あ
[02:29:58.359] わかんねんなこんなに調子がいいのは
[02:30:01.319] 初めてですブルベ冬ブルベとかイベの古と
[02:30:04.520] か冬とか春とかあんのボレカさんにコツを
[02:30:09.000] 聞いてきた会がありましレカちゃんねお店
[02:30:11.439] の
[02:30:12.120] ね俺にもそのコ教えてあなたの番ですよ
[02:30:20.160] このマかっこ悪いしなんとしてもここで
[02:30:21.840] 挽回するんだなんかごめんなんかやっ
[02:30:25.040] ちゃった頑張ってください
[02:30:28.200] [音楽]
[02:30:32.600] ねなんかやっちゃった笑笑なんかやっ
[02:30:35.600] ちゃった今そんな俺の気合いはあの残念
[02:30:40.960] でしたけれど気合いに感動しました気が
[02:30:44.479] 効く女の子だね本にすかったいや気が効く
[02:30:47.000] 女の子だ
[02:30:50.240] 気が効く女だ
[02:30:51.960] な絶対に百貨店いいじゃん百貨店行こうよ
[02:30:56.359] これ渋谷だな完全にこれ完全にあのもじの
[02:31:00.120] 看板まで再現したすごくないてかあのあの
[02:31:03.080] もじの看板ってこんな昔からあんの
[02:31:05.960] 2011年だけど未だにあるよなあのも
[02:31:09.600] じゃって書いてある
[02:31:11.560] 看板100パッシブや本当だねすごいよね
[02:31:15.800] それそこまで再してそんな昔からあるんだ
[02:31:19.960] じゃも
[02:31:22.479] じゃ得意じゃないなんて言ってすっかり
[02:31:24.680] 騙されちゃったよたまたまですよ自分でも
[02:31:28.359] 驚いていますあそんなの
[02:31:31.720] 誰どうかしましたか
[02:31:35.120] マキ何何何あれちゃんの背中に埃がついて
[02:31:39.000] いたような本当ですか
[02:31:42.560] あどこですか取れるか取ってあげる
[02:31:46.920] イベント来るこれあ俺が取ってあげるから
[02:31:49.120] さほいませんほい
[02:31:52.319] ほい背中以外を触ったら怒られるかな怒ら
[02:31:55.520] れるだろ
[02:31:57.399] そり
[02:31:59.720] あら下にも行けちゃうんですけど
[02:32:03.479] あれどこだ誇りえどこ誇りわかんない本当
[02:32:06.880] にえあこれ埃かこれあ埃かこれ埃かなこれ
[02:32:11.880] 埃りってあのこれ人類の誇りですかこれ
[02:32:15.880] がこの生まれてきてくれてありがとう君は
[02:32:19.040] 人の誇だよれてね笑笑人類の誇りですこれ
[02:32:23.319] がこれが人類の誇りだペシンって誇りの
[02:32:28.160] 感じ違う
[02:32:29.720] ねんこれが人類の誇だよペーン
[02:32:36.880] て熱いいいや誇りがあったからそこにいや
[02:32:41.479] 埃があったからそこ
[02:32:43.120] についではまされませんすいませんもう嫌
[02:32:48.040] でねすいませすいません
[02:32:51.319] 楽しいな最高のゲーム
[02:32:55.439] だ誇り笑笑誇り埃
[02:33:02.880] りってせっかく楽しいやごめんごめん
[02:33:06.680] ごめんごめんごめんてで誇誇りに誇りよに
[02:33:12.160] 思っていいよもうあんなことしないで
[02:33:14.600] くださいねごめ私帰り
[02:33:18.760] ますあの背中に誇りついてるよあちゃ
[02:33:22.840] ごめんごめんいえここで結構ですあちゃ
[02:33:26.120] ちゃそれでは失礼し俺え俺も背中に埃つい
[02:33:29.560] てるちゃっ
[02:33:30.800] た
[02:33:33.040] えなんでだめいやでもさでもでもでもいい
[02:33:37.560] じゃん1回助け1回怒らせちゃった違う
[02:33:40.560] 違う違う違う違うう違う1回怒らせちゃっ
[02:33:43.000] たかもしんないけどおじゃどっちがいいん
[02:33:45.080] だよお前1回怒らせたのと配信者として
[02:33:48.080] なかったのねう違れ
[02:33:50.840] それの代償としてお尻1回触れたじゃん
[02:33:54.479] そち方がでかくねえ
[02:33:56.279] か多分あれてじゃなくて顔埋めたレベル
[02:33:59.520] なんやろ
[02:34:01.319] な誇りだってそれ怒られるわなストライク
[02:34:07.560] ですこんばんはネです今日はどうも
[02:34:09.520] ありがとうございましたちょほらちゃ
[02:34:10.600] メール来てるじゃんメール来てるじゃ
[02:34:11.720] ちゃんと信頼できたらいくらでも
[02:34:14.840] かん誇だちゃんとできた
[02:34:20.560] 今日はどうもありがとうございました
[02:34:21.760] ボーリング本当楽かったですね
[02:34:24.120] の難しいなあれクリップレさんと一緒だっ
[02:34:28.359] たからでしょうかなんてちょっと迷惑です
[02:34:29.920] よねでもこんな私と遊んでくれていつも
[02:34:32.279] 感謝して
[02:34:33.479] ますそしていつもれんさんと距離がもっと
[02:34:37.439] レンさんと距離が縮まばいいのにですので
[02:34:40.000] またよろしくお願いしますそれでチェリ
[02:34:43.080] チェリーチェリーしてくるそういうところ
[02:34:46.080] が童貞やねんぞお前は言って
[02:34:48.640] てるあれ休みじゃねえかよこけあれ今日
[02:34:52.920] 休みじゃん違う女
[02:34:54.920] 行こうよし違う女行く公実ができた
[02:34:59.560] ぞしょうがないいやあね休みなんだもん
[02:35:02.080] だってあも金ねえな笑笑お金貯めて
