[00:01:00.879] ウイ
[01:18:05.600] あれ割と行けそうじゃない?
[01:18:09.280] 割と行けそうじゃない?
[01:18:14.320] こいつを誘導すればいいんだ。ここに。
[01:18:18.920] あれ?なんかなんかここも簡単か?
[01:18:42.239] おいおいおい
[01:18:43.600] おい簡単なんじゃねえの?ここも
[01:18:46.400] 発に即思い至るの素晴ら
[01:18:48.880] やはりな、やはりな素失があるチバゲームには危なんね。
[01:19:24.320] こっからっす。
[01:19:25.679] ま、こっからっすよね。多分ね、分かる。
[01:19:29.239] できないに24
[01:19:30.480] マかけた。パカセンスなさすぎだろ。
[01:19:35.040] 自分を攻めるなって。まあ、そんな自分を攻めるなよ。うら。ああ、届かない。あ、ギリ届くんやろな、あれな。あれギリ届くんやろな。
[01:19:46.120] 危な。
[01:19:49.400] うわ、むずい。これ
[01:20:16.159] 、さっきどこだっけ?
[01:20:19.199] こっちか。
[01:20:25.560] ここにツルハ持ってこなあかんってこと
[01:20:28.679] やんな。ここにツルハ持ってこなきゃいけ
[01:20:30.400] ねえんだよな。
[01:20:32.360] つ橋どっかあったよな。1個な。どこだっ
[01:20:34.040] たっけ?
[01:20:38.360] あれ?ツ橋なかったっけ?
[01:20:41.639] 足りない。
[01:20:49.840] あれ?待って。しかもこれ積んでね。
[01:20:53.719] ありありゃ、これ積んでませんか?
[01:20:58.040] わあ。ありゃ。カタブラツルコ
[01:21:00.679] 。
[01:21:02.320] おい、これずんどるやんけ。
[01:21:09.840] ギリか。ああ、積んでなかった。ごめん。
[01:21:11.239] 積んでなかった。うーん。ちょいてこだよ
[01:21:14.600] 。ちょいてこだよ。呪文さ。
[01:21:19.199] あら、
[01:21:23.120] 普通にミスったわ。
[01:21:25.719] あららかつるりん
[01:21:27.719] 。そうだよ。それ、それ
[01:21:31.159] 邪魔お前。
[01:21:47.400] ゴールのツハもありますね。
[01:21:50.480] そう。俺ゴール見てなかった。どうなってたここ?あかくそ。
[01:22:06.400] よしよし。
[01:22:08.159] くそ。ああ、そっか。ゴール。そうか。
[01:22:54.679] いや、どうだ?どうやってやってたっけな
[01:22:56.280] ?もう忘れちゃったよ。
[01:23:08.880] あれ、どうやってやってましたっけ?これもタイミング悪いよ。
[01:23:21.400] ナイス。草。
[01:23:24.360] こっちかなあ。いや、このツ橋は最後まで使わんかったから最初はドリルやねん。最初はドリルやねん。
[01:23:56.440] あれ最初どこに使ってたっけ?俺ドリル
[01:23:58.400] わかんなくなっちゃったな。適当にやって
[01:24:01.280] たから。
[01:24:09.080] ここまで覚えてんだよ。こいつ下ろしたの
[01:24:10.920] か。この後どうしましたっけね?
[01:24:16.800] ここ掘ったような気がするよ。
[01:24:21.520] うん。で、次ここ掘った気がすんだよな。
[01:24:26.400] うん。ここは取れるからね、結局ね。
[01:24:29.920] はいはいはい。
[01:24:37.159] ああ、ここはツハ必要やんな。
[01:24:44.000] え、これ拾わない。これ拾いたくない。
[01:25:05.760] うわあ、これは。ああ、これもう、これ当たり判定がもうドル馬避けれるんかい
[01:25:19.159] 笑笑うお。
[01:25:22.320] うますぎやろ。見た、今の。
[01:25:24.520] うま。
[01:25:26.080] 当たり判定を
[01:25:27.880] 当たり判定をア
[01:25:29.440] ション強
[01:25:30.360] がっちりとがりと避けた。
[01:25:39.239] ごっつり
[01:25:40.440] ごっつり避けたね。ただありゃあ、こりゃダめか。
[01:25:57.800] あれ?俺さっきなんであれ?あそこ
[01:26:03.679] あれ?これなん?なんで俺あそこ行けたん
[01:26:06.400] だろう?
[01:26:10.600] あの、あの石コが邪魔でさ、向こうから
[01:26:12.920] 行けなかったよね、今ね。ナイス。
[01:26:15.960] あれ
[01:26:18.960] なんやろね。なんでやろな。
[01:26:29.199] いっか。ちょっともう多分これ失敗だけど、ちょっとここ他の他のパターンやらせて。
[01:26:34.320] 真面目にやってきたからよ。
[01:26:37.960] ありがとう。チャズピが返してくれると思わなかった。
[01:26:41.560] ありさんマーク
[01:26:45.400] でもやっぱここドリルじゃねえとダめだよな。な、ここドリルじゃねえとダめだ。だめだ。
[01:26:51.760] こういう時はもう潔ぎよく潔ぎよく潔ぎよく
[01:27:01.239] 引っ越し者もいますと。
[01:27:02.960] 引っ越しありさんマークの引っ越しもいますと。
[01:27:44.360] ん?あれ?なんか俺
[01:28:04.639] なんかさっきとなんかなんか違うな。
[01:28:08.080] さっきとなんか違う。
[01:28:14.280] お前が下来なきゃ何もできないんだけど。な
[01:28:16.960] んちげ
[01:28:18.080] なんちげなんだけど。
[01:28:33.560] 来た。
[01:28:43.880] オッケー。オッケー。
[01:29:30.800] ん、うんと、
[01:29:39.480] これこいつあれか、ここの扉取っちゃおっ
[01:29:41.320] か。合ってるかわかんねえけど。
[01:29:44.960] あーん。んで取らずに。
[01:29:54.280] ああ。オッケー。オッケー。オッケー。
[01:29:59.600] いや、お前邪魔やって。
[01:30:03.199] あえてここで本当はこの下掘らなきゃいけ
[01:30:04.920] ないんだけど、これアイテムを持った状態
[01:30:07.400] で
[01:30:09.320] アイテムを持った状態でこっち行く。
[01:30:13.199] そしたらこの石をツハを拾わずに落ちる
[01:30:15.920] ことができると。はい。
[01:30:21.360] これここ
[01:30:32.400] 石を誘導するから
[01:31:12.400] よしよしよしよしよしよし。いいぜ。ここ
[01:31:17.040] いいね。熟行できて。
[01:31:26.239] この下来て。この金の玉取る。
[01:31:40.719] オ
[01:31:42.280] 背足でしたっけ?
[01:31:43.400] オケー。うますぎ。うますぎ。ほんであとはツハなんですよね。ツルハをどう使うか。これなんですよ。
[01:32:15.719] 危ないな、お前。
[01:32:38.239] あれ?こっちに来ちゃうともうダめ、これ。ああ、なんか積んだ。積んだかな、これ。ああ、こなあ、これなん、これダメなん?こっち来ちゃうともう何もできねえ。
[01:32:52.719] さっき同じ様子を見たよ。笑。
[01:32:55.400] そうですか。ここ来ちゃだめか。
[01:33:01.280] ここの扉を考えなきゃな。
[01:33:04.040] 1番端っこ列はダめだね。
[01:33:08.840] 積んだようで積んでないって。笑。
[01:33:13.560] え、積んでない。
[01:33:34.440] パクパク力1mエロンパン
[01:33:37.920] 可愛い可愛いや積んだでしょ。これは積んだよ。だって何もできないもん。
[01:33:58.040] え、これ積んだよね。
[01:34:02.239] パクパク高い
[01:34:03.480] 積んでここがルんルるル。ここを見落としてます。ここをラン見落としてる。心らん見落としてる。
[01:34:22.440] チッパチュストレトち1
[01:34:24.239] チッパチュストレトち2
[01:34:26.000] チッパチュストレトち3
[01:34:31.840] デブって声いいよね。
[01:34:35.520] あ、本当に?あ、いいんか?あれを、あれ拾えばいいんか。ただここはこれ取り行ったら早形だったかな。
[01:34:46.760] が楽器だから。
[01:34:48.840] どういうことだよ。体が楽器?
[01:34:52.880] ま、オペラ、オペラみんなデブだしな。
[01:34:56.639] これあとどこにああんだっけ?玉あと1個
[01:34:59.800] か。
[01:35:07.480] あの人たちマジで頑張って太るって聞いた
[01:35:10.440] 。やっぱ声のねが全然違うからね。
[01:35:16.960] いいよな。頑張って太るってなんだよ。
[01:35:19.000] 頑張って太るって。あ、太りたくなくても
[01:35:22.480] 太っちゃう人いるんですけど。その人たち
[01:35:24.800] のここと考えたことありますか?
[01:35:32.400] ほう。わお。
[01:35:37.400] ほんでこっから
[01:35:40.760] あいぶねえ
[01:35:44.679] 。
[01:35:45.960] 山君でも本当にだいぶ小さくなってしまった。
[01:35:49.600] でも最近ね、飲み会やら何やらでね、
[01:35:53.520] 2
[01:35:53.679] 週間近く土日はいつもなんか飲み食いしまくってるから危ねえ。
[01:35:57.679] ペよ。
[01:36:03.760] え、でも待って。えー、ま、うあ。
[01:36:10.199] おおおおおおおおおお
[01:36:18.639] ベラベクスグリってベラベ一じゃ父じゃ悲しいからのクリップ見返してる
[01:36:27.159] 笑笑
[01:36:27.719] 太ってたや今も太ってるだろ
[01:36:30.320] クそがかおいむずい
[01:36:36.679] よ。え、なんだ?え、なんだ?なんかおじ
[01:36:48.239] デブなんですか?
[01:36:49.239] デブだろうがどう考えても普通にわかんだろ。これ見てデブだろうがどう考えても
[01:36:57.560] もうあと少しなんだけどね。
[01:36:59.360] いや、マジでね。
[01:37:00.600] ちょうどいいギリギリの勝負になりそう。待って。
[01:37:11.880] 信じてるからな。いや、む
[01:37:15.080] 2
[01:37:15.280] 番やん。ぐんぐんぐんぐん。いや、これ扉の向きとかめっちゃ大事だよ。サイレントダイアンかっこいい。かっこいいじゃん。サイレントダイアンダイアンの潜在写真の裕介ね。
[01:37:44.320] ここ行っちゃうか。
[01:37:57.000] なんかさ、どっか間違えてんのかなって
[01:38:01.199] いう
[01:38:08.239] 間違えてんのかなっていう
[01:38:14.080] 気になってしまうよね、これ。
[01:38:28.280] どこで道を間違えてしまったのか
[01:38:30.719] ねえ。そんな気がする。
[01:38:39.239] こんばんは。
[01:38:41.840] あ、くらさん、こんばんは。ああ、やべ、ミスった。うー、ちょっと待って。いや、お、
[01:38:50.400] ダイアン静かだが抱かず親愛だ。軍
[01:38:53.480] だ。ダイアン静かだがかず親愛だ。はい。
[01:38:56.320] 逆から読んでもダイアン静かだ。高かず信頼だとは
[01:38:59.960] お
[01:39:01.960] 出ましたよ。本日の本日の開分の名解分
[01:39:08.040] 100点。120点。
[01:39:17.760] 相変わらずすごすぎる。笑。
[01:39:21.719] 相変わらずすごすぎるよね。
[01:39:44.040] バカなのでスマートなトーマスくらいしか作れない。カールスミれ。
[01:39:48.560] スマートなトーマス。あ、でも俺はすごいと思うよ。
[01:39:53.679] それでもそれでもすごいと思うよ。に中君ダイアン間もっとバカがいた。ほらすぎだろ。
[01:40:10.920] もっとバカがいたで。
[01:40:25.040] ああ、もうバカ。
[01:40:35.000] 邪魔、邪魔。
[01:40:56.159] よし。うまいね。うまいね。チマゲームは
[01:41:13.599] ああ、石落としてないじゃん。
[01:41:19.199] あら、これ石落としてなくていい。ああ、もうそれも交通事故じゃないすか。そんな出会い頭や。た
[01:41:27.760] わけ。
[01:41:29.320] え、なんで急
[01:41:32.080] 前から車が、
[01:41:33.560] 前から車がは剣当ててましたけど。剣当ててましたけど俺。
[01:41:44.320] 今さっき今
[01:41:47.199] やべ。あともう時間がなくなった。ああ、
[01:41:48.960] もう時間がなくなってきた。時間なくなっ
[01:41:51.679] てきた。
[01:42:02.360] ありますよ。これ
[01:42:06.199] ない。クリアするよ。
[01:42:13.920] なんかさ、初手間違ってる気もするよね。
[01:42:17.480] 初手間違ってる気もするよね。
[01:42:38.480] うん。こういうこともできるってこと。にはなんか初手間違ってる気もする
[01:42:45.040] ねえ。やっぱ思うよね。初手間違ってる気もするよね。
[01:42:53.960] お43来てるやん。
[01:42:55.560] せやねんで。今日
[01:42:57.440] 12
[01:42:57.719] 時までにでにここはクリアできるかどうかも飛ばになっています。
[01:43:25.440] この面先生しんになってるね。
[01:43:29.320] 何何何何何
[01:43:32.440] 行けそう。何?何?何?何?何?先生し
[01:43:36.239] 本当だ。
[01:43:40.040] 何が先生しかわからなかった。ここしん。
[01:43:46.080] お、コしん。あ、俺いる。
[01:44:03.520] ああ、なんか見つかっああ、またやっ
[01:44:05.719] ちゃった。
[01:44:09.440] いや、もうわかんねえよ、これ。何がこ
[01:44:12.400] セン?
[01:44:16.840] あ、ブロックがブロックが
[01:44:21.520] あだ
[01:44:23.599] センションになってる。
[01:44:25.520] え、だからなんだ、だから何なんだろうな。なんでここ先生にしたんだろうな。
[01:44:34.639] 笑笑な
[01:44:36.239] んでここ先生にしたんだろう。これ伏なの?
[01:44:39.719] 良い気づき。
[01:44:41.239] オ
[01:44:43.679] 気づき。気づきを得たなあ。本当だ。先生になってる。
[01:45:01.080] これはこれはこれはこれは
[01:45:06.480] 占いうんち。
[01:45:11.679] あ、占いか。え、占いセンセーションじゃん。あのコナミのゲームにあるんだよ。コナミの
[01:45:18.080] MSX
[01:45:18.599] のゲームに占いせ、占いセンセーションや。
[01:45:23.159] あるのよ。占いセンセーションっていうゲームが
[01:45:25.040] だと分かりました。ほえ。あ、そういうゲームあるんだ。
[01:45:28.960] もしかしたらなんか同じチームが作ってたとかなんかな。
[01:45:32.440] もしかしたら
[01:45:34.119] MS
[01:45:35.199] そう、MSX
[01:45:36.000] のそう、占いセンセーションっていうゲームがあるんだよ。ええ、そんななってんねや。
[01:45:47.599] 分占いセンセーションってゲームのことだと思う。しんやん。
[01:45:52.840] すっぽ。今日のムスックスノルマ達成。
[01:45:57.520] ああ、いいや。
[01:46:33.520] あ
[01:46:41.000] ああ、またこれミスったよ。これまたミスったよ。これまたピネだよ。これまたビネだ。おら、またピネだ。おら、
[01:46:52.760] ピネガき。
[01:46:54.159] これだよ。またピネだよ。わる、お疲れ。
[01:46:59.760] ピネ。
[01:47:00.599] またピネだよ。
[01:47:03.199] またピネ
[01:47:03.960] ピネ発見。ピネ発見。
[01:47:05.440] ピネ発見。ピネ発見。もうこのピネガきやだよ。めんどくさい。やべえ。時間なくなってきたよ。時間なくなってきましたよ。
[01:47:20.920] 逃げない。
[01:47:23.599] 俺もうね。逃げない。覚醒ピネガき。
[01:47:52.560] うーん。
[01:47:58.119] ちょっと石コが来るまで待ちますわ。こ石
[01:48:00.440] が来るまで待つ。
[01:48:05.760] ま、こういうの時間もったいねえんだよな
[01:48:07.080] 。
[01:48:13.679] あぱあと10分しかない。
[01:48:19.119] おい、
[01:48:26.880] こいつ1本持って。
[01:48:31.320] ここ掘る。こいつ持って
[01:48:45.920] い。ふっと
[01:48:50.040] 占いのいいな。まずここは掘らないで。掘らないでこっち行く。ここ降りる。
[01:48:59.639] ほんでこいつを下ろす。
[01:49:05.480] で、ここ掘る。
[01:49:12.159] で、あの石を誘導するために
[01:49:22.199] ここにする。
[01:49:26.679] オッーオッケーオッケー。一旦待ちます。
[01:49:27.920] ここで。
[01:49:28.719] あ、あち行った方がいい。間に合ない。ああ、間に合った。いたつ。待つ。待つ。
[01:49:43.760] 松、
[01:49:46.400] まつ、
[01:49:47.480] 松、
[01:49:48.360] 松、待つ。
[01:49:52.400] 松ビグサッド
[01:49:58.560] よこらせ。あ、ナさんや。なちゃんレドありがとうございます。レドありがとう。レドセンキュー。なナナちゃんレドありがとう。
[01:50:10.360] 731フり。
[01:50:11.560] こんばんは。お疲れさん。配信ドラクエ。ドラクエじゃねえか。
[01:50:15.360] FF12でしょ。
[01:50:16.400] ブグブ。
[01:50:16.920] FF12でしょ。FF12
[01:50:19.199] やたさんでしょ。どうせどうせとかつって。
[01:50:22.679] 何気ちょくちょくね、覗いてますからね。
[01:50:25.080] そうだよ
[01:50:25.679] でしょ。
[01:50:26.159] 笑笑。731
[01:50:28.040] バイバイ。オ、えー、今日は僕はですね、エルギーザの封ウンというゲームをシクシクとシクとやらせていただいてる。シクトだ。ほんでだ。ほんでだ。ああ。
[01:50:47.960] だからそれはだ、お前それはだからもう出会い頭じゃないですか。
[01:50:56.320] 会館縮直笑
[01:50:59.679] そんなあかんわ。引き逃げだよ。引き逃げ。引き逃げですよ、これ。
[01:51:05.520] MSXでMS恋いは突然にな。
[01:51:10.040] 100だよな。100?
[01:51:13.599] 10だよ。
[01:51:17.560] えわ、あれじゃねえよ。バカ実、お前実機だよ。実気
[01:51:21.840] MSX
[01:51:22.400] 実機にてやらせていただいております。エルギーザの封印よろしく。まあ、
[01:51:29.119] MSX
[01:51:29.760] なんて何のこっちゃと思うかもしれませんがね。えっと、あ、間違えた。
[01:51:41.800] いくですか?
[01:51:42.840] M、MG
[01:51:46.320] え、MSX、MSX3
[01:51:48.560] 万ぐらいかな。壊れてて
[01:51:51.440] 3万だからね。壊れてる状態のジャンクで
[01:51:54.639] 3万で買って、
[01:51:56.760] あの
[01:51:58.000] た
[01:51:58.960] あれMDX
[01:52:00.320] さんにただで直してもらった。ご行為、ご行為、ご行為な。ご行為だから。
[01:52:06.560] 笑笑。
[01:52:06.960] ご行為だから。ご行為だから。
[01:52:14.280] 直せるのすごいね。やりが手ありがと。
[01:52:17.679] やりがやりがサクスじゃないよ。やりがえ、そんなことないじゃん。よし。
[01:52:38.599] リスワンチャン散らつかせてただ働きさせる。
[01:52:42.800] ワンチャン散らつかせてねえよ。
[01:52:44.440] 違いますね。
[01:52:46.440] んじゃワンチャン散らつかせてねえよ。なんかやってくれたんでの味
[01:52:54.159] なんかやってくれるって言うからお願いねって言ってやってくれた。俺悪くなくねえか。
[01:52:59.440] 怖い女
[01:53:00.679] 俺悪くなくね?ありがとね、
[01:53:04.560] MDXさん。
[01:53:05.239] いつも本当にありがとう。本当に本当にありがとう。
[01:53:13.639] コンカフェるよ。
[01:53:17.360] オシン作るべ。オリシャンなあ。俺の誕生日オリシャン入れてくれるんでしょ?
[01:53:21.320] 1本10
[01:53:21.800] 万ねえ。俺の顔がデカデカとラベルにプリントされた。え、オりシャン下ろしてくれるんだよね。
[01:53:28.560] さんありがとう。
[01:53:29.679] おり、おり、オりシャン入れてくれるんだよね。
[01:53:32.239] デスファイトさんオリシャン入れてくれるんだよね。
[01:53:35.000] ても怖えよ。
[01:53:36.960] え、オリシャンっていくらぐらいなの?わかんねえけど。
[01:53:39.040] 色のラベルにしようね。
[01:53:40.599] オリシャンっていくらぐらいだ?10
[01:53:41.920] 万ぐらいすんじゃねえの?大々色の。あ、俺、俺、俺からな。俺から。
[01:54:04.920] ホストだと15万くらいかな。たかたっか
[01:54:14.760] たかたっけみんな言ったことないから答えが来ない。変える。ラベル貼るだけやのに。
[01:54:24.719] MSX5
[01:54:25.520] 個変えるな。ラベル貼るだけなのにな。みんな行ったことないもんね。
[01:54:38.639] でもチまさんのは
[01:54:40.199] 10
[01:54:40.440] 万だし相場よりお得ですよ。ロムバンドラキュラが買える。
[01:54:44.880] ロムバンドラキュラ今今
[01:54:46.880] 12万ぐらいするから買えないんで今
[01:54:50.280] 12万しますから。よし。
[01:54:58.480] 石コロ待ちますよ。ここで1
[01:54:59.800] コロ待ちますよ。コロちゃん
[01:55:02.079] 大量に仕入れて1コも売れないのみたい。
[01:55:05.560] でもどうせそれでも減価そんなかかってないから大丈夫だ。え、誕生日イベントやろうよ。
[01:55:14.159] 頻繁に値段上がるじゃん。
[01:55:16.840] しコロちゃん。しコロちゃん。しコロちゃん。
[01:55:20.119] しコロちゃん。コロちゃん呼びます。ここに
[01:55:23.520] バーイベスべ。
[01:55:24.800] バーイベスバイベ。どうやってやればいい
[01:55:26.840] の?俺誕生日来月なんだけどやろうよ。
[01:55:30.400] オフ会
[01:55:32.599] 貢物み物オフ会リスナー
[01:55:35.880] 格付け会やろうよ。誰が1
[01:55:38.440] 番高い見着物を俺に見つげるかマジでやりたい。
[01:55:45.480] 誕生日来た。
[01:55:47.320] が土できる会場予約しよ。どいしなやだ。
[01:55:50.679] 追加しよう。
[01:55:51.679] 欲しいも100
[01:55:52.239] 個追加しとくか。お前ら頼むよ。
[01:55:54.360] 手紙かこうかな。
[01:55:55.639] お手紙じゃ。あのお手紙のあの価値は
[01:55:57.920] 0円。嘘。
[01:56:02.239] 俺今までリスナーにもらった
[01:56:04.480] 誕生日つ
[01:56:05.360] リスナーにもらったリスナーにもらったお手紙ちゃうじゃ聞け聞け聞け聞けリスナーにもらったお手紙全部取ってあるって全部取ってあるってこより金です。
[01:56:15.840] 全部取ってあるって。あ、え、
[01:56:21.040] はゴミです。行けるんちゃ?
[01:56:25.360] ただただどうやってゴールまで行くの?
[01:56:28.760] これ
[01:56:30.599] ゴールどこ?ゴールどこでしたっけ?
[01:56:36.360] ここね。
[01:56:38.719] てことはあっち側から回ってこ
[01:56:40.920] なあかんちゅうこやな。あっち側から回こ
[01:56:44.760] にゃあかんって読んだんです
[01:56:47.040] え4んだよ。読んだ。読んだ読んだよ。
[01:56:50.920] 読んだ。読んだ
[01:56:51.440] 呼んだ。読んでるよ。毎回ちゃんと読んでるよ。内容全然覚えてないけど。なんで
[01:56:59.560] 内容全然覚えてないけど。
[01:57:01.159] 4度だ。
[01:57:08.040] ガム捨て用の紙にしてない。
[01:57:10.960] ガム捨て用の紙にしてない。ちょっとここで石コを待ちます。石コ待ちます。
[01:57:21.000] 千ranイオンでオフ会したいね。イオンシネマにやってきたんですが
[01:57:28.639] て英語でジャーって効果音らしい。ます。
[01:57:32.320] そうな。
[01:57:35.520] 今日の朝食はパン1枚。あと1
[01:57:38.199] 分ですけど。
[01:57:39.000] もうめっちゃ大丈夫。これでじゃ1分超え
[01:57:41.800] てもこの木はちょっとあのこれでクリア
[01:57:45.119] できたらブザビてことでブザビート
[01:57:48.440] ブザビートオッケーってことで
[01:57:53.760] あいつ来ねえんだけど
[01:57:57.760] 審議
[01:57:59.000] いやいやブザービートだよ
[01:58:00.920] ゲームオーバーになるまでですっけ
[01:58:03.000] そう時間過ぎて
[01:58:06.440] ほっとしてそう
[01:58:07.360] 時間過ぎてからの
[01:58:09.119] 1
[01:58:10.320] あいつ降りてこんねえじゃねえけど
[01:58:13.880] は?あいつどこ行った?消えたんか?
[01:58:18.280] あ、来た来た来た来た。
[01:58:20.800] 来たけど。あいた。
[01:58:23.280] はあ。
[01:58:29.400] あれ?待って。あれ
[01:58:42.560] ダめだみんな。だめ、これむずいわ、あれ
[01:58:47.400] むずいわ。
[01:58:49.760] で、まだ1気あるよね。まだ1期ある。
[01:58:51.719] これちょ、ごめん。これラストで。これ
[01:58:55.639] ラストで行きます。これラスト。
[01:59:02.199] ここむずいよ。
[01:59:15.040] あのね、ピッケルを使う順番がダめかも。
[01:59:20.520] ピッケルを
[01:59:26.760] ちょっと変えてみよう。うん。
[01:59:37.560] このピッケルここで使っちゃダめか?いや
[01:59:39.840] 、そんなことないよな。存在は違う。これ
[01:59:41.760] は使っていいと思う。これはここ使って
[01:59:43.960] いいんだよ。どっちにしろだってここに
[01:59:45.800] 持ってこれるってことは
[01:59:48.040] ここの以外のやつもうん、これはいい。
[01:59:50.239] あーられら
[01:59:54.000] 。ごめん。ちょっとこれ脳感でいいか
[01:59:57.520] ね。
[01:59:57.960] これはちょっとこれちょっと脳感にしようよ。
[02:00:03.360] おっす。おっす。
[02:00:04.079] これちょっとなしにしない。
[02:00:04.960] 笑笑。
[02:00:05.599] 初トありがとう。小豚さん、どうも。おつ。おつす。おす。おっす。小豚さん、ありがとう。どうも初トあり、こんばんは。
[02:00:10.960] MSXの
[02:00:12.679] 脳感はさすがに
[02:00:13.880] L。あ、でもまだ1
[02:00:14.599] 期あった。これラストで。これラストで。これラストでいきます。
[02:00:17.320] 茶まげはわがまま。
[02:00:18.719] うん。わがままボディ
[02:00:20.040] あればそこまで必死になる
[02:00:22.520] な。
[02:00:26.480] 大豚が何回打てる?アルティメットファイナルトアウアウアーやめて。
[02:00:32.800] アウアわじゃないよ。ダイアンの裕介な。ダイアンゆ介のあの潜在写真な。え、
[02:00:43.199] MDXさんこんばんは。ありがとう。
[02:00:45.159] MDX
[02:00:45.960] さんが直してくれた。直してくれた。
[02:00:49.119] 直してくれた。MSX
[02:00:50.480] が今日も火を吹いてるぜ。
[02:00:52.079] 小豚さんすごいじゃない?初チャットでティアでサブスクするって何者だ?
[02:00:56.880] してるらしい。
[02:00:57.719] 何者だ?貴様何者だ?ありがとう。
[02:01:01.079] ナイスサブ。うお。
[02:01:02.599] すごいじゃん。
[02:01:05.880] パチパチパチパチ。
[02:01:08.960] 新金感はいたのかも。
[02:01:10.679] すごいじゃんとか言って。ブブブーブ。
[02:01:13.560] 新金会は湧いたんかな?ま、どういうゲームかというと、この金の玉を集めてゴールに行きましょうというゲームです。ただこのうまいことをやんと集められないんですわな。うまいことやらないと集めらんですわな。
[02:01:39.800] だからこのなんなな何何何何何何な何怖い怖い怖い怖い怖いなんなん金持ち金持ちなの
[02:01:52.960] 笑笑
[02:01:53.520] やった金持ちのリスナーついたやったぜ
[02:01:56.040] 怖いだろやめろよ裕介
[02:01:58.360] やったゆ介
[02:02:00.639] かこええかこええさっちやめろよ
[02:02:05.840] じゃブギフ投げて
[02:02:08.800] どうせお金あるんだったらもう俺持つべきものからはもらうもらうべきだと思ってるから別も悪感ないから
[02:02:18.040] おい笑笑配信おんで最低なの
[02:02:25.960] そうだろ普通に
[02:02:27.679] まったな。
[02:02:28.520] おいおい、お前ら富の再分配だろうが、これト富の分配だろうが。お金持ちならサブ岐阜をいただけますか?小豚
[02:02:40.560] 294。
[02:02:41.840] ちょっと待って。マジでちょっと待ってちょ。おい冗談やん。おい冗談やん。あ、小
[02:02:49.360] ちょっといや、この、この小豚さんが何者か知らないけど。
[02:02:53.119] 小豚さんが何者か知らないんだけど。
[02:02:56.280] あの小
[02:02:57.040] 2944
[02:02:58.639] さんが5
[02:02:59.079] ドルでサブスクを送りました。あ、うおわさ。
[02:03:05.840] いや、本当にお金持ちだったらいいよ。
[02:03:09.320] うたせ。
[02:03:12.040] 本当にお金持ちなんだったらいいんだけどなんかごめんね。俺、俺が言った、俺がこうやって言ったからやらなきゃいけないみたいな、やらなきゃいけないみたいな感じになっちゃってたらごめん。
[02:03:21.079] 村かパチパチパチ
[02:03:22.800] 5小豚4
[02:03:25.599] が5ドルでごぶ
[02:03:29.320] 294
[02:03:31.159] がルでサブスクを送りました。
[02:03:34.400] 笑笑
[02:03:34.840] いるんだな。金持ちって
[02:03:36.960] まずありがとうだろ。
[02:03:38.960] 2944
[02:03:40.480] さんが5
[02:03:41.000] ドルでサブスクを送りました。さんサブスクギフトをありがとう。
[02:03:47.679] やったぜ。おや、
[02:03:49.639] ゲームやってるだけでサブスクを送りました。
[02:03:53.920] よなよなゲームやってるだけでお金もらえた。
[02:03:57.559] 4さんが5ドルでサブを送りました。
[02:04:00.480] 知り合い
[02:04:01.400] おや俺にくれ。
[02:04:03.199] いいな。小豚294
[02:04:05.960] さんが5
[02:04:06.440] ドルでサブスクを送りました。汗や汗せ
[02:04:10.119] いいな。私にもぜ非やった。すげえ。オも星。
[02:04:15.159] 小豚294が止まんねんだよ。
[02:04:20.199] え、マジで?小豚さんすごいお金持ちの方でした。ありがとうございました。
[02:04:23.480] ありがござ。びっくりした。やっぱいいるんだな。でもそうこのにいるんよ。世の中にはいるんすな。世
[02:04:32.920] の中にはいるんすな。
[02:04:36.400] 世の中にはいるんすわな。
[02:04:38.920] ひえ。いい人だな。通りすがりの金持ちだ。また
[02:04:43.280] もういい。もう、もういい。
[02:04:44.159] もうわかった。もう本当にやめて。
[02:04:46.679] もうわかった。早く
[02:04:48.920] 湧た新金感入れとくトレインスしたいわ。分しないのワ
[02:04:55.719] イタ金感入とトレ入れとくトレインしたいパチパチベラベクスグリ小豚さんなんだ入れとくトレインしたいわ。分うお
[02:05:11.239] 笑。
[02:05:12.599] 笑笑止まらねえ。私にもお願いしますよ。笑笑金はしたいな。
[02:05:19.679] 換金したいね。
[02:05:21.119] 笑笑禁すんなよ。
[02:05:23.239] 換金したい。監禁したい。あのお金に買える方の監禁もしたい。早く
[02:05:31.239] 監禁したら仕事やめれるかも。される側だよ。
[02:05:35.280] あ、される側なんか。
[02:05:38.000] 換金して。換金して。
[02:05:40.520] 換金パラダイスや。
[02:05:45.480] すごいなあ。
[02:05:50.440] 口座番号概要にごめんね。ごめんね。なんか多分こうやってサブスクいやわかんない。俺の勝手なあれだけどやっぱサブスクとかお金いっぱいこう投げる人っているじゃん。そうい人と多分やった時のあのあの配信者のさあああみたいのが見たいんだと思うんだけどあんまごめんね。うちそういうのないんだよね。ごめん。
[02:06:10.559] うちそういうのないの?なんかまるまるさ筆ありがとうみたいな。やらないんだよね。バカボイから
[02:06:18.880] 急に恥ずかしがるな。
[02:06:20.719] やらないんだよね。それなんかやってる配信あるけどやらない。
[02:06:24.880] あんまキャなかったからもう来ないよ。
[02:06:28.480] やれよ。まきもきて。
[02:06:30.440] お前の周りの配信者なんに回した?サイリウムじゃバ見たくない。ま、僕はやらないっす。
[02:06:43.960] 例えば
