[00:00:22.800] ぐーぐい。お疲れ。
[01:19:33.760] 別に期待してたわけじゃないです。
[01:19:35.005] [叫び声]
[01:19:35.800] あ、来ちゃった。これちょっとちょっと今日これあのいや、この子めっちゃ可愛くて好きなんだけど
[01:19:40.719] ちょっとな
[01:19:41.400] エンディングを早く見たいのでちょっとこの子は一巡で帰ります。
[01:19:46.520] 1回転目で。
[01:19:48.280] 1回転で帰ります。
[01:19:49.600] いただきます。
[01:19:50.239] うん。
[01:19:51.719] あ、かプレゼントすんの忘れてた。
[01:19:53.320] この子めっちゃ可愛い。
[01:19:54.199] いや、この子めっちゃ可い。みちゃん、こんばんは。みちお疲れて。いや、この子めちゃくちゃ可愛いんだけど本命じゃないんだよ。もっとおっぱいがでかいんだよ。俺の本命は可愛いんだけどな。みカちゃん。
[01:20:04.880] この間ルナとゲームセンターに行ったんだけどね。知らなかった一面を知って踊ちゃった。
[01:20:11.120] 目が目が慣れちゃって。この子のおっぱいちっちゃく見えるねん。もう目が慣れちゃって。もう
[01:20:14.960] [笑い]
[01:20:17.360] 一緒にレースゲームをやったんだけど。
[01:20:20.000] ルナめちゃくちゃ上手だったの
[01:20:22.920] 1
[01:20:23.040] 回も勝てなかった。
[01:20:24.159] おっぱいおっぱいちっちゃない?なんか
[01:20:25.840] それでね、
[01:20:26.920] どうしてそんなに手なのか慣れって怖いな。人間
[01:20:30.639] 本当のカーレースに参加したこともあるんだって。
[01:20:33.639] ごめん。話全然聞てなかった。ごめん。何?
[01:20:35.120] なんか刺激が欲しくな。何回か海外のレースに
[01:20:38.800] 今日本命が休みだから。今日本命が休みだから。
[01:20:41.520] もちろんプロとして活躍してたわけじゃないみたいです。
[01:20:44.480] この子のルー見てな。
[01:20:45.600] 本人が言うには結構いい戦行ってたらしいですよ。
[01:20:49.199] エッチなあの配信禁止区域見て
[01:20:52.280] 人には知らない一面があるんだなって驚いちゃったよ。や、
[01:20:56.881] [笑い]
[01:20:57.840] もうこの子ちょっとごめんごめん。今日はもうごめんな。今日はごめんごめん。青っぱいがブルン。おっぱいがブル。
[01:21:01.466] [音楽]
[01:21:04.360] 次のドリンクは何にします?
[01:21:07.080] え、もちろんまだ一緒にいたいでしょ。
[01:21:08.016] [音楽]
[01:21:10.440] いいんだ。いや、こんなこと言われたら帰りすずれえ。こんなこと言われたら帰りずれえけど帰る。ごめん。
[01:21:19.400] 6000円安信じられん。
[01:21:21.960] 4桁で済むの?
[01:21:22.840] 今日はありがとうございました。また飽きてくださいね。
[01:21:25.960] いや、可いいんだけどな。ラセであげましょ。
[01:21:28.280] ライセでお前の相手してやるからよろしくな。もうタコ部屋じゃねえかよ。もうな、タコ部屋になっちゃた。マジで部屋に何もない。今日はいるの?あれ?今日ってもしかしてあれ?ああ、今日。え、じゃあもうわ、だったら派遣行っきゃよかった。
[01:21:32.906] [笑い]
[01:21:48.199] 昨日最悪だったら派遣行っときゃよかったよ。うわあ、キャンブル行く。いや、でも怖え。
[01:21:57.679] 常用は派遣しました。いや、でもこれ
[01:22:00.239] 50
[01:22:00.639] ま、ちょっと行くか。ちょっとギャンブル回すわ。ギャンブル回す。最近来てるからやっと預けてたさ。金分帰ってきてるから。今下ろしに来た。下ろしに来た。う、すごい。おい、最近来てるぞ。
[01:22:17.199] 最近流れきてると
[01:22:18.320] から残高マイナスになった。
[01:22:19.920] いや、なりようがないって。でも前回残まで行ったからね。ここまで帰りざ点で。いや、全然痛くない。全然痛くない。全然痛くない。こんなんマイナス
[01:22:24.652] [笑い]
[01:22:30.679] 2万なんかどうせ勝つ時
[01:22:32.960] 7
[01:22:33.159] 万ぐらい勝つんだから。どうせ勝つ時怖えな。赤怖えな。いい。
[01:22:40.400] 60まで行くわ。60
[01:22:41.639] まで行ったら終わる。今日終わる。今日ってこのこの日ね。
[01:22:47.560] いや、すっと行っちゃって。すっと行っ
[01:22:49.280] ちゃって。
[01:22:51.760] ああ、
[01:22:54.800] やっぱちゃんとあれだな。女の子の休みの
[01:22:56.880] 日とかあれだな。ちゃんと見とかねえと
[01:22:59.199] 派遣でバイトできたのにな。
[01:23:04.159] こんな当たりじゃちょ当たりって言わない
[01:23:05.880] よ。こんな当たってないのと一緒。早く
[01:23:07.400] もっとがっつりがつり。がつり来い。
[01:23:10.520] がつり。
[01:23:15.639] おお。
[01:23:17.707] [笑い]
[01:23:18.560] やめた。やめた。でもさ、やめた時って
[01:23:22.239] これ何もすることない。これさ、あ、寝る
[01:23:24.440] か。寝るい。
[01:23:29.400] ほんでまたこで10万稼げんでしょ。はあ
[01:23:33.159] 。人生ぬるゲーチャーチャンネルじゃねえ
[01:23:35.080] 。それもいいわね。ん?部屋で2人で
[01:23:39.159] 過ごしましょう。フラえ部屋来んの?
[01:23:41.000] 一緒にご飯を食べて一緒にお風呂に入ってそれで最後はゆっくりベッドの中
[01:23:48.960] お、あのベッドしかないからね。うちこあのベッドベッドしかないから。だからもうもうもうもう同線が確立されてる。あ、上がって。ゆっくりして。ま、うちベッドしかないけど、もうベッドに座らせる。
[01:23:50.458] [笑い]
[01:24:00.920] この1番最難を
[01:24:03.520] 1
[01:24:03.719] 番最初にクリアできるという最高の部屋。
[01:24:08.143] [笑い]
[01:24:09.560] そうね。それじゃ、
[01:24:11.600] え、本当に来るの?
[01:24:12.840] こ、あなたのしてもいい?
[01:24:15.080] 本当の?もう家具全部売っちまったよ。おめに、おめに継ぎ込むのに家具全部売っちまったよ。
[01:24:22.480] あら、私はそんなにお行儀悪くないわ。
[01:24:26.679] あんな寂しい部屋に[笑い]
[01:24:28.159] 全部おめえに見つぐために売っちまったよ、全部。
[01:24:31.719] あなたの部屋では折りこさんでいるわ。
[01:24:34.000] え、
[01:24:35.199] 何でもあなたの言う通りし。
[01:24:37.400] え、言いなりってことですか?大変になっちゃうこっちだと思うから。
[01:24:44.920] おりこさんでかなみたいな。
[01:24:46.788] [笑い]
[01:24:49.199] なんかナチュラルに気持ち悪いんだよな。
[01:24:52.028] [笑い]
[01:24:52.159] でも笑に気持ち悪い。ナチュラルに気持ち悪引き下がるわ。
[01:24:58.840] でもつかは招待してくれることを期待してるかも。
[01:25:04.520] ちょっとあの家、あの家ではちょっとね、本当に。はい。これで
[01:25:09.320] 15
[01:25:09.679] 万ぐらいもらえんでしょう。うますぎ。いや、
[01:25:13.360] 74万あるじゃん。
[01:25:15.719] 74
[01:25:16.440] 万あるじゃん。これ旅行何回行けんだよ。ありがてえ。
[01:25:21.600] で、金があると、もう金があるともうなんか気がでかくなってきちゃって、もう、もう気がでかくなってきちゃって、もうなんか買うとしてるもん。
[01:25:28.960] 74万円で欲しい。
[01:25:31.080] リアルでマジで欲しいよな。リアルでマジでそんだけあったらな。マジで欲しい。えー、ラグジュアリーコート。いや、こんないらない。え、どうしようかな。なんか買おうかな。なんか買おうかな。
[01:25:48.840] ケフカロンだけ見るとあの時オリシャンやりシャン
[01:25:53.920] 1
[01:25:54.119] 本しか入れらんない。しかも大借金してオりシャン
[01:25:58.159] 7
[01:25:58.440] 万のオリシャン借金して入れたからね、俺借金マジで借金して入れたからさ、行こう。
[01:26:00.804] [笑い]
[01:26:08.600] いらっしゃいませ。
[01:26:09.440] ああ、おっぱいでかい。びっくりした。でっかくて
[01:26:12.199] 来てくれて。
[01:26:13.040] びっくりした。距離感が
[01:26:14.199] しいわ。
[01:26:16.199] あなたのない夜は飛び切り長いから。
[01:26:16.524] [音楽]
[01:26:20.520] あら、
[01:26:21.159] 何を飲むの?
[01:26:22.000] もっと長い夜。ちょっと今日もうがっつり行っていいよ、今日。え、もう今日森に入れちゃう。
[01:26:27.000] ボトルね。ありがとう。
[01:26:28.800] よろしく。おら。ああ、間違えて。エンディングしちゃった。あ、みんな終わり。あ、今日終わった。
[01:26:32.244] [叫び声]
[01:26:35.440] 今日間違って間違って間違ってエンディングしちゃった。今日終わり。
[01:26:40.159] 嘘です。
[01:26:41.400] お疲れ様でした。
[01:26:42.199] ごめん、パンツ見たかったよね、みんな。ごめん。パンツ見たかったよな。ごめん。
[01:26:45.840] お疲れ様でした。やーややなのや。あ、エステのチケットをプレゼントするよ。
[01:26:54.400] プレゼントだなんて
[01:26:56.639] 面白かったからオ。笑。
[01:26:58.445] [笑い]
[01:26:59.400] なんて冗談よ。あなたの真心。
[01:27:03.030] [音楽]
[01:27:04.760] ありがたくわ。私の足元には生つく。あ、喜んでいか喜んで踏んでください。はい。僕はゴミです。
[01:27:11.520] 僕は床です。
[01:27:13.510] [笑い]
[01:27:14.880] 四つんバイ。
[01:27:15.719] 四つんバ員なんだよ。悪しろよ。
[01:27:18.440] 人前で四つバになるとどんな気持ちになるのか
[01:27:23.159] 踏んでください。
[01:27:23.760] あなたは興味ないかしら?
[01:27:25.239] 僕は僕は床です。
[01:27:27.880] 犬だよ。犬[笑い]
[01:27:30.080] なんか犬っぽくねえな。そんなの気持ちよくなるには間違
[01:27:34.000] 人に恥ずかしい姿を見られるとする。
[01:27:37.040] それある。うん。
[01:27:39.600] あなたって恥ずかしい人ね。
[01:27:42.280] たまらん。
[01:27:43.000] 私勢の人の前でハつばろうとしちゃったの。
[01:27:48.560] あら、
[01:27:49.520] 誰に命令されたわけでもないわ。自分の意思で四つんになりたかったの。
[01:27:56.520] 何?
[01:27:58.040] この間ゲームセンターにってメタルゲームをしたの。
[01:28:02.199] あ、うん。
[01:28:03.320] かなりの時間とお金を費いやしたわ。
[01:28:05.440] でもだめだよ。
[01:28:06.159] 拾ったメダルでゲームしちゃう。
[01:28:07.520] そうしたらあと
[01:28:09.239] 1枚メダルがあれば
[01:28:10.719] これだ、これダメだよな。確かゲットできそう。な、
[01:28:13.000] パチンコとかもそうだよね。なんか拾ったで、
[01:28:14.719] 状況にまで持っていくことができたわ。
[01:28:16.760] 拾った弾で遊儀しちゃいけないんだよね。
[01:28:18.639] でも運命って残酷よね。
[01:28:21.639] アウトじゃん。
[01:28:22.760] ダめだよな。確か
[01:28:23.320] そんな時に限って手持ちのメダルはもう尽きていた。
[01:28:27.800] 逮捕しちゃうかな、俺がね。
[01:28:28.719] だから私
[01:28:29.760] そう確かダメなはず。ま、ゲ戦は別に大丈夫か?別にゲはいいか?パチンコはダめ確か。
[01:28:35.800] パチンコはその落ちてる玉でやっちゃだめ。自分のお金で買った玉じゃないと。やる直前で踏みとまったわ。
[01:28:42.591] [笑い]
[01:28:46.199] しっかりしてんな。
[01:28:47.400] 落ちてたメダルだとしても
[01:28:48.880] しっかりしてんの。[音楽]
[01:28:49.760] それは人のメダルですもの。でももしあの場で四つんバになって
[01:28:55.000] 下手するとできんだ。
[01:28:56.199] 勢の人。
[01:28:57.239] あ、そうなんだ。
[01:28:58.880] もしかしたら新しい扉が開いてたかも。
[01:29:03.040] ノックしていいすか?その扉。コンコンコンつってろ。
[01:29:05.760] 用意した方がいいかしら。どれがいい?
[01:29:10.440] 今日金あるからもうバンバン。カラオケに行ってもいいぐらいなんだけど。
[01:29:15.040] ボトルね。
[01:29:17.040] カラオケに行ってもいいぐらいなんだけど。うー。どんなおかすごい。
[01:29:22.840] マスクメロンみたいな柄してんな。お前のパンツマスクメロンかと思った。
[01:29:27.040] いつまでそんな仕事やってるの?
[01:29:29.159] は、
[01:29:29.920] 以前他のお店で働いていた時にお客さんにそう言われてしまった。
[01:29:33.027] [笑い]
[01:29:35.760] 風俗場説教おじさんじゃん。しっかり抜いてもらった後にさ、しっかり抜いてもらった後に残り時間で説教するやつね。
[01:29:38.266] [笑い]
[01:29:44.560] 笑
[01:29:44.960] あ、レースか。あれだったんだ。ごめん。マスクメロンかと思った。
[01:29:48.040] 私としてはいつまでも続けたいのだけれど。それって難しいことなのかしら。
[01:29:55.600] こんなこと、こんな仕事してんの親御さんは知ってるの?自分はしっかり抜いてもらって。実際いつまでやるとりこんなのあかん言うたら結婚してお店をやめるとかも多いよね。
[01:29:58.572] [笑い]
[01:30:11.159] そうね。
[01:30:12.679] 俺と結婚しようや。
[01:30:14.080] 別に続けてもいい。
[01:30:15.320] 男の二毛作。
[01:30:16.912] [笑い]
[01:30:17.159] パートナーの人応援してくれ。
[01:30:18.800] 確か確かに。それ男の毛作なのか。
[01:30:20.600] ないと思う。
[01:30:21.320] 抜いてもらった後に説教でもな、やっぱ賢者モードってあるからな。やっぱそういうモードなっちゃう人もいるのかもしれない。に戦しなんて言葉もあるけれど人の心はそう簡単なものではいいと思うよ。俺は別にどんな仕事してても
[01:30:24.117] [笑い]
[01:30:40.199] でも私はキャストとしての自分を恥ずかしいと思うことはない。
[01:30:45.440] そうな。男の荷作は草。
[01:30:47.080] だから
[01:30:48.199] 胸を張って続けていくだけよ。
[01:30:50.317] [音楽]お酒ありがとう。何を?
[01:30:54.080] お。あ、いや、どうすっかな?いや、せっかくならなんかあのコスプレの時に入れよう。コスプレの時に行こうぜ。あれ?カラオケ。グリッチボムでも飲んどこうかな。
[01:31:09.239] 一緒に飲もうぜ。
[01:31:10.800] グリッチボムも大好きなの。少しだけ待っていて。
[01:31:23.068] [笑い]
[01:31:25.000] だってそんなだっておっぱいそんな動いてたらびっくりするってエロくて見てるとかてびっくりした。意味がわかんなく
[01:31:31.760] 乾杯。
[01:31:36.440] お来た。
[01:31:37.719] 少し酔ったみたい。
[01:31:39.199] いいね。
[01:31:40.400] もち私お尻をプリントさせ続けていくわ。
[01:31:47.280] 何?急に急に何?
[01:31:50.520] 胸を張って続けていく。堂々と自分の信じた道を進むという意味をね。でもお尻をプリントさせ続けていく。そういった方が可愛さがプラスされていいんじゃないかと思。
[01:32:02.368] [音楽]
[01:32:07.880] しか見てないだろ。
[01:32:09.159] これ本当に何言ってんの?この人は。お尻牌どっちがどっちだか分からなちゃえ。
[01:32:17.679] ちょっと可愛すぎ。すごくいいアイデアだと思う。
[01:32:21.520] 見せてごらん。
[01:32:22.400] この、今度からはこっちを使うわ。
[01:32:26.080] この仕事合う。
[01:32:26.960] いう時は
[01:32:28.280] お尻をプリントさせるもつけた方がいいかもしれないわね。
[01:32:28.569] [音楽]
[01:32:32.040] 見せてごらん。
[01:32:33.119] あなたのお尻をプリントさせきの。
[01:32:35.118] [笑い]
[01:32:36.679] ああ、俺でもそれあの1
[01:32:37.880] 回あの配信にお尻とお尻プリントしたら
[01:32:41.159] ban
[01:32:41.360] されたからな。うん。寝てる間にお尻プリントしちゃってな。うん。
[01:32:44.520] Bされた。
[01:32:45.679] あ、
[01:32:46.760] 笑笑。
[01:32:47.679] うん。あ、気をつけた方がいい。
[01:32:50.480] うん。
[01:32:51.080] ゲームをしましょう。
[01:32:52.400] ゲームしない。ゲーム見えても強い。シャカパチ。
[01:32:56.440] シャカパチしちゃったんすよ。カルタ合戦。いや、もうゲームいいよ。今日はいいよ。今日はゲームいいよ。
[01:33:05.520] 4万6000どれ?
[01:33:07.440] 全然痛くない。
[01:33:09.080] 全然
[01:33:09.719] 全然痛くない。ないね。
[01:33:11.960] あ、
[01:33:12.760] もう少しだけその魅力に触れさせてほしい。
[01:33:16.199] アフターバーナー行く。アフターバーナー
[01:33:18.239] 3万円行くよ。
[01:33:20.960] ありがとう。少し
[01:33:22.199] いいよ。行こう、行こう、行こう。金あるからね。お金があるとね、やっぱ心の余裕が
[01:33:28.159] ごめんなさい。少し飲みすぎてたわね。
[01:33:32.239] でももう酔いは冷覚めたわ。驚いちゃった。
[01:33:37.999] [笑い]
[01:33:40.480] マジでメダルメダルゲームに来たんだ。
[01:33:42.440] ポットが当たるなんてラッキーだったわね。
[01:33:45.560] 義ゴや。義ゴって本当にある?あ、違う。ゴだ。義ゴじゃなかった。上の上に義ゴって書いてあるから本当に義ゴってあるよなと思ったら死ゴだった。死ななんて読むんだろう?
[01:33:49.789] [笑い]
[01:34:00.800] ドカンと当たったらドカンと使う。酔い越しの銭に。
[01:34:05.800] あ、いいですね。
[01:34:07.239] それが私の心情なのよ。い
[01:34:09.040] いです。いいです。
[01:34:10.750] [笑い]
[01:34:12.400] 後悔は未人もな。
[01:34:13.639] 割と義ゴちゃんと取れるからいいよね。
[01:34:15.360] 手元にメダルは残ってなくてもあなたと過ごした楽しい思い出が心に残ってるもの。
[01:34:22.040] ありがとうございます。
[01:34:23.159] あ、あそこで黒色にかけておけばちし畜よ。
[01:34:36.480] はい。これで3万円ですと。
[01:34:38.880] 今日は一緒に遊んでく。メダルゲームで一緒に興奮できて
[01:34:38.915] [笑い]
[01:34:44.280] 大満足よ。
[01:34:46.600] 楽しい時間を今日名残り惜しいけ。
[01:34:46.775] [音楽]
[01:34:48.880] はい。まだね。まあまあまあまあまあまあまあまた
[01:34:53.159] 1週間働いたら15万もらえるからな。
[01:35:00.280] なんかイベントとかないのかな?
[01:35:13.199] だいぶ休みはないね、もうね。あれ、待っ
[01:35:16.159] て。8956789
[01:35:19.239] あれ、ここより先がない。ここより先が
[01:35:22.600] ない。え、嘘?ここで終わりか?ここより
[01:35:25.400] 先のカレンダーがない。
[01:35:27.840] これで終わりなのか?9
[01:35:29.320] 月で終わりか?もしかしてこれ
[01:35:33.119] 1
[01:35:33.320] 年経ったってこと?そんなことないよね。え、これで終わりなんかな?え、エンディングいけそうじゃね?そしたらなんかエンディングの条件とか何にも分かってないんだけど。これ大丈夫?
[01:35:46.040] いらっしゃいませ。
[01:35:47.600] なんかキーアイテムとかちゃんと
[01:35:49.600] 来てくれて嬉しいわ。あ、この前のプレゼントありがとう。
[01:35:55.719] 絶対こういうゲームってさ、
[01:35:57.119] 改めてお礼を言わせ
[01:35:58.560] なんかプレゼント渡したか渡してないかとかで
[01:36:01.719] もっと濃密な時間を過ごしたいと思うが
[01:36:05.840] 珍しい珍しいな。
[01:36:14.600] なんかこいつ
[01:36:15.239] どれがいい?
[01:36:16.960] じゃ今日ボトル入れるか。
[01:36:20.560] あら、ありがとう。
[01:36:25.719] 俺ここでこの下顎が見たいんだよ。俺は顎が見たいんだよ。
[01:36:30.639] いただきます。
[01:36:34.199] 最近プライベートでもあなたのことが頭に浮かぶの。
[01:36:38.360] これはね、好きってことだよ。
[01:36:41.000] 自分でも驚いてるわ。でも本当にずっといや、もう
[01:36:46.639] 会いたかったのよ。
[01:36:47.840] もう
[01:36:48.440] あなたに
[01:36:48.960] もうほぼそれはもう告ってるよね。
[01:36:52.536] [笑い]
[01:36:53.760] じゃあ、え、
[01:36:54.960] 私たちは両思いね。
[01:36:57.560] どうする?このままお付き合いしてみる?
[01:37:00.920] 是非お願いします。お付き合いしてください。よろしくお願いします。
[01:37:06.947] [笑い]
[01:37:09.000] 少し驚いちゃったわ。あなたの反応にじゃない。私の心が動いたことに恋人が欲しいって今まで
[01:37:19.392] [音楽]1度も思ったことなかった。
[01:37:21.360] 嘘やん。絶対それは嘘。
[01:37:25.239] よく考えたら違うかも。私恋人が欲しいわけじゃないみたい。あなたが欲しいの。
[01:37:33.360] あら。
[01:37:35.440] 何でも話せて安心できて信用もできる。
[01:37:40.239] あげるあげる。
[01:37:41.639] そんな相談相手として
[01:37:43.320] 新品見しよう。うん。あげるあげる。
[01:37:45.400] そんな人[音楽]
[01:37:46.480] いやし。
[01:37:46.960] あなたにいないわ。
[01:37:48.867] [笑い]
[01:37:50.199] なんでなんでなんで故郷の言葉出てんの?やしか女ばいいかあかでも
[01:37:56.072] [叫び声]
[01:37:58.920] 笑笑
[01:37:59.280] 相談してるうちに
[01:38:00.920] やしか女
[01:38:01.480] 気づけば恋に落ちてたそんな話いくらでも耳にするわよね
[01:38:07.520] あるどしたん話聞こうかよ
[01:38:10.440] お酒どうしましょうかどれがいい
[01:38:17.040] グリッチボムだなグリ
[01:38:18.840] ボム入れちゃおうかな。
[01:38:20.639] 好きなのよね、
[01:38:21.920] これ。大好きだな。スイッチボム少し。
[01:38:26.520] あらららら。そんなにそんなに揺れるもんかね。あ、何もないか。久々になんかフード入れよっかな。なんか久々にフード入れよっかな。踊ってる。踊り食いだ。踊り食い。
[01:38:32.753] [笑い]
[01:38:49.800] 久々になんかやる。
[01:38:53.000] あ、でもお口がないね。お口系がないな。
[01:39:02.520] ええ、
[01:39:05.320] フード入れるつも大して別
[01:39:06.560] にローストビーフ入れようかな。食べたい
[01:39:08.159] 。普通に今食べたい。俺悪くない選択よ。
[01:39:12.080] 仕上げは私んなんか俺あんまりこれこれよく分かってないんだけどこれエロいかこれ
[01:39:23.800] 上がりちょっと頑張っちゃったわ。
[01:39:30.800] 好感度この辺で上げていかないとな。
[01:39:33.560] どちらかと言うと相談されることの方が多いかしら。
[01:39:39.040] そういえば今も誰かに何か頼まれてた気がするわ。
[01:39:45.560] りんちゃんかな。
[01:39:47.000] クオンに相談したいこと
[01:39:49.400] あるよ。
[01:39:49.920] おいおいおい。[笑い]
[01:39:50.760] でもここでここでしなくちゃだめだ。
[01:39:53.280] だいぶ窮屈にな。ちょっとちょっと圧死するって。これ俺おっぱいでおっぱいで圧ししてまうわ。こんなソファーに
[01:39:59.760] 3人も座ってたら[笑い]
[01:40:03.119] たまにはで場のも
[01:40:05.199] 刺激的でいいんじゃないかしら。
[01:40:07.520] またで防場のもあ、さっきのやつ。さっきのやつ。いや、なんか、あ、なんかあんまりエロ、エロないよな、あれな。
[01:40:14.599] 硬い。
[01:40:15.800] 硬い。何が?[笑い]
[01:40:19.199] ま、別にそこまでの相談でもないし。じゃあ気にせず相談しちゃおっかな。
[01:40:26.440] ゆんちゃんがおっぱいがちっちゃく見えるもの。
[01:40:28.400] 実はね、最近
[01:40:30.920] あら、
[01:40:32.280] 夜寂しいよ。
[01:40:34.400] 1人で部屋にいると寂しくてたまるな。
[01:40:37.199] 寂しいよとか言わない。俺何々なんよってあんま好きじゃないから。
[01:40:41.400] おかしいわね。りんにはそんな時のための抱き枕があるじゃない。
[01:40:45.719] [音楽]
[01:40:47.400] あら、
[01:40:48.280] そうだよ。普段はそれで癒されてる。な
[01:40:51.280] んで?
[01:40:52.040] でも抱き枕じゃどう?
[01:40:53.880] 暴力は全なよ。
[01:40:56.080] いや、なんかそのあのね、栃木の方言なんだよ。
[01:40:58.880] それ栃木の足の方のね、方言で何々ななん
[01:41:03.719] よとかなんとかなんかめっちゃ言うのよ。
[01:41:06.679] 俺の会社のううぜえじじとかめっちゃ言う
[01:41:09.239] のよ。なんかそれがなんかイラうから
[01:41:12.574] [笑い]
[01:41:14.000] 暴力は全よ。そうね。とか寄っても確かね
[01:41:19.239] 。あら、恋人でも作れば
[01:41:23.400] 西のもありという作れみのプリーズ。
[01:41:28.239] なんで作れ作れるでしょうが。そういう弾に来るどうしようもなく寂しい夜を一晩だけ乗り越えられたらそれでいいの。
[01:41:38.080] じゃあそんな夜は私を呼べばいいわ。すぐに駆けつけてりの寂しさを埋めてあげる。
[01:41:46.440] 不お。それだ。それ最高。
[01:41:48.600] [音楽]
[01:41:50.159] え、本当にお世話になっちゃうけどいいの?普通に呼んじゃうよ。
[01:41:53.880] 僕も行きますけどね。うん。僕も行きます。
[01:41:55.679] アイス買っていくわ。
[01:41:58.280] 2
[01:41:58.440] 人でアニメを見ながらどうにもならない夜を超えましょう。
[01:42:02.400] 僕も待ててください。
[01:42:03.440] 爆音なよ。
[01:42:04.679] もうなんよとか言わない。お前は最高。
[01:42:07.595] [笑い]
[01:42:08.199] お前、お前なんやねん、その
[01:42:12.639] なんやねん、その言葉とか言わなかったよな、こんなことな。
[01:42:16.760] そうね。
[01:42:18.320] 私少しは役に立てたのかしら。
[01:42:21.599] やっぱクオなんにょ。
[01:42:23.800] お酒なんに
[01:42:28.679] どれ
[01:42:30.920] マグリチボムだな。
[01:42:35.119] 好きなのよね。すぐに準備。
[01:42:46.239] シャカシャカシャカバインバイバイバイ。
[01:42:48.239] いただきどんだけおっぱい揺れんねん。あ、来たよ。
[01:42:55.000] あなたに心配されちゃった。
[01:43:00.280] おもちゃっていいわよな。笑。
[01:43:03.280] 夢中になって興奮してはあし出して
[01:43:10.159] 意外ななくちゃおもちゃに夢中なんだ。どういうのにはまってるの?
[01:43:13.096] [笑い]
[01:43:14.520] 私じゃないわ。カナのワンちゃん、ちわわのわちん。この間かナの家に遊びに行った時にわちんと遊んだのよ。
[01:43:27.719] おもちゃを投げて取ってきてとかしてあの子本当頭がいいからすぐに加えてちゃんと私のところまで持ってくるの
[01:43:40.639] 加え上手
[01:43:41.560] ワンちゃんが苦手な私
[01:43:43.040] え手なんだ
[01:43:44.239] わちんの魅力にはメロメロとってもこさんで可愛かったわんちゃんもおもちゃで興奮したっても
[01:43:56.639] 全然関係ないこと言うとしてるやん、こいつ。もうなんか全然関係ないことして話聞いてた。なんかどういう流れでこの花ここに行くねん。どうしてもエロい話題に持ってきたいキモいおっさんみたいじゃん。でも行く。
[01:43:58.947] [笑い]
[01:44:12.920] 使うのは好きよ。
[01:44:14.080] あら、
[01:44:15.000] 噛むと音が鳴るおもちゃとか。
[01:44:18.199] でも楽しくて興奮するのはわちんの方ね。
[01:44:23.040] 今度カナの家に遊びに行く時はわちんに何か新しいおもちゃを買っていこうかしらん。後でカナに相談しないと。わちんがどんなおもちゃが好きなのか聞かないとね。ゲームをしましょう。な
[01:44:40.280] んやねん、その話。
[01:44:43.280] いや、これさ、え、これさ、
[01:44:44.880] ASMR
[01:44:45.960] 聞かないとなんかエンディングいけないとかそういうことないですか?俺これずっとやってる。
[01:44:50.960] 1回やってみていい?1回やってみていい
[01:44:53.119] ?なんかストーリーこれでないか?1回
[01:44:56.000] やっていいか?おもちゃっていいよね。
[01:45:01.440] おもちゃというかジョークグッズという
[01:45:03.679] やつですかね。はい、1回やってみますわ
[01:45:05.360] 。何かが始まりそうです。いや、これさ、
[01:45:07.840] もしかしたらやっぱやんなきゃいけないん
[01:45:09.560] ちゃうの、これ。これやらないとさ、なん
[01:45:12.880] か待ってるね。なんか[笑い]
[01:45:16.199] 多分でもね、あの声だけだと思うんだよね
[01:45:18.440] 。ちょっとこれやってみていいか?多分
[01:45:21.239] これ配信はできないよ、多分ね。
[01:45:24.159] あ、そうだよね。キャストがコスチューム
[01:45:26.719] 。え、
[01:45:28.520] ほら、やっぱりちょっと待って。これさ、
[01:45:33.480] やっぱなんかあるんじゃないの、これ。
[01:45:38.520] ええ、
[01:45:41.880] いや、俺絶対これ見るべきだったって。
[01:45:46.800] だって1万円が用意されてますもん。
[01:45:52.880] これ絶対なんかストーリーに必要な気が
[01:45:55.840] するな。[笑い]いや、今すごくエッチな
[01:45:58.320] んだけど、そっちよりもこれエンディング
[01:45:59.960] になんか関わってきそうな気がして怖いた
[01:46:02.119] 。今何?今[鼻息]何をされてるかという
[01:46:04.560] と、え、特別なオイルマッサージです。あ
[01:46:06.880] 、そっか。じゃあ貴様らの餌を今日もあれ
[01:46:09.360] しとくか。貴様らのスケベのスケベどもへ
[01:46:13.080] の餌を今日も取っといてやるか。
[01:46:18.000] あ、[笑い]
[01:46:21.239] あの、今、あの、オイル、オイルを
[01:46:24.599] ぬりぬりされてるんですけど、音が、音が
[01:46:27.440] エッチだ。音がエッジですね。音が、
[01:46:33.320] お、音がエッチ。お、音がエッチ。ええ
[01:46:39.679] ええ。[咳払い][叫び声]
[01:46:41.388] [笑い]
[01:46:43.000] うわ、マジか。これ
[01:46:45.920] エリサも来たんですけどなんかしんない
[01:46:47.760] けど。え、エロ。これはエロい。
[01:46:52.159] これはエロいぞ。これはエロい。
[01:46:57.560] エリサちゃんも来ました。
[01:47:00.639] えっちだ。
[01:47:05.199] 今日お前ら、今日の今日の餌はいいぞ。
[01:47:09.119] 今日の餌はいいぞ。お前ら。
[01:47:15.080] うわあ。
[01:47:17.239] あ、[笑い]
[01:47:20.840] あの、あのさ、すごい。こっちからエリサ
[01:47:25.400] 、こっちから左右で左右でお、これなんか
[01:47:29.480] これなんかこうあるよな。こういうの
[01:47:31.040] なんかこういうの、こういうのあるよね。
[01:47:32.960] なん[笑い]か
