[00:00:04.240] 行けてんのか?これ
[00:51:18.599] 何?今しか言えない内緒の話なんだけどさ。
[00:51:22.760] 島村エルフさん1
[00:51:24.160] 日目生き残ると思わなかったわ。な
[00:51:29.400] 1
[00:51:29.520] 人だけ全く練習してなかったもんな。設定が
[00:51:34.839] フレンドリーファイアなしだから。
[00:51:39.079] 別してか夜長くね?
[00:51:43.000] 今日高すぎた。
[00:51:46.839] 島村エルフが進捗石代を達成しました。いるよ。
[00:51:52.319] 遅くね?
[00:51:53.400] オオオよかった。よかった。わかんなかった。
[00:51:58.200] 今下に島村エルフがあって出たね。石代を
[00:52:02.839] 石時代をあれしました。
[00:52:04.880] レベル上がって。
[00:52:05.880] レベル上がったな。
[00:52:07.000] レベル上がったのはシはもらえる。
[00:52:10.119] 全然平気。
[00:52:11.599] ちょっと天井暗いの。天井低いのやだわ。味
[00:52:15.400] グアバ味の門上な。
[00:52:17.599] なあ、み何が足りない?石
[00:52:20.599] え、そんな足りない?
[00:52:22.480] センキュー。ていうかあれだわ。画面
[00:52:26.400] 朝になったら教えてもらおう。
[00:52:27.680] もう石が足りないわけないや。棒が足りないだけか。
[00:52:30.920] よいしょ。
[00:52:31.599] ごめん。全然。
[00:52:32.599] 欲しい方います。ありが
[00:52:34.160] あ、明るくなってきたで。
[00:52:35.799] 明るくるなってきましたね。大丈夫かもしれ。
[00:52:37.640] まあでもちょっと待った方がいいかもね。そのゾンビがさ、焼けるまで
[00:52:42.400] 焼ける、
[00:52:43.000] 焼けるまで
[00:52:44.000] 焼け切るまでなの出て一
[00:52:47.240] 発勝負で
[00:52:49.760] 新作モンスター売ってた。ありがとう。うまいよ。結構うまい。残
[00:52:53.920] ありがとう。フォローありがとうございます。ランさん、
[00:52:57.440] ランマさんフォローありがとうございます。
[00:53:00.000] になるまでありがとうござい
[00:53:01.040] なんかこれあれだよね。なんかさ、めっちゃ低いとこまでさ、ぜひぜひ皆さん
[00:53:05.720] あるよね。あ、本当だ。どうだ、どうだ。っ、
[00:53:08.440] とりあえず鉄欲しいよね。僕
[00:53:11.359] 鉄出るまではどう装備ですかね?
[00:53:14.200] そうだね。でもどなんか俺よく分かってないんだけどなんか新しく追加されたんでしょ?
[00:53:19.760] そうなんですよ。ゴーレムとか作れちゃいます。
[00:53:22.040] あ、そういうやつなんだ。
[00:53:23.440] ありがとうさん。
[00:53:25.640] あ、ここ水が出てきちゃう。
[00:53:27.160] なんならボが邪魔。何?
[00:53:28.559] いや、グアがね、食べたことない。
[00:53:29.960] なんか配信者がいるな。
[00:53:31.920] 配信者がいるな。ありがとう。
[00:53:35.520] 明るい。大丈夫?
[00:53:36.920] て髪ちゃうか?
[00:53:38.280] どんなんだっけ?アバてこ。
[00:53:41.400] めっちゃ配信者いるな。
[00:53:43.760] 雑談してるな。
[00:53:45.760] 猫パンチで木をなんか倒した。あるからな。
[00:53:50.480] これ場所場所マジ忘れないでしょ。座標ちょっと覚えとこう。
[00:53:53.440] あ、座標は見とこう。
[00:53:55.119] あ、確かに
[00:53:55.960] どうやって見るんだっけ座標って。
[00:53:58.000] えっと、Fさんです。Fあり
[00:54:00.480] お疲れ。マ40の
[00:54:02.799] え、ハお疲れちゃん。ハ、お疲れ。
[00:54:05.240] よいしょ。
[00:54:05.599] どうしよっかな。だ、これ。
[00:54:07.240] え、なんだっけ?え、
[00:54:09.640] Z56。
[00:54:11.920] 待って、待って。
[00:54:12.760] Y69か。
[00:54:14.799] クリーパー気をつけて。ありがとう。
[00:54:16.440] 56
[00:54:17.040] のハネドライブさん。あ、フォロもありがとうございます。
[00:54:21.240] あ、ちょっとこれちょこみこれ視聴者のみんなこれちょっとこれちょっと覚えといて。この数字。この数字覚えといて。
[00:54:27.760] 俺覚えらんねから。これ座標覚えといて。これみんな
[00:54:32.680] 座標覚えといて。これてかコメントして。これ座標
[00:54:36.079] コメントして。これ固定にしといて。
[00:54:38.799] これ座標。
[00:54:39.960] お
[00:54:40.799] 座標固定にしといて。
[00:54:42.200] あ、そうなんだ。ジュースとかの方がいい
[00:54:44.880] で。北太郎さんとシムーがモンスターハンターを達成してるんだけど戦ってるな。
[00:54:49.599] 10
[00:54:49.799] 分
[00:54:50.359] 奴ら。奴ら戦ってるぜ。れば落ちてるの。
[00:54:54.960] ちょっとこれいいよ。
[00:54:56.160] こういうじゃなくて、これから座標座標覚えといて。これ私も
[00:55:00.640] ちゃんと覚えといてね。
[00:55:03.480] そうかも。こ
[00:55:04.839] れゾンビと戦ってる。
[00:55:07.480] 232。
[00:55:08.839] ありがとう。ぴょこさん。なんとかなんとか全員生き残りました。
[00:55:14.839] めっちゃ配信者いた。
[00:55:16.079] 全員生き残りました。ありがとう。こさん
[00:55:19.280] どうしよっかな。
[00:55:23.520] よいしょ。
[00:55:24.760] うわ、真面目に働いてる。
[00:55:26.920] 働いてますよ。
[00:55:27.839] 真面目に働いてるな。ま、木いるよね。木いるよね。
[00:55:32.119] 全然木がない。
[00:55:33.160] 本当だよね。いくらあってもいいよね。
[00:55:36.319] 全然持ってないですよ。さっき巨たんさんに巡ってもらったばっかりだ。
[00:55:40.920] キー少ないんだよな、このマップな。
[00:55:43.079] あ、ないな
[00:55:43.799] ねえ。
[00:55:44.920] え、嘘。さん、こんにちはです。ありがとうございます。気をつけろ。こんなとこで。あ、
[00:55:52.720] こんなとこで死んくない。
[00:55:53.520] 本日はコラボでありましたね。
[00:55:55.200] 8人でハードコアで
[00:55:56.920] なんかこのコラボでさ、叩きまって壊して
[00:56:01.839] 生きてるやってる。
[00:56:03.240] 生きてた。
[00:56:04.280] 行くぞ。
[00:56:04.880] 生きてた。
[00:56:06.720] お帰り。
[00:56:07.760] 生きてた。
[00:56:09.039] さん、こんにち。連れてきたよ。
[00:56:11.280] さすが
[00:56:13.640] 2
[00:56:13.799] 人ともいないけどさ、なんか時折りさ、なんか島村エルフがモンスターハンターを達成しましたみたいな。
[00:56:22.480] ああ、戦ってるんだって。
[00:56:24.960] 戦ってるんだなと思って。そう。
[00:56:27.319] 一応拠点みたいなん作ったんだよ。
[00:56:30.359] あの、全員ちょっとさ、あの、全員ベッド用意できなくて
[00:56:34.039] はいはいはい。
[00:56:34.839] りあえずで順番に寝てたのか。
[00:56:36.799] そう、なんか代わり番号に寝よっかつって。
[00:56:40.280] 大だったよ。
[00:56:42.000] ここ。ここ。
[00:56:43.039] とりあえずここに
[00:56:44.520] 初めてブロックの置き方覚えたから。
[00:56:46.200] とりあえずね。
[00:56:46.960] え、怖くない?大丈夫かな?
[00:56:49.079] もう一晩だけでもさ、でもここにもうさ
[00:56:51.520] かいい。
[00:56:52.079] あ、みんな来た。
[00:56:52.880] すげえ。
[00:56:53.760] シマム守ったよ。ありがと。
[00:56:57.079] 守ったぞ。
[00:56:58.119] ありがと。マジでそうだと思ったよ。そうだと思ったよ。
[00:57:02.599] 危なかった。マジでなんかちにこの下空洞ですから気をつけて。
[00:57:07.280] 空洞
[00:57:07.920] どうしよっか。
[00:57:08.839] 床掘ると空洞になります。
[00:57:10.400] え、何作ろっかな?
[00:57:12.440] ドキドキがやばいね、本当に。
[00:57:15.039] これマジでさ、反対だと石めて石だけ石のあれ作は外でできることしないと今何ができるこの空間で
[00:57:26.880] 万するしちゃうさぐらいにしとくとねなんか視界的にもいい感じなんだ。
[00:57:36.240] 鉄っているな。
[00:57:37.880] 掘るならね。
[00:57:38.720] いや、なんか
[00:57:39.240] 鉄ってい
[00:57:39.960] みんなのコメント読みながらすの難しい。
[00:57:43.119] 集めからないよね。
[00:57:46.920] ないのか?
[00:57:48.200] なんか
[00:57:48.839] あ、ちょっと棒もらうね。誰か置いてくれたやつ。
[00:57:54.160] もうここてか内毛も置いとく。
[00:57:56.799] 復ったぞ。おはよう。
[00:58:00.359] え、これなんか覗いて俺落ちるか?持ってる俺が。
[00:58:04.599] これ半分奥ってどうやってやんだっけ?あ、こうか。長押しかないか。でもさ、壁
[00:58:09.680] こから何すりゃいいんだろう俺。
[00:58:12.400] あ、でもね、俺はちょっと思った。そう。ここさ、晴らしいさ、
[00:58:17.680] なんか変なとこから急に湧いたりしないならさ。
[00:58:21.359] あ、鉄来た。いいね。
[00:58:23.039] 結構安全にみんなで
[00:58:25.920] 防衛はできそう。めくせ。ある程度作っとくね。
[00:58:30.240] うん。
[00:58:30.720] あ、俺もここにベト置いとこう。
[00:58:33.319] できるんじゃねってちょっと思った。
[00:58:35.480] もやさん来てくんねえかな。もさん、ここや。
[00:58:41.599] そこの水の周りに畑作ればベッド降りてきた。最悪ベッド置いてきた。
[00:58:47.839] せぜ頼む。
[00:58:50.240] クアがいる。
[00:58:51.359] ちょっとさ、このあのなんだっけ?このチェストの中にさ、ある程度道具入れとくね?サ、サンキュー。そうだわ。きつぶしたいわ。
[00:59:02.240] うん。
[00:59:02.799] あ、全然全然ありがとう。なんで取るよ。
[00:59:06.559] 圧倒的に燃料足りさん任せろ。
[00:59:10.119] 羊どこ?
[00:59:11.520] もうこういうイベントの時はもう真面目に働くしかないんだ。松みない。
[00:59:18.039] 松ないすか?
[00:59:19.480] この周り脇きつぶしたくない。
[00:59:24.280] もう無言でこう
[00:59:26.480] し
[00:59:26.680] 黙々と作業するしかないんだよ。
[00:59:29.920] これ高さ下げないとダめだよね。
[00:59:32.400] みんなにこう引っ張ること下げないとだよね。
[00:59:36.280] 土ね。
[00:59:37.400] あの、皆さん、あの、よかったら、あの、ここに、あの、ある程度一式道具、あの、入れたんで
[00:59:42.440] ああ、ガ、使っていただければなと思います。あ、さすが
[00:59:49.119] 塔ってどれぐらい?
[00:59:50.119] 完全に同じ高さじゃなくていいのかな?水面と
[00:59:53.079] どうしよう。お、怖い。
[00:59:54.079] こういうことし誰に感謝されとこうするしかないねん。ちょっと石炭とか掘りたいよな。石炭とか鉄とか欲しいよね、やっぱりね。
[01:00:06.000] あ、ちょっとこの辺行っとくか。うわ、待って。桜咲いてますやん。
[01:00:15.839] 1人時の喋るみたいな。
[01:00:19.960] 1
[01:00:20.079] 人時のか喋ってますんね、これ。あれなんかな、もしかして殺さないでつさ、牧場作った方がいい。こういう動物ねえ。
[01:00:34.240] 晴れのさありません。ここに。いや、で、
[01:00:36.720] あそこ行くの怖いな。
[01:00:41.039] 席をしても1人なんだっけそれ?なんだっ
[01:00:43.880] け、それ?聞いたことあるな。
[01:00:47.280] 席をしても1人なんかで、なんか最近聞い
[01:00:50.039] たな、それ。
[01:00:55.520] あ、ありがてえ。ああいうの技
[01:00:58.880] か。
[01:01:03.559] すまんね。なんかみんながワイワイしてる
[01:01:05.280] となんか黙あんま喋れないのと
[01:01:11.839] 馬ってでもさ、飯なんねえしな。馬って
[01:01:14.760] なんか1人の時は声の針がいい。
[01:01:19.079] そうなんだよ。結局な。結局な
[01:01:23.680] 俺やっぱ1匹狼だからよ。1匹狼だからよ
[01:01:26.839] 。
[01:01:29.039] いや、木ねえな。
[01:01:31.960] 火なさすぎやろ。
[01:01:39.839] とりあえず次何するべきだろう?なんかさ
[01:01:42.359] 、動物あれしたいよな。
[01:01:46.640] このさ、あの
[01:01:51.640] 待って。これどうやってさ、
[01:01:55.839] ことかでさよしょおいしょしょ
[01:01:59.799] パンとか作った方がいいんだよな。
[01:02:01.640] おいしょ。
[01:02:01.960] 今日ご飯安定させたいよね。
[01:02:03.680] 復しよう。こっから移動するんじゃない?動物でも集めるか?じゃあ動物でもるな。
[01:02:16.119] だから木でまずあれ作ろう。
[01:02:18.400] 全然なんかさないもんな。
[01:02:21.079] 木さ、あの柵作ろう。柵で動物連れてきて。
[01:02:29.680] 確かにガシが一番怖いよな。
[01:02:36.079] で、種もこの種も集めながらな、ちゃんと
[01:02:38.599] これ種集めてるから。今
[01:02:42.440] あんまりでも離れすぎるとえぐいことに
[01:02:44.559] なるからこの辺で。いや、マジで木がねえ
[01:02:48.000] 。木がねえよ。
[01:02:52.839] やべ、もう、もうお腹空いてる。
[01:02:56.920] お、こんか。
[01:03:03.440] いや、ちょっとあんま遠く行きたくねえな
[01:03:05.440] 。
[01:03:09.799] 葉っぱから苗っていうか種はうん。種
[01:03:12.480] ゲットできるよ。種。
[01:03:15.319] あ、苗って何?あの木の苗ってこと?やべ
[01:03:19.400] 、火方向いてきた。
[01:03:23.599] あ、感覚開けてどんどん植える。え、これ
[01:03:26.440] ?あ、じゃ、これ小麦の種だな。え、苗
[01:03:30.160] ってどこ?え、てかやべ、やべ。ちょっと
[01:03:32.760] もうちょ、帰ろう。やばい、やばい、
[01:03:34.920] やばいやばい、やばい。怖い、怖い、怖い
[01:03:35.799] 。夜怖い。
[01:03:41.760] あれでも
[01:03:44.160] 木はまた生えてくる。
[01:03:48.520] え、ど、何を選ぶの?ナんなんか持って
[01:03:50.200] ないよ、俺。
[01:03:52.079] マジ、マジ暗くなってきた。やべ、やべ、
[01:03:53.240] やべ。
[01:03:56.079] 怖い怖い怖いありません。
[01:04:06.839] 小麦の種16あれば林しをオわった。
[01:04:11.000] えっとクアが必要だよな。
[01:04:12.599] 危ね危ね危ね。本当あるや。
[01:04:16.400] 向こで何かが起きて
[01:04:18.160] 落ちかけたんじゃ。
[01:04:19.200] いや、怖いな。よしよしよしよし。まジれたれた。
[01:04:27.559] こから移動できない。
[01:04:29.520] え、何?
[01:04:30.400] ちょっと明日畑作るか
[01:04:32.319] ね。明日畑作ろう。
[01:04:36.799] のえ、怖すぎ。これエ
[01:04:41.160] すごい。何この大穴?
[01:04:43.799] 怖い。
[01:04:44.960] ここ
[01:04:45.960] すごくない?ここ、この奥ね。気をつけてね。踏み抜かないように。
[01:04:51.799] マジで落ちったらもらってあげてください。
[01:04:54.480] え、マジ気をつけて。
[01:04:56.839] うわ、こんな
[01:05:00.599] すげえな。これ確かに踏み抜いたらやばいな。
[01:05:05.319] 恐怖。
[01:05:06.160] あそこにいる。
[01:05:09.760] ずっと心臓バクバクしてる
[01:05:11.480] ねえ。
[01:05:12.279] 焼きみんなどうやって焼いてるんだ?え、もうなんかお肉入れときます。
[01:05:16.640] え、鶏肉。
[01:05:17.559] あね。わかるわ。ここでなんかこれちょっとおろ。
[01:05:22.039] ついなんか敬語になる。マジで。
[01:05:23.480] いや、そうだよね。そうだよねって俺なってないけど。みんなわしてんの。
[01:05:28.400] ちょっと俺もこっち掘るわ。
[01:05:29.640] お墓食べたい。
[01:05:31.240] マジで気をつけてください。
[01:05:32.520] マジで気をつけ。マジで気をつける。しゃがみながらやろ。ゾンビの声する。
[01:05:36.799] 木材ある。木材
[01:05:38.279] ゾンビの声。
[01:05:39.640] なんか外からゾンビの声が開けんな。開けんな。
[01:05:43.000] ゾンビいるわ。
[01:05:45.119] ここで開けたらね。そう。片桐さんも言ってたわ。そう。夜はだからすればっていう話だったね。うん。うん。
[01:05:53.000] いや、いや、いかいやろ。これ
[01:05:55.720] 中毒。
[01:05:56.359] 私頑張ってシマムーって呼ぶわ。村さんムは大丈夫?うん。
[01:06:07.039] ちょっと初めましてたけど
[01:06:09.160] 大丈夫大丈夫。
[01:06:09.760] 口で来いって言ってたね。大丈夫です。
[01:06:12.559] 大丈夫大丈夫。
[01:06:16.680] なんか上盛り上がってんな。
[01:06:18.599] 右ですね。
[01:06:19.559] 賑だよね。
[01:06:21.240] こっちはもうずっとして
[01:06:22.880] 働きもしねえで何やってんだあいつら
[01:06:25.880] 見てくるかちょっと橋見に行こう
[01:06:29.559] ナイスベッドナイス
[01:06:31.799] なんか盛り上がってんな
[01:06:34.359] 何
[01:06:35.119] おいこっちで楽しんでたのによ
[01:06:36.839] ベッドベッドなんこの置き方
[01:06:39.839] すごい
[01:06:40.720] こんなこの置き方なんだなったわ
[01:06:43.240] これ移動しこれ
[01:06:44.839] なんかいるなんかいるもうあれ朝なった
[01:06:47.760] いやでもそろそろ移動してあると探
[01:06:50.119] した方がいいのでは?
[01:06:51.400] 木がマジでねんだよ。
[01:06:52.720] 隣桜の木がある。
[01:06:54.359] そう、桜の木めっちゃあった。
[01:06:57.520] あれはいる。
[01:06:59.319] あれだろ。知ってるぞ。俺だって
[01:07:02.119] そんな傷するシステム
[01:07:03.520] クリーパーてる人。
[01:07:04.760] クリーパーいる。
[01:07:06.279] え、どうな?
[01:07:07.880] お肉。
[01:07:09.440] クリーパーいるのまずいんじゃないですか?
[01:07:11.359] チマちゃマクリーパーがいる。
[01:07:12.920] なん、なんで俺に、なんで俺で個別で言うの?
[01:07:16.839] なんで俺で個別で言うの?
[01:07:19.839] いや、出られない。
[01:07:21.240] いや、マジで怖。
[01:07:22.839] え、でもやりに
[01:07:23.839] ちゃったから、
[01:07:25.119] ちょっと、
[01:07:26.039] ちょっとやりに行くしかないんじゃない?
[01:07:27.839] いや、やるしかない。そう、
[01:07:29.599] みんなで殴った。ノックバックで
[01:07:34.359] 殴った。うわ、いる、いる、いる。いる。
[01:07:38.440] わあ。
[01:07:42.240] え、
[01:07:45.760] え、え、俺、俺、え、死んだのか?
[01:07:59.440] え、ご存知の通り、え、皆さんの目の前で
[01:08:03.480] ですね、え、全くあの前方不注意ですわな
[01:08:06.559] 。あの、もうなんか
[01:08:10.039] 死んだことにも気づいてないす。
[01:08:15.680] 嘘でしょ?あの、皆さんほんまに、あの、このイベントね、あの、大成功、あの、することがね、あの、期待してますんで、え、ほんまに、あの、皆さん、あの、周りをよく見てあれしましょうね。はい。ありがとうございました。
[01:08:34.799] 嘘でしょ?嘘じゃん。嘘じゃん。え、ちょ、どうなってたの?今どうなってたの?今。
[01:08:51.600] ちょっと待って。
[01:08:53.679] ちょっと待ってよ。ちょっとどこにいんの?みんなみんなどこにいるんだ?後ろにいた。
[01:09:04.600] ちょっとみんな、みんなどこにいるん
[01:09:05.839] だろう?
[01:09:08.839] ちょっと見に行こうぜ。
[01:09:13.159] 後ろの段階で塗っときた。ええ、
[01:09:17.159] あれ?みんなどこにいるんだろう?
[01:09:25.960] あれ?あ、そこか。
[01:09:28.799] これみんなの声聞こえんのかな?
[01:09:32.080] 忘れてた。
[01:09:33.839] 砂糖キだった。
[01:09:34.799] こっちおった。危ない。
[01:09:36.319] うえ。
[01:09:37.920] もう、もう俺の自己現場あれされてます。や、
[01:09:42.159] 上だな。上してなかった。
[01:09:43.960] ありがとうござい。
[01:09:44.480] え、嘘でしょ?
[01:09:49.679] うから来てたも。
[01:09:51.159] なんかさ、さっき俺が出た時にはさ、遠くに
[01:09:54.840] 1
[01:09:55.040] 匹いたんだけどさ、俺もチまくもそっち見てて、
[01:09:58.719] で、こうこっち来てチまくパッて見たら、チまくの後ろからクリーパーがニュって出てきたいだろ。たも
[01:10:06.239] あ、ゾンビニだ。
[01:10:07.800] 衝撃
[01:10:08.239] たまゲームさんにサブスクです。あ、ありがとうございます。サブスク
[01:10:14.880] 追
[01:10:15.600] やった。
[01:10:16.440] 追いつもありがとうございます。
[01:10:18.280] イエ、筒なってます。
[01:10:20.520] ツイートビッツもいただいてます。ありがとうございます。
[01:10:22.400] これ、これ今日もなんだかんだで移動できないやつか。もう今日はやめよっか。
[01:10:27.400] 今日やめよっか。
[01:10:28.840] え、いいな。楽しそう。行ってから見て。
[01:10:32.640] で、あっちのなんつったらいこ、もう
[01:10:35.120] 1回やろうよ。私さっき桜とかあるんだ。
[01:10:40.520] なるほどなるほど。
[01:10:41.640] ありますね。
[01:10:42.760] めっちゃ頼。
[01:10:44.000] ええ、
[01:10:45.520] もう今日はやめた方がいいと思う。
[01:10:47.199] そろそろうんうん
[01:10:50.199] 。これでも全員分のボートなんてね。
[01:10:53.159] ボート泳いで普通に泳いでいくしかないか
[01:10:55.560] 泳いでくっこもし全員いや全員
[01:10:59.199] デしちゃったら終わります。
[01:11:01.960] 終わり。終わり。え、めっちゃ楽しそう。いいな。
[01:11:06.880] いいな。ジャンプ。
[01:11:10.719] うわ、何これ?え、
[01:11:12.760] こんな、え、
[01:11:13.800] 犠牲の瞬間マジで映ったのが唯一の救いだわ。
[01:11:21.360] 何これ?
[01:11:23.520] え、こんな見れんの?え、すごくね?もう、もう誰もチマの話してない。こうやって忘れられてくんだろうな。ラおこさん、こんにちはっす。誰に冷凍しよっかな。まあでもチャンネルだろうな。主催だし。ええ。
[01:11:50.280] え、何これ?すごいね。
[01:11:53.760] これすごくない?初めて見たわ。何これ?
[01:11:57.239] こんな風に見えるんだ。うわ、こんな
[01:12:01.040] 見れんね。すげえ。
[01:12:04.960] へえ。
[01:12:07.040] うわあ、ちょっとな。悔しいなあ。マジで
[01:12:10.480] 悔しいな。いや、なんか、
[01:12:13.239] なんか楽しかったな。
[01:12:18.000] ボート大丈夫です。
[01:12:19.440] ボート持ってない人?
[01:12:21.000] ごめん。もうない。自分。
[01:12:22.520] あ、ちょっと待って。今、え、捨てるのってどうやんだっけ?
[01:12:25.760] えっと、大丈夫。
[01:12:27.320] あ、9だ。はい。
[01:12:27.920] もう誰も俺の話してそうだった。
[01:12:30.960] あ、全員持ってる。
[01:12:31.520] 間違えて飛ばした時。
[01:12:32.639] 俺大丈夫?
[01:12:34.120] 俺持ってる。大丈夫?
[01:12:35.400] 行けるんですか?ボート、ボート。
[01:12:37.159] そら幽霊も幽霊わかった。そういうことだ。自爆とか
[01:12:42.639] 幽霊の気持ち分かった。だ仏できねえよお前。
[01:12:46.440] これ配信切れねえよ、俺。これ
[01:12:52.120] 配信切れねえよ、お前。俺これおいまずい呼んじゃったから。大丈夫?
[01:13:03.320] これ裏し屋でたからロボ。あの、昨日
[01:13:09.480] エンド要塞探すのと思ったから行けます。
[01:13:12.480] 確かに余分なやつ。
[01:13:13.800] いや、マジか悔しすぎる。
[01:13:16.800] なるほどな。
[01:13:18.880] マジで悔しすぎる。
[01:13:21.199] いや、待って。今日寝なきゃいけないんだから。ベッドまだ。
[01:13:23.520] そう。今日は寝なきゃいけないから。
[01:13:24.600] 今日寝た方がいい。チェスト。チェスト。
[01:13:27.639] ちょっと待ってね。
[01:13:28.719] よいしょ。なんか
[01:13:29.440] え、俺これで終わりなの?そうそう。何がある?わかんない。
[01:13:35.639] あれか。麦の種集めとくか。今のうちに。
[01:13:38.520] なんかとかないかな?
[01:13:42.440] の種。
[01:13:43.520] 麦の種でも麦ができるか作ってこう。またコラボ企画。
[01:13:49.239] 移動自体は明日する。そうです。
[01:13:51.080] あれ止まった。
[01:13:52.280] これあれだって
[01:13:53.600] あの
[01:13:55.360] あれしてんの4
[01:13:56.280] かけ4だっけ?
[01:13:57.199] ちょっと待ってね。
[01:13:57.800] おいしょ。
[01:13:58.440] 水が伸びるのって。
[01:13:59.600] いや、マジか。
[01:14:00.760] 確かに幽霊ってそうだね。
[01:14:02.960] けあるやん。そ
[01:14:03.760] かみんな楽しそうだった。あれだね。ゆ、幽霊の話してるわ。ちょっと待って。
[01:14:09.320] 俺の俺のあの北太郎してんの?北太郎してんの?俺の死
[01:14:15.159] やるしかない。
[01:14:17.000] みんなで行っちゃうと殴った。ノックバックで
[01:14:20.440] よし。
[01:14:21.760] 殴った。
[01:14:32.600] あんななんかあんな建物の後ろからあんな建物の後ろから出てきてたんだ。
[01:14:39.800] あんな建物の後ろから出てきてたんだ。
[01:14:44.120] 嘘でしょ?これ
[01:14:48.040] 厳しい。
[01:14:59.320] もう1回見よう
[01:15:01.239] 。ちょっと
[01:15:03.360] 行くかやりに行くしかないんだ。
[01:15:06.639] みんなで行っちゃう。
[01:15:09.000] やるしかないしょ。
[01:15:10.040] よいしょ。
[01:15:11.360] 殴横。ジャバ
[01:15:15.800] ジシュートシュートシュート。
[01:15:22.000] いや、もうしゃあなよね。いや、もうま、しゃあなよね。もうええ。
[01:15:34.800] もうちょっと楽しみたな。
[01:15:40.320] まあしゃがないよね。拠点の後ろから来
[01:15:42.440] ちゃったんだよ。あんなん避けようがない
[01:15:44.800] よな。
[01:15:46.880] いえや、これ悔しいな。これもう1回
[01:15:49.440] やろうぜ。
[01:15:51.480] もう1回やんね。これ
[01:15:54.760] めっためっちゃ楽しそうやん。
[01:15:58.560] めっちゃ楽しそうなんだけどみんな。
[01:16:02.560] どうやって?あ、やべ。あ、やべ。ごめん
[01:16:04.159] 。なんかあのなんか下に落ち方がいも
[01:16:06.520] こんばんは。ね、下に降りれなくなっ
[01:16:09.360] ちゃった。なんかどんどん上行っちゃう。
[01:16:10.239] あ、こうやって成仏するのかもな。
[01:16:14.199] あ、みんなさよなら。
[01:16:18.440] みんなさよなら。
[01:16:23.960] B、BGMもなんか
[01:16:28.520] BGMもなんか。
[01:16:31.600] さよなら。こうやって
[01:16:35.520] 忘れないでね。
[01:16:38.000] みんな
[01:16:39.840] 頑張って応援してるよ。
[01:16:44.040] ありがとな。
[01:16:46.120] 楽しかったぜ。
[01:16:50.280] さよなら。
[01:16:56.480] はい。
[01:17:00.000] 悔しい。
[01:17:08.719] 悔しいよ。
[01:17:17.560] ちょ、これちょっと早急にもう1回やり
[01:17:19.440] ましょう。
[01:17:24.080] 早めに全員死鳴きのも1回。いや、ないっ
[01:17:26.120] て言ってた。これ全員死んだらそこで終わ
[01:17:28.400] りっていう話なんだた。ないと思う。
[01:17:31.520] いやあ、
[01:17:35.080] これは悔しいな。いや、これいや、なんか
[01:17:38.719] 別にワンチャン別にさね、すぐ
[01:17:42.320] 死んでもまあいっか
[01:17:46.080] 話思ってたけど、これ悔しいな。
[01:17:50.800] これ悔しいよ。みんな
[01:17:59.000] か。
[01:18:02.880] まあ、僕のハードコアエンダード、俺これ
[01:18:07.040] のために4400円払ったんか?
[01:18:11.159] え、俺これのために4400円
[01:18:14.480] 払ったんか?
[01:18:18.280] そっか。
[01:18:20.840] まあまあさあ、これまたやろうよ。また
[01:18:23.800] やろうよ。これもうもう1回やってよ。
[01:18:25.960] 頼むよ。もう1回やってよ、これ。
[01:18:31.199] 4000円超えのボケ。
[01:18:34.760] 4000円超えのボケだな、これ。
[01:18:43.000] うわ、森の溶感の物字もなかった。いや、
[01:18:45.960] でも俺結構頑張ってなかった。
[01:18:50.560] 俺めっちゃ頑張ってませんでした。
[01:18:56.480] 俺が主催するしかねえな。クないっつって
[01:18:59.159] 。だってさ、だってさ、あの拠点作、作り
[01:19:04.199] 始めたの俺です。はい。も、ごめん。もう
[01:19:06.320] 俺もう今ちょっともう自分のこと肯定させ
[01:19:08.120] たから俺ですね。で、
[01:19:12.520] 何か全部もう俺がめっちゃ頑張ってたやん
[01:19:15.560] 。俺が残した意思をついでくれ、みんな
[01:19:19.080] ありがとう。はい、ありがとうございまし
[01:19:20.199] た。
[01:19:26.600] 信じられんね。
[01:19:32.440] なんやねん。ありがとう。
[01:19:36.080] でもありがとう。
[01:19:38.280] ご電
[01:19:40.800] 高電高電いただきました。マジかよ。
[01:19:47.000] 悔しいぜ。
[01:19:50.719] いいなあ。みんな楽しそうだな。
[01:19:56.120] いいな。みんな楽しそうやな。
[01:19:59.960] 使っちゃって。俺サンキュー。
[01:20:01.800] ちょっとあのほ、他の島まで見に行ってくるね。
[01:20:06.159] うわあ、楽しそう。
[01:20:08.400] 一緒に行く。2人乗りだよ。
[01:20:10.440] 楽しそう。もういいや。ちょ、悔しいからもう終わるわ。ました。けいちゃんに映しますんで皆さん。よかったら今日これ多分ま、長く続くと思うから。ま、みんなよかったらさ、は、あの、最後まで見て。
[01:20:24.880] そして俺がいたということを俺が俺が参加
[01:20:28.000] していたということを忘れないでください
[01:20:30.239] 。お疲れ様でした。ありがとう。みんな
[01:20:32.800] ゲームロボさんもありがとうね。
[01:20:35.360] はあ悔しい。うわ、おもろそう。え、
[01:20:37.679] ちょっとこれちょごめんマジで俺も俺やっ
[01:20:39.920] ていい?これ
[01:20:43.040] もう1回主催して第2回。ちょっと悔し
[01:20:45.280] すぎるわ。
[01:20:47.600] 悔しすぎるわ。お疲れありがとう。ほんま
[01:20:49.920] ほんまごめん。みんなほんまごめん。なん
