[00:00:41.039] あらっす。
[01:10:06.640] ?そんなことになってるとはな。光客なら
[01:10:09.000] この洞窟のさらに奥に生えとるが今は
[01:10:10.840] 難しいぞ。何それ?魔物の親玉が光けを気
[01:10:13.360] に入ってぶさぼり食とるからな。あんたら
[01:10:15.760] 危ない目にあってもいいんならその洞窟の
[01:10:17.400] さらに奥まで行ってみな。光魚は水際の
[01:10:20.280] そばの壁にびっしり生えとるはずだ。
[01:10:26.679] しり名の剣何なんですか?光りてうめえの
[01:10:29.520] かな?魔物が食うなら俺らもちょっと
[01:10:31.080] 食みようかな。調子いいな。今日いいね。
[01:10:34.360] 今日いいね。今日口の回りよし。口の回りよし。
[01:10:40.640] 回る回る
[01:10:41.560] 回る回る。もう口の滑り最好調。あ、人間だ。変な格好してんな。おめのが変な格好。大体一緒の格好してんだろ。あっちへ行ってちょうだい。人間と付き合ってるちら。しくり成り様のしく成り様。炙りカルビ。炙りカルビ。炙りカルビ。すごくない?今日口の周り良くない?炙りカルビ。炙りカルビ。炙り炙りカルビ。すっ
[01:11:00.400] ご。もうダめだ。ダメかも。ダメかも。やっぱり。やっぱりダめ。
[01:11:04.000] わしはなずこのと何もないぞい。炙りカルビ、炙りカルビ、炙りカルビ。今日はもうラジオがありますから。夜からもうペラ回してかないと。あ、
[01:11:14.760] この先には俺たちの太陽があるけど、今は魔物が荒らしまくってな。長老様がなんか頼んだか知らんが覚悟していけよ。やっぱ、あの、あれだな。仕事終わりで疲れてないのもあるね。仕事終わりで疲れてないのもあるわ。
[01:11:31.520] やばい。仕事はなんか強そうじゃ。やべえな。敵なんかちょっとずつ強なってきてないか。
[01:11:38.760] 睡眠よな。
[01:11:39.960] 睡眠よ。マジで。マジで睡眠。あ、たたた。ついに出てきたらラついにく。え、いいって。
[01:12:00.639] 獣読みちゃ、そんなそんなん?あ、ええやん。ええやんげえやん。ええやんけえやん。いったな。
[01:12:09.040] はぐれメタル行ったな。しもきちゃん、こんばんは。え
[01:12:14.440] えやん。おいおい。2匹倒した。2
[01:12:15.960] 匹倒した。2匹倒した。え、キラパンは
[01:12:18.679] 2発目回心確定。あ、そうなんは
[01:12:22.800] 倒せたんだが。ああ。れ
[01:12:25.880] ちゃった。快、快感。快感。
[01:12:29.199] ゆカリック安牌。ゆカリック安牌。
[01:12:31.960] ゆかり飲んでなくないね。声大きいよ。あのメガネの子あれかわいそうね。
[01:12:39.719] あのメガネの子だ。
[01:12:41.120] 最高じゃん。
[01:12:42.920] ほら私が
[01:12:44.480] もうここでめちゃくちゃレベル上げたろかな。
[01:12:46.120] 一きのきのき。あいはいよ。
[01:12:52.719] ええ。歯メタ出るんやん。ええやん。ええやん。
[01:12:59.239] 外めたいったな。やん。
[01:13:05.040] ドラゴンも十分強いよね。
[01:13:10.960] よかった。そろそろレベル上げ必要かなと思ってたからさ。
[01:13:17.440] そろそろレベル上げ必要やなと思ってたら
[01:13:20.400] ちょうどええやん。ちょっとまたここでレベル上げてっちゃうかな、いっぱい。
[01:13:27.080] ここでレベル。あ、間違えた。やべえ。あれだ。さっきのボスと戦った時にさ、俺は
[01:13:32.719] あれだ。いや、転職せなせなあかんやん。転職せなせなあかんやん。僧侶でもマスターせなあかんやん。僧侶マスターしてながら、えー、魔法使いと賢者だったらどっち残す?賢者を残して戦士をマスターしに行きますと。
[01:13:51.280] え、ほんで、え、盗賊
[01:13:54.520] 魔物使いを残しながら
[01:13:57.560] 海賊をマスターせなあかんやん。よし、
[01:13:59.440] これで行こう。
[01:14:02.840] え、なんでやねん。これ
[01:14:09.000] 、バトルマスターより戦士の方が強いよ
[01:14:10.920] なって若干思ってんだよね。
[01:14:13.960] あ、でもあれだな。でも、でも強、ま、で
[01:14:15.880] もね、岩石落としとか強いんだけどね。
[01:14:18.239] でも結局力貯めて天地無双、天下無双、それが
[01:14:23.360] 1
[01:14:23.480] 番強いんよね。ぶっちゃけな。ぶっちゃけそれが
[01:14:26.159] 1
[01:14:26.280] 番強くて早い。そして海賊になりたい俺は。
[01:14:34.920] 雑魚狩りはバトマスか。
[01:14:37.600] 雑魚狩りはね。でもボスの時はさ、ボスの時バトマスは全体技があるからね。岩石投げとかね。
[01:14:44.960] それはいいんだけどね。もうハグネメタルが出るって分かったらもうここはあのもう先制攻撃しないよ。わし
[01:14:53.800] おナイス。なんだよ。もうはぐれメタルが出る時代まで来ちゃったんだな。来ちゃったんすわな。天かそう。
[01:15:11.560] あ、弱いな。なんか思ったより弱い。
[01:15:17.199] マニベルが1
[01:15:18.120] 番ちょっとこれうぜえな。井戸魔人めっちゃうざくない?
[01:15:22.560] 遅延しかやってこないんだけど。危ねえ。おいおいおい。命の意識使っちゃったや。
[01:15:33.159] マリベルちゃんが1
[01:15:35.840] マリベルが1番火力あるな。
[01:15:43.360] やめてよ。デモ
[01:15:48.120] 自分の方から回復するね。
[01:15:51.440] やめて
[01:15:53.280] やめて笑。
[01:15:56.120] やめて。
[01:15:57.719] 今ちょっと女の女同士のちょっと怖いとこ出たよね。今ね、
[01:16:01.639] 自分から回復していく。まずはな。
[01:16:03.920] さて、
[01:16:07.719] こいつうざいんだけど。
[01:16:17.840] 井戸マジうぜえな。ラリホとかさ、おたけ火とかそんなんしかやってこないんだもん。
[01:16:24.400] さすが
[01:16:25.639] ガンガン上がっていくでレベルはグメタが出ると聞いちゃ黙っちゃおうけね。え、何こいつ。
[01:16:39.760] な、
[01:16:39.880] なんていうモンスター知らないんだけど。は、
[01:16:45.600] こんなやついるんだ。キングムーチ。へえ。
[01:16:52.159] ダンビラムーチの色違いっているんだ。
[01:16:57.600] いやい、よく見たらキングムーチにも乳首があるな。
[01:17:05.600] ム族ってこと?
[01:17:06.920] ムーチ族やな。
[01:17:11.679] 強いな。それ
[01:17:17.520] かいい。
[01:17:23.239] いいね。いや、強いな。やっぱ敵強いよね。
[01:17:27.000] 敵強なってますよね。
[01:17:30.239] いったった。
[01:17:34.199] ちょっとなんかいまいちアイラとかさ、ガボとかがいまいち強くないんだよね。
[01:17:40.960] どんな問題?
[01:17:44.719] めっちゃレベル上がる。めちゃめちゃ上がっていく。まあでもはぐれメタルが。ああ、倒しちゃった。倒しちゃった。
[01:18:02.600] はぐれメタルが出るのであれば
[01:18:22.120] だるいけどやん
[01:18:25.840] さんおりお疲れトりお疲れこんばんは
[01:18:31.239] いや、もうやめてよ。せい。
[01:18:40.280] やば、
[01:18:44.920] もうだるいで。
[01:18:47.920] そう、真っ暗だ。
[01:18:55.040] ドルモーアとかが強いね。ガボはね。
[01:19:01.239] お、いいぜ。分回し
[01:19:07.280] せ
[01:19:08.719] ぐめたら出ないかな。ああ、なんかなかなか出ないっすな。なかなか出ないね。
[01:19:21.320] ドラゴン呼び。
[01:19:24.320] ギガントドラゴン出てこない。
[01:19:36.560] いいねえ。いいね。いいね。いいね。
[01:19:40.679] おーい。
[01:19:42.880] あ、来た、来た、来た、来た。
[01:19:51.760] どんなもん。
[01:19:55.239] よしよし。
[01:19:57.920] ギガドラかっ。
[01:19:59.199] ギガドラかっこいいね。
[01:20:00.440] あのドラゴンはスピノサウルスに似ていた。
[01:20:03.080] 何ですか?スピノサウルスどういうやつだろ?わかんねえ。スピノサウルスちょっとごめん。わかんねえわ。子供の頃で俺だったら分かるかも。なんだこいつ。うめえめえ。あ、こりゃたまらんぜよ。
[01:20:25.120] 全く最近は我々の縄張りも減っちまってうまいもんでも食わなきゃやってられないぜ。
[01:20:36.239] キモピノサウルさんの頭と背中にひレを持つ巨大なエロキラプトルのような恐竜だ。
[01:20:44.800] ブエロキラプトルがわかんないよ。今度ブエロキラプトルかわかんね。
[01:20:52.080] こいつら人間です。
[01:20:53.600] ガマデウス様、
[01:20:54.639] ガマデウス。
[01:20:55.440] タルの奴らだな。
[01:20:57.920] なんぜよ。どうも臭いと思ったら人間か。しかしまコスタルにここまで来る元気のあるやつがいたと。
[01:21:09.000] ガマデウス。
[01:21:12.880] 全く関心するぜ。
[01:21:15.320] どうもチまデウスです。
[01:21:17.880] あまり
[01:21:18.360] ちょっと似てるし。ちょっと似てるし。
[01:21:21.120] ビにこの和がお前らを食ってやるぜ。
[01:21:26.400] しかしそれはティラノサウルスレックスに向ていたがより長く噛む力はそれほど大きくなかった。
[01:21:36.400] うん。
[01:21:45.760] よし。
[01:21:48.159] え、もいます。
[01:21:53.400] 恐竜博士やなあ。恐竜博士やなあ。したらさ、とりあえずスクルト
[01:22:04.159] 2
[01:22:04.280] 回打っとくか。ファイトル。いいね。いいね。ああ、余裕だわ。余裕なんだな。
[01:22:22.080] あ、やべ。あれ、あれ、あれ覚えてねえん
[01:22:23.760] か。ああ、
[01:22:26.679] あの変なジバリーナジバリーナ
[01:22:28.800] 覚えてないんすな。
[01:22:34.920] まもじゃ戻るもんはやっちゃおっか。周り
[01:22:37.600] から倒行くぞ
[01:22:40.080] 。
[01:22:43.440] まあ
[01:22:45.920] ためやろな。
[01:22:50.400] ふーこはもうなんかね。あ、でもいっぱい切るけどいっか
[01:23:02.679] 頑張るわよ。
[01:23:05.719] あ、バーハもやりたいすな。フバーハも必要だね、これね。メダパニダンスとかは効かないでしょ、どうせ。
[01:23:21.360] いや、どうしよっかな。なんか何やろっかな。バイキルトもさ、ガボマリベルも結構魔法で戦うからね。結局魔法で戦うからね。戦いの前もだからあんま必要ないんだよね。
[01:23:35.679] 私はずっと男性は皆子供の頃にたがと思って。
[01:23:41.880] いや、まあまある。ま、確かにあるよ。確かにあるけど。
[01:23:47.920] え、グバハお任せ。ツモ。ツモ呼びやってみるか。じゃあドラゴン呼びやってみる。
[01:24:09.639] ドラゴン呼び。
[01:24:11.920] 来た。来た。
[01:24:13.880] よかった。
[01:24:14.560] ある、ある。日本でも一緒だよ
[01:24:21.320] ね。大人になるにつれてその頃の記憶はね
[01:24:23.400] 、なくなっていくんだよ。悲しいことに。
[01:24:25.120] ま、フジとかやめてよ。おいおいおいおい
[01:24:28.320] 。マリベルちゃんそりゃまずいっすよ。
[01:24:33.520] そりゃまずいよ。
[01:24:36.880] こやっちゃうか。
[01:24:43.080] マリベル。こりゃまずいっすわな。
[01:24:46.440] ご覧。あれ?
[01:24:49.119] ありがとね。
[01:24:51.320] マジかよ。いや、まずいね。内爆。シールドアタック。ま、だったらバフ、バフはバフやっとくか。来る、来るべき時のためにな。
[01:25:14.960] いや、魔法使えないのしんどいね。
[01:25:24.360] かいい。
[01:25:28.520] ま、でもこれが強いからな。強いね。いや、強いね。これで
[01:25:37.360] 5600
[01:25:38.119] ね、与えられてるわけだからいいよね。
[01:25:44.159] え、仲間全体を確実に復活させて悪い効果も消し去るっていうの?これはさ、あれか、魔法トも消せんのか?魔法トも消せる。
[01:25:55.000] はあ。ガ。
[01:25:59.159] おお。あ、ま、魔音消えるんだ。いいね。いいじゃん。ウィね。じゃ、消えた。
[01:26:12.159] で、こうでしょ。ああ、ドル。
[01:26:16.040] いいね。あ、間違えた。
[01:26:22.360] 間違えた。3
[01:26:23.000] 人切りやっちゃった。キラージャグリングって強いのかな?
[01:26:35.960] まあまあまあまあま強くねえな。
[01:26:40.679] なんかあんまり強ないね。なんかめちゃめちゃ強い時期あったよな。めちゃめちゃ強い時期ありませんでした。なんかあ、
[01:26:51.000] バキブ
[01:26:57.600] あなたが召習慣したそのドラゴンは冬を起こす準備をしていたようで当民のまっただ中に目覚めてしまったようです。
[01:27:06.000] なんかの作品でぶっ壊れだった気がする。スのドラクエ
[01:27:10.320] 8とか強いってく。
[01:27:14.159] ギガントドラゴンは太ってるからな。太ってるからってことな。ハッスルダンスか。
[01:27:22.520] はえ、
[01:27:25.239] ありがとね。
[01:27:34.199] いや、もうこれで終わるっしょ。
[01:27:36.400] ややんねえ。
[01:27:43.920] 行くぞ。
[01:27:46.119] なんだよ。強いじゃん。キリ戦。
[01:27:52.679] はい。お疲れちゃん。よしよしよしよし。ええな。
[01:27:58.040] ええやん。ええやん。
[01:28:00.760] やるじゃん。
[01:28:01.800] えへん。
[01:28:02.880] ええやん。ねえやん。
[01:28:04.560] さん、なぜこのわしがわしに勝てのドラゴンが
[01:28:17.320] 16
[01:28:18.000] のドラゴンを優しているという話です。
[01:28:21.239] 何を言ってんだ。おらが考え持つかのような。
[01:28:33.960] 運登録知ってんね。運登録知ってんね。ちょ登録やめて。登録すごいよな。雑コしって思いつくか。
[01:28:48.600] そんなのそんなの思い光語って何このなんか豪からなんか箱に入ってるけど。
[01:28:57.440] よし、コスタルに帰ろう。ルーラしちゃおう。
[01:29:25.560] おいたいた。あ、ちょっと待ってちょっと
[01:29:27.760] 待って。ごめん。トイレ行ってくるわ。
[01:29:29.560] ごめん。ちょ、おしっこだけさせて。しべ
[01:29:32.199] 登録ちょっとおしっこだけしてくるわ。
[01:29:34.159] ごめん。ちょ、ま、すぐ戻ります。
[01:29:40.000] プカプカ
[01:29:45.400] ごゆっくり漏れた。
[01:30:15.920] 遅いな。ちゃまぷんちゃにめ。
[01:30:39.520] う、行くだけだったらこんだけ早。レオナルドダブインチは自分の毛に混ぜて壁への定着性を高めていたと書いてあった。おかり。
[01:30:54.760] ただいま。最近読んだビ術にレオナルドダビンチは自分の尿を絵の具に混ぜて壁の定着性を高めていたと書いてあった。なんやねん、その情。
[01:31:08.320] なんやねん、その情報。王様早ってはいけません。じレオンどのが来ましたよ。
[01:31:16.840] 界隈。
[01:31:18.320] 界隈。お、よくぞ。戻られた。今まさに魔った赤ゴが全員びっくりサになっちゃうんだ。ぬわん。疲れた。もう連早くその光けよ。
[01:31:40.280] ちかれた。
[01:31:42.280] 疲れた。あ、こんなうまくいくもんかね。急に
[01:31:49.400] 野生のびっくりサタンも元間か。
[01:31:51.920] ええ、もう何人も殺してきたよ、俺。それじゃあこれであの子の行き先分かるんですね。早く後を追って
[01:32:00.280] これ
[01:32:00.920] 待ちなさい。謝ってはいかん。
[01:32:07.080] が後終わって何ができるというのだ。
[01:32:10.840] あれ?これしもきんちゃんこんばんはって
[01:32:12.360] 言った俺言ったっけ?
[01:32:16.119] いや、我々とで同じこと。連土の側をおら
[01:32:18.440] ねば光ごきも手に入らなかったはず。この
[01:32:21.360] ここは恥をしんで連度にお願い。もう
[01:32:23.119] どんなもう全部俺ら任せやん。
[01:32:27.320] 今後のことにつて話したいことがある。
[01:32:29.119] もうどうせ俺らに行けって言うんでしょ。
[01:32:56.639] さて
[01:32:57.280] はい。
[01:32:57.840] この度の活躍見事であった。
[01:33:00.119] はい。
[01:33:01.199] 心から霊を言おう。ありがとう。
[01:33:05.520] これで光る足跡を辿どって北の大東を登る
[01:33:10.400] ことができるようになるはずだ。そして
[01:33:14.360] 大東の裁団に共る闇の炎を浄化することが
[01:33:18.639] できればこの国は救われるかもしれん。
[01:33:23.080] しかしその前にあと1つ必要なものがある
[01:33:27.520] 。
[01:33:29.400] 7色の雫という清き水。
[01:33:32.159] あれ?七色のって持ってない?
[01:33:35.360] 詳しいことは
[01:33:36.199] え、7
[01:33:36.639] 色のしずって持ってんなかったっけ?あの
[01:33:38.880] わしが間違っと説明をしては大変じゃ。
[01:33:41.520] あれ?あれだよね。うちの地元のやつだよね。
[01:33:49.159] え、5
[01:33:50.159] ほら。
[01:33:51.440] 7色のしとは7
[01:33:53.119] 色の入江という聖なる場所を満たす海水のことを言います。
[01:33:56.960] 空手か入リエね。
[01:33:58.600] ですから7
[01:33:59.480] 色の入へ行けば簡単に手に入るはずですがとある学者はこう書きしています。
[01:34:05.440] 闇営業で有名。
[01:34:06.760] この世の中心の海に浮かぶ小さな小さな無人島に
[01:34:10.639] 7色の入は存在す。
[01:34:12.199] まだことは無人島なんや。え、
[01:34:14.440] 清き水に称えられたそのは心を癒し
[01:34:18.719] 深き眠りへといううという
[01:34:21.280] 空手かね。
[01:34:24.760] しかし七色の入り絵へたどり着いたものはいない。
[01:34:27.920] え、これあれだよな。
[01:34:28.639] そこは神の領域なのだろうかと。
[01:34:31.639] 持ってる絵持ってる絵。
[01:34:34.360] 闇の炎を浄化する清き水ね。旅の始めに炎の火山でも似たようなことがあったわね。なあ、めっちゃ万能やん。あの水なんな、なん、なんの入ってなんなんそもそも。なんかあんななんかさ、地元にポツンってあるけどそんなすごいなんかあそこに説明がないよな。
[01:34:56.040] あの時使った精水はあんたが持ってたものなんだ。うん。
[01:35:00.199] なんか覚えがあるんじゃないの?
[01:35:02.040] いや、なんだっけ?本らにもらったんじゃなかったっけ?あるよ。
[01:35:06.760] やっぱりね。
[01:35:07.840] 可愛いな、今の。
[01:35:09.400] なんと
[01:35:10.000] 今の
[01:35:10.480] なんということだ。
[01:35:12.239] では、そのでのとって大へ。
[01:35:17.440] え、ごめん。全話聞った。何?ごめん。今あのマリベルのめちゃくちゃ可愛い。
[01:35:23.600] やっぱりね、引きなってん。
[01:35:26.800] しかしその島は調べによると無人島のはずじゃなかっただろうか。
[01:35:31.480] 今はな、
[01:35:32.840] 細かいことを気にしている場合ではない。そなたに心当たりがあるならば是非
[01:35:40.239] 7色の雫を手に入れてきてほしい。
[01:35:42.679] あれ持ってないんだっけ?もう
[01:35:43.960] 魔物となった赤ゴの足跡を追い大東台へ向かうのはその後じゃ。
[01:35:50.840] 持ってないんだっけ?これ本当に取りに行くんだっけか。あ、
[01:35:59.119] ひ、
[01:35:59.719] これか。すごい精水の瓶か持ってないんやわし。おなちゃん、こんばんは。やってるよ。やってるよ。え、じゃあ、ま、俺現代に戻っていいの?現代に戻るよ、じゃあ。
[01:36:16.679] え、
[01:36:18.760] うん。
[01:36:21.600] ねえ、島の北にある飯入れ君んだ。あの通、ただの開水があのすごい精水ですって。あんたのおじさんってろないわね。生体融合型光職売ね。生体融合型光職売取り行こう。じゃあ今から何が分解されてるか分かりません。
[01:36:49.159] えー、現代に戻るのどっから戻るんだ?あ
[01:36:52.159] 、そっか。
[01:37:16.800] 7色でありました。
[01:37:40.159] ん?
[01:37:42.119] 慰例は7色にキラキラでいる。
[01:37:45.360] このすごい精水の瓶なら水を組めそうだ。
[01:37:47.400] 7
[01:37:47.599] 色の遺伝の水組みますか。はい。や、まあいいんだけどさ。ここ、ここ何なん?ここなんか困ったらここに来て全部解決してるけどさ。ここは何?なん?
[01:37:59.520] ガモ。
[01:38:04.520] なんか困ったらここの水ぶしかけとけばなんとかなるみたいなさ、なんか感じになってるけど。
[01:38:09.320] ここ何ななん?
[01:38:25.320] え、どっか繋がってる
[01:38:28.239] んや、これ
[01:38:30.000] ねえ。
[01:38:36.920] どこだっけ?どこでしたっけ?
[01:38:40.320] あ、たった
[01:38:44.679] 。何なんだよ。あの7色の7色の入り絵の
[01:38:47.239] 正体がわかんないんだけど
[01:38:49.960] すなんか都合都合よ都合良くないか?なん
[01:38:52.880] か何の説明もないけどなんかしんないけど
[01:38:55.800] あそこのなんかあんのかな説明が。この後
[01:38:58.880] 重要な伏線になってんのか
[01:39:04.520] ワンピースみたいなことなってんのかな
[01:39:06.239] やっぱ。実は人ひのみでしたみたいな。
[01:39:10.000] あら。あ、もう、もう行くのね。東にね。
[01:39:27.760] もう東台に行けばいいのね。回復はしてんのかな?してますな。
[01:39:35.080] ふ上
[01:39:53.320] か。
[01:39:59.480] ちょ、こいつちょっとこいつちょっと
[01:40:00.800] だるいな。だるいだるいだるい。
[01:40:05.440] はい、どうもこんにちはす。
[01:40:06.639] どうも。案外明るいしな。
[01:40:13.520] あら、
[01:40:16.440] 思ったより明るいやん。もっと真っ暗なんか。
[01:40:22.719] あ、え
[01:40:26.520] え、
[01:40:28.480] ただいま。
[01:40:29.440] あ、お帰り。エミネーター
[01:40:32.239] 1発な。
[01:40:35.719] エリミネーター1発。あ、ガキ。
[01:40:38.360] え、これ大丈夫?なん?倒しちゃって。え、ガキじゃないの?これ今。え、倒しちゃってよかったのか?
[01:40:46.320] あ、人殺し
[01:40:50.520] いったな。あ、ツボックな。もうやめて。
[01:41:02.800] え。お、今なんか普通にや、
[01:41:08.280] これさ、仲間のこと殴るのなんなんやっぱこう我に帰るためにや。
[01:41:18.159] さすがにガキやるのはまずいだろ。
[01:41:22.199] うん。ガキあちったな、今な。
[01:41:24.000] かいい。
[01:41:26.520] いや、なんか普通に話しかける流れかなと思ったら普通に剣振っちゃってた。何の躊躇もなかったわ。
[01:41:34.679] 1mmの1mmも躊躇してなかった。
[01:41:36.639] そんな問題。
[01:41:42.239] ほら、私が。
[01:41:44.119] ここもはぐれメタル出るんか?ここもはぐれメタル出る。
[01:41:53.760] 救済したんだよ。
[01:41:56.800] もう人に戻れないならない一そ。うん。人に戻れないなら一そ。この手でやせい。
[01:42:15.440] アグネメダル1
[01:42:16.199] 回しか出てきてないんだけどもっとやりたい。
[01:42:27.280] あんま強ないな。キラージャグリームな。あんま強ないな。可愛いな。
[01:42:38.960] やあ、
[01:42:43.840] やったわね。
[01:42:48.599] 鉄鉱山。
[01:42:50.360] パラディンパラディン強いね。
[01:42:56.159] この世界では恐竜と非常に弱い存在のようだ。
[01:43:00.000] そうなんだよ。今日あ、やだ。やめ。おい。ちゃんと
[01:43:06.599] 4
[01:43:06.719] 人出てくんのかい。ほんで敵やっぱ強い。デビルアーマーやっぱちょっと強いよな。やっぱな。
[01:43:17.679] ね。う。はあ。
[01:43:27.880] おら、おら、おら。
[01:43:31.000] おーい。
[01:43:40.440] 強い。マリベルバ
[01:43:52.480] 強いな。全然倒れねえよ。
[01:43:55.840] いや、もう最悪や。なんやねんそれ。
[01:44:00.520] た舞い上がれ。
[01:44:07.480] なんかいわ、アイラがちょっと
[01:44:09.800] よし。
[01:44:10.760] アイラがちょっとよね。なんか切り戦。
[01:44:14.360] ああ、ちょっとアイラちょっと変えてみようかな。おじいちゃんにしてみよっかな。
[01:44:17.960] コンサルト単体なんや。
[01:44:19.880] うん。回し切りとかだろうな。多分あれは全体はちょっとおじいちゃん使ってみよっかな。おじいちゃん、おいちゃん使っていい?おいちゃん使ってみようぜ。
[01:44:36.080] こいつやっぱでも強いしな。かっこいい。
[01:44:50.119] はあ。な
[01:44:50.760] んだっけ?こいつかっこいい。やっぱ一番かっこいい。このモンスターがな。吹っ飛べ。
[01:45:06.440] い。
[01:45:08.639] おお。
[01:45:11.920] 今お兄さんと
[01:45:15.480] 何?
[01:45:17.560] 今お兄さんと聞いた
[01:45:26.480] せや。
[01:45:28.880] やべえ。MPがねえな。
[01:45:31.800] 上でござる。
[01:45:34.040] 違うか。わかんねえけど。違うかも。もうツボックばっかやん。
[01:45:50.440] 魔力よ。間違えました。
[01:45:55.520] ええべ。
[01:46:06.880] はははていい。
[01:46:16.040] お見事。
[01:46:38.040] こっちね。ああ、
[01:46:43.280] 下手くそ。
[01:46:50.000] やば。MP全然なくなってきてる。
[01:47:06.920] 早くして。
[01:47:10.560] あの場所はカうアミルパ洞窟に少し似ている。
[01:47:14.520] うん。全然わかんねえけど。なんだ?うアルミ洞窟じゃ。
[01:47:21.480] 絶対適当に言ってんだろ。
[01:47:22.599] 曲いいな。
[01:47:23.679] 絶対適当に。絶対適当に言ってんだろ。曲いいね。もうみんなも大変やで。コメントすることもねえし。
[01:47:39.679] まあ鍵かかっ
[01:47:53.880] 足跡やね。
[01:47:55.599] 綺麗やなあ。光ってて。あ、ぐんぐんぐんぐんぐんぐん。来た来た来た。あー、
[01:48:04.360] これやで来た。
[01:48:06.599] ナイスタイミング。
[01:48:08.400] ナイスタイミング。ええよ、こんなん。どけ。よしよしよし。はい、
[01:48:13.560] 1
[01:48:13.800] 匹確定。え、やめて。そっち危ねえ。はい。
[01:48:17.199] 1匹確定であざすと。
[01:48:19.080] 1
[01:48:19.280] 匹確定であざす。しかもメタル切りも覚えてるんだよな。ワリベルちゃんが頼むで。お、いいね、いいね、いいね。逃げんなよ。おし、よし、よし、よし、よし、よし、よ、よつ、よ、よつ。うわし、うまし。か愛い。
[01:48:37.000] うましず
[01:48:38.719] うましうまし。ま、これなんよな。これ獣は呼びの当たり枠ってマントゴアであってる。
[01:48:48.199] 獣呼びのグ
[01:48:50.080] 2万499。
[01:48:52.880] そやね。
[01:48:53.639] あ、そう。当たり枠なんだ。やっぱい。これもうほぼ行きかけました。ほぼ行きかけました。
[01:49:00.760] 苦しいとこから始まって。
[01:49:04.000] さすが私。
[01:49:06.119] わほ
[01:49:06.760] いいぜ。
[01:49:08.679] 日々成長でござる。
[01:49:10.480] せやな。よし。うばしやっぱ出るんだな。ここにもな。ここにも出てくるんだね。はい。これミックです。はい。よ
[01:49:22.159] おそらく子供いいぜ。ああ、ま、いいや。出てこい。うい。
[01:49:30.000] ぐんぐんぐんいいぞいいぞいいぞいいぞ
[01:49:34.920] おら
[01:49:37.080] せよ
[01:49:38.840] いいよ
[01:49:40.159] あいいねちゃんといいもうこれキラパン呼べればもうそれで十分やもん最高やん
[01:49:50.080] 今のところさ今のところあれだぜ真っ暗だ
[01:49:55.159] 全部全
[01:49:58.440] ハグレメタル前哨中。もうぐんぐん強くなっていく。
[01:50:05.599] 響せ。
[01:50:09.560] 魔法の鎧いとは?ドラゴンメイル。
[01:50:20.639] いや、マドロミの剣じゃなくてやっぱ攻撃
[01:50:22.760] 魔力が欲しいんで。
[01:50:28.800] 魔法の鎧いや。
[01:50:33.760] シルバーメイルいいね。
[01:50:39.719] ここ開くのかな?この書か意味あんの?この書通させる意味ある?こういうのっちゃん難しいんだけどな。あ、なるほど。落っ越した時のためにショト化すんのか。
[01:50:57.360] しクさんが5ドルクに
[01:51:00.400] 24ヶ月目です。
[01:51:02.599] ありがとうございます。サブスクありがとう。
[01:51:05.599] 累計24ヶ月も2年2年2年サブスクし
[01:51:09.119] てらとも長なったな。
[01:51:13.520] あります。あらすどうもこんにちはっす。
[01:51:16.520] どうもこんにちはす。邪魔ゲームと申し
[01:51:20.000] ます。代わりの剣や。
[01:51:25.480] いこさんが5
[01:51:26.360] ドル。おいおいおいおいおいおい
[01:51:28.480] 18ヶ月目で。
[01:51:29.719] おいおいおいおいおい
[01:51:31.760] おいおい。便城と野獣。便城の便č長と野獣意の冒険な。いいじゃん。サブスクサブスク稼げてええやん。小銭にありがとうございます。
[01:51:47.960] もう王兵王兵大王兵だ。王
[01:51:56.679] じさんはドンキホテに少し似ていますね。
[01:51:59.880] たさんのグループにいるおじさんはドンキホテメルビンのこと無言の時間だ。王兵王兵大王兵だから小前にありがとうございます。
[01:52:14.679] ワンサブスクにつき俺に約いくらだ?
[01:52:18.599] 350円ぐらい入500円ぐらい入って
[01:52:20.400] くんのかな?500円も入んねえよな。
[01:52:22.760] わかんねえけど。ま、そんくらい入るんで
[01:52:24.560] 。
[01:52:26.440] ありがとうございます。
[01:52:29.159] そのお金がゲームの購入になりますと。
[01:52:31.599] 割とでかいよ。マジで割とでかいって。
[01:52:36.119] 割とでかいよ。
[01:52:38.880] で、今は3
[01:52:40.119] 万サブスクだっけ?そのくらいある。
[01:52:42.719] そうだからそれかける300円。350
[01:52:44.599] だとしてみ。それで大体サブスクだけのサブスクのみの収入が分かるわ。
[01:52:50.480] 3万サブスク×
[01:52:52.320] 350円ね。
[01:52:55.480] 1000万。
[01:52:56.520] いや、だからそういや、マジでそんくらいもらってるってことで多分。うん。
[01:53:00.320] えぐすぎ。
[01:53:03.400] えぐいよ。50万くらい
[01:53:05.280] でしょ。そんくらいもらってんだよ。
[01:53:09.159] 俺で俺今30サブぐらいだけどこれあの
[01:53:13.960] なんつうの?ま、継続してくれてる人で
[01:53:15.639] そんくらいいるんだけどだから3だから
[01:53:18.400] まそれだけで1万ぐぐらいか
[01:53:22.719] はもらえてんだよ。
[01:53:24.440] で、その他にもなんかさ、ま、多しくっそビビたるもんだけど、広告があって、
[01:53:30.679] 順に俺の小学金
[01:53:32.199] あとまうかな。より多いのほんま?
[01:53:38.280] あのさ、サブスクしたら見に来いよ。なんで同説より多いねん、サブスクライバーが。
[01:53:45.159] 年収1.200
