[00:00:20.560] おいす。
[00:56:35.640] やったことない。
[00:56:36.480] マジか。
[00:56:37.240] やったことない。
[00:56:39.079] DKチャレンジはホームメニューの
[00:56:41.680] NendoSwitch
[00:56:42.640] オンラインアプリから参加可能。
[00:56:44.760] ええ、
[00:56:45.920] 明日6月10日から9月1
[00:56:48.559] 日までお楽しみたい。
[00:56:51.680] なんかあ、絶対ストーリー面白いんだろ。バン
[00:56:54.839] の有料追加コンテンツ[音楽]
[00:56:56.880] へえ。アイランドアエメラルドラッシュで
[00:57:00.359] スーパーマリオブラザーズとのコラボを開催。
[00:57:02.839] へえ。
[00:57:03.880] レディゴー。
[00:57:05.920] エメラルドラッシュの衣装がマリオとルイージにお
[00:57:11.000] 他にも濃いなさそうな兵
[00:57:13.839] ええスーパーキノコ
[00:57:17.079] はてマブロックなどいろんなものがスーパーマリオ仕様になった特別なエメラルドラッシュを遊ぶことができる
[00:57:27.400] このコラボイベはご覧の何すいダ
[00:57:34.480] 開始。そう。
[00:57:35.920] ドンキー好きだよ。
[00:57:37.760] 分かりやすい。
[00:57:38.720] ヴンパイアサバイバーズ制作人による最新
[00:57:41.680] バンサバね。
[00:57:44.160] 領域展開。
[00:57:45.319] え
[00:57:46.280] お
[00:57:48.039] ヴンパイアサバイバーズの制作人による最新策。
[00:57:51.240] え、
[00:57:51.640] 呪術回戦ランブルサバイバトンが登場。
[00:57:55.119] だったらだったらバンサバでコラボすればよくない。
[00:57:58.000] 人によるバトルロイヤルを制したものが作ったんだってね。
[00:58:04.160] プレが接触することはなくそれぞれのフィールドで敵を倒しポイントを稼ぐ
[00:58:11.559] そして100
[00:58:12.480] ポイントを獲だよな。でも見てきる
[00:58:16.039] おもろいの呪術回って見た方がいいアニメ見よっかな。
[00:58:18.760] 15
[00:58:19.000] 分が終了した時点で上位
[00:58:21.160] 2名による直接バトルが行われる。
[00:58:23.640] 泣く。
[00:58:25.359] はどちらか
[00:58:26.240] 私も見たことない。
[00:58:27.640] 登場キャラクターは見てない。プレイするほど解放されていく。
[00:58:32.400] あ、でもこの人だけ知ってる。エッチだなと思って見てる。のプレイはもちろん
[00:58:36.680] CPU相手に1
[00:58:37.799] 人で遊ぶこともちょっと使えるようになるの
[00:58:40.359] 焦点を目指して上が
[00:58:42.000] えビってるやついねえよなのやつ。これ
[00:58:44.280] 呪術回戦ランブルサバイバトンは
[00:58:47.000] 2026年配信
[00:58:49.920] 違います。
[00:58:50.760] あ、違う。
[00:58:51.280] Nintendosイッチ2
[00:58:52.680] ピックアップタイトル。
[00:58:53.720] それは東京リベンジャーズ。
[00:58:55.480] 通でね、
[00:58:56.559] 3キャラクターズが集まる世界でアバターを作って遊ぶ
[00:58:57.695] [音楽]
[00:59:01.440] ケの穴がない。
[00:59:03.960] これやりたい。
[00:59:04.640] キャラクターをテーマにした[音楽]
[00:59:06.319] 40種類以上のミニゲームや
[00:59:08.880] 様々なボードゲームを収録。北極
[00:59:12.160] う。
[00:59:12.960] 登場キャラクターは140種類以上。
[00:59:16.480] え、あのおばあちゃんも
[00:59:18.760] 他にもアバターの世界やなどいんな。
[00:59:21.276] [笑い]
[00:59:23.359] これ参加型する。これ参加型する。
[00:59:26.400] 3
[00:59:26.640] 秒は
[00:59:28.160] 参加できんの?みんな発売
[00:59:29.960] なってやるよ。じゃあ
[00:59:31.559] 3
[00:59:31.799] 週間連続ぶっ続け
[00:59:33.520] やん。丸行くわ。[笑い]
[00:59:35.440] テルズオブエターニアがテルめ
[00:59:40.640] あれだろうな。タン喜んでんだろうな。
[00:59:43.880] 別の世界からたな。
[00:59:47.400] 触ったくないな。俺
[00:59:48.280] の世界に滅の危が迫っていることを知る。
[00:59:52.319] アニメアニメしてるからな。なんかいいね。めっちゃ
[00:59:58.240] これ何のやつ?元々元々
[01:00:07.599] 出た出た。ラディ出たよ。
[01:00:11.680] ランディ出たよ。
[01:00:15.641] [笑い]
[01:00:17.480] ダビスト出たよ。スタートは1
[01:00:19.599] 等の繁殖馬から
[01:00:21.760] 馬やん。
[01:00:22.640] を考えて種けた。笑笑
[01:00:25.559] さんガで出ますよ。
[01:00:27.400] 調京メニューを重ねながらあなただけのを送りします。
[01:00:32.960] これ新作なの?これ
[01:00:37.480] スタートしました。少しばらつきました。
[01:00:39.559] 3番プレシャ。
[01:00:40.599] 確かにリアル目線リアルリアルじゃなくなったんリアルだけどリアル路線じゃなくなった。
[01:00:46.799] 本作ではの能力や適正が成長の家庭で明らかになり場に合わせた育成が行ます。
[01:00:52.977] [音楽]
[01:00:54.920] ふ
[01:00:57.520] シリーズ初となる地方競馬や
[01:01:01.799] アメリカ競馬のG1にも挑戦可能。
[01:01:04.359] え、言う1だったらいけんでしょ。
[01:01:07.480] 育てたを登録してい
[01:01:11.119] いね。馬の名前ニメ。
[01:01:14.079] そのがニメ第
[01:01:16.440] 1番はチプンチアニメ。ぷンチ発売
[01:01:20.400] いずれ。
[01:01:21.559] 茶どんちゃアニメ。お来る。
[01:01:25.960] さて
[01:01:26.559] え
[01:01:28.720] 始めました。
[01:01:29.400] エボ育てよ。
[01:01:32.960] 邪魔ぷんちゃに目曲がれ。こっちか。
[01:01:36.599] 随分前に人がいなくなったみたい。
[01:01:38.760] はい。これはエチとさせてください。すいません。
[01:01:41.200] これだけのさだとさ、エとさせていきます。魔物もかなりさきだって見えるしな。
[01:01:51.279] 調査だけだから。
[01:01:52.319] これはエとさせていただきます。
[01:01:54.279] エとさせていただきます。
[01:01:55.839] 金術。これ何これ?
[01:01:57.240] 素材を組み合わせて新たなものを生み出すの?アトリエシリーズ
[01:02:02.400] ゆさんて人みたい。
[01:02:03.960] なんかまだ俺今んとこンと来てないよ。おっぱいでっかいな。おい、
[01:02:07.559] おっぱがでかいお前。
[01:02:10.960] おっぱがでかすぎる。あ、アトエなのこれ。アトエなの?さんこんばんは。
[01:02:15.279] アトエ
[01:02:17.520] ライザちゃんは全然知らないけど。全然知らないけど。
[01:02:21.799] 今アトリやってるよ。
[01:02:26.799] あちゃガストかな?
[01:02:31.400] エチ
[01:02:33.200] エチとさせていただきます。
[01:02:36.440] ゼそれぞれに[笑い]
[01:02:39.720] swi2エディションが登場。
[01:02:41.839] ベノブレイドだ。
[01:02:43.720] 3
[01:02:43.960] タイトルともに60フレームに対応。
[01:02:47.640] あ、このあのこのあの赤い女の子好き。
[01:02:50.039] 携帯モードではフルHDで楽しめる。
[01:02:52.720] 好き嫌いが別れる。これ1
[01:02:55.240] イベントも
[01:02:57.760] 俺これ配信でよ
[01:02:59.640] 配信で一番最初によ
[01:03:01.440] スマブラのキャラや一
[01:03:02.920] 番最初にあのリクエスト枠でワから
[01:03:08.799] 渡るからゼノブレイド1
[01:03:10.799] おなんかリクエストもらってでしかもスイッチ
[01:03:13.599] 版のソフトまで新品でプレゼントしてもらって
[01:03:15.760] 3日で投げた[笑い]
[01:03:17.720] のアクションバトル
[01:03:19.920] でちょっとマジで喧嘩になっ
[01:03:21.720] 3には
[01:03:22.279] 笑笑化しながらけら新モード[笑い]
[01:03:26.079] 笑笑
[01:03:28.640] タイトルごとに
[01:03:29.400] 笑笑
[01:03:29.839] いろんな要素を新たに追加
[01:03:32.119] さすがに悪いからそのソフトは渡るにあげた上げたというか買ってもらったものをワのものにしました。
[01:03:37.760] さすがにね。
[01:03:39.349] [笑い]
[01:03:40.720] ゼノブレイドディエション
[01:03:42.880] Nスイッチ2エションあげたというか
[01:03:45.960] いやだ新品でプレゼントしてもらって新品で返した配信
[01:03:49.799] パッケージ版は30日発売さ
[01:03:53.559] ゼノブレイドエションはの日で発売した。
[01:03:58.344] [笑い]
[01:03:59.000] 本日より予約受付を開始。
[01:04:01.440] 合わなかったわ。でも2
[01:04:02.640] やりてえな。エッチだし。ゼノブレイド3
[01:04:05.039] タイトルに
[01:04:06.880] 2
[01:04:07.039] エディションが投用します。それぞれに新たな追加されますので、
[01:04:12.640] こればっかりはね、
[01:04:14.520] エチとさせていただきます。
[01:04:15.839] そして神聖ブレイドの物語が始まります。
[01:04:18.880] あら、
[01:04:19.799] 今回はそのったの
[01:04:25.079] ゼノブレイドクロスゼノブレ俺は何だったかな?
[01:04:28.599] ウィ、ウじゃない。あのなんか
[01:04:29.760] は世界の源であった。
[01:04:32.400] スイッチのやつは水も
[01:04:34.079] シルクのやつシルク
[01:04:36.359] 風も世界を構成するその全ては
[01:04:40.720] ブラ
[01:04:41.359] 地を流れるアニを
[01:04:45.799] 俺のやつは初代
[01:04:49.200] ルパンさんフォローありがとう
[01:04:52.359] 見ようぜ
[01:04:56.359] この剣のにぬよう人します
[01:05:00.319] ここがリコス。
[01:05:04.279] その石はアニマ小石。騎士の力を増幅させるだけでなくそのものの行動や思いも刻みます。
[01:05:14.079] 神
[01:05:14.559] これからのあなたのあり全てがその石と共にあ、
[01:05:19.039] ちょっと今んとこまだなんかが俺なんかまだ食らってねえな。
[01:05:22.920] 訓練は実を想定してのものだ。
[01:05:25.000] 今とこ見ませう。
[01:05:28.279] アニマって単語よく出てくるな。使
[01:05:32.599] なんとなくなんかデジモン見てみて殺しの職業奪われたので満もう終
[01:05:41.799] 嘘でしょ。
[01:05:43.200] あんなもジャブのジャブじゃないので
[01:05:47.200] らってねえよ。おめだけな。
[01:05:49.040] [笑い]
[01:05:49.240] ファイナルファンタジーの
[01:05:52.119] 界ね。
[01:05:54.880] あの、あいつが、あの、なんだっけ?あいつが使うやつな。青、青い髪のやつなんだっけ?名前たシーが使うやつな。
[01:06:02.079] 全てはアニマと共にある。
[01:06:04.680] 帰るのさ、あの場所に。
[01:06:10.160] みんなはスイッチ2
[01:06:11.319] 持ってないから退屈がよく始まるわよ。
[01:06:13.275] [笑い]
[01:06:19.559] ビグサッド。ビグサッド。
[01:06:22.279] 兄上、
[01:06:24.240] 行ってまいります。
[01:06:26.520] ここは6つの太陽に照らし出された。そ
[01:06:32.079] ゼノブレイドってこういうフィールド好きよね。なんか
[01:06:35.279] 破れたの恨みが
[01:06:37.119] ゼノブレイドって感じするわ。これは晴らされてはいない。
[01:06:40.200] 多いね。
[01:06:40.960] こういうフィールド好きよね。なんか
[01:06:42.751] [音楽]
[01:06:43.039] 背景のこれね、みたい。宇宙が近い感じ。
[01:06:47.119] そう。うん。ゼブレイドシス。あれじゃね。
[01:06:50.799] ま、ナンバリングじゃねえんだ。
[01:06:51.720] ちょっとここりたい。
[01:06:53.079] ナンバリングじゃね。モルっぽいの多いイメージ。
[01:06:55.279] モンゴル来年か。
[01:06:58.799] 新たに始まるゼノブレイドジェネシス。今作ではどのような物語が
[01:07:02.401] [音楽]
[01:07:04.839] あんまエッチな女がなかった。
[01:07:06.200] そこをお待ちください。
[01:07:07.760] なんで2
[01:07:08.240] の時あんなエッチな出たんだろう。
[01:07:09.640] 続いては
[01:07:10.200] あいつエロすぎやろあれ。
[01:07:12.160] お、こちらをご覧ください。
[01:07:13.559] いいよ。俺もう一番嬉しいんだから。
[01:07:16.160] あのMC
[01:07:17.480] の人たちがこうやってなんか楽しそうにするのか。が楽しめるフアイランド。
[01:07:21.880] 手打ち
[01:07:22.359] Nintendosイッチ
[01:07:23.279] スポーツリゾートが
[01:07:24.760] スイッチ2に登場。
[01:07:27.200] ジョイコン通をや。
[01:07:29.559] V
[01:07:29.760] スポーツリゾートだ。笑笑のとこれやろうぜ。
[01:07:33.920] 時には見て
[01:07:35.960] 俺スポーツ。
[01:07:38.319] Vスポーツが人生で初めて
[01:07:41.839] 人生で初めて実況プレイしたゲームなんだよね。
[01:07:45.000] 確定パンチ。これ言ってなかったけど
[01:07:47.119] カウンター引を制してノックアウトボクシング大人になってから大人になってからんの?俺の
[01:07:57.119] そのなんてうの?その俺のなんていうの?その今の俺のチャマゲームっていう名義でやったらあのバリオランドだけど
[01:08:04.000] 中学生中学生の時に友達と
[01:08:07.200] 中学生の時に友達となんか見のね画面直取りで
[01:08:12.240] スパイクバレーボール[笑い]
[01:08:14.039] あのニコ動画にアップロ
[01:08:16.400] ストレートもカーブも投げられる。もうゴミもゴミだよ。
[01:08:21.080] ドリブルパスをついでシュートを目
[01:08:26.560] スイングの強弱で。
[01:08:28.520] いや、どうだろう。俺のアカウントじゃなくて友達のアカウントでだからどうなんだろう。
[01:08:32.880] 想
[01:08:33.560] 指1本。
[01:08:34.400] 絶対ないと思う。絶対ないと思う。
[01:08:38.960] ジョイコン2のスケートボールの原点
[01:08:42.920] でももうだって名前も茶魔ゲームじゃないし。
[01:08:45.880] ハンドルを傾けて波を乗りこなすリンバイク
[01:08:50.279] 収ははて言ってんだよ。
[01:08:54.279] 自由事在に飛び回るプロベラ飛行機。
[01:08:58.359] ちゃー
[01:09:00.120] さらにウォーミングアップに飛びも。
[01:09:04.480] 有ラ飛行来た。
[01:09:05.719] プレイヤーはスポーツメイズと自分で作成したミ選択可能。リモコンの持ち方要注意。縄飛びも指相撲もゲームですな。ミ一択
[01:09:06.852] [音楽]
[01:09:22.480] 誰か俺の指相撲スポーツなの?
[01:09:27.157] [笑い]
[01:09:28.560] AB
[01:09:32.000] 10月22日発売。
[01:09:34.279] このダイレクト終了後より予約受付開始。
[01:09:39.679] NENDSスポーツリゾがSCH2
[01:09:42.480] に登場します。
[01:09:43.279] チャンバラリストラマジ
[01:09:44.920] 中スポーツをえ、もうあと
[01:09:47.199] 20分ぐらいしかないけど。待って。あと
[01:09:51.159] あと25分ぐらいしかないけど
[01:09:53.199] ドルクでんば。
[01:09:54.440] ちょっと大丈夫?この後ちゃんと来んの?この後ちゃんと来るの?
[01:09:58.360] 秒間抑え続ければ
[01:09:59.719] この後ちゃんと来るの?なんか大丈夫?
[01:10:01.840] 抑えられたらジョイコン通を振ってブレイク
[01:10:05.360] いいよ。指ズ相撲のルール知ってるからみんな。指相撲のルール説明しなくてもわかんだろ。
[01:10:11.360] 指が多。
[01:10:12.320] すげえバチ指だな、お前。
[01:10:14.480] すげえバチ指だよ、これ。病院行った方がいいよ。お前バチ指じゃねえかよ。
[01:10:19.280] 稼ぎ笑。
[01:10:21.840] 笑笑
[01:10:22.960] よろしくお願いします。
[01:10:24.320] 昔あの本当は怖い家庭の
[01:10:27.320] 本当は怖い家庭の医学でやってたよ、昔。バチ指な人はなんかやべえみたいな。お
[01:10:31.640] 願いします。
[01:10:32.600] 蛇のような指。
[01:10:35.120] はい。
[01:10:36.719] あ、ま、でもこの人、この人が楽しそうだからいい。
[01:10:40.520] あ、ブレされました。これは
[01:10:44.560] これ赤色は相手の指かな?締まり役に楽しそうか。
[01:10:51.000] 楽しそうなおじさんされて
[01:10:53.400] 楽しそうだろうが
[01:10:55.320] 楽しそうだろうがちょっとかいかいい
[01:11:04.760] ちょっと軽く汗かいてきましたね
[01:11:07.239] 小泉さん可愛い好きなんか光りますが
[01:11:12.679] 大きくなった
[01:11:13.760] あ
[01:11:14.199] おじさんの笑顔に負けるわけねえだろ
[01:11:18.440] 大丈夫ですか
[01:11:19.920] 大丈夫でフェイントも入れていきますと。
[01:11:22.199] あ、戻っちゃったな。スタ。あ、決まった。
[01:11:29.920] これ、これ何?何待ちの時間?これちょ
[01:11:32.919] [笑い]
[01:11:36.840] スーパー真剣ダブル。
[01:11:39.280] 笑笑。ブレイクタイム
[01:11:41.679] 負け。マジか。
[01:11:43.199] しかも負けるんか。ま、[笑い]
[01:11:47.639] しかも負けるんだ。
[01:11:49.294] [笑い]
[01:11:51.280] か負の映像準備中
[01:11:54.960] なかなか負け
[01:11:56.320] 誰も知らないこれな
[01:11:59.040] んだこれ対戦相手勝っちゃったから
[01:12:00.960] ドラゴンズドグマ2ダークアリズムが
[01:12:03.639] Nendosイch2に登場
[01:12:06.320] を者となり
[01:12:09.199] 自らの心臓を奪った龍を討伐する度に出る
[01:12:12.239] 世界ロードオブザリング感あるよね追加された極の地に広がる
[01:12:18.400] ドグ
[01:12:20.360] この地で手に入れたアイテムを鑑定すればまだ見ぬ武器やスキルが手に入る。より優れた武器を入手し、伝承に描かれる強大な魔物に
[01:12:30.320] 何じちゃんこういうの好きなんだよな。
[01:12:32.360] プレイヤーは近接攻撃を得意とするファイター
[01:12:36.360] 魔法によるサポートが得意なメイ人など様々な職業からでこういうグラフィック珍しい。
[01:12:45.760] 確かにプレステ5とか多分プレステ5
[01:12:47.719] と出ての戦いは地り
[01:12:50.840] 弱点に直接攻撃するなどあれみたいじゃなんだっけ
[01:12:55.320] 巨人の土巨人じゃなんだっけあのなんか
[01:12:57.520] 昼と夜で変わる世界
[01:12:59.800] ワンダプレイオラインで
[01:13:02.360] 1番強力のとにつ命とは
[01:13:06.560] ドラゴンズドグマ2ダークアリズムは
[01:13:09.480] 10月9日発メロ
[01:13:12.719] は40
[01:13:14.080] 周年なんですけど今年アップタイトル
[01:13:16.840] 今年40周年じゃないですか
[01:13:19.400] 謎の生命隊ネイティブによって壊滅に追い込まれた
[01:13:22.880] 分でもだってさメイン来てなくないま
[01:13:27.679] 奪が始まる
[01:13:29.159] 画質のいい女
[01:13:30.080] ここまで前座
[01:13:32.159] あれステラーブレイドってこれプレステ5
[01:13:33.760] のやつよな世界好きあエゲ
[01:13:39.560] 戦いの中で
[01:13:41.000] 通常プレは絶対見えないけど、あの、乳首まで作られてたやつだよね、これね。
[01:13:45.679] そうだよ。エならよ。
[01:13:47.320] 主人公のイブは
[01:13:48.760] あの、
[01:13:49.000] 人類を絶
[01:13:49.760] 通常プレイ絶対見えないんだけどポリゴンの中身改造したらあの、あの乳首作られてたやつだよね。
[01:13:56.080] これはステアムでやりましょう。集したの侵略。
[01:13:59.239] ステブレイド。
[01:14:00.639] EDFよ守れ。
[01:14:03.800] 万能型の懐かしいな、これ。
[01:14:06.520] を飛ぶウイングダイバー。
[01:14:07.840] これ5ってもう出てるやつだよね。
[01:14:10.480] すエアレイダー
[01:14:11.760] エドフ
[01:14:13.239] のフェンサー
[01:14:15.239] 4つの
[01:14:15.840] やったな。これめっちゃやったよ。プレステのやつ
[01:14:19.360] 最大4人の協力マルチプレイも可能
[01:14:22.040] やった。これは地球防衛軍
[01:14:24.000] 5
[01:14:26.120] は10月8日発売。
[01:14:28.560] これ結構重てんだよなこれな。
[01:14:30.120] 地球防衛軍6N2も発売決定。
[01:14:35.011] [笑い]
[01:14:35.560] デモ画面でデモ画面で
[01:14:38.040] 東方プロジェクトの東方紅魔郷が
[01:14:41.320] ゆっくり霊夢ですじゃないの?これねゆっくりレイムのゆっくりしてたアレンジを追加
[01:14:50.560] だぜ
[01:14:51.840] 巫のレイ
[01:14:52.560] ゆっくりマだぜ
[01:14:54.000] 魔法使いの魔理沙が
[01:14:55.920] 弾幕を買いくぐりながら異変解決に挑む
[01:15:00.000] さらにオリジナルを遊べるクラシック版も収
[01:15:05.120] 東方ニュークラ
[01:15:07.760] エンボディメントオブスデビルは
[01:15:10.120] 9
[01:15:10.320] 月10日配信
[01:15:11.560] ピチン
[01:15:13.040] わかんねえネタがクリスタルを巡る新たな物語
[01:15:16.880] 嘘かい
[01:15:23.760] 買う何これ何これ
[01:15:29.800] FF
[01:15:30.440] なんかビBビBビみていのにねFF9
[01:15:34.280] え、なんかドットすごい。
[01:15:36.600] 今回う後輩した世界多いね。
[01:15:39.239] HD2Dで描かれる
[01:15:41.320] シリーズの新たな進化
[01:15:43.760] ファイナルファンタジーレ
[01:15:47.800] クリスタルの力によりを続けできた世界
[01:15:52.840] ドットのファイナルファンタジー
[01:15:54.600] 闇のベリアスの進行によりを迎えていた。
[01:15:58.600] おもろそうやん。
[01:16:01.440] 王国の騎士インたちはいね。
[01:16:04.639] 防ぐ。
[01:16:05.199] これはもう完全な新作。
[01:16:07.040] MD
[01:16:07.400] さんこんばんは。やってくよ。やってくよとか見ていくよ。
[01:16:11.280] 行手を阻む魔物との戦いでは歴代の英雄たちの原と共に立ち向かうよ。
[01:16:17.760] あ、え、そうなんだ。
[01:16:21.639] クリスタルを巡る復讐と絆の物語が今始まる。
[01:16:26.840] 行くぜ。
[01:16:27.639] めっちゃおもろいよ、このゲーム。
[01:16:29.440] へえ。
[01:16:29.800] ファイナルファンタジーレナンスは
[01:16:31.840] 10月22日発売。
[01:16:35.080] お誕生日おめでとうだよ、まげ君。発売。
[01:16:38.560] メガさんこんばんは。ありがとう。
[01:16:41.199] ありがとう。コメントもありがとうね。
[01:16:44.040] コメントもありがとね。これ、これのコメントありになっちゃったよ。
[01:16:51.440] 60FPSで楽しめるアクション。
[01:16:53.800] ま、忍見てんね。忍
[01:16:55.520] デビルハンターエディション
[01:16:59.800] 空の世界を巡るアクション
[01:17:01.480] R。
[01:17:07.880] ちょっと、
[01:17:08.639] ちょっとメインはまだかい?メインディッシュはストーリータイムストレンジャー
[01:17:13.480] メインディッシュはまだですか?と
[01:17:16.320] ダイスが導きカードが支配す。
[01:17:20.400] カルトセットビは一応解読したよ。
[01:17:23.600] え、嘘。
[01:17:25.400] 京都で始まるを巡る物語ザ。
[01:17:29.243] [笑い]
[01:17:30.760] あとあと15
[01:17:32.159] 分ぐらいではカメラや近くの人の通信に対応
[01:17:41.440] や。でもありがとう。本当に嬉しかった。
[01:17:44.960] あ、そうなして進め。
[01:17:46.600] じゃ、後でGoogle翻訳かけとこう。
[01:17:51.760] 部屋を自分好みにコーディネートできる保用所が登場。卵ごっちのプチプチお見せっちお待ち動様の無料アップデートはこのダイレクト終了後配信開始。
[01:18:04.800] 夢っちの
[01:18:05.440] このゲーム自体が保用所みたいな。くくくくく
[01:18:09.480] あなたと共に来る。
[01:18:11.440] あ、出た。冒険するの
[01:18:16.560] 来たよ。[叫び声]
[01:18:17.679] うおちゃ。
[01:18:19.960] 俺はこのゲーム好きって
[01:18:22.600] もうすぐ
[01:18:23.560] 早くやりたいよ。ほんまに早くやりたいよ。おいらこのゲム好き早くやりたいんだよ。
[01:18:29.504] [歌声]
[01:18:41.360] 気になるモンスター。
[01:18:42.239] え、超できてます。
[01:18:43.679] スカウト。
[01:18:44.280] え、何?何?超あれ。しかもあそか。毎回スカウトのか。
[01:18:51.360] 功してるやんけ。俺と結婚する前こんなことしてたんだ。絶さんいました。これ
[01:18:58.324] [笑い]
[01:19:06.960] モンスター。
[01:19:08.360] うわ、ホークブリザードおるやん。
[01:19:10.120] さあ、君がった。
[01:19:11.880] え、ホークブリザードとさ、
[01:19:13.520] 強敵に挑め。
[01:19:15.000] う、
[01:19:16.199] ただの動物
[01:19:18.120] メッサーラざす。
[01:19:19.199] ただ、あの、大きさ精度、大きさ制度いらないからね。マジで
[01:19:24.880] マジで大きさ制度いらないから。モンスター
[01:19:28.454] [叫び声]
[01:19:30.420] [笑い]12月3日
[01:19:31.760] 発売日来た。
[01:19:33.560] え、
[01:19:34.800] めっちゃ先ドー。
[01:19:37.880] え、はっきボら、デボラデボたそう。
[01:19:44.560] 最高。
[01:19:45.639] え、12月やん。年内来るやん。
[01:19:48.960] やば。
[01:19:49.480] 嫁来た。笑。
[01:19:51.199] これ何?
[01:19:53.520] ドラキュラ?
[01:19:54.440] いや、絶対違う。ドラキュラじゃない。
[01:19:57.159] 何これ?
[01:19:58.920] まさかの年内。
[01:20:00.600] まさかの年内。俺絶対まだ
[01:20:02.560] 2年後とかだと思ってたんだけど。
[01:20:05.199] クムやろ。これ
[01:20:07.679] ダスブラ
[01:20:09.760] 何すか?あ、
[01:20:13.719] ああ、いいね。ザスクブロ何?あ、そ、フロムや。用のフロムのやつ。
[01:20:25.520] ああ、なんかこれも発表されてたよね。
[01:20:28.440] これやりたい。
[01:20:29.679] 夏だって。
[01:20:30.920] うお。
[01:20:32.679] いかがでしたか?
[01:20:34.480] 続いてはたにすあのタイトルの続報です。
[01:20:38.480] 何ですか?
[01:20:42.199] 何?
[01:20:44.600] 皆さんかがお過しだろうか?
[01:20:48.639] 本日は静かな。
[01:20:50.159] お猫があねだよね。だよね。お猫は好きだもんね。お
[01:20:53.440] 届けしたい。
[01:20:55.360] お宝大好きすミ連合の
[01:20:57.560] 3人。このこの女エくない?
[01:20:59.920] 女なのかなのかわかんないけどがなしたと呼ばれている若者
[01:21:05.520] なんかこれ人間が滅びた何千年後みたいなやつでしょ?
[01:21:09.560] このう諸島と呼ばれる島々島でさせていきます。れているとの方だ。
[01:21:19.151] [笑い]
[01:21:20.400] とか言われてお宝のあるがな
[01:21:26.080] 島中には凶暴な鮭たが
[01:21:29.440] でも懐かしい。
[01:21:30.239] このなんかこれバイトのやつでしょ?をってくれ。
[01:21:34.000] バイトのやつやんね。俺
[01:21:35.560] 2めっちゃやってたから。1
[01:21:36.520] 人でどうにかなるほど鮭たちは甘くはない。
[01:21:42.360] そこで活躍するながメカ連合が乗り込み動攻撃してくれ型ありますか?
[01:21:51.159] スプ参加型
[01:21:52.880] スプやらないんですか?
[01:21:54.880] ま、昔YouTube
[01:21:56.120] でスプラの配信してたら
[01:21:58.000] 小学生しか来なくなっちゃったからやめたんだよ。となるのが
[01:22:01.071] [笑い]
[01:22:02.679] もう小学生のたまり場見たくなっちゃってさ、俺の配信が
[01:22:05.440] は設置してインクをち
[01:22:07.880] けしか集まってこなくてよ。
[01:22:09.920] で、あの、クロントリガーやってたらよ、
[01:22:12.800] 今日はスプラやらないんですか?て、
[01:22:15.040] 50
[01:22:15.280] 回ぐらいコ滅されてぶち切れてやめたんだよ。
[01:22:18.040] 組買うこともできる。
[01:22:21.480] これで楽になれば良いのだが。
[01:22:27.080] もう1
[01:22:27.520] 度言およ。鮭を甘く見てはいけない。プラ
[01:22:30.560] は
[01:22:32.159] 参加。
[01:22:34.560] 今日はプラやらないんですか?
[01:22:36.679] そう、そう。本当に本当にこんな感じ。
[01:22:38.320] 本当こんな感じ俺がクロントリガーやってさ、あ、まだ全然視聴者いねえのにさ、ああだこうだって。ああ、このゲームあれだな。曲がいいな。今日スプラは何時からスプラやります?お風呂入ってくるんで、それまでにスプラ準備してくださいと言われて
[01:22:52.162] [笑い]
[01:22:53.000] クソガきまれ。
[01:22:55.239] ちなみに今日はスプラやらないですか?
[01:22:58.320] 笑笑
[01:22:59.199] 何がお風呂入ってくるんだよ。バカな
[01:23:02.000] んでてめに合わせなきゃいけねんだよ。
[01:23:05.120] にて読み物を毎日お届けしていく。寝るのでスプラお願いします。スプ
[01:23:11.157] [笑い]
[01:23:12.320] いや、マジでそういう感じだから。
[01:23:13.560] 作とコラボした特別なフェスが開催されるぞ。
[01:23:17.840] スプラトゥーンレイダースに関係する問題のようだが。
[01:23:21.000] もうやりません。私は
[01:23:22.159] 詳しくはこちら
[01:23:23.120] スプラトゥーンはめっちゃいいゲームなんだけど。めっちゃおもろいんだけど。
[01:23:26.280] 続報をお待ちいただきたい。
[01:23:30.960] ダイレクト終了後スプラですか?
[01:23:33.239] やらね。
[01:23:33.760] が迫る。スプラトゥーンレイダスですが
[01:23:36.840] NENDS
[01:23:37.440] でおもろいんだよな。スプラトゥーンなめっちゃおもろいんだよなったの
[01:23:41.760] 2
[01:23:41.960] までしかないけどレダスセットを発売します。
[01:23:44.320] おもろいんだよね。
[01:23:45.760] さらに世界観好きなんだよ。新
[01:23:48.719] 色のジョイコン2も発売しますので
[01:23:51.080] 世界観めっちゃ好き。あのストリートな感じ。
[01:23:53.239] 引き続きをご覧ください。[音楽]
[01:23:55.520] めっちゃいいカラー胃に穴開きそうになる。
[01:23:58.960] Twitchは12均だから
[01:24:01.719] 3
[01:24:01.960] からクソゲーやからやらんで大丈夫ですよ。エムスゴッドビフォックスやん。
[01:24:09.080] ああ。
[01:24:10.960] おお。デルタルーンや。新しいの出るんだ。だ
[01:24:14.600] ああ、新しい賞ね。
[01:24:16.920] デルタめ
[01:24:17.520] 結局これもやってねえんだよな。これもまだ結局やってないんだよね。
[01:24:21.719] マジか。
[01:24:23.239] うん。まだやってないわ。あのデルダム結構出てるけどさ。
