[00:00:54.760] 残念。橋本の冒険派。ここで終わって
[01:05:04.599] 何認まってわかんない。
[01:05:06.240] でも聞いたことある。こんなあり触れたもん興味ないよ。昔作られたコインだぜ。俺が探しめてめているものはいはいはいはい。間違えました。金色の方ね。はいはいはい。これな、これ。はいはいはい。
[01:05:19.079] 綺麗な落ちがつきました。
[01:05:20.559] ダブルシャドウゲートライアルズオブザフタワー
[01:05:25.720] M64シャドウテ64
[01:05:28.920] トリアルスオフアトアホン田みたいなもんは
[01:05:35.200] Googleピクセル使ってるよ。
[01:05:37.319] へえ。
[01:05:40.680] へえ。そうなんだ。オセーブしよう。セーブしよう。セーブさせてください。
[01:05:53.720] オ、よし。どうするこれ?戻る?それとも進む?進んでいいよな?がっつりこの辺進んで色々調べてで行く当てがなくなったらあのやりに行こうぜ。このスリッパースリッパー年収
[01:06:07.799] 8
[01:06:08.039] 億。おい、待て待て待て待て。なんか刺さってる。え、おい待って。おい待って。新しいアイテムじゃないの?これ絶対そうでしょ。
[01:06:19.920] これ
[01:06:22.839] 違うんかい?あ、違うんかい?
[01:06:28.000] あ、なんだこれ?なんでもないんだ。ただ
[01:06:29.920] ただの演出した。演出
[01:06:37.039] 落ちて死ぬってどういうことやね。
[01:06:38.680] コンコンコン
[01:06:41.119] キムキ虚待って。行けるとこめっちゃ多いんですけど。ここも行けるし、ここも行けるし、ここも行けるし、そこも行けるんだけど。待って。行けるとこ多すぎるにょ。多すぎるん。多すぎるんにょ。行けるとこ多すぎるんにょ。
[01:06:58.599] 一緒要所でセブしよ。
[01:07:00.039] セブ。このあ、え、待って。
[01:07:05.480] これそうじゃないつにまつわるで
[01:07:10.599] 12
[01:07:10.920] 時でやめるわけにゃいかんね
[01:07:12.799] え。これなんて伝分
[01:07:14.799] Cロナウド年350億だって
[01:07:18.039] 何それ?
[01:07:20.839] 350億円350億ドル。
[01:07:25.240] え、今日何時までやろっかな?いや、今日
[01:07:27.440] ちょっとね、まあ別に明日、ま、明日平日
[01:07:30.720] 、あの、祝日だから
[01:07:34.440] 5、350億ドルだったらやばいよ。えー
[01:07:37.720] 、ある魔法使いによる高術の記録。え、
[01:07:40.680] ずチ語りて曰ん語りて曰ロードジェルが
[01:07:44.640] 握る姿勢は楽ミ主の、え、検算の水かな?
[01:07:48.160] わかんない。その名を雷の杖というその
[01:07:50.640] ものを解いて曰くその杖。その時はそは時
[01:07:54.359] の杖にあらずやワーロックロードを封ぜし
[01:07:57.400] 時は時の杖と聞きたりなんかその難しい
[01:08:00.559] 言葉遣いすのやめて
[01:08:03.480] その難しい言葉遣いするなよかつけてえー
[01:08:07.920] みなしかと思いて頷きぬと問とれし実笑い
[01:08:11.400] ながら答えて曰く雷の杖になくしては時の
[01:08:14.599] 杖り蹴りるいざ聞きたまええずちゃ姿勢を
[01:08:19.480] 正し深く息を吐く聞くもの
[01:08:21.920] みな息を止めえが声を待つラクミール氏が目ロムはラクミールが目ロムはの今わしきものが魔力をばい取ることなりえしかしてあ今わしきモば風とス高卒チェック
[01:08:36.520] おば
[01:08:38.799] 高卒チェックかこれ読だ読めねえ俺あるもの曰ならばその時は杖なり雷の杖にあらずーさそのものみて睨みて
[01:08:51.400] 聞く耳聞くん聞く耳聞く心並べばいね。
[01:08:55.359] これねって読むだよな。これいね
[01:08:58.480] えー他のもの
[01:09:02.279] こふ心獲物心物心門を小づき
[01:09:09.600] が機嫌を結びに特続けた前とねれり
[01:09:17.319] えね術者しばし魔王騎士
[01:09:20.880] 続けロード
[01:09:22.920] もうめんどいなこれ読む
[01:09:25.880] え、ロードジェールがあ、雷強しきものと
[01:09:28.880] 対戦ミールが狙い
[01:09:31.400] 謝ずえの杖ものを悩まず聞くもの皆思いか
[01:09:36.000] ロードジェイルが雷の杖えそはいかなる杖
[01:09:39.159] なるや耳慣れし時の杖が話は偽りなやと
[01:09:43.239] 偽りなりやとサリトデフかもういいかこれ
[01:09:46.440] を読まなくてうん長いな
[01:09:51.199] 長いなこれ何ページあんねんこれ
[01:09:56.040] えー隠して今しきものがどこかゲート場に
[01:09:58.880] 至れるそそう知るとラクミールにわかに
[01:10:01.960] 現入れてて一ふりの爪をはロードジェルに
[01:10:04.800] 渡した効くものを活災し口に言い蹴りその
[01:10:08.560] そのそこそこそ時の杖なり
[01:10:14.560] いやもうほんまこれもう勘弁してほしいわ
[01:10:16.400] これ読まされるこっちの身にもなってな
[01:10:20.320] 4お4でも何のこっちゃわかんない。所々
[01:10:24.880] ネズミにえ、違うでしょ。これなんかある
[01:10:26.480] ?これ
[01:10:28.560] 悟を見つけた。取ります。あ、取って
[01:10:31.400] よかったんかな?これわかんない。これ
[01:10:33.400] 呪われたりしない?大丈夫?ご歩
[01:10:37.000] まだ何かあると思うよ。俺この部屋には
[01:10:39.320] くそ見づらい何かが落ちてると踏んでいる
[01:10:41.800] 。マジでクソちっちゃい鍵とかが落ちてっ
[01:10:45.239] からさ。
[01:10:47.640] こういうしかもこういう机の間とかに落ち
[01:10:49.840] てんだよ。ないね。ないね。
[01:10:53.000] ないよね。ないよね。いや、なんか落ちてない。これ落ちてないね。ないよね。オね。ないね。はい。
[01:11:06.239] 本当に。よし。
[01:11:09.239] ないやろ。
[01:11:10.960] タンスの裏見た?
[01:11:12.320] タンスの裏はさすがなんかいるんですけど。意外と意外と生きてる人いっぱいいるんですが。
[01:11:23.560] これあれだな。指輪外さんとあかんな。
[01:11:26.320] 指輪外していこう。
[01:11:29.440] あ、待って。こいつに殺される未来が
[01:11:31.040] 見える。こいつに殺される未来が見える。
[01:11:40.639] 我が名はロスロストーリー。心理を研究
[01:11:45.120] する魔法使いじゃ。失われたJを探して
[01:11:48.639] おる。このシャドウゲートには答えより
[01:11:51.719] 伝わる数々の秘密が隠されておってな。お
[01:11:54.679] 分かりかな?お若いの。
[01:11:57.520] えー、何上伝説の魔法使いラクミールは
[01:12:00.639] この地にあの今わしきものを封印したので
[01:12:03.280] あろうか。ガードハウスにはどのような力
[01:12:06.520] が決められているのか。
[01:12:09.000] を封じる力の正体とは。このようにこの地
[01:12:12.639] には数々の天の謎がある。その答えを求め
[01:12:17.800] てわしは日や研究を続けておるんじゃ。だ
[01:12:22.639] が未だに答えが分からない。果たしてこの
[01:12:24.840] 問に答えられるもの。答えを知るものは
[01:12:27.040] 存在するのであろうか。ラクミールならば
[01:12:30.040] 知ってるのかもしれん。だが彼女には疑問
[01:12:32.520] も多い。ラクミールは常に自ら率してでは
[01:12:36.239] なくローズジェイルなどの英雄と共に行動
[01:12:38.880] する。
[01:12:39.800] は英雄の、えー、除人なんて読むのこれ?スけてすけ添え人スケ添え人。
[01:12:50.760] え、
[01:12:54.239] ラグミルほどのラグミールほどの魔王使いであれば自らの手で問題をあ、なんて自らの手で問題を解決できたようになぜ彼は他の英雄の力を借りるのか。まるで英雄を見出し育てあげることを使命としてるかのようだ。何のために誰のためにつけて天なんだ。
[01:13:15.239] もしかするとないんか?
[01:13:17.040] 海添どれが正しいの?もしかすると彼は単なる魔法使いではなく我々の想像も
[01:13:25.040] 海沿えなんだ。
[01:13:27.080] 海沿え。
[01:13:28.520] えー、我々の想像も及ばるものに奉しているのかもしれん。それが何なのか私には分からん。誰
[01:13:36.400] 1
[01:13:36.520] 人を知らのだ。おそらくラクミールその人を覗いては
[01:13:39.920] うん。全くなんなら今までずっと出てきた全然覚えてないよ。
[01:13:44.199] このゲームで感じたけど全然覚えてない。こいつはスカタン落大
[01:13:48.880] スカタン落大卒。えっとここはアイテムとかないんですかね?
[01:14:04.600] よかった。殺しに来なかった。
[01:14:08.320] マジでな。誰が殺しに来るかわかんないから。
[01:14:17.320] ここも何もないか。じゃ、こっちの奥行っ
[01:14:20.840] てみよう。
[01:14:23.719] いやあ、行けるとこ急に増えたね。
[01:14:25.320] めっちゃりゃ
[01:14:26.960] 。うわあ、またさ、またなんか覚えづらい
[01:14:29.960] な。ここ行けないじゃない?なんか土砂で
[01:14:32.320] 崩れちゃってるわ。うわ、そっちもあんの
[01:14:35.199] ね。こっから来たのね。そっちもあるし。
[01:14:37.600] まずこっちからな。まずこっちから行こう
[01:14:39.120] 。
[01:14:41.760] ないか。
[01:14:45.199] うわあ。なんだろう。
[01:14:49.600] お、
[01:14:51.320] ここは何?
[01:14:55.080] 公園への道。あ、なんかさっき言ってたね
[01:14:57.239] 。公園の湖がアーダコーダでお化けが出る
[01:15:00.560] とかって。
[01:15:03.480] ここはこれもこれ入れんのか。うわ、開く
[01:15:06.960] んだよなあ。どこも賢もうわ、ここだ。
[01:15:10.480] 言ってたの、絶対。公園のここだろ、絶対
[01:15:12.880] 。お化けが出るっつな。
[01:15:19.520] 何?なんか落とした。
[01:15:24.080] あ、カエるみたいのいるな、なんか。
[01:15:28.120] あ、
[01:15:30.600] ええ、
[01:15:33.280] ウェストランドより呼びたの。機代の英雄
[01:15:37.520] ロードジャイルの名をそなたは知ってるか
[01:15:39.400] ?ハーフリンは知ってるよ。
[01:15:42.159] かのものは砂漠の中の
[01:15:44.360] 1
[01:15:44.480] 粒の先にもし貴重な存在であった。この戦いぶりは実に見事であった。ジェイルなくしてワールクロードの封印は成し遂げられなかったであろう。そして今我が弟子であったベルザールの天よりワールクロードの封印が解かれつある。そして今我が傍わ原にドジェイルはいない。もはやのを見ることはできない。良いかハーフリングよ。
[01:16:10.239] ロードジェイルに変わり、メルザールの野望を打ち砕くのはそなたである。そなたには重いかもしれない。だがわしはそなたを信じておる。ジェイルに変わる時代の英雄。そなたにはその資格があるのだ。行け。ハーフリングの旅人よ。それ言うために出てきたんだろうけど。すげえは茎き見せてくるおっさんみたい。
[01:16:33.400] 嘘。ちょっとそう見え。ちょっとそうやって見てみるか。
[01:16:36.040] 次は
[01:16:37.760] まあなんかロード中なんかこのおっさん
[01:16:39.520] なんだっけこいつの名前。うわ、なんか痛
[01:16:41.679] そうな椅なんて言うんだっけ?あいつの
[01:16:43.760] じじえな何だっけ?ワーロックじゃなくて
[01:16:46.639] あのじじ何て言うんだっけ?さっきのも
[01:16:48.679] 全然覚えてねえわ。
[01:16:51.679] えーロードジェイルじゃなくてな、何だっ
[01:16:53.840] け?あのさっきのじいさんの名前。さっき
[01:16:56.320] 言ってたけど、そいつはなんか英雄を英雄
[01:16:59.719] を育てるのがどうのこうのみたいな。トム
[01:17:02.560] か。トム。あ。カエルなんか
[01:17:11.159] トムの勝ちです。
[01:17:12.760] トムの勝ちです。死ぬ未来が見える。ここ死ぬような気がするぞ。あ、行けないんだ。
[01:17:25.719] ワニ来てほしい。
[01:17:29.280] 久々のワニ。いや、ここ行けねえな。
[01:17:32.760] ああ、だから乾きの石があったらどうのこうのってさ、これだもんな。多分な、乾きの石を持ってなんかどうのこうのってつったね。うい。お疲れ。
[01:17:42.400] はい。ベのお疲れ。やってんで。やってんで。うん。なんかさ、さっき落とすんだよ。
[01:17:58.199] こっちかな?
[01:18:01.920] ほらな。こういうのがあるから不思議な色
[01:18:04.800] をした草だ。独装かな?取っとこう。なん
[01:18:08.000] か色違うなっと思ったんだよね。シャドキ
[01:18:10.400] が発達してきてる。シャドキが
[01:18:14.719] スルドなっているやろ、もう。待、なんか
[01:18:17.560] ある。
[01:18:23.560] 壁キモいんだけどなんか。
[01:18:25.880] シャドゲーム。
[01:18:27.320] シャドゲームです。どうも。うわ、なんかさ、なんかさ、あ、間違えた。危ね。なんかここだけなんかちょっとこれがさっき言宿屋かな?宿屋か。
[01:18:52.159] え、お、
[01:18:55.040] 腕短けないかよな。旅人かい?相手部屋は
[01:18:58.800] ないぜ。すまねえな。他当てくれ。
[01:19:02.360] 開いてる部屋。誰か止まってんのかよ。
[01:19:04.000] ここ
[01:19:06.679] 待て。強制的に出された。これ何も言って
[01:19:08.639] ないぞ、俺。強制的に。ここダメなんだ。
[01:19:12.880] 笑笑
[01:19:13.760] ここはダめでした。んだこれ。
[01:19:17.000] 誰が止まってんねん、こんなとこで。こっ
[01:19:19.960] から入れそうじゃないか。入れか。
[01:19:24.360] ど、
[01:19:26.520] これ扉?あ、扉じゃねえな。
[01:19:33.800] いや、結構うわ、うわ、うわ。ちょっと
[01:19:35.880] 待って。結構迷路じゃない?これ結構迷路
[01:19:39.760] なんですけど。
[01:19:48.199] あ、戻ってきた。ああ、なるほど。ここに繋がってんのね。はいはいはいはいはいはいはい。こいつんとこ来たわ。こいつんとこ来た。戻ってきた。で、さっきここ行ったからじゃあこっちか。
[01:19:59.320] ならもっと早く死んでた。
[01:20:01.320] ああ、てかさ、今日なんか
[01:20:03.960] Twitter
[01:20:04.400] でさ、ウィザードリー配信でやってる人をさ、見てさ、ウィザードリーもめっちゃやりたくなったんだよね。手動マッピングで。
[01:20:10.920] わあ、ウィザードリーもやりてえしな。
[01:20:14.239] やりてえゲームが多いよな。
[01:20:18.480] 見つけたぞ、こいつ。しまった。モン番だ
[01:20:21.400] 。え、え、何?
[01:20:25.360] え、どっから見つけられ?え、え、何?何
[01:20:28.159] ?何?
[01:20:30.280] いや、遅ええ。
[01:20:35.239] いや、なんで今だって見つけえ?見つかったか?今本当に見つかった?今
[01:20:42.639] 彼は自信を持っていた。俺の管理するローから逃げられるものないはずがないと一度は失いかけたその自信を取り戻して彼は上期限だ。地下老獄のディルの耳に魔音番の高笑いの声が聞こえてくる。俺の手の内から逃げきれるやつなんかいるわけねえんだよ。
[01:21:04.199] お、いいことだよ、これ。どういうことですか?いや、あんなん初見殺しやわ。あれ、あの部屋に入った時点で終わりだな。あの部屋に入った時点で終わり。は何もないよね。何もないよね。見つけたぞって言ってたけどさ。
[01:21:31.199] なんか普通にさ、見つかってなかったよな
[01:21:34.800] 、今。本棚の裏から出てきたけど見つけた
[01:21:38.120] ぞって言って。どうやって見つかったんだ
[01:21:41.040] よ。
[01:22:00.760] あ、んでこの部屋、ま、これ多分フラグと
[01:22:03.800] かはねえからいいよな。もう分かってるし
[01:22:05.679] 、ここ入んないでいいよ。
[01:22:08.880] ああ、こっち行くと戻っちゃうんだよな。
[01:22:10.719] だからちょっとこの辺ちょっともう1回見
[01:22:12.120] てくか。この辺入ってねえしな。ちゃんと
[01:22:13.960] 入ってこうぜ。
[01:22:20.639] お、結構いるなあ。
[01:22:26.159] いや、どうもいらっしゃい。いいお天気で
[01:22:27.760] ございますわね。お金ご入り用ですか?し
[01:22:32.400] 七層ん七層さえお持ちでしたらいくらでも
[01:22:36.760] ご合させていただきます。金かしか。それ
[01:22:39.520] とも何かおしつかお金さえお家でしたら
[01:22:41.760] なんなりと用意させていただきますよ。
[01:22:47.480] なんだろうな。うんとちょっと待ってね。
[01:22:50.239] え
[01:22:51.760] 、これ
[01:22:56.320] お客さん冗談をよしてくださいよ。もう
[01:22:58.719] ちょいマなもん持ってないの?何なの
[01:23:01.159] こいつ?お金買い取ってくれるんかな?
[01:23:05.280] なんだろうね。
[01:23:07.719] これはコインは結構お金あるよ、これ。
[01:23:13.480] コインを手渡した。お客さん、こんな
[01:23:16.360] 素晴らしい品があるんです。こちらのチ
[01:23:19.320] などといかがでしょうか?え、これいいの
[01:23:20.800] かな?交換しちゃって。
[01:23:23.159] とても美しいブローチでございます。この
[01:23:25.120] 見事な最翼は、え、名称、名、名称の手に
[01:23:29.040] よる作品ではと思わせます。ブローチを
[01:23:31.679] 買いますか?え、これ買っちゃっていいん
[01:23:33.400] かな?
[01:23:38.600] 買っちゃっていいんかな?おい、
[01:23:43.080] ポケットしてんじゃねえ。お前らに聞いて
[01:23:44.360] んだよ。おい、コメントせえや。おい。
[01:23:50.760] お、今、今別に思んないとこだからいいや
[01:23:53.280] 。じゃないねん。おい。せ、いいよ。
[01:23:56.239] え、買っちゃう。じゃ、買っちゃう。じゃあ買っちゃう。どう行く?ファせ。
[01:24:02.159] 買っちゃった。いいのか?本当に本当にいいのかな?
[01:24:06.719] ああ。
[01:24:07.880] ああ。これでもさ、これでもジ、これさ、あめちゃんこんばんは。これさ、
[01:24:13.320] あの、これ、これと、ええ、これ罪とかある?
[01:24:19.199] こんばんは。
[01:24:20.120] こんばんは。こんばんは。やってますよ。
[01:24:23.199] ちなみにこれを売ろうとしたと思う。
[01:24:26.840] 何言ってるのお客さん?それ私が売った
[01:24:28.480] もんじゃない?一応売ったものは買い取る
[01:24:30.760] なよ。返兵を受け付けないからね。悪く
[01:24:32.560] 思わないでくださいよ。なんか騙された気
[01:24:33.960] がすんな。
[01:24:35.920] 騙された気がするな。
[01:24:41.520] じゃ、間違えたって。間違えたって。え、
[01:24:44.560] 他のもんもなんか見てもらう。
[01:24:47.800] 他のもんもなんか見てもらうか。
[01:24:50.520] この指輪とかどう?これ死の指輪は使うけどさ、この辺は
[01:24:53.679] から出たの?
[01:24:55.199] なんかね、外に出たんだけどね。なんかよくわかんねえんだよな。迷路になってて冗談してください。もうちょいまし。あ、ダメなんだこれ。ダメだった。わあ、でもこれ全部チェックすんのは若干若干のだな。若干のだる。あ、だめだ。ああ、ダメなんだね。ダメなんだね。
[01:25:29.320] 特に何もねえのか、これ。
[01:25:32.840] 特に何もないっていう判断で。オケー。
[01:25:37.239] あとなんだろうな。買い取ってくれそうな
[01:25:39.600] もん。買い取ってくれるそうなもんてねえ
[01:25:42.880] よな。
[01:25:48.800] 金色の鍵とかは
[01:25:52.199] ダめだね。
[01:25:57.600] いいか。これはちょっとこここいつちょ
[01:25:59.280] わかんねえわ。
[01:26:02.679] うーん。ないない。ブローチになった。
[01:26:06.400] コインがブローチになったってだけでいい
[01:26:08.400] んじゃない?
[01:26:12.040] ほいで。ほいだら。あ、こっちは行って
[01:26:15.280] ねえな。どうしよう。戻った方がいいんか
[01:26:17.520] な?
[01:26:20.040] あ、だめだ。開かない。
[01:26:24.639] やっぱそっち行くしかねえんだな。
[01:26:29.159] こっちは何もなくて
[01:26:34.400] 1番最初のとこ戻る。
[01:26:39.560] 戻ってでこっちに行く。
[01:26:49.239] ほんでここ入ったら死んだね。ここ入ったら死んだんだよ。クソ初見殺しでもう騙されない。
[01:26:58.080] 今日これの夢見そう。
[01:27:01.320] 地獄だぜ。こんなの夢見たら。あれ、こっちだっけ?どっち入ったんだっけ?忘れちゃった。なんかあるよ。なん?なんかある。
[01:27:14.840] ここで武器を修理した。武器。なんだこれ?白の
[01:27:24.239] BGM。
[01:27:25.199] どこで死んだかは1
[01:27:26.480] 番忘れてはいけないところではないか。
[01:27:29.840] ま、この辺かな?なんかあるよ。これは、これアイテムじゃねえの?アイテムじゃねえの?アイテムじゃねえの?何もないな。
[01:27:45.400] ドラクエで聞いた覚えある?
[01:27:47.480] え、この曲?うーん。ま、ここは入っちゃダめだから。ダめだ。ダメだから。ここは入っちゃダメだ。だ、なんだこれ?おい、おい。どんどん拾なんか、なんか色々あるぞ。器外は綺麗に片付いてくる。
[01:28:12.360] 坂盛りでもしたのかな?
[01:28:15.080] わしはどこにいんの?盗賊の館2階盗賊の
[01:28:19.719] 館なんだ。
[01:28:26.280] ん?一旦セーブだ。
[01:28:32.679] 貴様は何だ?
[01:28:35.840] セーブ偉いもこれ。おイケメン。
[01:28:40.520] こんにちは旅の方。
[01:28:41.719] 僕は銀勇主人です。名前をグッダートと言います。僕の名前を聞いたことありませんか?これでも昔は有名だったんですけど。ゲター
[01:28:50.960] シャドウゲイター。でも諸国を巡るたびの途中、盗賊の皆さんに囚われてしまったからは文字通り過の取りです。盗賊の皆さんのたちのお好きな歌ばかり歌わされて僕の好きな歌は少しも歌わくないのです。これでは自慢の喉も錆びついてしまいます。そこでどうでしょう?僕の好きな歌を歌ってもよろしいや。
[01:29:10.639] 勝手にしろよ。俺に許可別に俺、俺、俺が聞いてなきゃいけんやのか、それは好きに歌ったらええやん。ありがとう。旅のお方一生懸命歌います。それでは聞いてください。ロードジェイルのサーガです。
[01:29:26.199] 1
[01:29:26.360] 局よかですか?
[01:29:33.400] 早て欲しいわ。
[01:29:35.080] 早か。早すぎる。早すぎる。この全然読めない。
[01:29:39.520] 笑笑。
[01:29:40.239] 早カムわちわ。この時今わしきもなんとか早。けえ早い。
[01:29:47.920] スキャットマンみたいになったじゃん。バラバピーパパラポやん。スキャットマン。
[01:29:55.000] 速。
[01:29:55.760] 高速。ウィルの歌が終わった。ウィルもウィルは感動しているようだ。どういうことやね。
[01:30:02.400] どうです?素晴らしい歌でしょう。伝説の英雄ロードジェイルを封印された今わしきとの戦いを描いて歌です。
[01:30:08.080] 泣いてら。笑。
[01:30:10.360] 泣いてら。とても古い歌ですが、僕は
[01:30:12.920] 大好きなんです。きっと壮絶苦しくとても
[01:30:15.679] 完美な戦いだったでしょうね。いかが
[01:30:18.400] でしょう?また歌を聞いていただいた俺に
[01:30:21.080] もう1曲
[01:30:23.600] 歌の俺礼にもう1局歌うって何なんだよ。
[01:30:26.840] もう無限ループ入ったよ、こいつ。
[01:30:31.560] ま、なんか嫌な予感するこいつ。あと10
[01:30:34.480] 局ぐらい。さっきのさっきの番みたいな。
[01:30:38.679] さっきの門番みてなよ。それでは盗賊の皆さんお気に入りのそっちも歌ってくれるんだ。そっちも歌ってくれるんだ。えい。俺らは砂漠のごいこっちの方がいい。
[01:30:57.119] テキスト入れりゃいいってもんじゃねえぞ。聞いてやれよ。
[01:31:00.840] 俺たち盗賊悪闘さ。俺たち盗賊悪闘さ。
[01:31:04.600] アとさやっとウェディドテやっとディドテやっとひどねひどい
[01:31:13.320] ひどいです
[01:31:14.719] うま
[01:31:16.560] 嫌とは言いつつ気持ち良さそうだ嫌とはいいつつ確かになかなか歌いやすかったな歌いやすかったな小学生の使ったうんみんなの歌みたいなの皆さんは獲物につけた時には必ずこの歌を歌って帰ってきますも歌わるので
[01:31:34.280] そういえば最近盗賊さんがみんなが歌って
[01:31:36.080] いるのを聞いたような気がしてます。なん
[01:31:37.480] でも幸運の星を受け取りにしたとか体は
[01:31:40.159] 正直何ことだかよくわかりませんけど
[01:31:43.280] いかがでしょう
[01:31:45.600] 。
[01:31:47.960] お前マジか
[01:31:50.199] お前そっち側だったかこれさっきのやつと
[01:31:53.199] 同じや。笑笑。
[01:31:55.320] もうこれ無限ルーパー。これ無限ルーパーすぎる。こいつ
[01:32:00.960] 気持ちすぎるタイプ。
[01:32:02.880] こいつ嫌われるタイプですわ。な
[01:32:04.880] って怖くね。
[01:32:06.920] なんとあのモン番さんの作曲の歌でもあ仲間だったわ。仲間だった。仲間だったわ。こいつら同じやり口だ。通りで通りであのロー番さんと同じやつだ。ローさんの恋人
[01:32:21.000] るんだ。こいつ有名だったのって。
[01:32:23.360] 悪名悪だな。
[01:32:24.800] カラオケでマイク話さないんやろう。
[01:32:27.000] ああ、気合われるだろうな。私、あ、私なの?バイオリンなの?番さんはいつってバイオリンにしか興味がない。プンプ。暇さえあればお稽古ばかり素敵な色聞こえてくるの。だけどだけどだけどもね私のことを見ていて欲しいのねえ。
[01:32:50.199] 最後のえ、ローバさんて見た目に似合わず音楽が大好きなんです。特にバイオリンが決しておじゃないんですけどね。
[01:33:00.119] でも噂によれば氷かしのフェスフェスタスにバイオリンを取り上げられてしまったんだとかはあのロー番さんが借金のためにフェスタスにペコペコ頭下げたんですって。泣いて頼んだらしいんですよ。バイオリンだけは取り上げないでくれ。
[01:33:13.920] ロー番さんは部屋のこの真下ぐらいローバ
[01:33:16.760] さんの部屋この真下ぐらいだから聞こえ
[01:33:18.119] ちゃうとは後は怖いのでここまでにして
[01:33:19.920] おきましょう。でも笑っちゃいますよね。
[01:33:23.159] 糸巻きの割れた古いバイオレにそこまで集
[01:33:25.520] するなんて。こんなにも気持ちよく歌った
[01:33:27.400] のは実に久しぶりです。旅のお方僕の歌を
[01:33:29.159] 聞いてくれてどうもありがとう。あ、
[01:33:31.400] あなたに何か霊をしたいところですか?僕
[01:33:33.000] には歌しかありません。でも感謝の気持ち
[01:33:34.520] をいや、怖い怖い怖い。お前まさか歌作る
[01:33:36.360] とか言うなよ。そこで申し訳られないん
[01:33:38.960] です。この一輪の花を差し上げましょう。
[01:33:40.560] シャドゲートには入ってない花です。花を
[01:33:43.239] 手に入れた。是非また歌わせてください。
[01:33:45.440] 旅の方。でもそれはそれとして糸巻きの
[01:33:48.480] 割れたバイオリンを取り上げられて老番
[01:33:50.040] さんが泣いてたし。僕から聞いたなんて
[01:33:51.360] ローバさん言わないけど。なるほど。
[01:33:52.679] バイオリンをどっかに手に入れて借金取り
[01:33:55.159] から返してもらって。借金取りを返し。
[01:33:58.360] うわ、本がある。これ読むやつだ。めんど
[01:34:00.080] くせえ。
[01:34:03.239] 返してもらったらあのロー板のとこに持っ
[01:34:04.800] てけばいいのね。
[01:34:11.119] 流地の教えあまり知られてないことから
[01:34:13.520] ですが、竜の様はそれはそれは素晴らしい
[01:34:15.840] 声の持ち主です。時に春の小鳥りのように
[01:34:18.239] 時に大地のように流会様は様々な声を出す
[01:34:20.719] ことができるそうです。音楽の才能に
[01:34:22.360] 恵まれているのでしょうか?どの楽器で
[01:34:23.800] も匠に演奏できると言われています。その
[01:34:25.480] 他にも会様には、え、数多くの、え、
[01:34:27.800] 不思議な話があります。目読でもいいよ。
[01:34:30.920] ああ、そうしよっか。
[01:34:34.679] そうしよっか。
[01:34:37.440] それ全てを行くの。
[01:34:39.520] はいはいはいはいはいはいはいはいはいはい
[01:34:42.199] 笑笑
[01:34:43.639] ところが働いていやもう文字が多すぎんねんてこれ本も人の言葉もだけどさ私の前で
[01:34:52.800] 1
[01:34:52.880] 度も歌ってはくれませんでした。手渡した楽器の何でてはくれませんでした。この言葉を聞き誰もが疑問を感じました。それはどうして人のゲが急速に退達したんだろう。
[01:35:01.480] え、それではお前たちは、え、お前様は竜様の部屋何をしていったんだい?誰かので龍院士は答えました。様は私がいるお部屋にいる間、大きな卵を横にずっと座っていました。え、静かにタバコを手におっしゃいません。それでお前様は何をしていたんだ?私た、私は竜さんをこの両はいはいはいはいはいはいはいはい。とはとてもそれで力強いを打っておりました。
[01:35:27.320] その行動を、え、手のひに感じている時、
[01:35:29.760] 私は何かを得たような気になりました。
[01:35:31.239] 美行。美行。これ以降流使いに教えを受け
[01:35:36.119] た銀主人の物語が展開される。ドラゴンの
[01:35:39.679] 調査に直接関わりある術を見られない。
[01:35:41.719] あえて活する。わからん。読んでも意味
[01:35:45.000] わかんないねん。うん。読んでも長い文章
[01:35:47.920] もっと早くしてくれても良かったのでは
[01:35:51.960] あの分ぶっちゃけ全部割愛でよかっただ。
[01:35:56.360] でもこれ読んでないと後々なんかさ、読ん
[01:35:59.159] でないと後々なんか何もわかんなくなっ
[01:36:01.440] ちゃったりするんだろうな。
[01:36:14.760] うん。あ、剣とかあるじゃん。これ持うや
[01:36:18.000] 。でも俺にはこんなきはな。片っ端しから
[01:36:21.639] 読むし。うん。ま、それもそれで
[01:36:25.040] なんか憂鬱だな。
[01:36:31.320] 皿。
[01:36:38.360] お、
[01:36:50.920] お、よく気づいた。俺壺も欲しい。
[01:36:56.280] よく気づいた。危ねえ。腕はもうねえかな。
[01:37:05.639] カモフラリたけ君。壺も欲しいよ。
[01:37:10.320] 壺取れなかった。
[01:37:11.560] 合血の腕は来た。
[01:37:13.040] 合結の腕は?お、装備できたよ。装備できた。
[01:37:22.679] なんだこれ?何の腕はなんだろう?これ何の腕はなんだ?これ
[01:37:39.159] 2度と外れなさそう
[01:37:41.679] の。あわあ。ちょ、そっち向いただけだって。
[01:37:49.560] え、この腕輪があることでなんかあのモン番にバレる門番にバレるバレないとかあんのかな?この腕輪があることによってモン番が俺たちをな盗賊の仲間だと思ってくれるみたいな。そういうこは大丈夫なの?イノシネ肉の匂いがする。え、ローグレッドタは本当にローの手作りだったんだ。ああ、番ってこいつか。
[01:38:15.679] じゃああれか、こいつがあのバイオリンが
[01:38:19.159] 欲しいって泣いてるんだ。雑魚が。
[01:38:25.719] あ、ここは老番の部屋なのね。なるほど。
