[00:00:35.520] しぐしみょだな。うい。お疲れ。
[01:08:45.679] ドリルあったよな。でもな。
[01:08:50.199] もう1個ドリルあるはず。
[01:08:55.199] あ、ある、ある、ある、ある、ある。
[01:08:55.920] あそこにある。え、あそこにあるけどじゃ
[01:08:58.679] ねん
[01:09:01.239] 。あそこにあるん?
[01:09:07.600] これどうやってあそこまで持ってくの?
[01:09:10.440] まずい。あ、まずい。まずい、まずい。え
[01:09:12.279] 、お前う、ちょっと
[01:09:17.560] なんなんだよ。
[01:09:23.120] また最初からじゃねえかよ。
[01:09:24.799] 使って高卒の頭フル回転してるよ。
[01:09:46.799] 最初からきつ
[01:09:49.279] きついねん。これ死んだらマジで。よいしょ。うーん。ま、上からやってくか。
[01:10:09.600] これ全部で60ステージあんだって今23
[01:10:12.840] まで来てんだ。まだまだ半分にも来てない
[01:10:14.679] 。まだ半分も来てないから
[01:10:23.080] マブあれだな。なんかまた裏でさ、裏で
[01:10:26.120] ゲームやんべえよ。また
[01:10:28.000] 裏でゲームやんねえか。久々にやり応え
[01:10:30.640] ある。めっちゃ。うん。こういうパズル
[01:10:32.960] ゲームシクシとやってんのがいっちゃん
[01:10:34.480] おもれえからな。
[01:10:38.440] お野ろやろ裏ですか?表でやれよ。裏だよ。プレイできるの?裏です。
[01:10:45.360] 裏です。裏に決まってんじゃん。久々にあれやろうよ。ほぼやろうよ。ほぼ久々にほぼやんべえよ。
[01:11:04.520] なんでストみたいなんやってくれ?
[01:11:07.280] いや、もうなんか何回かやってんだよな。マーブルと俺とじんちゃんとでラストもやったしさ。
[01:11:15.000] ない顔がある。
[01:11:18.000] ラストもやったしさ。あのセブンデイズとかもやったけど。ええ、
[01:11:22.040] 山登りのやつルスト行こう。
[01:11:24.600] おいおい。
[01:11:26.400] ほぼかよ。笑笑。
[01:11:27.719] ほぼいいじゃん。ほぼほぼタフライフやろうよ。
[01:11:32.520] これもう今もう完全にもう俺とマーブルしか通じてないから。
[01:11:36.120] いや、今のひどいな。
[01:11:39.360] ガ待ちされてたわ。が待ちゴラー。ガちゴラーでしたね。今
[01:11:49.719] 協力ホラゲとかやってくれ。アークはガちパスワード早く入力できないの?裏でアーシの悪口。
[01:11:58.880] あ、言ってる言ってる言ってる。
[01:12:02.280] 言ってるよ。裏でめっちゃ悪口言ってるわ。
[01:12:06.159] 笑笑。
[01:12:07.920] なんか厄介なリスナーがよって言だよ。冗談だよ。
[01:12:13.280] 例えば
[01:12:14.400] 言ってねえよ。言ってねえ。別に裏でそんな自分たちの話題が出てるなんて思うなよ。
[01:12:27.520] ファイルフィッシュ。
[01:12:34.120] えっと、
[01:12:36.400] 最近見に来た8
[01:12:37.639] 丁とかいうやつコメント多い割に対して面白くねえんだよ。
[01:12:43.400] そんなこと言うわけないじゃん。こんなこと言うわけないじゃないのよ。
[01:12:48.120] 笑笑
[01:12:49.920] いや、これ間違ってんのかな?これがもう間違ってる気がするなあ。
[01:12:55.120] 裏では茶まげの今後の配信どうするかばっか。
[01:12:59.719] 割とマジでそうじゃん。でも割とマジでそうじゃん。俺だって半年間すぎた。真面目。
[01:13:08.280] 半年間配信や休んでる時ずっと裏でなマーブルに
[01:13:13.199] いやどうしよっかな。俺もう俺ってこのままこのまんま消えてくのかな?そんな話ばっかしてたね。
[01:13:23.440] そんな話ばっかしてたけど俺消えっから。
[01:13:32.960] 笑笑。株が急上昇
[01:13:37.159] でマーブルがでもええんちゃう?あのもう好きなだけ休んだらえんちゃうって。俺本当はもっとなんか
[01:13:44.199] 1ヶ月2
[01:13:45.120] ヶ月ぐらいで帰ってくるつもりだったんだけどマーブルがいやもうあんやめそんなんで戻ったら一緒やでつって。マーブルもな
[01:13:54.679] 休んでたことあるからさ。
[01:13:56.560] 半年はあ、わかんないけどなんか休んで休んだ休み結構マー
[01:14:00.400] ルって俺これすごいところだと思うんだけどあの休める人なんだよね。休む時にもう一旦休もあの休むのも結構勇気いるんすよ。お前らにはわかんないだろうけど休むのにも勇気いるんすよ。だから俺前の俺みたいに無理してもう限界にまだやっちゃうんだみんな。
[01:14:25.480] でもマーブルはそうなる前に休むじゃん。だからマーブルに言われたんだよ。いや、そんな
[01:14:29.480] 12
[01:14:29.840] ヶ月なんかじゃない。もうもうほんまもうもうもうがっつり休んだ方がええでつって言われて半年休みました。そして今ね今年の初めからやってますけど全く
[01:14:42.239] 全くぶれずに
[01:14:44.159] やってこれてます。
[01:14:45.440] ありがてえ。楽しい。
[01:14:47.040] 楽しい。配信楽しいよ。
[01:14:51.159] なんかもう同説とか全然みもう隠して弁馬
[01:14:54.800] やってるからね。
[01:14:55.800] ほえか
[01:14:57.360] 隠してやってますよ。
[01:14:58.120] よかったね。
[01:14:58.840] せやね。
[01:15:05.840] ほんで
[01:15:06.400] のエロゲみたいよ。
[01:15:07.800] あれな、あれな。あれつやろっかな。
[01:15:12.960] 9
[01:15:13.159] シーズンと比べて増えた。
[01:15:15.880] 増えてはない。減った。時間分けめっちゃ減ってる。
[01:15:18.520] もうなんか8時間とかやるのやめたんだよ
[01:15:20.639] 、俺。前はさ、もう金曜の夜から土曜の朝
[01:15:23.760] までさ、8時間やるとかさ、平気でやった
[01:15:27.880] じゃん。もうこんなんされたら叶わんわ。
[01:15:30.719] あれだろ、あのなんだっけ?狂った果実
[01:15:33.600] でしょ?狂った果実。エロゲね。エロゲか
[01:15:36.159] 、もうトラウマゲーっ
[01:15:40.440] たとな。早くやりてえな。くるか無理して
[01:15:43.440] するもんじゃない
[01:15:45.440] 。マジでそれ?マジでそれ
[01:15:47.639] のや。マジで無理してやるもんじゃね。俺本当だからだって前までさは今配信俺
[01:15:54.120] 2
[01:15:54.280] 時間以下で終わったりするじゃん。そんなことできなかったもん。なんか毎日
[01:15:58.400] 4
[01:15:58.600] 時間やんなきゃいけないっていう謎の呪いにかけられててさ、
[01:16:02.360] 10時から2時までやってさ、で、
[01:16:04.719] 3
[01:16:04.880] 時頃寝るっていうきみたいな、きいみたいな生活してたけど、あ、今日普通に
[01:16:09.960] 12時で終わるからね。
[01:16:12.960] 頭おかしいよ。
[01:16:13.920] 頭おかしいよ、本当に。
[01:16:19.920] これをさ、うまいことさ、
[01:16:26.280] 10時出勤でギリの時間。
[01:16:28.480] うん。ここね、この弾ってどうにかさ、取る方法ないのかな
[01:16:37.800] とか言いながら1
[01:16:38.840] 時までやってくれるんだから。
[01:16:40.679] まあ、まあ、まあ、そういう時も別に無理してやってるわけじゃないからね。じゃあ今日はやろっかなっていう。
[01:16:44.159] もう前まではもう義ムだから
[01:16:46.360] 2時までは義務配信義務
[01:16:54.199] 上に掘るのは無理なんだ。
[01:16:55.679] 上に掘んのはできねえんだよ。そうなんだよ。上に掘んのはできねえんだよ。いいとこに気がつくじゃねえか。あ、おい、これ分かるかい?そんなお前
[01:17:05.679] 義笑。
[01:17:06.920] 義務杯だったよ。マジで
[01:17:10.480] 10時から2時の義務杯。
[01:17:12.320] 義務。
[01:17:13.239] うん。義務シ、義務シ、義務杯だったね。え、パスワード、え、タイピングゲローソからそれ思い出、
[01:17:26.760] タイピングゲローソ配信配信
[01:17:30.280] 5
[01:17:30.480] 年やってまだタイピングあのぶ、あのよちよちタイピングしかできない。
[01:17:37.000] タイピングでどうやったら早くなるんだ?タイピングでどうやったら早くなんだ?
[01:17:40.760] みたいなおもろいゲームまたそ伸び伝みていなやつな。ポ
[01:17:44.840] いや、俺ね、マーブルにやって欲しいゲームあんだよな。幸福捜査官やってほしいな。
[01:17:50.360] お前プレステ2できんでしょ?マーブル
[01:17:52.719] 寿で鍛えよう。
[01:17:54.400] 寿だ何それ?
[01:17:55.360] で、戦いながらチャット早くなるよ。キーボアドベンチャーでんだよ。
[01:18:01.199] キーボードキーボアドベンチャーってめちゃくちゃ面白くなさそうな笑
[01:18:07.080] なんでだよ。いいだろ。あってんのかよ。やれよ。あれめっちゃ面白れえから。
[01:18:11.760] 都道府県タイピングで鍛えよ。
[01:18:13.719] 何?都道府県タイピングって
[01:18:16.239] やったことないの?小学生の時に。
[01:18:19.360] え、掛け算イターサーガしかやったことないよ。掛け算イターサガ
[01:18:25.239] いや茶げやってたの見てたよ。笑
[01:18:28.040] あ、見てた。あ、そっか。見ててくれたんだ。
[01:18:32.000] じゃあだめか。じゃあなんだっけ?あれ名前が出てこね。
[01:18:40.760] これは買ったな。
[01:18:43.120] うわ、今あそこ絶対勝ち筋だよな。ペテリな。あそこ開けんの勝ち筋だよね。絶対
[01:18:51.199] ルーマニア。
[01:18:52.320] そうそうそうそうそう。あ、さすがイもこ。よくわかったね。そう。ルーマニア。ルーマニアシリーズは俺大好きやねんけどあれ。
[01:19:04.920] ルーマニアやってほしいな。マブにし
[01:19:13.120] あれおもろいんか?
[01:19:14.199] いや、あれめっちゃ送るわ。送るわ。あ、お前ふざけんなよ。おい、ダブル、
[01:19:23.560] お前臭いねん。あいつ臭いなあ。あいつ臭い。臭い。めちゃ
[01:19:28.120] くちゃおもろいよ。
[01:19:29.639] 笑笑。ダブルく。こ死にすぎで。
[01:19:33.239] あ、あいつ草。あいつ臭すぎるやろ。
[01:19:36.719] 臭い。
[01:19:37.360] 笑。
[01:19:37.880] 臭い。臭い。臭いな。君
[01:19:42.000] 臭い。で、
[01:19:47.719] これ録画。
[01:19:50.040] 俺今日昨日さ、12ステージもさしあの
[01:19:54.320] 進んだのにさ、進んだのにさ、今日2
[01:19:56.840] ステージ
[01:19:58.480] 2ステージ進めねえかもしれね。
[01:20:02.239] ま、そんな日があもい
[01:20:06.639] 録画じゃん
[01:20:07.679] 録画だよ。これ
[01:20:09.960] どんどん難しくなるんやろな。1週間で
[01:20:13.040] 終わる。マジで
[01:20:14.280] 笑目標30年だったのか。プラマイレ
[01:20:18.440] プラマイゼロ鳴らしたら一緒。
[01:20:21.600] 1日で12ステージ住むとのと
[01:20:25.400] 1日で2ステージで合計14日で合計14
[01:20:28.600] ステージ1日7
[01:20:29.840] ステージまあまあでもまあまあでも旧大点やろ
[01:20:33.719] 1日7ステージ住んでたらまあ大点やろ
[01:20:38.760] 1日0の日が来る
[01:20:40.560] 地獄すぎる
[01:20:42.480] 1日0
[01:20:43.120] の日が来たらもう俺多分もうこのゲームやめるかもしんねえな危
[01:20:55.280] ええ、でもこれどうやってやんのわかん
[01:20:57.199] ないんだけど。
[01:21:00.639] あのバカが来る前に降りねえと。あのバカ
[01:21:03.440] が来る前に降りねえと。来るよ
[01:21:08.320] 。これあえてここで1回巻くねん。こいつ
[01:21:11.159] すぐ追っかけてくるから。何してんだお前
[01:21:13.360] こっちだよ。か。
[01:21:18.000] はや。なんやあいつ。キんモ。あいつ。
[01:21:22.800] あいつ。あ、あいつの何?あの登り降りの
[01:21:25.239] 速さ。
[01:21:30.239] これでもこれしかこうやって行くしかない
[01:21:32.040] んよな。
[01:21:39.080] 消防士の早さ。消防士くらい早い。
[01:21:43.520] お前ら何なんだよ、その同じ着眼って。確かに超防止し並の速さ。ほ、
[01:21:48.239] 笑笑。
[01:21:54.080] 穴開けちゃおっか。あ、これ行ったんちゃう?これ行けたかも。これ行けたかも。アヒームオフだみょ。ち、
[01:22:07.880] オ、よしよ。ま、前、い。
[01:22:11.320] これ行ったんちゃ?これさすがに行ったわ。
[01:22:19.600] 間違えた。穴掘る方向。穴掘る方向逆じゃん。
[01:22:27.480] やってんねん。
[01:22:28.920] 穴掘る方向逆じゃん。戻れへんやん。これじゃアホ。
[01:22:33.320] 何を?
[01:22:33.920] バカ。
[01:22:37.840] やらかし
[01:22:38.719] やらかしですわな。
[01:22:39.760] これはな、これやったね。
[01:22:41.960] あ、バカ。アホやの。
[01:22:55.920] カす、
[01:22:57.440] カす。
[01:22:58.960] 真面目にやってる。
[01:23:02.719] あ、間違えた。間違えた。ま、間違えたら問答無用で最初からなんですよ、俺、これ。
[01:23:11.040] 間違えた文字も消すボタンくれえよ。
[01:23:22.280] 君消す。
[01:23:25.000] 君消す。もう死んだ。アホしねえ。
[01:23:29.520] F
[01:23:33.880] もう行く。もう行きます。さすがに。さすがにもう行く。
[01:23:43.600] これ一旦ちゃう?
[01:23:45.880] もう行く。
[01:23:47.040] もう行く。あ、もう、もう行きそう。もう行きそう。
[01:23:51.199] いいじゃん。
[01:23:52.800] 美いいじゃん。今日美ジいいじゃん。笑。
[01:23:58.880] 俺のお母さんが、俺のお母さんが大好きな
[01:24:01.440] 可愛い。
[01:24:02.639] 俺のお母さんが大好きなね。今日美シュいいじゃん。歌ってたわ。カラオケで。
[01:24:08.520] 弱い60にして弱い
[01:24:11.159] 60にして歌ってたわ。
[01:24:12.440] 若い
[01:24:13.199] 若いねんな。うちの稽古はダブル
[01:24:15.960] うちの稽古は若いんだから
[01:24:17.600] の歴ゴッド若いな。
[01:24:21.199] うちの稽古はもう今今んな初めてアイドルにはまってんだから
[01:24:26.960] レベルアップ
[01:24:27.760] げんげすぎて滅歌せんだからうちの稽古は若いだろ今年
[01:24:34.760] 60歳になりました。笑笑。
[01:24:38.280] うん。美ジュいいじゃん。ちょっと恥ずかしかったな。俺もちょっと恥ずかしかった。
[01:24:44.960] ちゃんの錆と錆じゃないとこの差が激しすぎる。
[01:24:48.239] そういう曲だからな。
[01:24:55.800] 列じゃないんだ。
[01:24:57.520] あ、わか俺、俺はあんま詳しくわかんないんだけど。純列。
[01:25:00.119] え、待って。俺のおかも。
[01:25:03.920] 嘘。俺の俺のおかんとマーブルの王冠かなんや。ためなんや。
[01:25:17.080] 俺のおとも60。
[01:25:18.800] ええ、多いね。父親両親
[01:25:23.639] 60
[01:25:24.040] の旅来よがほらな。だと思ったんだ。ほら来い。バカ人が。
[01:25:30.480] 元気で
[01:25:32.119] 100
[01:25:34.400] おめでとう。元気でね。
[01:25:36.280] ありがとう。ありがとう。
[01:25:39.960] 100
[01:25:40.199] ビんの話するとこうやって儲かるからね。それ話するよね。
[01:25:44.600] これが本の
[01:25:45.639] これで100
[01:25:46.080] 円もらんだったらするよね。ナイスビッ
[01:25:54.840] ありがとう。
[01:26:04.639] 俺のおかはB
[01:26:05.600] ファーストっていうアイドルのおし。
[01:26:09.679] お互いお母さんわけえな。ビーファースト知らないな。
[01:26:14.119] 笑笑。
[01:26:15.040] ビーファースト。
[01:26:15.600] 笑笑。あ、あいつまだあんなとこにいんのか。
[01:26:32.119] いや、1回殺しとこうか。
[01:26:33.719] 橋本君、こんばんは。
[01:26:34.960] お、こんばんは。美オヘルミンこんばんは。またまた謎ゲーやってるわ。母はりがちやね。
[01:26:43.840] まあ、そういうもんなんだよな。もう子育て終わったらもう自由だからよ。子育て終わったらもう自由だから。
[01:26:57.480] マジギュンギュンギュン好きすぎて滅。
[01:27:00.480] この金玉何?
[01:27:01.880] この金玉を集めてゴールに行くゲームなんだよ。パズルアクパズルアクション。パズルアクション。おい、お前そこに来たらおいキモいね。臭い。お前は臭い。お前は臭いね。
[01:27:17.239] 子育て終わってないのにしょちエクシレ行ってます。始まった。
[01:27:22.320] エグザイルエグゼレ行ってるんだ。おめの母ちゃん来るぞ。ほらな来ると思ってん。おらくまれバカが。
[01:27:38.679] 橋本君の臭年からしか摂取できない栄養素ある。
[01:27:43.400] それ多分でも絶対にあの生命に必要のない栄養素だろ、これ。
[01:27:48.840] 負けない。負けない
[01:27:50.440] 負けない負けない。負けない。自信があるから。はい。オッケー。
[01:27:59.040] パチパチ。
[01:28:02.520] 親子でだ。ダンスのショート動画あげようかな。
[01:28:07.199] やめて。
[01:28:07.679] あげようか。
[01:28:08.520] あ、あげようかな。
[01:28:10.719] 今日まだステージ2しか
[01:28:13.960] 2
[01:28:14.159] しか進んでないんだけど、今日進捗て有まいわからない。笑
[01:28:19.520] そう。チマゲームの
[01:28:20.600] おお、
[01:28:21.679] チャ魔ゲームの臭い年さ。次のステージ行くよ。
[01:28:24.280] 24ステージ24
[01:28:27.679] よろしく。はいはいはいはいはい。なるほどね。はいはいはいはいはいはいはいはいはいはいはいはいはいはい。まず分かった。まずまずお前がお前を呼ぶ。
[01:28:38.560] まずこいつが落ちてくるのを待つ。ザワ
[01:28:40.760] ール。
[01:28:41.000] まずはなまずはこいつが落ちてくるのを待つ。はい。こっち来い。はい。こっち来い。で、まずこれを取るからね。まずこれ取るからね。
[01:28:51.679] と一緒かよ。
[01:28:52.600] え、一緒じゃないよ。変わる、変わる、変わる。結構いいよ。結構いいよ。
[01:28:56.760] BGM
[01:28:57.159] もブ。よし。来い。早く来い。フイ。
[01:29:07.960] オマカマカとは違うのだよ。マカマカとはマカマカなこい。マカマカもやりたい。俺も持ってんだよね。俺も持ってるよ。マカマカん。これ何の音?あ、なんか
[01:29:24.960] 持ってるんだ。
[01:29:25.960] 持ってる、持ってる、持ってるよ。
[01:29:28.480] やめとき。え、なんでなんで
[01:29:34.440] 持ってるならやらねば。笑。なんだ
[01:29:42.880] なんか床増えてた。
[01:29:44.800] いや、なんか今壁じてたね。今壁閉じたな。今などこに落ちんの?これ。え、違うとこに来たよね。
[01:29:57.440] これさすがにさすがに行けないよな。
[01:30:02.320] む。ちょっと待ってね。むずいな。お、こいつ邪魔。あ、これまた違う。
[01:30:11.920] 縦長だね。
[01:30:12.920] うん。ここはなんかまた違うとこだね、これね。え、あれどうとんの?え、待って。これ、これさ、このこいつの頭当たり判定ある?これ。
[01:30:26.000] くばれや。ベンべんべんべんべんべんべんべん。もうだるいよ毎回。もう
[01:30:44.920] これ上下ループ
[01:30:46.000] そう、ループループループするんだよ。ま、ステージによるんだけど。え、そんなんあかんやん。
[01:30:54.440] ずるいよ。それはずるい。臭い。
[01:30:58.280] はえ。
[01:31:06.040] またこいつ1回待つよ。
[01:31:08.040] ずるいし。
[01:31:09.320] ずるいし。君臭いで。これもうこれ待ち時間が長いのよ。
[01:31:22.360] こいつのオケ。
[01:31:28.080] あの人臭いな。ビグサッド
[01:31:32.440] 臭いって言われるのが1
[01:31:33.760] 番なんか精神的に来るよな。あ、変なとこで止めちゃった。変なとこで止めちゃった。
[01:31:40.400] 来る
[01:31:41.199] 来るよね。オ、うまくね。うますぎやないか。こっち行ってみようかな。ちょっとこっち行ってみよっかな。
[01:31:51.960] クールーキットクルー
[01:31:53.400] こっち行ってみよっかな。スコップですか?ほお、スコップですか?いや、でも絶対ここで使うんじゃねえと思うんだよな。ここで使うんじゃねえと思うんだよな。なんかもっと使うとこあると思うんねんな。
[01:32:14.560] 炭酸抜きコーラ。
[01:32:18.080] ほお、炭酸抜きコーラですか?待って。
[01:32:21.159] これよく考えるよ。このスコップ絶対使い
[01:32:23.280] ところがどっかにあるはず。
[01:32:30.600] どこで使うんだ、これ?
[01:32:37.639] ちなみにアイテム持ってる時はもう
[01:32:39.159] ジャンプできないから
[01:32:42.199] さがトイレ台に入ってる時に知らん人予想
[01:32:45.760] 。
[01:32:48.280] 懐かしい。懐かしい。それやったな。
[01:32:53.239] それ懐かしい。やの時でしょ、それ。やのさ、やの時の日のイベント終わって帰り帰りん時に
[01:33:01.560] 最低笑笑。
[01:33:02.800] 帰りん時に俺たちみんなでさ昼飯食ってもう新幹線の時間まであれしたんだけど最後に顔がさ、あの最後に顔がごめん、ちょっとお腹痛いからトイレ行ってくるって言ってさ、トイレ入ってったんだよ。
[01:33:15.960] で、ま、うんちしてたんだけど、マーブルが後から入ってって知らない人振りして草って言うた。あれほんまに笑った。かわいそすぎるだろ。
[01:33:27.679] かわいそすぎだ。言い方が良かったよね。草
[01:33:31.719] てる。笑笑や。笑笑い方も良かっただから。
[01:33:37.199] 言い方も良かったんだよ。なんか草なんかあれ爆笑したわ。
[01:33:44.520] お前終わってるだって。お前終わってるよ。
[01:33:49.800] 声変えていったからね。笑。
[01:33:53.560] あれはひどかったら笑ったの。あれかわいそうに。
[01:34:00.679] 悪いやつやで。
[01:34:01.760] 悪いやつやで。ほんま。えー、これわかんねえよ。
[01:34:07.880] これどこでこのスコップ使うと思う?
[01:34:14.000] どこで使うんだろうね?これ使ってね。
[01:34:18.119] くさってなんか言い方が良かったな。
[01:34:25.119] いや、でも結局これあっち行けないもんな
[01:34:27.199] 。
[01:34:30.679] いや、むずいよこれ。わからん。お尻痒い
[01:34:33.320] 。えー。
[01:34:47.320] いやあ、わかんねえ。使いどころ、これ、
[01:34:49.760] これ罠かな、これ。これ使いどころなくて
[01:34:52.320] いいのか、これ使いどころなくていいのか
[01:34:55.400] な、これ。だってここ、このスコップって
[01:34:58.840] いうのは地面を掘れるのね。地面を掘れる
[01:35:02.320] んだけど、そのツハと違って半ブロック
[01:35:06.040] しか削れないのよ。このなんていうの?
[01:35:08.440] この弾弾1個分しか削れないんだよね。
[01:35:13.840] え、これどこにも使わないのかな?
[01:35:25.000] なんかこれ罠な気がすんな。これどこにも
[01:35:27.600] 使うところないと思うんだよね。
[01:35:34.040] だってここ掘っちゃこれ。この穴、このさ
[01:35:36.600] 、弾取ろうとして掘っちゃって穴入ったら
[01:35:38.719] 出れなくなっちゃうからな。出れなくなっ
[01:35:40.719] ちゃうもんね。別に使いどころないんじゃ
[01:35:42.679] ない?これ
[01:35:45.840] 危ね。
[01:35:49.560] ここも掘っても意味ないもんな。
[01:35:58.280] ここも別に掘らなくていいもんな。
[01:36:04.520] いや、これちないわ。これ多分ないと思う
[01:36:06.480] 。これ、この、これいらないわ。
[01:36:10.639] 適当にどっか掘っちゃうか。適当に掘る
[01:36:13.719] とこもねえんだよな。適当に掘るとこも別
[01:36:16.159] にねえしな。
[01:36:26.800] いやあ、わからんなあ。
[01:36:31.600] え、ここか。この
[01:36:36.480] ああでもああでもそうかな。例えばこれを
[01:36:43.639] こうやってやってんでこいつを持っていけ
[01:36:46.000] ばあ、持っていけねえや。あ、持っていけ
[01:36:49.480] ねえや。持っていけねえんだ。
[01:36:59.840] え、わかんねえなこれ。
[01:37:03.480] マーブルさんの重でポロポロダブル大家の谷エルギーザの封印
[01:37:09.119] 2キングS
[01:37:10.639] バッレ
[01:37:12.440] ありがとう。ナイスクリップもどう取んねんって話だしね。あれどう取るんだろうな。
[01:37:43.080] え、めちゃむずいやん、ここ。もう俺が
[01:37:47.520] 左上のやつスコップ出とるんかな?
[01:37:50.440] え、スコップ?ああ、消えちゃった。おい、これ出たよ。またこれ消えるねんな。なんか消えるところもあるんですよ。消えるもあるんですよ。
[01:38:00.040] どれ、どれ、これ。いや、スコップじゃだって、あのね、スコップじゃ取れない。なんてかって言うと、あの、物持ってる時はジャンプできないから、ここ来れないんすよ。ここ来れないのだから。だからじゃあどう取るのっていう話やんな。
[01:38:14.199] そうね。
[01:38:15.159] うわ、最悪。危ね。あ、あれか。
[01:38:20.320] あ、あいつ呼んでくんのか?敵モンスター呼んでくんのかな?あの岩の敵
[01:38:26.639] 気合いで火うまいことなんかさ、ちょうどいいとこでジャンプしたらう
[01:38:35.119] 多分これ成功法じゃない。多分これ成功法じゃない。
[01:38:39.800] 行けるんかい?うわ、笑笑
[01:38:42.520] 絶対違うと思う。これでもいっか行けたし。
[01:38:47.960] でもなんか行けたしいっか。
[01:38:50.599] 声出た。
[01:38:52.320] 産まない産まないうまいんだよな。
[01:38:58.639] 馬やん。
[01:38:59.400] 馬やん。やるなや。
[01:39:00.639] そういうアドリブみたいな自由が効くのはそうなんだ。ということはだこもうだろ。あ、ここはできない。ここはうまいこといかないんか。
[01:39:09.119] したのは強い
[01:39:10.880] なあ。うまいよね、今のね。なんかあ、行けそうじゃね?あそこも。あそこも行けそうじゃね。
[01:39:26.360] このこの下か?いや、ここも行けるぞ。頑張れば行くよ。これか。うま。これ多分でも違うと思う。
[01:39:38.880] 笑笑。
[01:39:41.400] これ絶対違うよな。
[01:39:43.400] うまう。
[01:39:44.920] これ絶対違うよな。
[01:39:47.639] お、
[01:39:50.239] あとはさ、ここはさ、ただここどうやって行くと思う?みんなあ、分かった、分かった、分かった、分かった。こっちオこだったらいいんだ。ここだ。オ、オッケー。あれ、あと
[01:40:14.679] 1個か。あれ、あと1個どこだ?
[01:40:15.880] ゲーミングアクションで飛び越えたり割と緩くて
[01:40:18.520] そう、割とね。そう、ガチガチのパズルっていうか、ま、割と自由の効く作りではある。確か
[01:40:25.960] げの岩とジャンプルはきっと最終版まで役立つことでしょう
[01:40:30.320] ね。これだよ。あ、これうまいことあれか。うまいこと。うまいこといけるか。これ取れる。ああ、だよね。取れないよね。そうだよね。
[01:40:46.360] ハンターチまげの谷エルギーザの封印スキングバッレイ
[01:40:53.280] Eするこれさあ、これこれさ、いやで無理だよな。あのお、こいつがこっち側来るじゃん。
[01:41:12.440] で、落ちるやん。ジャンプして。あ、けた
[01:41:15.000] 。ジャンプしては無理だよね、多分。
[01:41:18.440] ジャンプしては無理だよな。さすがに。
[01:41:20.840] 多分これ使うんだろうな。
[01:41:24.239] いや、でもこれどんの?ていうかさ、結構
[01:41:26.119] な、え、なんかこのこ、こ、この方法結構
[01:41:28.679] マストか、これ。なんかこの方法成功法
[01:41:32.040] じゃねえとか言ったけど、これ結構マスト
[01:41:34.920] な気がしてきたんだけど、このあ、くそ。
[01:41:39.920] 結構こういうさ、結構マスこれま、ま、マスト
[01:41:43.760] TVうーん、マストです。
[01:41:47.360] マストやな、
[01:41:48.560] これ。マストだよね。
[01:41:50.880] ダークマスト。
[01:41:51.800] ダークマスト。えー、これむずいんだけど。
[01:42:03.119] 元気やな。
[01:42:05.040] なんやねん、その何、その、何、その適当な、適当な感想は。
[01:42:14.719] いや、頼む。もう死にたくないよ。やだよ。やだ、やだ、やだ。もう、もうこれクリアしたいよ。もうクリアしたいからね。いや、もう邪魔やねん。邪魔やねん。浜やねん。邪魔やねん。
[01:42:26.719] さきまで熱心にゲームに興味ありそうだったのに。田中シングル、田中シングルプス号霊雷だ。こういうところが俺のチャンネル気持ち悪いなと思うんだよね。
[01:42:39.599] 危ねえ。おい、やめろよ。
[01:42:41.800] 笑笑。
[01:42:42.440] こういうところかもな。
[01:42:44.599] VIPが多すぎるのも気持ち悪いけど。
[01:42:48.239] それなんかそのタイムもされた。
[01:42:52.080] 教育されすぎてる。リスナーきないとはありません。
[01:42:56.560] 楽号霊な。
[01:42:58.280] 8.6秒か。あの岩が消えたら行くわ。
[01:43:09.040] 早く消えろや。よし。オッケー。ブン。立って撃ったら田中シングルが
[01:43:14.400] 1番上に出る。
[01:43:17.199] ちょっと待って。
[01:43:18.320] ちょっと待ってこうな。よしよし。行こう。クリアしよ。
[01:43:27.639] タイムのせいで反応れる。
[01:43:30.119] 行こう。クリアすんで。
[01:43:37.159] 邪魔だな。おい。イエスイエスイエス。
[01:43:45.280] いいじゃん。今日25まで行きてえな。
[01:43:49.320] 今日。あ、あー
[01:43:52.440] パスワード
[01:43:54.800] 。お疲れ。
[01:43:58.480] パスワード見てねえ。パスワード見てねえ
[01:44:01.280] 。やらかした。やらかしたね。
[01:44:06.480] 教えます。
[01:44:08.080] 見てきて、見てきて、見てきて。
[01:44:15.280] ブグムポップでキッチ。
[01:44:17.400] 何?何?何?
[01:44:21.280] ディノンセディノディノは順調です。
[01:44:26.080] えさん、こんばんは。順調やで。うーん。
[01:44:32.159] うん。
[01:44:36.840] アムゲーグルグ。
[01:44:38.800] アムゲーグルグ。うわ、うわ、うわ、うわ。あいつら、あいつちょっとずつ来る。ちょっとずつ来る。だる。いや、いや。なんやんそれは。いや、なんだここ。なんだここ。ちょっと待って。
[01:45:09.960] ああ、分かった。
[01:45:19.239] とりあえずこっち拾わなきゃだめだ。また
[01:45:20.960] 最初にな。
[01:45:25.679] こいつが邪魔やねんな。
[01:45:51.560] 間違え。
[01:45:57.880] わあ、だるいな。ここ
[01:46:00.159] 結構アクション要素強い。ここ
[01:46:06.760] は拾えないな。拾えないな。結構
[01:46:09.719] アクション要素が強いですよ、ここ。
[01:46:13.599] あいつが結構だるいんだよね。
[01:46:21.560] うわ、間違えた。最悪だ。
