[00:00:07.919] そ
[01:39:09.560] これもしかして4つやるのか?
[01:39:11.480] しかしど中お気をつけなされよ。
[01:39:14.679] 気をつけなれよ。
[01:39:15.560] なぜだか精霊たちを疎ましく思っているようでござる。
[01:39:20.280] わしは早々にここを立ち神の同を探るでござる。そして必ずやと愛見え共に戦うでございます。ちゃん可愛い。
[01:39:30.920] それまで
[01:39:33.040] ありがとうメルビン。きっとまた会いましょうね。
[01:39:38.639] これもしかして
[01:39:39.440] さあ、みんなこうしてはいられないわ。旅の扉が使えるようになっているか早く確かめに行きましょう。
[01:39:47.760] もしかしてだけど
[01:39:51.159] これ全部4つやんなきゃいけないんじゃ
[01:39:53.239] ないの?
[01:39:56.280] ここ1個でしょ。で、ここもう1個ある
[01:39:58.080] でしょ。で、あっちに2つあるでしょ。
[01:40:00.840] そっから精霊集め始めるってこ結構これ
[01:40:04.480] 今週いけるかな?今週クリアいけるか?
[01:40:07.560] なんかまだまだ長い気がしてきたな。
[01:40:12.520] あれ懐かしいとこ来たな。
[01:40:17.599] とこ来ました。
[01:40:19.280] 援の村ね。炎号演。
[01:40:23.480] ああ、なんてこと。火山のマグマが消えちまってる。まずか炎の精霊様。ああ、炎の精霊ね。
[01:40:41.560] の故郷とグリトチ
[01:40:44.719] エンゲな。
[01:41:03.440] えー、ルーラー多分できないかな。地下、こんな地下った。
[01:41:12.400] ああ、炎が消えちまった。
[01:41:14.400] 炎の精霊様からもらった大切な炎が今までこんなこと一度ってなかったのにどうして突然あえギ
[01:41:26.320] ま魔物俺結構こいつのモンスター好き二弱二弱の色違いマットファルコンだっけかっこよくないこのモンス
[01:41:38.760] か虹雀弱の色違いなね。誰も何も言ってくれない。誰も何も言ってくんないんですよな。
[01:41:57.440] 切り戦いて言っても何も言わないんだよ。
[01:42:04.440] 最強
[01:42:05.119] なあなあ
[01:42:10.560] 元祖取系最強。
[01:42:13.960] 元々これあれだよな。ドラあのなんだっけ?テリワテリワン由来テリワンで初めて出たモンスター聞いてるよ。
[01:42:23.199] まいまいいんだけど。
[01:42:25.920] まあまあいいんだけど。
[01:42:29.400] 敵強くね?敵めっちゃ強くない?
[01:42:39.239] ギガントドラゲリオン好き。
[01:42:42.840] ギガントドラゲリオンなかなかなかなかいい。なかなかいい。言い回しじゃねえか。ドラグニティークエストみたいな。ドラグニティークエストみたいなな。ギガントドラゲリオン。こいつ強そうやな。
[01:42:58.000] 1
[01:42:58.199] 回復しよっか。回復できるかな?回復できます。
[01:43:04.800] うん。
[01:43:06.280] あ、できねえんだ。
[01:43:12.440] ま、こいつ行ってみるか。
[01:43:16.920] たまたまやけど今日でフォローしてまるよね。
[01:43:19.920] 5年目に。
[01:43:20.840] ええ、そうなん。
[01:43:25.080] もうそんな立つんやね。
[01:43:27.880] もうそんなに立つんだな。次だ。み
[01:43:38.159] じみ。
[01:43:39.280] さて、行くわよ。
[01:43:41.840] 5
[01:43:42.000] 年もやってんだな。
[01:43:45.360] ほら。あれたりゃ。
[01:43:53.920] お、何それ?強バイキル学生やった長男の今年で
[01:44:05.239] まジかよ。それやべえな。はてい。
[01:44:10.560] おーい。
[01:44:17.119] 超長男はチマゲーム知ってんの?長男は
[01:44:20.719] 長男はチマゲームのこと知ってんの?
[01:44:24.760] はいや。たあ
[01:44:37.920] 行くぞ。
[01:44:39.360] パチパチパチパチパチパチ。
[01:44:43.960] 5
[01:44:44.199] 年もやってんだな。
[01:44:45.480] パチパチパチパチパチパチ。一応知ってるの店が。
[01:44:51.199] ああ、一応知ってんだ。なんやねんこのデブはて思われてだろうな。
[01:44:58.560] ほら私が。
[01:45:00.040] そう。お前が
[01:45:09.639] いいぶってるよ。
[01:45:13.599] いろやん、ずっと最初から。あ、いなく
[01:45:17.199] なった。あ、終わりか、もう。
[01:45:25.920] 5年もやってんのかも。
[01:45:36.239] クリーパーにやられた人。おす。
[01:45:39.320] てるとかどこ見たら分かるの?
[01:45:41.239] わかんない。どこで見たら分かるんだろうね。そもちゃんお疲れちゃん。クリーパーに病殺がってはレムタグラってきちゃったよ。だが今日はやる。今日はやると決めてきた。ガツ売りやるんじゃ。今日は。うん。
[01:46:08.040] お、パミラじゃん。
[01:46:10.080] 同説のとこの自分の名前タップしたらフォローした日見えるよ。
[01:46:16.840] どかたの前
[01:46:18.199] どか。
[01:46:23.159] おいや
[01:46:24.199] おいや。
[01:46:24.679] 早く終わらせてシャ。
[01:46:26.440] シャないっつ。あ、でもなんかそういう枠やりたいな。また適当になんかいろんなゲーム触るわけ。あの時あのシャとか色々やった時から色々たまた溜まってるからね。
[01:46:38.080] トジム、トージャムもやろうぜ。トジャムも外で何かあったのかい?じゃあこっちへ来て詳しくお話
[01:46:47.760] 918だって4
[01:46:49.679] 年だじゃ4
[01:46:50.360] 年した日と同じ日だからその話やめてほしい。
[01:46:56.960] 確かね、あれだろう。スイカゲームやってた時だな。
[01:47:00.880] 笑笑
[01:47:01.440] スイカゲームやってた時だろ。
[01:47:04.320] チまゲーが放送できず終わったスターフィールドやらなきゃのレド
[01:47:10.280] 頑張る太郎のレドかんたち黒をかけるマグマが切りかけた炎の山にわしを連れていいよ何おおおおお
[01:47:23.560] 鍵多いな
[01:47:30.199] やべえ奴らが来たと思ってたよ当
[01:47:33.719] 笑。
[01:47:36.080] うん。まあ、確かにな。頑張る太郎が
[01:47:46.159] 頑張る太郎が。
[01:47:50.040] 何これ?Zマット
[01:47:51.840] マンがフォローしました。は
[01:47:53.000] やはんだ。
[01:47:54.920] 何フォローしてな?え?何?
[01:47:57.400] Z
[01:47:57.679] 版って俺のことフォローしてなかったの?嘘でしょ?そんなことないでしょ。
[01:48:01.280] 何今の?え、フォローしてなかったってこと?嘘やん。
[01:48:05.520] フォローしてたけど
[01:48:07.800] フォローし直した。
[01:48:09.800] ああ、
[01:48:11.159] 整理したから消えてた。まあまあまあえけど
[01:48:22.280] カ貸してやるよ
[01:48:24.639] ね。
[01:48:29.280] ガンバル太郎がその日レードしてくれた日に後その後にレードで
[01:48:33.679] DM
[01:48:34.080] 来たもんな。配信終わりに。配信終わりに
[01:48:38.360] DM
[01:48:38.679] 来たからね。変な人たち送っちゃってごめんなさいって。
[01:48:50.960] 言われてるぞ。うんこは変な人って言ってたの。未だに根に持ってます。
[01:48:57.679] プレイアウトな人増えて一括解除した。変な人。
[01:49:01.360] あ、なるほどね。なるほどね。まあもうね、活動してない人もいっぱいいる。この
[01:49:11.000] 5年で。だから本当に
[01:49:12.440] 陰キの俺らには怖かったよな。
[01:49:15.840] まあまあまあまあまあね。だからなかなかね、最初はこう水と油な感じあったけどね。
[01:49:30.599] 良いか。
[01:49:32.199] 良いか。よいよい。
[01:49:39.800] それ好き。
[01:49:42.520] 行ババーね。モンハンの
[01:49:44.080] はいやれめ。
[01:49:45.480] はい。やれめ。
[01:49:50.440] 下水配信とか言ってたのに、今は現実投避の配信に。
[01:49:54.440] 何?現実し現実登機の配信なの?俺
[01:49:57.679] ねえ、俺現実登機してるかな?今。え?
[01:50:01.440] うわあ。
[01:50:02.599] なんだ?等身自殺。
[01:50:08.760] うわ、
[01:50:09.080] これは助からんな。哀れなやつ。
[01:50:12.719] いてててて。おや、平気のようだな。
[01:50:24.080] 人殺し。
[01:50:25.119] はーい。
[01:50:26.199] あ、いや、いいや。ああ。ああ。ああ。転職しよっか。転職しよっかな。
[01:50:33.440] 見れたそう。
[01:50:34.199] はーい。
[01:50:35.199] はーい。なんかマスターしようぜ。
[01:50:42.800] 何が好き?な
[01:50:48.639] んだっけそれ?え、何やろっかな?魔法戦士。魔法使い。魔法使いと。ルビーちゃん何が好き?チョコみ。
[01:51:05.560] チコみん。
[01:51:07.159] え、え、え、え、何やろっかな?
[01:51:14.599] スタッカート。
[01:51:18.159] スタッカーとキた。今
[01:51:22.280] あれは神きこ笑
[01:51:24.800] スタックアート効きすぎ。ちょっと男子スタックアート効きすぎ。ソウルでもマスターしちゃおうか。じゃ、じゃ、ソウルでもマスターしちゃおうか。
[01:51:46.480] どうぞどうぞ。
[01:51:49.800] 言われんでもしますがな。
[01:51:52.159] ビブラートましまし頼む。あれ?じじみたいなのどこ行ったの?
[01:51:57.480] え?じじはね、じじはね、なんかね、離脱中。じじは別のとこにいんだよ。
[01:52:04.360] なんか神様が復活して神あいつは神様の手下だから神様のとこに残るつってでもなんか神様偽物じゃねみたくなってるとこであのじじがその神様になんかこう意見したら反逆者だって言われて反逆者だとか言われてなんか
[01:52:24.760] じだから仕方ないね
[01:52:26.159] じだから
[01:52:45.119] ん?
[01:52:45.480] 死神貴族好き。
[01:52:47.920] これはね、死神貴族じゃなくてボーンナイトだジ。これは死神貴族じゃない。
[01:52:55.040] ボーンナイトじゃぞ。
[01:52:59.719] いら、
[01:53:03.320] そんなこともわからんのか。
[01:53:08.280] きしいドラクエオタク来た。笑笑友達減るよ。
[01:53:16.840] 友達が少ない。
[01:53:18.880] スプロでスプ
[01:53:20.079] 友達が少ない。
[01:53:27.159] ちょ、ほんまやめて。
[01:53:31.360] え、ちょっとうえん
[01:53:37.079] やばいのいっぱいいるやん。
[01:53:39.760] どこ行きゃええねん、これやめてください
[01:53:42.599] ねえ
[01:53:44.199] 。どこ行いの?これ
[01:53:45.119] 誰?
[01:53:46.320] 帰ろっか。
[01:53:47.440] てい
[01:53:50.360] ロズバとの色違い。
[01:53:53.920] あれは俺も名前知らない。ごめん。あれは俺も名前知らない。なんだ?ローズバトラーの色違いなんかいるの?あれなんて名前?あれこっちら辺だな。魔人ブーみたいなもあいな。
[01:54:20.480] リオナス。
[01:54:29.360] へえ。な
[01:54:34.239] いようなね。
[01:54:36.320] 俺のおばさんのネットゲームにドはまりした時のハンドルネームね。イオナいい女の略ね。
[01:54:43.159] せアかい。
[01:54:49.400] ちなみに俺のおばさんめっちゃデブ。それなのにデブ。
[01:54:56.800] はい。
[01:54:58.400] いくら課金したんやっけ?
[01:55:00.280] いやいやわかんない。課金したのは知らないけど。
[01:55:07.960] 課金とかしてたんかな?よくわかんない。
[01:55:10.480] システムがその当時の当時のネットゲー
[01:55:13.320] ムってよくわかってないから俺。あれ?
[01:55:15.040] メプル
[01:55:17.239] ええ。
[01:55:20.040] ああ。ああ。
[01:55:23.840] 何それは?これ戦っていいの?これ
[01:55:29.679] ダイアン津田みたいな驚き方になっちゃっ
[01:55:31.440] た。ああ。アメバピグ
[01:55:34.960] アメイバビグかな?わかんない。何これ?勝てんの?こんなん。
[01:55:42.520] はあ。は。
[01:55:45.199] ゴールデンスライムなんじゃないの?これ。
[01:55:47.880] 大発。
[01:55:55.639] 敵強。ゴールデンスライムってこんな簡単に出てくるもんなの。
[01:56:03.800] 丸げよ。
[01:56:10.400] メタルちゃうんや
[01:56:12.000] ね。
[01:56:14.280] ゴールデンスライムって何?野生で出るもんなんだな。
[01:56:17.440] よし、行くわよ。せ
[01:56:24.960] せ
[01:56:26.400] メッキある。
[01:56:28.400] え、これ偽物
[01:56:30.040] あんま強くねえな。せ、
[01:56:33.079] まだまだ
[01:56:35.840] さあとや
[01:56:41.040] せいや。
[01:56:45.560] え、こいつなんな?
[01:56:49.040] こいつなんなん?
[01:56:50.920] 初代スライム系最強だったっけ?
[01:56:53.920] え、経験値経験値もらえるんちゃう?え、思、全然くれねえな。え、あいつってメタル系じゃねえんだ。あいつって別になんか大した、大したあれじゃないんだね。なんだよ。
[01:57:11.679] なんかもっともっとなんかもっとなんか多い。
[01:57:15.560] あ、ゴールド多かった。俺そこまで見てなかった。ゴールド多かったかな?そんなでもなかった。
[01:57:21.400] 2000、2000いくらだったよね。
[01:57:23.880] 2000いくらって多いのか?
[01:57:25.840] 2600くらい。
[01:57:28.040] ま、そんな劇的に多いわけでもないしな。何とも言えねえな。
[01:57:35.040] よた。
[01:57:39.560] 何とも言えないね。もっとなんか特別感あってもいいけどな。ゴールデンスライブなんて。え、これどこ行けばいいんだろう?あ、合ってる。これ道てる道。
[01:58:02.840] うわ、もうなんかどこにいたん、そんな。は、はは。せていりゃ
[01:58:13.880] とサラマンダ
[01:58:22.440] サラマンダより早い。
[01:58:25.040] よし、回復。
[01:58:35.560] え、
[01:58:40.800] ごめん。こ元ネタよくわかってない。元ネタよくわかんなくて言ってるわ。ごめん。
[01:58:45.320] サラマンダより早いって何なの?元ネタよくよく言うやついるやん。なんかいや、これこれ言ったらなんかおじさんが反応するやん。よく
[01:58:56.560] 多分。
[01:58:56.719] なんか俺の知らないなんかイニシエのイニシエのなんかネタなんだろうなって思っていつも言ってるけど
[01:59:05.840] 初めて聞いた
[01:59:07.000] なんかおっさんがよくこれ反応するねん。これ言うとおっさんがよく反応するんだけど今日はだめだ。釣れなかったな。
[01:59:16.239] 今日は釣れ釣れなかった。
[01:59:17.679] やめようよ。私たちもおじさんおばさんなんだから正直詳しく走らない。僕も知らん。
[01:59:24.760] ここおじさん多いのに誰も反応してない。
[01:59:27.199] え、なんかいっつも誰か反応するやん。リさんあたりが反応するやん。
[01:59:34.199] バハムートラもおっさん、おっさんって言ってるけど。あ、ば、ほらほらほらほら。元タ知ってる人いた。ほらリーさんじゃん。おっさんが反応したで。ほらバハムートラグーンなんだ。これ
[01:59:44.679] バハムートラグーンのネタなんだ。
[01:59:47.040] 太アだぞ。何ね?ね、寝取られってこと?
[01:59:50.159] 何それ?どういうこと?
[01:59:53.040] 寝とられなの?どういうことなの?
[01:59:54.920] サラマンダーよりずっと早いって何が?
[01:59:57.360] どういうこと?
[02:00:00.560] 何が早いの?え、何が?
[02:00:04.520] え、そう、え、あ、じゃ、パラディンにで
[02:00:06.880] もなか、パラディンにでもなろっか。
[02:00:08.360] ちゃう。何が早いんですかね?
[02:00:18.000] え?
[02:00:23.560] え?何が早いの?
[02:00:29.880] 自分の彼女が敵のに乗って彼氏のより早い
[02:00:34.079] て言うんや。はあ。
[02:00:39.000] あ、なるほど。ああ、なるほどね。あ、熱
[02:00:41.520] 。ああ、なるほどね。ああ。はいはいはい
[02:00:44.239] はいはいはい。まあでもね、
[02:00:48.679] 彼氏より早いってことは彼氏の方がな、
[02:00:51.520] まあ、そか遅いか。間違えた。うん。早い
[02:00:54.199] の反対は遅いよな。長いじゃなくてごめん
[02:00:57.000] 。間違えた。待機語間違えたわ。
[02:01:00.280] 大義語
[02:01:02.719] の反対は長い
[02:01:06.480] 的な。
[02:01:07.280] あ、そういうことね。ま、でもね、長いって言われてんだったらまあ
[02:01:12.199] どう?
[02:01:15.960] よし、これで行こう。え、バハムートラグーンってそういうゲームなんや。ちょっともうこれ迷路すぎる。
[02:01:36.000] ここどこ行きゃいんや。
[02:01:42.360] せや
[02:01:45.480] はあていい。
[02:01:50.320] 今こと言ったら俺なんかね、もっともっと早いですけどね。切り
[02:01:57.920] もっともっと早いですけど。
[02:02:01.639] F1。F1やで。
[02:02:04.520] ああ。たや
[02:02:09.480] 乗り心地
[02:02:11.480] のり心地最高に決まってんだろ。は
[02:02:22.280] やったわね。
[02:02:26.760] ええ、ここ長いなあ。
[02:02:35.159] どこ行きんやろか。
[02:02:38.760] やめてよ。もういいって。
[02:02:51.159] ありがとう
[02:02:55.480] 。れ
[02:02:59.560] て
[02:03:03.520] ドラゴン
[02:03:18.280] なんでこの人たちばっか使いて草層っ使わ
[02:03:23.079] ないとなんやねんこれい
[02:03:27.679] 回復技持ってないんかい?は
[02:03:36.560] デボイブと
[02:03:42.239] ハッスルガン踊れや。
[02:03:43.800] 本当だよな。
[02:03:44.520] おーい。
[02:03:51.360] てか敵強いね。
[02:03:53.480] レベル上げさボりすぎたかな?どっかでやっぱレベル上げする日が来るのか。メタル狩りする日が来るのかな?したいんだけどな。でもやつらメタル狩りだからな。
[02:04:09.559] 1
[02:04:09.719] 回はしたいんだけど。そのうちメタルキング出てくるだろうし。え、俺どこ行ってんの?これ合ってる?これねえ。これなんか道間違えてないなあ。出てきてもいいよな。
[02:04:24.840] 俺こっちから来たよな。
[02:04:28.000] もうちょ待って。マジでどこに行きゃいい
[02:04:29.800] かマジでわからないんだが。
[02:04:32.599] マジで分からないんだけど。
[02:04:37.119] マジで分からないんですけど。
[02:04:51.119] え、俺こっちから来た。こっち行った。ここで
[02:05:02.559] 2時間か。
[02:05:04.639] あるで。全然あるで。今日ここクリアして終わろうか。
[02:05:20.040] あ。
[02:05:36.679] えー、
[02:05:39.320] ここり。やだ、やだ、やだ。ああ、
[02:05:44.079] こいつ何気強いんだよ。
[02:05:55.280] はあとシ
[02:06:04.760] せ
[02:06:05.520] おりゃよかった。
[02:06:17.040] え、まだ開かないの?このタイミングで
[02:06:19.800] まだ開けられない宝箱があんの?
[02:06:23.199] もう来ないよ、俺。ここ
[02:06:39.960] あれだけ拾いたい。ああ、めんどくせえな
[02:06:42.679] 。う、めんどくさい。せい
[02:06:49.840] この開けられパターンめんどくさいよね。
[02:06:52.599] そうなんだよね。また
[02:06:57.000] いや、ま、あと来る楽しみももちろんあるんだけどさ、
[02:07:00.880] もうここには来ないでしょ。い、
[02:07:04.679] もうここには来ないんちゃ。
[02:07:12.000] サラマンダよりずっと早い。バシ。おーい。うん。
[02:07:31.320] リりんルんりん。
[02:07:34.320] ふふ。
[02:07:35.079] いい感じね。
[02:07:37.760] サラマンダやりたかったな。てか、あの、こないだやったさ、あの
[02:07:42.840] MSXのさ、あのグラディウス
[02:07:46.199] 2
[02:07:47.079] ちょ、あれクリアまでやりたえな。あれ、またやりたくなってきた。け、
[02:07:52.920] 2
[02:07:53.119] 時間ぐらい無言だったけど。
[02:07:56.280] 2
[02:07:56.480] 時間ぐらい無言だったけどな。全然クリアできなくて。でも
[02:08:01.280] あれクリアまでやりたいな。
[02:08:09.679] よし、行くわよ。
[02:08:14.880] あれで
[02:08:16.960] 結局MSX
[02:08:20.040] 買ったけど、まだ配信で全然ちゃんとやってないもんな。
[02:08:24.000] ちょっと遊びで触ったぐらい
[02:08:30.559] せやな。
[02:08:33.599] ちょっとだから次はなんか本当にもうドレトロでドレトロ月刊レトロ月刊やるから本当に最近新しいだってさ、俺のさ配信のさ、俺のチャンネルのさゲームの配信カテゴリーからさ、レトロって消えてるしょ。今、今レトロ消えてるからね。あか、あかんだよ、それ。あかんて感じなんだよ。
[02:08:59.719] アイデンティティが
[02:09:02.400] ティティがね、やっぱこの辺でレトロ
[02:09:04.159] ゲーマーですよってとこ見せてかないと
[02:09:07.000] やっぱりやっぱしやっぱ
[02:09:14.520] レトロゲやんねえと茶バゲームは
[02:09:19.000] おいおいまだ開かねえのこれと
[02:09:30.239] なんかファミコンのアクションとかもやりたいよね。これ
[02:09:34.239] 今中には終わんないよ、絶対。まだまだあるかかるけど。今週中には終わす。今週中にはクリアしますよ、これ。
[02:09:45.320] ま、これ結構配信しててね、やっぱ体感なんだけどダンジョン的な意味で。あ
[02:09:51.239] あ、ダンジョン的な意味で。いや、終わえ、どうなんだろ。終わんじゃね。そんな長いかこでもここ長いよね。なんか俺が迷ってんのもあるけど。あ、来た、来た。ここやろ、絶対。ちょ、回復してこう。
[02:10:15.000] やっぱドラクエとかこういう
[02:10:16.760] RPG
[02:10:17.239] やんのは毎日配信できないと厳しいのかな。毎日配信できない人はあんまりこれこれ長いゲームってしあれなんかね、見てる方もしんどいもんなんかな。
[02:10:30.800] まあ1
[02:10:31.119] 時ぐらいまでなるだろうな。あ、なんかいるんだ、この先。
[02:10:37.000] いや、行くな。え、もう人いますよ。
[02:10:41.840] うん。
[02:10:42.520] 火山の奥にこんな道が続いてるなんて全然知らなかったよ。この奥には一体何があるんだろう
[02:10:48.559] ねえ。
[02:10:49.239] 間開いたらプレイする側も忘れるよね。ドラクエなんか何ぼでも見れる。
[02:10:54.079] そうだ。まあね。ま、ドラクエとかはまあまだいいかでもまみやちゃうの。今コメントしてる人らはどうせあの心配してないんだけど。
[02:11:07.239] 俺どうせいつも来てくれるじゃん。
[02:11:12.000] 笑笑
[02:11:13.239] でしょ。この火山はその日の元素がこの世界で最も集中したら場所だ。だから火の妖精はここにいる。わしら援護のためそう信じて生きてきたんだよ。この話がただの昔話でないならおそらくこの先に待つのは神に匹敵する力を持つものじゃ。さあ連覚悟は良いな。今こそ先ほど渡した灼列の鍵を使うんじゃ。はい。
[02:11:39.159] 何がおるって言うんじゃい。
[02:11:44.119] おいや、
[02:11:52.239] 力が足りない。熱が足りない。マグマに向かって何でもいい。熱き熱を放つ。
[02:12:03.320] あき熱ああああメラゾーマねんのお前マメラゾーマ覚えてたっけ?あ、この程度じゃねか修像かと思った。
[02:12:20.679] もっと熱くなれよ。
[02:12:24.639] あいちゃい私が来た。さんお疲れちゃいちゃ。
[02:12:27.920] あちゃんさんお疲れ。
[02:12:30.719] どうもチャバゲームでございやす。
[02:12:33.960] まだやってますわ、ドラクエ。まだまだやってますわ。お、炎の妖精疲れよ。
[02:12:45.480] ありがとね。一瞬で死んだけど。
[02:12:48.040] 30
[02:12:48.440] 分ぐらいしか俺参加できなかったけどな。人間よ。貴様たちが俺を目覚めさせたのか。
[02:13:00.639] 人間不の言うことなど聞く耳も持たぬは
[02:13:03.440] おもろかったよ。笑笑
[02:13:05.800] ありがとう。ありがとう。ならばこうしよう。俺は何よりも力を持ったものが好きだ。貴様らたちの力俺に見せてみろ。俺を失わせるか。いいでええで。まあまあまあいけるやろ。そういやちゃいさんあれやん。なんだっけ?パートナーでとうやん。
[02:13:27.280] パートナーおめでとう。すごいね。すごいね。
[02:13:33.400] 今パートナーになるのってすげえ難しいと思う。
[02:13:36.639] 有限実行。
[02:13:38.000] あ、すごいわ。
[02:13:39.599] ありがとう。やっと慣れた。
[02:13:41.880] すごいよな。えー、どうしようかな。少なやっとくかな。あ、いや、フバハやっとこっか。
[02:13:46.960] パチパチパチパチパチパチ。
[02:13:53.000] 皆のおかげあいちゃいうる。
[02:13:55.599] 素晴らしい。
[02:13:59.000] 素晴らしいもん。もうだってそういうそう
[02:14:01.119] いうとこやで。そういうとこなんやろな。
[02:14:08.280] み見習なきゃね。いや、俺もそう思って
[02:14:12.679] るって。みんなありがとうね。もういい。
[02:14:15.599] もう聞きたって。そういうのもういいって
[02:14:18.079] 。慣れないで5年やってるやん。言わない
[02:14:22.040] だけ。言わないだけ。言わないだけでそう
[02:14:24.280] 思ってるよ。
[02:14:24.880] これだってみんなのおかげだよ。ありがとね思ってる。
[02:14:31.199] はあ。真っくるだ。
[02:14:34.360] お、力ため持ってきてねえから。ゴビ伸びてるよ。
[02:14:42.520] 思ってるって。えー、あれやべえ、これ。
[02:14:55.079] 343
[02:15:05.239] うわあキルとかない。やっぱ転職するとしんどいな。転職するとな。倍キルとかないんだ。バイキルとかないのは痛いですね。
[02:15:21.159] あ、お前が持ってんかい。
[02:15:25.239] 転職しすぎってよくねんだな。
[02:15:28.559] 現実にも言えるかもしれねえな。
[02:15:32.960] よし。ま、こんだけ入れば十分しょ。
[02:15:41.520] おーい。勝った。
[02:15:44.119] いいぜ。
[02:15:48.520] あ、まあまあまあまあまあまあまあま
[02:15:56.280] あいちゃいファイトちゃいファイト
[02:15:58.440] ありがとね
[02:16:01.079] え
[02:16:02.719] 炎系に炎はね
[02:16:04.639] そうね
[02:16:06.000] 炎の精霊に炎って
[02:16:10.520] ちゃうやん俺がやったんじゃないやん俺がやったんじゃないもんゾ
[02:16:16.079] いてえ。マジックバリア貼った方が良さげだな。マジックバリア貼った方が良さそうだな。
[02:16:23.000] ドルは
[02:16:25.280] 入るね。あ、これ
[02:16:29.360] はあ。
[02:16:31.480] リスナーに怒られっぱなしだよ。
[02:16:35.479] いや、怒ってくれるリスナーがいるだけありがたいっすわ。怒ってくれるリスナーがいるだけありがたいっすわ。
[02:16:51.040] と
[02:16:53.599] 怒られてるうちが花ですわな。
[02:16:56.120] そうですわな。そうですわな。いや、どうしよっかな。どうしよっかな。お、マキドが抜群入るやん。
[02:17:11.160] 痛いね。
[02:17:12.519] こんばんは。
[02:17:14.000] あ、めちゃん、こんばんは。お疲れちゃん。ドラゴンクエストまだまだ終わりそうにございません。
[02:17:23.679] やら、ダメージでけえ。
[02:17:26.240] は、行くぞ。
[02:17:31.000] グミつまんどく。
[02:17:34.359] グミつまんどく。どこ行った?あ、た、あった。もう落ちてた。下に。
[02:17:44.639] 激からコ羅組む。
[02:17:47.559] 5個ぐらい行っとく。
[02:17:49.479] 勝ったな。
[02:17:52.240] 開けずれ。爪切っちゃったから
[02:17:55.519] 当分取って。
[02:17:59.040] 激辛甲羅組ね。
[02:18:00.519] からやめときな。
[02:18:01.800] そんな辛なかったよ。これ
[02:18:03.319] コーラ。
[02:18:04.080] 激辛甲羅組。
[02:18:06.000] ハリボコーラとどっちがうまい?
[02:18:07.840] ハリボコーラのうまいよ。
[02:18:11.719] どっちも中途半端保端なんだよな。甲羅組としてもちょっと辛いから辛いじゃん。味覚終わってるの?
[02:18:20.880] 後から辛いんだ。そう。後から来んねんな、これ。後から来んねんな。これと
[02:18:33.519] 飲み込む時が辛い。
[02:18:36.960] 食べてみたい。
[02:18:38.639] え、これ普通に売ってんのかな?これもらったんだよ。モコラが送ってきてくれたの。モコライトがね、送ってきてくれたんだよ。
[02:18:49.240] コンビニで買った。
[02:18:50.559] あ、売ってんだ。普通にはある。メガはおいしかったよ。
[02:19:04.359] メガスパークっていう。へえ。そんななんだ。
[02:19:09.800] コーラを辛くする発想はすごい。
[02:19:12.439] でもなんかあるよね。辛いコーラってなんかない?スパイスコーラみたいな。あ、海賊マスター。海賊マスターしたぜ。何この俺様がここまで追い詰められるとは。俺が眠ってる間に人間も強くなってものよ。では約束を果たそう。
[02:19:28.840] ジンジャーエール的な。
[02:19:30.639] 確かにそうそうあるよね。
[02:19:33.840] 癖になってお代わりしてら。
[02:19:36.960] なんか今今食ったらうまいかも。
[02:19:40.719] 笑笑。いや、でも今ここにこれしかないからこれ食ってるのであって別に普通の甲羅組とこれが並んでたら普通の甲羅組取る。
[02:20:04.640] ちょっと辛いし。笑笑。やっぱ
[02:20:23.840] 4
[02:20:24.040] つの精霊やんなきゃいけないんやな、多分。
[02:20:26.240] うん。
[02:20:31.560] ふふんふんふんふん。地の精霊あったね。
[02:20:36.359] ああ、風の精霊もあったね。そういえば。
[02:20:41.920] で、水の精霊は楽園の水の底にてへえ。
[02:20:49.000] なんかあったな。全部なんかどっかで見た
[02:20:52.040] な。
[02:20:55.200] 巨大な力が氷の海から目覚めた。力への道は俺が照らす。進むか戻るか。道を決めるのはお前たちだ。
[02:21:05.479] 風と水の精霊は可愛い系であってほしい。
[02:21:08.439] 確かにちょっとちょっとちょっとセクシーな感じでな。なんかなんかちょっとセクシーな感じであってほしい。
[02:21:23.800] え、何それ?あ、ここに来てくれるんだ。あ、そこで待っててくれるんだ。
[02:21:34.080] うん。なんですか?ペロペロキャンディのアミュレット。
[02:21:49.760] アミュレットって何?炎のゴブレット?炎のなんだっけ?あのハリーポッターにそんななかった炎のゴブレットみたいな。
[02:22:01.479] でん太鼓かと思った。
[02:22:03.399] 電で太大鼓見たかったな。
[02:22:04.880] アミュレットってんだ。食った後辛いねんな、これ。今、今辛いわ。
[02:22:28.760] ま、ただこの組、あの、本当になんて言うのかな、やるんだったらもっとマジで辛くするべきだと思うわ。
[02:22:39.080] 炭酸の向から絡み柔らぐ。
[02:22:41.640] いや、それ辛いだろ。辛くなるだろう。
[02:22:45.040] 良いか。
[02:22:46.560] なんかね、こ、こんな激からコーラグミなんてやるんだったらもっとなんかめっちゃ辛くてうわあみたいなもう激からペヤングガぐらいやるべきなんだよ。なんか別に全然普通に食えるんだよな。全然普通に食えるレベルなんよな。なんならちょっとうまいし。なんならちょっとうまいしな。
[02:23:14.359] ねえ、なあ、なあ、
[02:23:22.359] 可愛いな、ガボ。よし、これで第
[02:23:28.760] 1
[02:23:28.960] 個目の精霊があれしたってことな。復活したってことね。
