[00:00:15.360] ひひひちゃまうすんの
[02:24:32.040] それよ。どっちも楽しみている。
[02:24:34.800] へえ。は、
[02:24:38.600] さすがあれだね。沼に引きずり込むもオタだから肝心なとこは言わないでちゃんと俺に宣伝してくるじゃん。さすがだね。
[02:24:47.365] [笑い]
[02:24:49.000] おい、なんで?おい、てめ、
[02:24:51.120] GG
[02:24:51.600] どけ。マリベル様の場所だろうか。そこはこうでで
[02:24:58.720] やりたくなってきたね。
[02:25:00.319] で、こうでこうでこうでこうでこうでこうとこうでこうとオまあまあまあまあまあけセブンなやり。うん。
[02:25:14.200] 原作もまあそのうちそのうちな
[02:25:20.319] まあいつか
[02:25:21.479] まあいつかあと
[02:25:23.000] 10
[02:25:23.200] 年ぐらい配信してたらいつかやるんでね
[02:25:25.880] やるとは言ってない
[02:25:27.479] まあまあ井戸招き違ったやるとは言ってない
[02:25:34.040] 私が死ぬまでには頼む
[02:25:36.490] [笑い]
[02:25:38.279] そうな
[02:25:42.520] ねん
[02:25:45.006] [音楽]
[02:25:45.279] ね。1
[02:25:46.279] 番偉い人はグレーテ様。へえ、名前変わってる。ま、子供だからあれか。孫だからそっか。なあ。
[02:25:58.720] したいからコメできる。ああ、嬉しい。
[02:26:00.726] [叫び声]
[02:26:04.001] [うめき声]
[02:26:09.000] はあ。可愛い
[02:26:11.359] だ。これを見てみんな可愛いと思って
[02:26:15.040] ほしい。
[02:26:16.920] 俺がこのゲーム始める時言ったでしょ。俺
[02:26:18.439] はドラクエでマリベルが一番可愛いと思う
[02:26:20.960] 。こういうことなんすよ。
[02:26:27.319] もうこれす、もうこれもうこれ結婚ですや
[02:26:31.359] ん。こんなんもう
[02:26:34.680] プロポーズです。
[02:26:36.399] 花のをツンとした。ポマイラコ汁る。
[02:26:38.716] [笑い]
[02:26:40.760] ポマイラケコーン汁るやん。これ
[02:26:44.960] ポマイラ
[02:26:46.720] 出てきたな。あれがひ[音楽]
[02:26:57.057] [音楽]
[02:26:57.960] ポマイラケコーンシル持ち着け持ち着け。
[02:27:04.920] 前だ。持ち着け。やぱまちゃんが可愛すぎたなあ。まっさん、まっさんが可愛すぎる。マジで。どうもこんちっす。
[02:27:21.920] うむ。旅のものじゃな。わはグレーテ。このマーディラスのアジじゃ。
[02:27:29.560] 我が国は音楽をじ、また旅のものにも広く扉を開いておる。良き音楽で旅の疲れを存分に癒すと良い。ん?おお。その方わと同じ年頃と見た。
[02:27:35.047] [音楽]
[02:27:47.359] どれ?誰?
[02:27:48.040] あ、嬉しい。
[02:27:49.720] え?メルビンか。
[02:27:52.000] 年が近い話相手がわのそばにはいなくて誰のこと言っ
[02:27:57.279] ずっと退屈していたのじゃ。その名はなんと申すのじゃ。
[02:28:02.800] 誰のこと言ってんの?俺かい?
[02:28:07.120] おおなじゃして何に旅をしておるのじゃ?
[02:28:16.080] というわけです。
[02:28:17.920] まだまだ旅は続きそうですが。
[02:28:20.520] 羨ましいな。笑はしばらくの外へ出ておらぬ
[02:28:25.482] [笑い]
[02:28:26.640] だって俺と同じってことはマリベルとも同じってことだからせも
[02:28:31.600] かいい
[02:28:32.359] せも全然違うよね。なんか等身違くない?俺とマリベル
[02:28:37.800] 3
[02:28:38.000] 等身なのに後ろの絵可愛い。確かに若い若い頃のいや若いのかこいつも。
[02:28:45.080] ふむ。
[02:28:46.040] よし、久々に出会ったヤングなちに褒美じゃ。
[02:28:50.399] 本当に一緒の世代?自分と一緒の世代のやつに対してヤングなとか言わんやろ。
[02:28:57.000] その今からわのにしてやろうとじゃ。嬉しいじゃろ。ロリバ
[02:29:04.128] [笑い]
[02:29:04.439] ロリバ本当にいるんだ。ロリバって本当にいるんだ。嬉しいです。
[02:29:14.200] うん。
[02:29:15.240] ではそなたたちは今日のこの日わの友頼むぞ。
[02:29:15.918] [音楽]
[02:29:21.640] よろしい。
[02:29:22.600] これからも気軽にわを尋ねると良い旅の話を聞いてやろう。そなたもわを真実の友と思いな何でも相談すると良い。何?早速困ったことがあるとな。
[02:29:42.720] よいよい。もうしてみ
[02:29:44.520] よいよい。はい。やれね。業ババーもいますと。
[02:29:50.399] 実は何な?
[02:29:54.319] あ、
[02:29:54.760] うん。
[02:29:55.279] そっか。そう。ま、トーラ
[02:29:56.680] 伝説の引きて。
[02:29:57.600] そっか。トゥーラ探しまやってたんか。
[02:29:59.399] トーラ。
[02:30:01.000] 面白い。ユバールの血を引く伝説の引き手を探しておるのか。なんともワクワクするの。音楽の都のア字としては聞き捨てならぬわ。
[02:30:13.319] よし、このグレーテに任せておけ。わはこれより世界中におフれを出す。
[02:30:20.120] すごいね。
[02:30:21.120] このマーディラスで世界一の引き手を決める大会を開くと。そして優勝したものにはなんなりと褒美を使わすとな。そのトゥーラは伝説の引き手の他には決して奏られぬものと聞いた。
[02:30:38.439] 大会で使える楽器は第一地のツーラのみとし、
[02:30:38.459] [音楽]
[02:30:42.520] 見事奏でたものが伝説の引き手じゃ。
[02:30:45.560] なかなか頭いいじゃねえかよ。
[02:30:47.560] それで良いな。
[02:30:48.520] 怖。はい、よろしくお願いします。
[02:30:51.880] 決まりじゃな。トゥーラの引き手が集まるまで時間がかろう。
[02:30:56.920] なかなかこいつ。
[02:30:57.720] しばし魔を置いてまた来るがよ。
[02:31:00.200] 作やな。
[02:31:01.319] そなたわの対屈の虫を退治するとはなかなかやるの。
[02:31:07.399] よし、そなたには友情の証を兼ねて褒美を取らず。
[02:31:12.800] こいつやっぱ金持ちだから。金持ちの悪いところが出てる。すぐすぐ褒美で。俺たちの友情はそんなんじゃないからな。もらうけど。もらうけども。何?あ、石板だ。ありがとす。石板揃ってんのかな?次んとこな。
[02:31:34.125] [音楽]
[02:31:35.359] 我が城の宝の1
[02:31:36.880] つじゃ。これでいよいよんご泣き中になったの。
[02:31:42.080] ヤんごヤんごなき中てヤんごなきってどういうこと?
[02:31:47.279] これからは笑わを呼び捨てにしても構わぬぞ。
[02:31:53.520] あ、大丈夫す。
[02:31:55.080] おジャルま。
[02:31:57.050] [笑い]
[02:31:57.080] おジャル丸。おジャル丸が使うんだっけ?ヤんわ。笑わ何?ヤんごとなき。
[02:32:01.600] 何進め
[02:32:07.479] ヤんごと泣きっておじる丸使うのヤんごと泣きって我ら長ちっちゃいもんのクラブじゃ石板はめに行こうかな。石板はめに行こっかな。はめはめしに行こっかな。
[02:32:29.800] [音楽]
[02:32:38.479] でもなんかこれ見たらもうだいぶ終盤のちっちゃいものを
[02:32:41.880] だいぶ終盤な感じするけどバカち大きさよりも性能ですからま、性能もそんな良くないんだけどま性能もまあいきます。
[02:32:49.450] [笑い]
[02:32:54.560] 早打ち
[02:32:55.439] 早打ち慢早打ちマ早も早打ちですよ。もう本当にもう、
[02:33:04.479] もうすぐなんだから
[02:33:07.399] おジャル丸のプリンの歌の歌詞でも出てきますね。ヤんごと泣き。
[02:33:11.720] ええ、おジャル丸のプリンの歌ってどういうんだっけ?え、あれなんか
[02:33:16.279] 伸びたより早い。
[02:33:17.960] のびより早い。は
[02:33:20.680] サラマンダよりずっと早い。
[02:33:22.040] ピロトク長そう。
[02:33:24.120] ペロトなし。あ、タバコ吸うからすぐ。もう
[02:33:27.120] 3秒で終わって。
[02:33:29.359] 33
[02:33:30.000] 秒で終わってもタバコ吸い始める。え、まだいんの?帰れば
[02:33:34.646] [笑い]
[02:33:35.800] よ。あ、看板呼びなかっただけなのに。
[02:33:39.120] 2匹。
[02:33:44.399] 切りせ
[02:33:46.840] ヤんごとな。
[02:33:53.200] 舞い上がれ。
[02:33:55.800] 舞いやがれけど高く前定めを受けた戦士よ。
[02:34:03.120] にゃにゃな。
[02:34:11.000] そなたを聞いてマロはクラやんで甘さマロをとろか
[02:34:16.566] [笑い]
[02:34:17.760] 知らない俺その歌知らねえ。それ
[02:34:26.680] そんな歌があるんだ。けた。
[02:34:30.840] ああね。寝たんだよな。
[02:34:35.359] あれでしょ?たら知ってる。
[02:34:37.880] あのプラボでしょ。
[02:34:42.200] もうデラゴン君に送る送る詐欺してんだよな。
[02:34:45.399] 送るから塗って言って送ってないんだよ。高いんだ。もうお金ない。お金ないんだよ。で、今マスターしたね。
[02:35:00.640] 小学校の頃友達のおばさんが背景で書いてた。背景書いてた。へえ、そうなん。すごすごそうなんだ。
[02:35:10.800] 売ってて買うか迷った。
[02:35:12.600] 高くない?8000円とか9000
[02:35:14.279] 円とかするでしょ。この先行り止まり。この先行き止まりって言われたら行くしかないやんな。
[02:35:26.560] たけえから諦めた。
[02:35:27.880] たけえんよ。
[02:35:32.640] え、何?何もないやん、ここ。
[02:35:36.478] [音楽]
[02:35:41.000] 9900
[02:35:45.920] 高すぎ高すぎる。
[02:35:48.840] はや
[02:35:51.520] よし。あ、バンション
[02:35:58.040] 食らえ。
[02:36:01.680] しね。
[02:36:02.880] あ、そう。でかいんだ。ま、もでかいよな。戦
[02:36:12.880] と舞い上がれ。
[02:36:21.920] ま、プラム配信もしたいな。
[02:36:24.760] プラ配信もしたいんだけどな。
[02:36:29.359] ああ、バクロス。
[02:36:35.319] どんなもん?
[02:36:38.479] あ、ドネルで買うか。ちょっと何千円か溜まってるからリスナー、リスナー様のお金で買おうかな。でも配信でなるんだったらないよな。
[02:36:40.668] [笑い]
[02:37:03.279] ちょっと待って。マリベリって今何して?
[02:37:05.279] ほらせくないやろがい。せくないやろがい
[02:37:08.680] 。
[02:37:11.080] あ、キラピになってる。
[02:37:14.439] 攻撃魔力優先でプリンセスローブう耳
[02:37:18.319] バンドは可愛すぎる。
[02:37:27.120] 何装備してたんだっけな?バブルスライムマーチ
[02:37:30.600] MP
[02:37:30.840] が半分以下の時魔法の先生で問あるね。シリスオベリスクラー。
[02:37:44.279] あ、そうなんだ。
[02:37:45.880] 配信で使うプラも買わんでなんで収益に使うん?
[02:37:49.279] そうだよな。そうだな。いいよな。買ってもな。
[02:37:57.959] [音楽]
[02:38:02.640] 何装備してたか忘れちゃったんですけど私。ガベルトか。ガベルトかも。エロすぎやろ。これの下にガーターベルトつけてたらやめてくださいよ。
[02:38:14.920] ラムのゲームも機材もいいでしょ。なんなら本当は飯食ったっていいんだから。ドラクエのメタリックみたいのはない。
[02:38:23.200] ドラクエのメタリックメタリックモンスターズあれもだから高すぎるんだってもう全部高いの
[02:38:30.055] [笑い]
[02:38:32.840] 笑笑
[02:38:33.640] もう全部高いのを貧乏人には買えないの
[02:38:39.720] せい
[02:38:40.720] ひ怒らないで
[02:38:43.000] もうさ、なんかさなんつうのそうさ趣味ゲームもそうだけどそれ趣味なんか買うものってな俺のなんか最近のねイメージで
[02:38:52.760] もうんか全部
[02:38:53.640] 1万円ぐらいするんだよね。なんか全部
[02:38:56.800] 5
[02:38:56.960] 桁行くんだよね。なんかゲーム買おうとしたら
[02:38:59.720] 5000も1
[02:39:00.479] 万円くらいするじゃん。メタリックモンスターズギャラリーも
[02:39:03.640] 1匹1
[02:39:04.240] 万円くらいするじゃん。で、あのプラモも
[02:39:07.800] 1個1万円ぐらいするじゃん。高いて
[02:39:12.359] おからクリ兵やなんこんなたいて
[02:39:19.120] 高いて一
[02:39:20.279] 番の種ごどこ行ったど行った
[02:39:27.600] どっか行ったわプもある
[02:39:35.120] ポケプラとかなポケプラと
[02:39:43.720] ほら、私が。
[02:39:48.600] あ、強いやついる。どうしよう。やってみる。行ってみる。強いやついる。
[02:39:54.600] クーヌ。
[02:39:55.240] せい。
[02:39:56.279] クーしてみる。ここ
[02:39:59.640] はあ。
[02:40:03.439] 余裕やろ。
[02:40:05.520] ポ骨兵かこ強今バーストしちゃうよ。
[02:40:14.640] ま、正味ね、主人公が強すぎね。
[02:40:20.160] 7
[02:40:20.439] おもろそうよな。
[02:40:21.680] え、めっちゃおもろいがやっとで。やっとがえ。早くさ、あの、キラーマシンのさ、キラーマシンのあのプラも出してほしい。早。
[02:40:31.840] てちゃ可愛いんよな。
[02:40:33.560] 今回のドラクでメタリックぽいのが
[02:40:35.760] ぽい。このモンスターみたいなやつ結構い。ああ、
[02:40:39.520] 可愛い。どうだ?
[02:40:49.720] ポンコツ兵もメタリックぽい。
[02:40:52.000] うん。ポンコツ兵のデザイン。てかメカのデザインいいよね。やっぱ鳥山明らのメカのデザインやらせたらもう右に出るもんだな。
[02:41:05.080] わかる。
[02:41:07.160] めっちゃいいよね、メカのデザイン。この人元々メカ好きだからね。あのバイクとかね。
[02:41:14.160] これ鳥山か。
[02:41:15.359] くらえ。
[02:41:15.920] え、違うの?あ、セブンから違うんだっけ?セブンから違うんだっけな?
[02:41:22.800] 7
[02:41:23.080] からのモンスターだから鳥山じゃない。
[02:41:25.279] そうかも。6
[02:41:25.880] までなんだよな、確かな。うん。
[02:41:32.520] でも鳥山見るのめちゃわかる。
[02:41:34.760] まあやっぱちょっと意識してね、あれしてるだろうしね。
[02:41:39.319] 行くわよ。
[02:41:41.399] 可愛いね。マリベルのプラも出ねえかな。マリベルのプラモな。マリベルのプラモは出ねえんか。
[02:41:53.520] あ、
[02:41:53.880] お任せ。
[02:41:55.840] どれ頼ま。
[02:41:56.960] 魔像玉魔像魔造していいのかな?
[02:42:03.479] こいつドラゴンボールの世界観似合うもんな。ブルマに乗って。そう。あね、これドラゴンボールの世界観だよね。これ初期のね。
[02:42:21.271] [叫び声]
[02:42:21.920] して売ってる人もいたな。キャラメルマン的な。
[02:42:26.800] フィギュア裸に魔改造して売ってる人あまいるよね。そんキャラメルマン名付けるとしたらってこと
[02:42:39.160] 560
[02:42:43.080] までも俺あんまりあ、ごめん。あんまりこうやって言いながらあんまり分かってないんだよね。そのあのあれがあのあの
[02:42:48.127] [笑い]
[02:42:52.240] ドラゴンボールよくよく分かってない。
[02:42:54.240] ごめん。[笑い]
[02:42:57.160] ドラゴンボールよくわかってない。ごめん。ピラフ
[02:43:00.120] 1見て誰?うまそうな名前やがった。
[02:43:05.240] え
[02:43:05.800] え。
[02:43:06.800] くらえ。
[02:43:15.120] アニメ集したんじゃなかったの?
[02:43:17.520] 途中までね。途中まで。
[02:43:20.840] あの子供時代のやつ見ようかなと思ったけど、子供時代のやつですら長すぎてあんま覚えてねえな、もう。第
[02:43:33.080] 1
[02:43:33.279] 話。え、てかこれ体力全然減ってねえやん。強すぎやろ。は、
[02:43:41.520] は初
[02:43:43.439] ドラゴンボールもプラズ。
[02:43:45.680] あ、そうなんだ。え、何?あの、
[02:43:47.240] うギニンジンかとか知らん。
[02:43:49.080] うさギニン参ンか。全然知らん。何を言ってるの?大爆発
[02:43:52.318] [笑い]
[02:44:00.833] [叫び声]
[02:44:12.040] ただ初期のブルマめっちゃ可愛い。それだけ覚えてる?初期のブルマめっちゃ可愛いよな。てかエロいし。
[02:44:19.800] めっちゃ可愛いの。初期のブルマ本当あの
[02:44:22.920] 紙縛ってた時だ。
[02:44:30.240] やめてよ。おいおい。2回連続はあかん。
[02:44:35.359] 初期派でしょ。めっちゃ可愛いやん
[02:44:40.600] 。
[02:44:44.880] 負けないんだから。
[02:44:49.439] 舞い上がれ。
[02:44:50.399] アイラちゃんとちょっとやることねえな。はせ。
[02:45:01.120] オケー。
[02:45:04.200] どんなもんだ。
[02:45:04.920] もうこんな時間なの?
[02:45:09.439] バイキルともうこんな時間だってみんなどうする?どうするみんな。
[02:45:18.720] もうこんな時間なんだけど
[02:45:23.640] 寝ない。
[02:45:26.760] 2
[02:45:26.960] 時までか。
[02:45:29.359] 2
[02:45:29.640] 時までかね。
[02:45:32.520] 明日まで続けよ。
[02:45:34.000] 最近ここ数日なんだけどさ、右の乳首だけ異様に痒いんだけど。これ何これ?右の乳首だけだからすっげえ痒いんだよね。
[02:45:39.739] [笑い]
[02:45:44.520] これ何?なんかここ数日ずっとそうなんよ。右乳首だけめっちゃ痒いんだよね。俺死ぬんか俺な?俺死ぬんか?これ病気か?
[02:45:55.439] ちクニーしすぎちゃうか。
[02:45:57.080] チクニーのせい。これチクニーのしすぎ。バレた。せなっけ?なんとかの風。せ、風の谷。この下何?風の谷
[02:46:11.080] 加工か。
[02:46:12.359] 何が?あ、乳首書いてくれんの?女の子に頼むわ。女の子に。女の子募集。俺の乳首を書いてくれる人。
[02:46:14.455] [笑い]
[02:46:20.359] あら、
[02:46:22.600] 何?何?あ、なんか、なんか聞いたな。
[02:46:24.720] あら、
[02:46:25.920] ここは自由に空を舞うリファ族のクラス谷。自由に空を舞うなんて他の種族の人には信じられないかしら。はい。やめて。本当に本当にやめて。なんか、あの、なんか悲しい。
[02:46:42.200] あ、
[02:46:44.200] おお。セフィロスや。
[02:46:48.000] ひらめなんちゃらめきんや。
[02:46:56.240] なんなんこ
[02:47:02.520] ドラクエのスマホゲー見た?
[02:47:04.439] ドラクエのスマホゲー
[02:47:06.240] えさしめじヒラメデメキ
[02:47:08.200] えさしめじひらめきエさしめじひらめきサフィス何これそれをわざわざ気を貸して取りに行こうなんて続かること思えわい神の意
[02:47:25.920] は必要なものだ。あの石はこの谷に止まら
[02:47:28.240] ない風を与えてくださった。その止まら
[02:47:30.479] ない風というのがそもそも不要と言っとる
[02:47:32.040] んじゃ。地に足をつき時に自然の風に乗り
[02:47:35.479] 風空を舞う。それがリファ族の本来の行き
[02:47:38.040] たかったじゃん。あんただ。今はもう
[02:47:40.600] 母さんの頃とは違うんだ。今風がだら
[02:47:42.640] リファのものは生きていけない。なら勝定
[02:47:45.040] するかい?あんな無意思のために好きな
[02:47:48.600] だけ他人の人間の命を危険にさらすがいい
[02:47:50.439] 。とにかく神の意は必要なんだ。
[02:47:53.279] 家族は戦いには向かないが精鋭を集めればとったの。
[02:47:57.640] え、芋じランバ鹿な族長を持って連中はつくづく不幸。キもったま母ちゃんだな。どうしたんだの前にこれをいただく。どったの?ここ何?今度は
[02:48:14.880] 失礼。
[02:48:15.720] おお旅の方ですか。来た早々にお恥ずかしいところを見せてしまいましたね。実は最近この大陸で困ったことが起きそのことで今も母とめていたんです。
[02:48:21.526] [音楽]
[02:48:23.120] こんな時に来られ谷に来られたのも何かの
[02:48:25.560] 縁せっかくだので私の話を聞いてください
[02:48:27.439] 。この谷より北谷にえ我らリファ族が代々
[02:48:30.800] 守り続けてきた神殿があるのですが半月
[02:48:33.800] ほど前その神殿に急に黒く雲が舞りそこ
[02:48:37.399] から守が次々と現れ出したんです。神殿の
[02:48:40.720] 人々は逃げ出しましたがその時に神の石と
[02:48:42.760] いう意をえ神殿に残してきてしまったん
[02:48:45.000] です。神の石というはこの他に止まらない
[02:48:47.560] 風を運ぶ石。このままではいつか他人の風
[02:48:51.240] がやんでしまうか。そこでどうにか神の
[02:48:53.319] 意思を取り戻すために神殿に向かう性を
[02:48:55.319] 探していたんですが。そうだ。見たところ
[02:48:57.240] あの方がちょうどに腕が立ちそうだ。お
[02:48:58.840] 願いです。我らの代わりにか北の神殿より
[02:49:01.840] 神の石を取ってきたいさんいませんか?
[02:49:04.600] だってよう喋るのこいつなかなか若いな
[02:49:07.840] 俗長のくせに。
[02:49:11.080] でもなんで水知らずのちょっと立ちを叩け
[02:49:13.439] なのに俺らに頼むなよ。それま俺もまいい
[02:49:16.279] いいよって言うけどな。ヤドスヤドスてか
[02:49:19.080] ヤドス。
[02:49:20.359] 我らリパ族はイシより戦いには向かないし続く人助けと思ってどうか神の意思をなんやねんこいつだって今まは初対面やぞ知らんてそんなん普通だったらな言ってやるけど言ってやるけどな
[02:49:34.399] かモ
[02:49:43.720] ね
[02:49:52.439] ん、どうなってんの?これでっかい。ああ、でかい川が流れてんだ。真ん中に谷だからか。谷ニーマンのやんのね。この谷ニーマン。
[02:50:07.638] [音楽]
[02:50:08.399] 鼻が積みたければ崖の上まで一気に飛べばいいのにさ。
[02:50:13.200] なんでお前はいつも地面をベタベタ歩いてるんだよ。
[02:50:15.497] [音楽]
[02:50:16.600] 羽ありマウントじゃん。
[02:50:18.960] 何度も言ったじゃない。私空を飛べないから。
[02:50:25.920] ええ。だってお前長さんとこの娘だろ。
[02:50:32.279] ならなんで飛べないんだよ。
[02:50:35.640] ナスほどの声がした。今あの
[02:50:38.160] 気しクレオンしんちゃん気象き
[02:50:41.800] それも何度も言ったよ。私
[02:50:45.279] リファ族じゃないから拾われたいから
[02:50:45.628] [音楽]
[02:50:49.520] 重い重いって。
[02:50:51.439] おい、聞いたかよ。フィリアは族長さんの本当の娘じゃないんだって。
[02:50:57.960] きしいな、このガキども。族、
[02:51:00.399] え、五論族かな?五論族。[音楽]
[02:51:05.920] イエーイ。フィリアは広い。フィリアは広い。
[02:51:09.863] [音楽]
[02:51:11.160] クソガきが。てめえらの羽へしってやってもいいんだぞ。意外とふわーって飛ぶんだな。そんなふ割り飛ぶんや。
[02:51:22.960] あ、なんだよ。
[02:51:24.840] あ、クソガきが。
[02:51:27.840] この人たちもリファ族じゃないぞ。てやるよ。降りて
[02:51:30.920] 降りてこ。
[02:51:31.920] てことはまずい。フィリアの仲間だ。
[02:51:35.399] 逃げろ。
[02:51:36.840] クソガき。おら。
[02:51:40.040] どうもどうもありがとう。
[02:51:43.359] ガキがなめてると潰すぞ。
[02:51:45.889] [笑い]
[02:51:46.160] 私早くないと
[02:51:48.479] 今度はお姉ちゃんにれられるから。
[02:51:51.080] そうだな。
[02:51:51.680] じゃあね。
[02:51:55.520] 羽生えてるだけで羽使って飛んでないやんけ
[02:51:58.520] なあ。ふわー。そうだ。ふわーって。
[02:52:02.439] う。
[02:52:08.680] 確かにかわいそうやな。あの子なあ。
[02:52:11.359] なんだかっこつけて落ちてるだけか。
[02:52:13.600] うん。
[02:52:14.920] 噂では神殿から逃げた人々は黒く雲に包まれた神殿の周りに今も暮らしてるそうです。やはりどうにかして神の主を取り戻そうと必死なんでしょうね。うん。
[02:52:26.800] ビリアちゃんはこの谷に住むたった
[02:52:28.479] 1人のリパ族ではない人間。
[02:52:30.239] ある雨の日に族長の家の前に捨てられてい
[02:52:32.760] てがそのまま1つ座ってのか。どこの誰だ
[02:52:35.560] か知りませんが世の中にはひどい親がいる
[02:52:37.760] ものですね。
[02:52:40.120] バズライトイヤ
[02:52:43.359] に何?あ、お前も羽やん。
[02:52:49.920] 逃げんの。さあ行くぞ。おい、おい。お
[02:52:56.560] あ、プラプラティナソードです。
[02:52:59.840] あ、意外と金ね。
[02:53:01.920] おい、ティ
[02:53:04.439] あれ?
[02:53:04.640] NG今真似してたでしょ?は?似てただろ?
[02:53:07.600] あ、ごめん。
[02:53:08.720] 似てたやんけ。え、似てなかった?嘘。俺結構似てる。自人バズライトイアなんだけど。自人バズ?いや、金が
[02:53:17.279] 2位。金が2
[02:53:18.920] 位ね。ちょっといらないもん売っちゃおうか。
[02:53:21.520] [音楽]
[02:53:24.600] ハムだろ。
[02:53:26.760] [笑い]
[02:53:29.200] あの豚ね、真似しづらいなあ。覚えてないな、特徴が。あ、さ波並の剣ってもうこれ以下になっちゃうんだ。金稼
[02:53:42.760] 感謝永遠に。
[02:53:44.720] 感謝永遠に。この辺売っちゃおうぜ。
[02:53:54.439] この辺売っちゃおうぜ。
[02:54:05.520] いいね。キラーピアス高いけど
[02:54:09.399] 売れませんなあ。
[02:54:18.359] ま、こんなもんかな。
[02:54:20.920] こんなもんで[音楽]さあね。
[02:54:23.760] え、見かわしの服、じじ守備力上がるやん。
[02:54:27.676] [音楽]
[02:54:29.600] でさあね。
[02:54:30.960] でさあねえ、肌ざミーでございまさね。何装備させたらいいかわかんねえんだよ、こいつな。
[02:54:48.680] おや、天罰の杖攻撃魔力プラ
[02:54:54.160] 44強いね。これも強い。強いね。
[02:55:01.520] メルビンは常にお下がり
[02:55:05.160] だって。だぜあんま使わないもんだって。おじいちゃんはもう馬車あっためようにな。ベンチウォーマーだから。
[02:55:16.479] え、待って。
[02:55:20.640] は、おい、何これ?プラチナソードの方が
[02:55:25.359] 強いやんけ。違う。ゾンビキラーの方が
[02:55:27.720] 強いやんけ。何それ?は、プラチナソード
[02:55:30.800] 2本買っちゃったんだけど。2本買ってか
[02:55:33.319] 、1本だけ買っちゃった。え、ゾンビ
[02:55:35.319] キラーのが強いやん。1000円安いし。
[02:55:37.399] 何それ?何それ?え、ゾンビキラーの方が強いやん。金返して欲しいんだけど。
[02:55:43.656] [音楽]
[02:55:52.080] おや。
[02:55:55.000] うわ、風人の盾だ。またおった。
[02:55:57.239] ゾンビキラーは歴代でも強かった。
[02:56:00.040] 強いよね。お金がないって。
[02:56:07.439] お金がないんです。やべ、金ねかに。金が
[02:56:19.640] 2よ。金が
[02:56:21.760] 2位よだよ。2位
[02:56:25.720] ねんだわ。
[02:56:27.239] 金ねえんだわ。ごめん。
[02:56:35.160] ちょ、もうちょっとブざな金索をちょっと
[02:56:38.319] 見付き合ってくれ
[02:56:43.800] ね。これ奥義ってこれいるのかな?使って
[02:56:47.239] ないんだけどな。使ってないから勝ないん
[02:56:50.520] だけどな。売っちゃっていいのかな?
[02:56:57.880] え、鱗の、え、鱗の盾でそれを売って
[02:57:01.160] しまうともう2度手に入んねえの。え、嘘
[02:57:02.800] でしょ?鱗の盾ってこの今作だってレアな
[02:57:05.200] の?これ言われるとなんか売りたくなく
[02:57:07.479] なるよな
[02:57:13.393] [音楽]
[02:57:22.120] 。もう1時間早えな。
[02:57:25.359] 金ブらいらえいら
[02:57:27.640] んやろ、こんなん。
[02:57:30.000] 天物はそう言ってくれるの助かる。
[02:57:33.080] ま、助かるけどでも正味さやつはいらないよね。あ、貴族の服もなんや。お金はいくらあってもいいね。
[02:57:53.348] [音楽]
[02:57:59.239] 言われなかったらバンバン売ったればええねん。
[02:58:02.840] せやんな。俺シルクハットもさ、もう
[02:58:07.000] 2
[02:58:07.120] 度と手に入んないとか言われる。そんなこと言われたら売られへんかな。
[02:58:13.399] おや。
[02:58:28.880] スパンコドレスだってさ。
[02:58:31.760] エチだね。
[02:58:35.279] 5000円やで、これ。うわ、お金な。お金なくなっちゃった。しかも今なんか無駄な、無駄なあれしちゃったな。
[02:58:44.319] 2000しかなすぐやなあ。はい。
[02:58:48.000] じゃあ一旦バコ。一旦タバコ。今日
[02:58:52.880] 2
[02:58:53.040] 時までやるから、ちょっと一旦ここでちょっと休憩しよう。はい。皆の週も一旦休憩ということで、一旦休憩に行こうぜ。あと飲み物補給で
[02:59:04.960] 病人。
[02:59:05.880] 飲み物補給で。病人何がやねん。よいしょ。
[02:59:08.019] [音楽]
[02:59:17.720] ちょ待って。みんな5分休憩ね。
[03:00:26.619] [音楽]
[03:03:42.200] チクニー中かな。
[03:04:05.080] いじりすぎて痒いのかな。
[03:04:11.840] はい。やりますかね。はい、どうも。
[03:04:20.439] あ、
[03:04:22.439] やりますよ。何ですか?何ですか?
[03:04:27.880] お帰り。
[03:04:29.080] だいま降ってるわ。外ちくちにって
[03:04:38.640] 精愛でエンディング的なやつあげといた。
[03:04:42.600] AI成制裁成
[03:04:44.439] AI
[03:04:44.640] でエンディング的だったけど。え、マジで?
[03:04:45.840] マイクラコラボすんのや。
[03:04:48.399] 何?マイクラコラボすんなって何が?あ、もう発表された。うん。あの
[03:04:54.040] 4月4日だったかな?4月4日にあのK
[03:04:56.560] チャンネル主催の
[03:04:58.200] K
[03:04:58.399] チャンネル主催のあの配信者マイクラに誘われたんで出ますよ。出ます。出ます。
[03:05:07.600] あのサバイバルで死んだらそこで終わりっていう配信者呼んで配信者呼んで
[03:05:10.237] [笑い]
[03:05:12.720] 埼玉系チャンネル
[03:05:14.000] そうそうそう埼玉埼玉かどうかしそうそうそうそうそうあの死んだら終わりだしらそこでもう終了この企画あの
[03:05:24.840] すぐ4にそう
[03:05:26.479] この企画前に俺がマイクラはまった時にあの
[03:05:32.040] K
[03:05:32.239] チャンネルと話し機会があった時にやろうよって俺から持ちかけとい
[03:05:36.160] で、あ、いいね、やろうよって言ってくれ
[03:05:39.520] て、で、俺がそっから全く動かないから
[03:05:42.279] こな間だ
