[00:00:36.520] ブー
[01:20:50.760] あの、めちゃくちゃ打つだけどね。あ、あのアニメワはあの当時からアニメ版はアニメ版じゃない。
[01:20:59.280] 漫画
[01:20:59.560] 版は当時であれっちゃ打つだね。あれは確かにきつい。あのなんか
[01:21:11.280] 3号機の実験でさ、当時が乗るんだけどり
[01:21:14.199] 死ぬ。
[01:21:14.960] あのアニメ版だと助かるんだけど漫画版は殺しちゃいます。あれしんどいよな。ブアは何年で完結するんだろうな。
[01:21:28.800] 当たん
[01:21:36.280] 予エヴァ
[01:21:37.679] まエヴァンゲリオンってほら完結しないことで有名だから基本しんどいけどその中でも特にしんどい
[01:21:45.560] アニメあの漫画はしんどいねも漫画の終わり方が一番良かったけどない来月
[01:21:57.400] のオーケストラ楽しみよね。
[01:22:01.800] 家族全員で行くからね。
[01:22:04.800] 家族原因全員であのエヴァのオーケストラ
[01:22:07.400] 行くんだ。来月4月か。
[01:22:22.280] 来た。
[01:22:29.679] なん、どんくらい激墜すりゃええの、これ
[01:22:31.800] 。
[01:22:36.400] いや、難しい。装く
[01:22:43.520] なってきた。これどんくらいやれば認め
[01:22:45.679] られるって50機って言な。あと俺今何期
[01:22:49.040] ぐらいやった?15ぐらい行ったか?
[01:22:57.320] あれいない。いなくなっちゃった。
[01:23:04.280] せめてこれさ、あ、UF
[01:23:05.600] みたいなのいんの?せめてこの
[01:23:14.239] 全然足りてなくて辛いな。
[01:23:15.960] 全然足りてないか。せめてこのね、ジョゼットの後ろ姿をさ、オンオフできるようにしてほしい。全然見えない。画面が半分ぐらい。画面が半分ぐらい埋まっちゃってて見えねえんだよ。
[01:23:32.480] 上しなさん、どうもこんばんは。
[01:23:35.159] 笑笑。
[01:23:37.480] それが可愛いところではあるんだろうけど。
[01:23:40.400] 確かにそう。
[01:23:41.560] 全然見えねえんだよ、画面が。あれ誰もいなくなっちゃったよ。
[01:23:53.000] くれないの豚見たくなってきた。
[01:24:00.280] くれないの豚見たことないけど。
[01:24:04.320] ポルコロソい。オ。ああ、痛いたい痛い。
[01:24:27.800] 意外とね、これ距離感が当たんねえよ、これ。
[01:24:41.400] あいちゃん来た。
[01:24:43.040] あちゃさん、こんばん。あ、こちゃさんこす。
[01:24:47.800] いいよ。
[01:24:49.000] 今日もらになったりして。おら、せめてあと残り何期とかって書いてくんねえとさ。
[01:25:00.960] 危な。空を飛んでなんかなぜか女の子を育ってるゲームかと思ったらこれよ。めっちゃよ。俺もなんか気持ち悪くなってくる。嘘。ごめん。俺、俺は別に平気。俺乗り物酔いしないタイプだから。
[01:25:17.920] 女の子を育てるゲームだと思ったらなぜか
[01:25:19.719] 空にそエースコンバット始まったわ。おら
[01:25:23.719] へんやん。また
[01:25:30.199] トライアゲ。
[01:25:34.000] え?あ、あ、もう敵なくなったけどな。
[01:25:38.280] まだやんのかな?一旦戻るか。じゃあ
[01:25:42.239] 一旦戻る。これさ、あれだろ?せめてあれ
[01:25:44.320] だよね。これ蓄積されてるんだよね。
[01:25:49.000] これ蓄積されてるんだよな。
[01:25:59.159] どうだったかな?
[01:26:00.320] え、されてないの?1回の1回のやつで
[01:26:03.480] 50
[01:26:03.840] 機倒すの?これ相当時間かかるだろ。相当時間かかるよね、これ。え、シーバに乗る。乗った。
[01:26:18.719] いや、これでいいんだよ。これで、
[01:26:22.480] これでもう1回
[01:26:24.719] あのお姉さんのとこ行って、あの空飛び
[01:26:27.199] たいなって言ってたから一緒に乗るねん。
[01:26:28.760] これ
[01:26:32.400] さ、ファイアさん。やあ、ジョゼット翼が
[01:26:36.119] 持てるよ。
[01:26:39.719] 鳥になれるの。
[01:26:42.840] あ、ほら。
[01:26:57.639] とりあえずこの戦闘機一体どうやって?
[01:27:00.159] これは戦闘機じゃないわ。よく言うよ。
[01:27:02.360] お前さっきまで何匹おっ殺してたんだよ。
[01:27:04.920] これは空を飛びたいと夢を片にした機会な
[01:27:06.960] の。その機会はそのために生まれてきたの
[01:27:09.080] よ。いいこと言う。
[01:27:25.440] いいですな。ちょっと怖かったけど、まだ操縦が下手でごめんね。逆にスリルがあって楽しかったよ。
[01:27:41.960] ジョゼット
[01:27:43.000] 何?
[01:27:45.000] あい、こういうの苦手でうまく言えないけどありがとう。お、いいじゃない。しまけさん、黙って。シーバーを操縦して。
[01:28:00.600] ごめんなさい。
[01:28:01.360] いや、ええよ。ええよ。ええよ。全然ええよ。
[01:28:03.800] そんな
[01:28:07.600] はいはいはいんで
[01:28:21.639] やす子
[01:28:25.239] ほんでほんでどうすんねんっていうとこなんす
[01:28:33.400] さっきの女の子とユり展開ありそう。
[01:28:41.360] 一向に構わん。
[01:28:44.040] 私は一向に構わん。
[01:28:49.239] 遠くから眺めてですな。あの間に入れて
[01:28:52.280] くれなんてことは申しませんわ
[01:28:54.639] ね。間に入れてくれなんてそんなことは
[01:28:57.760] 申しません。から見つめさせてください。
[01:29:01.800] え、やっぱりさ、あれなの?
[01:29:05.719] やっぱりあれするしかねえんか。
[01:29:09.679] 50機落とすかないの俺には。俺にはそれ
[01:29:13.239] しか道はないのかい。
[01:29:16.679] 母さんの手伝いさ。え?何?何?
[01:29:20.360] あ、あんたを見せて決めたんだ。
[01:29:21.920] ジョゼットみたいにもっと素直に生きて
[01:29:23.159] いくことに。え
[01:29:24.040] えいなんでもない。50
[01:29:26.440] キぐい。じゃなえぐいってだってさっきまでさ、猫を蹴ったことでわあの罪悪感でワンワン泣いした女の子がさなんで戦闘機に乗ってさご敵兵とはいえ
[01:29:43.840] 50
[01:29:44.199] 人も人殺さなきゃいけないのかよ。あ、いるね。
[01:29:56.320] おはちゃまちゃま。
[01:29:57.639] あ、みちゃんお疲れちゃん。みんちゃんお疲れ。もうあのん。
[01:30:02.719] え
[01:30:03.719] お、お前その魚どこで手に入れたんだ?
[01:30:10.960] え?魚どうしたのかって?それは秘密。いや、もうと盗ん盗んでない。お前やれやれ。僕が海に取ってきたんだ。ああ。
[01:30:23.840] あ、はい、ありがとうございます。
[01:30:28.119] え、これやっぱ戦闘機でさ、50キルする
[01:30:30.639] しか進む方法はねえのか?
[01:30:34.000] 50キルするしかないの?あ、猫いなく
[01:30:36.400] なってるし。
[01:30:43.719] ええ、やっぱそれやるしかないのかな?
[01:31:00.400] マジでさ、攻略見てても全然わかんねえん
[01:31:03.040] だよな。
[01:31:05.280] え、やっぱこれやるしかねえの。
[01:31:14.440] 50機はしんどいて。
[01:31:33.119] しょうがないの。
[01:31:36.840] それじゃあなかったと思うけど。
[01:31:38.679] あ、やっぱこれじゃないか。やっぱこれじゃないか。え、これ
[01:31:43.040] 50機も落とす意味まずない。トップな
[01:31:49.159] BGMで敵を打ち落としていく。
[01:31:59.159] 実績は解放されるんじゃないかね。
[01:32:01.400] あ、ま、実績はな、そんな欲しくないんだ
[01:32:05.199] よな。
[01:32:22.880] とても人の命を奪ってると思えないBGM
[01:32:25.199] だけど。
[01:32:35.960] やっぱこれじゃないよね。多分これじゃな
[01:32:37.880] いっすよね。マジでこ攻略は書いてねえ
[01:32:42.440] からわかんないよ。
[01:32:46.280] コ動部ずっと見えてんの。
[01:32:49.600] クララ病気イベントっこイベントを見た
[01:32:52.000] でしょ?サパイアイベント
[01:32:54.440] ミスコンはやったよね。
[01:32:58.560] ミスコンやったよ。ミスコンやった。
[01:33:03.560] え、ミスコンやった。やった。やった。
[01:33:05.360] ミスコンもやったね。
[01:33:16.719] 何もない。
[01:33:20.320] ええ。
[01:33:23.800] お話も終わった。お話は終わない。終わっ
[01:33:27.880] てないけど、それは関係ないんやろ。
[01:33:35.280] これは関係ないんちゃ。
[01:33:54.760] あ、
[01:33:56.920] え。
[01:33:59.920] ごめんなさい。
[01:34:01.280] これもできないか。
[01:34:13.440] 戦えたはずだが。
[01:34:15.400] 戦えないんだよね。
[01:34:31.040] え、
[01:34:32.080] 攻略本買ってくるしかないか。
[01:34:41.320] え、おい、戦えそう。戦えるかもしれん。
[01:34:48.400] あ、いいを選ぶといえを選んだら戦うん。
[01:34:54.280] 戦えそうだな。
[01:34:56.159] 勝てるんかな、これ?
[01:34:58.960] あ、
[01:34:59.880] これ勝てるんか?よろしくお願いします。ま、さすがになんかこのなんかあのあれだな。新前試合みたいな感じだから殺されはしないと思うけど大丈夫だよな。私も準備をしたいから今度来てくんそれ。
[01:35:17.840] え、なんかでもあいつそんな悪いやつじゃなそうじゃねえかとは言ったものの数人打ち勝てるか。
[01:35:25.480] プレステクッキーやっと見つけた。こんばん
[01:35:27.560] あ。やっと見つけた。やっと見つけた。コめちゃんこんばんは。買った。お、意外とそういう感じなんだ。
[01:35:40.800] パチパチ。
[01:35:43.000] いわ、早速手合わせを願おうとするか。わ、いいじゃないですか。
[01:35:48.320] 意外とクオリティ高いよね。おた。え、強。めっちゃ強いんだよ。めっちゃ強いんですけど。おい、早く攻めろ、攻めろ、攻めろ。いや、いける、いける。まだわかんない。
[01:36:12.719] えー、何これ?めっちゃ攻められてんじゃねえかよ。た、もっと攻めな。あ、うわ。ええ、ちゃんと殺されてるし。
[01:36:23.679] やめてね。
[01:36:25.440] ちゃんと殺されてるし。おい、なんだよこれ。もう
[01:36:31.440] まさかのストロク始まってた。笑笑。
[01:36:36.440] ええ、何すりゃいいかわからないな。お尻痒い。
[01:36:40.360] お尻が痒いね。えー、何すればいいんです
[01:36:44.480] か?
[01:37:01.480] え、何すればいいんかわか。
[01:37:06.920] そらもう決まってるじゃんね。何
[01:37:10.400] も全部行ったよ。
[01:37:19.440] マジで攻略。もう攻略サイト見てさ、
[01:37:22.920] サクっと進めようと思ったら攻略サイト見
[01:37:25.800] ても攻略サイト見てもわかんないんだから
[01:37:30.400] 書いてないんだよ。
[01:37:31.360] 言わんか。え、ちょっと待って。マジで何すればいいんだ、これ?
[01:37:42.239] チャッピーにつく?
[01:37:43.599] いや、チャッピー。あいつ嘘つくじゃん。で、修行できる。
[01:37:46.760] 何修行って?
[01:37:51.280] 裏通り
[01:37:53.520] 裏通りで修行。
[01:38:01.119] え、マジじゃん。マジじゃん。それどこ?
[01:38:05.960] どこ情報なん?それ
[01:38:10.760] なんかま、あ、え、どうじゃ?おじさん
[01:38:16.040] すごいのね。もう私ヘロヘロでし。あ、
[01:38:19.480] ちょっとエロいな、なんか。うう。まだ
[01:38:21.719] じゃな。まだ出直してこられへい。
[01:38:29.320] ん?なんななん?え?何これ?た、ただ
[01:38:31.599] じじにな、ただじじに殴られただけなんだ
[01:38:34.280] けど。
[01:38:36.080] え、何やったかって
[01:38:39.159] 何
[01:38:42.320] 秘密?おいかわしい
[01:38:45.800] ことしてたんじゃねえだろうな。
[01:38:50.239] え、何?何?今の何なんこれ?これ?これ
[01:38:52.440] で?
[01:38:55.360] え、ちなみにさ、そのなんかその情報は
[01:38:57.760] どこに乗ってるんですか?
[01:39:01.400] もう1回行ってみるか?
[01:39:14.320] いやあ。
[01:39:16.239] うーん。わかんねえな、これで。見た。
[01:39:19.639] URL省略。
[01:39:24.760] RTA。待って。ああさん。
[01:39:35.119] あ、
[01:39:37.880] もう全然わかんねえっすってよ。むずないか。
[01:40:09.840] アーベン下がっあ、なるほど。この
[01:40:13.440] ゲームない1ヶ月も経ってないんや。
[01:40:17.000] 23日目。
[01:40:21.320] まあ言ったら赤木だってあれ赤だってあの
[01:40:25.480] ワンクールアニメやっても多分20分
[01:40:27.800] ぐらいしかあのアニメ内では立ってない
[01:40:29.920] からな。
[01:40:38.440] これ4
[01:40:38.880] 回受けりゃいいのか?あ、おお。見事じゃ。な
[01:40:48.400] んでそこいつも赤木なんだよ。笑
[01:40:50.960] それなんか劇中の時間が全然進んでないの筆騰じゃん。赤ギって。単鉱分本
[01:40:58.360] 30
[01:40:58.760] 巻ぐらい出ててもまだあの、まだあの、あれでしょ?作中の中では
[01:41:03.040] 15分、15
[01:41:04.560] 分ぐらいしか経ってないっていう。
[01:41:07.119] え、そういうあれだよね。赤ギって
[01:41:09.840] ありがとう。
[01:41:10.880] 赤着ってそういうやつだよね。わしはファーファーテルハーベン。
[01:41:18.760] あ、ハーベン。まずさかシりにあんの?
[01:41:20.440] わしの戦はそうだね。
[01:41:22.239] わしのμή戦はそうなんだ。えぐすぎるだろ。えぐすぎるだろ。
[01:41:30.280] ごめんなさい。
[01:41:32.280] 俺ファーベンってあのあれなんだ?お父さんなんかな?お父さんなんかね?なんか
[01:41:42.599] わしず麻雀
[01:41:43.960] わし図麻雀って何?麻雀のことも全然分かってないんだよな。
[01:41:49.000] え、
[01:41:51.239] この世を絶対にん、この世の世に絶対はない。全ては虚無じゃ。他人を言う考えに流せずこの自分で見て聞いてよく考えて動くことじゃ。
[01:42:02.679] さっぱり分かりません。いつか分かる日が来るわ。さあ、そろそろあの世にさあ、あの世に帰るから。お前幽霊だったん?
[01:42:12.159] ええ、なんでそれスケスケだから相手の手が見えちゃうってこと?いや、あいつ幽霊だったのかよ。え、じゃ、すぐ出てきた。
[01:42:22.440] へえ。すまん。娘さバの前になんか食してくれ。
[01:42:25.719] なんで幽霊なの?
[01:42:27.360] はあ。
[01:42:30.040] パイって1種4枚じゃん。そのうち
[01:42:32.679] 3枚が透けて。
[01:42:34.000] ええ、一死
[01:42:37.800] 4枚なのは知らないんだけど。へえ。
[01:42:42.840] の龍だった。
[01:42:44.719] スト録の龍だった。そう、そう、そう。国士無双とか知ってるけど。国士無双。
[01:42:59.840] 国士無双13
[01:43:01.199] 面待ちみたいなあるよな。なんかな。わかんねえけど。
[01:43:04.760] 分かってないのに分かってそうな。へ
[01:43:09.760] 国無双13面マッチ。
[01:43:14.000] なんでそれだけ?
[01:43:15.080] え、わかんない。なんか
[01:43:15.960] サターンのエッチな麻雀。
[01:43:17.360] いや、なんか、なんかあの麻雀ドリームクラブっていうプレステ
[01:43:26.599] 3
[01:43:26.920] にあのドリームクラブの女の子たちと麻雀をやるゲームがあって
[01:43:31.520] 笑笑あ、
[01:43:33.560] 俺それをだけやってて。
[01:43:35.360] それだけやってて、それだけやってて、
[01:43:37.679] なんかその勝つとなんか水着姿になるとか
[01:43:40.360] があって、どうしても水着にしたくて、
[01:43:43.840] なんかちょっとだけなんか頑張って、あの
[01:43:46.360] 、調べたんだよね。そしたら国士無双13
[01:43:49.880] 面待ちっていうのが最強最強のなんかあれ
[01:43:54.560] みたいな
[01:43:56.400] 最強のあれみたいなのをこうなんか見て
[01:44:02.000] なんかなんかさな泣な泣くとか
[01:44:06.000] あるしょ泣くとかなんか
[01:44:08.679] なんかあるじゃん全然わかんないけど
[01:44:10.440] ごめん全然わかんないけどダブル
[01:44:17.480] 泣くポンめ上がりだね。
[01:44:20.880] めちゃ強上がりなんだ。
[01:44:22.679] いやいやジャンジャン玉参加型ありますか?
[01:44:26.440] え、ジャンタマ型ってみんなやんの?え、お前らできんの?麻雀全然俺はでも俺ルール覚えないとできねえぞ。麻雀
[01:44:36.159] できませ。ま、
[01:44:37.480] まあ俺に麻雀をまず教える会からだな。必要なのが。
[01:44:47.800] あれ?じじいないよ。免許電を入手。あ、下手だけど遊べる。
[01:44:52.760] これでいけんだ。いや、俺下手な人とくらいの方がいいと思うんだけど、俺何もわかんねえから。
[01:44:59.239] 役しかわからん。あれだよがり多いから困らんよ。
[01:45:03.159] あれな、なんかあれだよな。あの、あれを手札を全部役で揃えりゃいいんだろ。マるぞ。
[01:45:10.440] 手札を。
[01:45:11.440] うわあ。
[01:45:11.800] でも麻雀教えマんてもしんどそうだな。しんどそうかも。
[01:45:18.520] ダブル
[01:45:22.040] 笑笑のご経験は
[01:45:25.480] ドンジャラもない。お、いいぞ、いいぞ。えいよ。いいお。すげえ強え。すげえ強なってる。いいね。お、いいね。いいね。
[01:45:40.960] 強いじゃん。おい、
[01:45:45.800] 勝てるぞ。
[01:45:46.800] 勝ちました。いや、久しぶりに小気の良い試合だったよ。私の死んだ格闘家の父を思い出す。ありがとう。そうだ。まだ名前は聞いてなかったな。娘は何という?
[01:46:00.800] ジョゼット。
[01:46:01.960] サブスク限定で麻雀したら教えマんがサブスクガンガンしてくれる。
[01:46:06.840] おええだ。教えたければサブスクをしなさいって。
[01:46:12.520] 俺に麻雀を教えたいか?サブスクをしなさい。いいね、それ。サブゲ配信。
[01:46:19.520] え、
[01:46:24.760] これからもっと来たれば世界一の兵士になるとどうだ?早速のお誘いですが、つかずに帰ります。
[01:46:31.760] ごめんなさい。
[01:46:34.639] そうか。残念なが仕方ないな、ジョゼット。
[01:46:37.960] もし気が変わったらいつでもこのハーベンに来ハーベン悪いやつじゃなくないこいつ。こいつ相当様でしょ。
[01:46:45.360] はあ。ありがとう。
[01:46:47.199] めっちゃいいやつやんこいつ
[01:46:49.400] はめちゃめちゃいいやん。あ、やっぱ悪そう。やっぱり悪いかも。あの娘は
[01:47:01.400] へ。
[01:47:02.480] 相当は別人だったような。
[01:47:04.639] あ、でも顎そうじゃない?
[01:47:06.440] 違、
[01:47:08.199] 顎割れてそう。多分ケツ顎だろうな。あの娘をマークしろ。革命軍の仲間かもしれん。おいおいおいおいおいおいおいおいおい。やっぱり悪いやつじゃねえかよ。やっぱり悪いやつじゃねえか。はい。次のイベントはい。
[01:47:29.800] 次のイベントは
[01:47:36.639] もうでもほとんど見たと思うんだけどな。
[01:47:39.000] ほとんど見たと思うんだけどな。
[01:47:43.239] あ、来た
[01:47:47.599] ねえ。ポっこどうしてジペット博士のこと
[01:47:49.480] 知ってるの?そ、それはごめんなさい。
[01:47:53.360] まだそのことは話せないんだ。それより
[01:47:55.679] お姉ちゃんちょっと別の話があるんだけど
[01:47:57.239] 。
[01:47:59.159] ここでちょっとまずいから。お姉ちゃんの
[01:48:00.360] 船の中で。うわ、何この男。この革命だ。
[01:48:07.320] 声がでかいよ。だっていきなり革命に誘う
[01:48:10.119] んだもんね。一緒に革命に入ろうよ。
[01:48:12.599] シリコニゃと戦おう。このままシリコニゃ
[01:48:15.000] にのさばらせると世界は地獄だよ。だから
[01:48:17.719] 入ろうよ。
[01:48:21.080] 入ろうよと言われても
[01:48:24.119] ごめんね。考えさせて。
[01:48:28.480] お姉ちゃん、考えが決まったらパイプ通路
[01:48:30.280] に来てね。やっぱこれ入るしかねえん
[01:48:33.320] だろうな。多分な。入るしかないんやろな
[01:48:36.119] 。
[01:48:38.040] でもなんかそんなにシコリギリギリアも
[01:48:40.080] 悪い奴らじゃないんだけどね。一緒に戦っ
[01:48:43.000] た方がいいのかな?ま、丸にしとく。
[01:48:47.679] そんなに悪い奴らじゃないんだけどな。
[01:48:53.440] 私そこまで正義感ないわ。
[01:48:56.599] あれ正義回路が正義回路が一定以上で会話が継続なんやねんそれ。
[01:49:06.880] おい、正義回路ってなんやねん。
[01:49:10.679] 何正義回路って
[01:49:12.560] は
[01:49:13.400] はいはいなんすか。あ、入るんかい?私革命軍に入るわ。いいんじゃない?私の気持ちを分かってくれたのね。
[01:49:27.840] 正義回路あんまりない方が良さそう
[01:49:30.119] なあ。ありすぎると嫌われる。ちゃまげさん大好き。え、なんどうした?いや、もうチュしちゃってますやん。
[01:49:41.639] 正義の反対はもう1
[01:49:43.199] つの正義のエッチ可愛い。
[01:49:48.080] 正義の反対はもう1つの正義だよな。
[01:49:52.880] ラストオブアス2で俺それすごく思ったわ
[01:49:55.679] 。ラストオブアス2やって
[01:49:59.639] アビーもまた正義。
[01:50:02.639] アビーもまた正義なんや。
[01:50:10.119] あれすごいゲームだったよな。
[01:50:14.239] ラスアス思い出すたびにしんどい。いや、
[01:50:16.880] あれ名作よ。名作本当に。
[01:50:22.840] 僕はお姉ちゃんが自由のために立ち上がっ
[01:50:24.360] てくれると信じていたよ。ブルーに来て。
[01:50:27.599] そこである人を紹介するから。何?ブーっ
[01:50:29.440] て。ブルーってどこやねん?ブルーって
[01:50:32.679] どこ?
[01:50:34.800] ブルーランドか?
[01:50:39.080] セドナブルーかな?どっちだろ?こっちか
[01:50:40.960] ?
[01:50:43.840] お入れ
[01:50:46.719] ますやん。
[01:50:50.360] まけさん。ふ、
[01:50:51.760] ラッキー。なんやねん、それ。ゴーゴー。え、何?あ、え、なんだこれ?奥にも行ける?行けない?なんだこの
[01:51:08.679] BGM?
[01:51:14.239] 左上奥へってのないもんね。
[01:51:21.719] はしご左。え、うわあ、もうこういうのは
[01:51:27.639] これこそ攻略見ねえとわかんねえやん。
[01:51:41.199] え、麻雀配信やろうかな。どうしようかな
[01:51:43.880] 。
[01:51:45.840] 麻雀でもやるんだったらドリームクラブ麻雀やりてえな。ドリクラ麻雀
[01:51:51.040] 笑笑
[01:51:53.679] ドリクラ麻雀やりたくない。
[01:51:55.520] ジャンライン。
[01:51:57.400] ジャンライン何?ジャンラインってな
[01:52:00.639] んで由来いでんだよ。笑。エロのためな。
[01:52:03.599] エロのためじゃねえと頑張れねえよ、俺なあ。エロの脱い麻雀とかじゃねえと。
[01:52:10.040] ジャンライン。笑笑。
[01:52:11.360] 何?ジャンラインって
[01:52:23.119] バグりまくってるやつ。
[01:52:25.280] ドリクラ麻雀なら見たい。
[01:52:26.560] それドリクラ麻雀やりたいよな。
[01:52:41.639] バグりまくってるんだ。ジャンラインって。
[01:52:45.760] クソゲオブザイア。
[01:52:47.079] ええ。
[01:52:48.360] えい。
[01:52:49.679] クソゲーオブザイアなんだ。何のゲーム?ゲーム機は
[01:53:01.239] コティ360。
[01:53:04.040] ああ、
[01:53:05.719] 持ってないよ。Xbox1
[01:53:07.639] 個も持ってない。俺、
[01:53:10.560] Xbox
[01:53:11.280] はもう、もうちょっと異国のハードだからさ、俺の中でさ、なんかその収集項目に入ってないんだよね。
[01:53:20.000] 36もあるか。俺Xbox1
[01:53:21.960] 個持ってないわ。
[01:53:24.440] Xbox持ってないねん、俺。
[01:53:32.079] 俺Xbox1
[01:53:33.000] 個も触ったことないんだよな。興味ないね。
[01:53:39.079] うん。
[01:53:41.040] Xboxわからん。XBO
[01:53:43.199] はやったことない。俺
[01:53:50.440] Xboxやったこと
[01:53:51.199] 360だけ持ってるわ。
[01:53:53.119] 俺Xboxやったことないんだよな。
[01:53:54.360] ローラーあるのに今ちょろっと見たけど東発でしてた。
[01:53:59.360] 360のロストだけ
[01:54:03.119] うわ。おい、ここに来てこれやるんかい?ここに来てロストおデッセ。え?ロストデセってスイッチにも出てね?
[01:54:12.800] え、
[01:54:14.360] 出てないかごめん。出てないかもわかんないけどなんか
[01:54:16.880] 彼はXboxをよせといって
[01:54:19.280] 俺。Xbox
[01:54:20.239] わかんない。持ってない。わかんない。
[01:54:23.280] Xboxでもブルードラゴンやりてえら。
[01:54:25.440] ブルードラゴンやりてえら。ブルー
[01:54:28.440] ドラゴン。やっぱそのハードでしかでき
[01:54:30.560] ないゲームがあるからな。Xboxはな。
[01:54:33.840] バカとかもあるし。
[01:54:38.320] Xboxやりてえら。
[01:54:42.719] そのハードでしかできないゲームは
[01:54:44.159] やりたい。私やりたい。ニアの限定。
[01:54:47.920] そんなのあるんだ。
[01:54:48.760] 便城と熱いシルト
[01:54:52.320] 便城とあ、便城と野獣もあるよ。便城と野獣やゲシタルトってのがあの親の坂口さんが起して。へえ。
[01:55:08.800] そんなあるんだ。なんか
[01:55:11.159] Xbox
[01:55:11.800] ってしかもなんかあのさ、いっぱい出てるやん。
[01:55:15.560] どれが1番新しいのかわかんなくない?
[01:55:19.040] Xbox
[01:55:20.920] ワだのワンダの
[01:55:24.320] Xだの?
[01:55:26.040] 360だの?どれ、どれやねんよな。
[01:55:29.880] そう、
[01:55:30.880] レプリカントと同じだけどストーリー違うらしい。
[01:55:33.880] へえ。じゃ、じゃあ同じじゃないじゃん。ストーリーったら。
[01:55:42.400] え、そうなの?
[01:55:44.400] そうなんだ。へえ、そんなあんねよな。俺
[01:55:48.079] X腐ったことないやわ。
[01:55:49.920] えい、
[01:55:51.400] ずるいよね。ずる、ずるい、ずるい。え、や、降りたらあかんやろ。おい、おい。来た、来た、来た。あ、間違えた。
[01:56:11.840] えい。
[01:56:13.440] いや、当たったやろ。
[01:56:15.440] えい。
[01:56:18.880] 360
[01:56:19.880] 売ってないの?いや、売ってんじゃない?だからさ、わかんないの俺もなんかその
[01:56:25.800] Xbox
[01:56:26.639] は全く本当にあの守備犯以外だからさ、大体なんかそういう中古品でもこれは買っちゃいけないみたいなあるやん。いけるんかい?奇跡的に赤ずの扉開いたし。
[01:56:40.679] なん、なんかレッドリングオブデスみたいのあるんでしょ?なんか
[01:56:50.520] うん。
[01:56:51.159] 学命軍来たよ。
[01:56:52.320] ある。
[01:56:53.440] そう、そういうのもよく分かってないからさ。あ、ガロンだ。誰?ガロンって誰やねん?おやぼっこ。そちらの方は絶対お姉ちゃんだよ。
[01:57:10.320] 一緒に革命軍に入って戦うんだ。
[01:57:14.920] フレンドさんのXbox
[01:57:16.719] もちょいちょい壊れた。
[01:57:17.960] Xboxで壊れるんだよな。お
[01:57:22.440] 1
[01:57:22.520] 人願いなさい。どうしてどうして戦っちゃだめなの?我々は遊んでるんじゃないんだ。みんな命をかけてシコリニアン戦ってるんだ。遊びだと思ってないよ。僕らも命をかけて戦うよ。
[01:57:38.560] ほっこだめだ。
[01:57:41.599] 服の色を揃いだ。
[01:57:43.119] 良かったね。緑来てきて。革命革命団のわからずや。うええん。これで終わりなんだ。
[01:58:12.760] え、あの、ああ、お父さん。そうか。お父さんが革命軍のリーダー。言ってたね。言ってたね。ねえ、元気だったかい?
[01:58:23.800] え?
[01:58:24.639] 合ってないの?
[01:58:27.239] 会ってくれないんだ。もう親子じゃないからってね。
[01:58:30.360] 親子じゃない?どうして?
[01:58:33.520] 知らないよ。
[01:58:36.119] お父さん、父さんなんか大嫌いさ。好きや
[01:58:40.920] ん、それ。
[01:58:48.159] はあ。
[01:58:51.800] 父さんか。
[01:58:56.480] 少し悲しいわ。てる
[01:58:59.400] ゆパ様似てるわ。あのラピュタ。ラピュタじゃねえ。え、直しかのな。えー、僕こと会話。いや、どうしよう。
[01:59:15.199] こっからさ、結構さ、こっから結構さ、
[01:59:27.520] 結構こっから長なりそうなんで、
[01:59:31.400] 今日はこの辺にしとこうかな。
[01:59:37.320] こっからがっつりイベントが入りそう。
[01:59:39.560] なんかガ売りイベントが入りそうなんで、今日はこの辺にしとこうかと思います。
[01:59:45.079] ちゃまだリえん
[01:59:46.159] 寝ます。寝るぞ。
[01:59:57.440] ガつ売り、
[01:59:59.239] ガつり。ここからはね、イベントが入るんで。あずまさん、こんばんは。ということで今日はここまで。皆さんありがとうございました。
[02:00:07.199] ちゃまダりえん。
[02:00:08.280] ちゃまだダリえんちゃまだダリもありがとうございましたね。めっちゃ進んだやん。ほら成長度
[02:00:17.199] 76%
[02:00:17.880] まで行ったぞ。お疲れ。お疲れ。お疲れ。ありがとうございます。
[02:00:21.960] ちょっと麻雀あ、
[02:00:28.000] 健康的な配信を目指しています。
[02:00:30.199] そうだよ。もう1時間、2
[02:00:32.679] 時間で十分配信はあれ、俺そ、それセーブした。今セーブした俺。
[02:00:45.360] お疲れ様。
[02:00:46.520] お疲れちゃん。ありがとね、コみちゃんもわしはもう寝るんじゃ。コミケやめます。
[02:01:00.880] セブなんて何回してもいいんだ。何回したっていいんだよ。お肌つやつやにして。
[02:01:06.440] お肌つやつやにしてきたらいいよ。え、本当にやめちゃやめるよ。寝るから仕事やねん。明日も
[02:01:14.639] ちなみにセーブ76%なの見てた。
[02:01:18.079] ま、確かに俺もう俺もあれセーブしたって言いながら頭の中では
[02:01:22.040] 70
[02:01:22.520] 何パセってなってたよなって思いながらもう一度知らないふりをしてないふりをしてもう
[02:01:28.679] 1
[02:01:28.800] 回セーブした。配信者ってそういうとこありますからね。分かりきっててもあれこれって何だっけっていう時ある。
[02:01:36.599] 笑笑
[02:01:37.280] うんよな。おいということでありがとうございました。
[02:01:45.119] もういい加減を切りに行きたいらもう少し
[02:01:48.639] わかんないです。
