[00:00:08.800] よし。うわー。
[01:23:42.600] ドン。クソお世話になりました。ドン。
[01:23:45.080] 発信行きたい。
[01:23:46.960] 行き。行きたいと言え。行きたい。ドン。いや、ありがてえな。
[01:23:57.840] やっとワンピースにはまって。
[01:23:59.360] いや、全然はまってないよ。全然はまってはないんだけど。ごめん。全然見たことないし。
[01:24:00.938] [笑い]
[01:24:04.360] 同じセリフしか聞いて。あの、あのプ何やってんだ。
[01:24:06.177] [笑い]
[01:24:09.120] あれ全然その知らないから毎回同じ同じ知ってるセリフしか出てこないから毎回同じ何やってんだお前もう
[01:24:21.243] [叫び声]
[01:24:21.920] お前船降りろ。
[01:24:22.719] え、嘘っぷ船降りろって本当に言ったのねえ。嘘っ降りろって本当に言ったセリフ。それ
[01:24:32.400] あるよ。
[01:24:32.960] あるんだ。言うんだ。
[01:24:36.679] ある。それは言ってる。
[01:24:38.280] 言、それは本当に言ってるんだ。シジ君、あなた死にさ、死になさい言わないのに。シジ君、あなた死になさい言ってないのに
[01:24:48.199] 気になったでしょう。さささ、どうぞ。
[01:24:51.239] 投げえよ。あれ何巻?あれ
[01:24:53.600] 120
[01:24:54.080] 巻くらいあるでしょ。読めないよ、今更。ジ君、あなた死になさい。これ言ってそうで言ってない。セリフナンバーワン。
[01:25:02.509] [笑い]
[01:25:10.760] せめて新世界前まで
[01:25:12.960] 新世界前言ってる。
[01:25:15.199] 言ってない。言ってない。
[01:25:15.920] それも腐るほど聞いてる。笑。
[01:25:21.080] よし。で、虹。ああ。
[01:25:24.920] あれなん?あ、あれなんなん?あれ?なんだ?え?あれ?なん?どうすんの?虹のか?え、あれは
[01:25:54.840] ああ。え、どこにいるの?どこにいるの?え、ボム編なくね?ボらんかな?ボありがとうね。ハイプトレインがあれしました。ありがとう。
[01:25:57.529] [大歓声]
[01:26:16.480] シュっシュっぽっぽ。ギメだと。
[01:26:26.639] 行く。
[01:26:30.719] あかん。
[01:26:35.000] え、あの、え、
[01:26:47.310] [大歓声][叫び声]
[01:26:48.159] え、
[01:26:48.760] 玉ピロケラン。
[01:26:53.000] 玉ピロケラン。そんなスタンプあるんだ。
[01:26:55.824] [笑い]
[01:26:56.880] ありがとうね。
[01:26:58.520] ありがとね。だる。
[01:27:00.410] [笑い]
[01:27:01.760] たまピロケラン。
[01:27:04.600] 笑笑。
[01:27:06.080] ピロケラン。たまピロケラン。
[01:27:08.480] いいね。いいスタンプだね。
[01:27:10.280] たまピロケラン。
[01:27:11.520] 俺も作るべえかな。チまドロケラン使うんだよ。草
[01:27:14.820] [笑い]
[01:27:20.119] ねえ。あのピンク爆弾は
[01:27:23.320] 笑笑。
[01:27:24.040] ピンク爆弾は?ピンク爆弾どこにおんねん?え、います。
[01:27:31.199] まず開けてもらわないと話になんないよ。
[01:27:34.000] 無限ロケラン連射する時とかに来るぞ。
[01:27:36.719] あ、そっか。バイオやるからね、あなたね。アーターあたバイオやるからね。なるほどな。確かにあのエイダのコスプレもクソ似合ってましたわ。
[01:27:51.080] 日常使いもできていいね。
[01:27:53.199] 日常使いするか。あんまりロケラン打つことないでしょ。日常で。
[01:28:04.520] なんかさ、
[01:28:07.760] あ、ちょっとあのピンクの爆弾がどこにいるかわかんないんだよ。
[01:28:11.800] ピンク爆弾がどこにいるんだ?
[01:28:14.960] ママみや。
[01:28:17.280] 高明
[01:28:18.400] 高明高明高明レッゴー。
[01:28:29.520] 高明高明
[01:28:30.840] 高明高明高明高明高明高明高明その顔文字が高明ってうち読むのおかしいだろ
[01:28:45.040] 高明高明[笑い]
[01:28:48.520] まず何なんだよそのルールた
[01:28:55.960] 高
[01:28:57.280] 高明高
[01:29:01.360] 高
[01:29:02.896] [笑い]
[01:29:03.360] もういいよもう分かった。あれのボム兵どこにいるんだよ。
[01:29:13.440] この辺にいるかな?
[01:29:17.679] おらへん。おらへん。
[01:29:20.159] ピンクのボム兵がおらへん。
[01:29:29.000] オラエピンクの爆弾なら高明の横で寝てるよ。
[01:29:33.760] ピンクの爆弾は高明けの横でぜ
[01:29:40.199] 多分どっかに隠されてると思いどう?
[01:29:48.080] あ、いたいたいたいた。適当に行ったらいいた
[01:29:50.960] ピンクの高き。ピンクの高き。
[01:29:54.080] お、すまんな。高き
[01:29:55.840] ました。
[01:29:57.840] こんにちは。大砲の準備にかかります。
[01:30:00.920] 最初から開けとけよ。言われないでもしまち人間が
[01:30:05.119] ゴム兵は
[01:30:06.159] 指示待ち人間が言われなきゃできんのか。お前は最初から開けとけ。そんくらい自分で考えて報しろ。
[01:30:12.280] マホにてったら隠してる高人間じゃないけど。笑笑泣けてきた。
[01:30:22.719] ません。
[01:30:23.480] 勝手に開けたら開けたで怒られるんで。そういうもんよな。社会ってれえよな。そういうもんよな。デ、
[01:30:26.082] [笑い]
[01:30:44.040] もう無理。
[01:30:45.732] [笑い]
[01:30:46.760] 退職代行。もう無理。やべえ。
[01:30:49.639] あんなにあった残期がもう3
[01:30:51.159] しかねえじゃねえかよ。あんなにあったのに。
[01:30:58.280] 邪魔さんのために今日は開けておきました。あれ今日開けないでしたっけ?
[01:31:05.480] ギガピギガギガピギガピギガピギガピどうなってる?どうなってる?
[01:31:11.000] たピエカード
[01:31:14.719] 今日は開けない日なんだよな。そういう時にかけて開けない日なんだよな。
[01:31:24.080] これまだ遠いんですよね。あそこまで行くのが。ル
[01:31:28.308] [叫び声]
[01:31:37.520] ワイプ大きく。
[01:31:38.639] え?あら、ワイプ大きくが来ましたよ。もう今もうでもだいぶ疲れてるからね、顔が。俺だいぶ疲れてきてますよ、顔が。
[01:31:50.800] 誰?
[01:31:52.400] なんでだよ。誰にはならねえだろ。俺だろ。ごめんなさい。
[01:31:52.543] [笑い]
[01:31:57.480] いいんだよ。
[01:31:58.440] だいぶ疲れてる。
[01:32:04.880] これが30代男性。
[01:32:10.440] ほら。
[01:32:18.719] いた。あし、行った。行ったぜ。おい、お前入れんな。そこにバカ。やったぜ。行った。え、もうこれいいんだよな。これもういいんだよな。これもういいんだよな。これもいいんだよな。
[01:32:39.800] を外すなんてお約束はありますか?に入ってった
[01:32:44.520] いない。ここね。これちょこのこの極悪白人どうにかしてねえ。この極悪白人どうにかしてよし。オッケー。やめて。もうお前やだよ。よしオッホー。
[01:33:04.880] あし、これクリアしたでしょ。
[01:33:06.119] パチパチ。
[01:33:06.960] これでクリアしたしょ。こち
[01:33:09.040] 駆藤静かぶち切れ
[01:33:11.000] ぶち切れ駆動藤静か静かピロケランタピロケラン
[01:33:14.480] たピロケラン
[01:33:16.000] まさにああやったとは
[01:33:19.719] 100万も100
[01:33:20.600] 枚コインはもう最後にしようコース
[01:33:23.360] 100枚コインはもう最後にしようぽ
[01:33:29.719] たピロケランタマピロケラン
[01:33:31.280] たピロケランやなさピロケ
[01:33:37.360] が
[01:33:39.480] 何があ、ぬるポぬポが
[01:33:42.800] 100枚ぐい。
[01:33:43.719] えぐいんだよ。その俺知らなかったよ。
[01:33:45.920] 取ってないのはどこだろう。
[01:33:47.360] えっとね、もうね、俺ね、あれなんだよ。あの俺、あの、あれなのよ。あ、
[01:33:51.400] 1個ずつ、1個ずつ全部、あの、全部
[01:33:53.639] 6
[01:33:53.760] 個繰りするように住んでるから、あともう先進んでく生きてればいいよ。ビーたきたピロケラン。
[01:34:00.679] 玉ピロケラン。
[01:34:01.360] ちびデカもうやった。
[01:34:02.880] ちびデカやってない。
[01:34:03.520] ちびデカイランってどこだっけ?ちびデカイラントってどこ?俺なんか行ってねえな。あ、これ最後だもんね。ドロケラン。
[01:34:12.400] チャモドロケランも作ろう。
[01:34:17.199] 悪魔ピアスいいね。
[01:34:20.119] 可愛いっしょ、俺のピアス。もう、もう
[01:34:22.600] 12時間やってから髭が伸びてきた。もう
[01:34:25.160] [笑い]
[01:34:26.440] 13
[01:34:26.840] 時間やってるからもう髭が伸びてきたよ。
[01:34:30.080] 髭が
[01:34:30.639] ニたにもちゃんとタンプレ自慢した。
[01:34:33.400] もう、
[01:34:34.639] もう伸びてきたよ。髭ニコにも自慢したしたっけ?見てくださいよ、この素晴らしい誕生日プレゼント。え、ニコ
[01:34:42.840] の成長速度も観察できる配信。
[01:34:45.360] うん。ニコ。ニコがもうコメントくれてたよね。確かね。
[01:34:49.639] いいですね。
[01:34:51.040] 男性ホルモン強つよだね。
[01:34:53.400] 男性ホルモン強つ強よなんですよ。
[01:34:54.800] 鍵はいくらでしたっけ?
[01:34:56.440] いや、もう値段はつけられません。
[01:35:01.880] アイロンビーズ高明[音楽]
[01:35:04.040] 普通にいいこと書いてくれてた。
[01:35:05.400] さっきアクリルビーズなんだって言ってたのに。笑
[01:35:08.600] いや高明普通にいいこと書いてくれてた。読まない。あえて普通にいいこと書いてだ。すごいね、それ。
[01:35:11.010] [笑い]
[01:35:18.440] これすごいすごいやろ。これ
[01:35:21.080] したんですか?
[01:35:22.080] これ
[01:35:23.520] 高が良いやつってバレるやん。出現。
[01:35:27.000] すごいやろ。
[01:35:31.600] マジです。ティみんなぎっしり書いたからね。
[01:35:36.239] お前1行だったけどな。おめは[笑い]
[01:35:39.719] 1行だったけど。グルポンも
[01:35:43.679] 1
[01:35:43.840] 行でした。まあここの文字数俺この後配信終わったら
[01:35:50.400] 長見せて。笑笑。
[01:35:52.360] これ、この、これ配信終わったら
[01:35:54.600] 1人1人の、1人1
[01:35:56.520] 人の文字数を数えて、あの、多い順に今年
[01:36:00.920] 1
[01:36:01.080] 年は対応を変えてこうと思うから、文字数が
[01:36:03.880] 1
[01:36:04.040] 番多い人にはもうそりゃ俺もね、それなりの対応しますけども。
[01:36:08.600] 笑笑
[01:36:09.159] うん。文字文字数が少ない人に限てどんどんどんどん冷たっていきますんでよろしくお願いします。
[01:36:16.360] マックス80
[01:36:17.320] です。結構少なくしちゃったかも。
[01:36:19.786] [笑い]いや、冗談でいいんだよ。
[01:36:21.520] 何人か書いたらしい。や、それは悲しい。それは悲しい。だったら一言だけでもいいからさ。お前の言葉が欲しいよ。
[01:36:26.336] [笑い]
[01:36:30.960] 笑笑。
[01:36:32.639] 嘘だろ?
[01:36:34.000] 笑笑。
[01:36:34.800] さすがにそれは悲しいな。
[01:36:37.199] 笑笑。
[01:36:38.040] だったらめんどくさいから。めんどくさかったら一言だけでもいいからその人の言葉が欲しいんだけど。
[01:36:43.040] AIのパターンある。
[01:36:44.360] チャッピーだったか。笑。
[01:36:46.159] さすがにそれは
[01:36:48.000] ガチ失礼なやつ。
[01:36:49.600] 悲しすぎるでしょ。ホ、
[01:36:54.960] あとこっちもやんなきゃいけないんだよな。
[01:36:59.840] ここな。ここもやんなきゃいけないんですよ。これがね、これが難しいてね。
[01:37:13.600] エビ、
[01:37:14.480] エビコー。
[01:37:17.000] AI
[01:37:17.280] でメール書いてぬくりが足りないとかいうタイプですか?
[01:37:23.000] ああ、どえぐいやつ。[叫び声]
[01:37:26.040] ここ俺無理な気がすんだよ。たもん。ここ
[01:37:30.560] ここ無理よね。
[01:37:32.679] 茶窓相続放棄。
[01:37:35.112] [笑い]
[01:37:37.400] そんなスタンプ作れるか。
[01:37:40.880] 笑笑。
[01:37:43.360] 笑笑
[01:37:45.760] 笑笑[笑い]
[01:37:47.639] 激重スタンプやん、それ
[01:37:49.080] 欲しい。
[01:37:50.040] どんなスタンプだよ。笑笑クソ笑さ。笑笑
[01:37:54.880] 茶続放棄。窓放棄。
[01:37:57.382] [笑い]
[01:37:59.000] あの、俺のお父ちゃん、俺のお父ちゃんさ
[01:38:02.159] 、小学校に生離婚してんだけどさ、そっ
[01:38:05.440] から会ってなかったんだけど、数年前ね、
[01:38:08.320] 急にあの手紙が、あの、手紙が来て、全く
[01:38:13.960] 知らない町の市役所から手紙が来て、
[01:38:16.760] あなたの父にあるまるまるさんが亡くなっ
[01:38:18.880] たのでお知らせいたします。
[01:38:20.599] あなたの父は、え、生、え、生活保護を不正受給していたので、あの、決縁関係にあるあなたがお支払いくださいって。
[01:38:30.133] [笑い]
[01:38:31.679] いやいやいやいやいや、そんなん知らねえよつって相続放棄したんで。で、相続放棄しました。その先のスタンプです。おい、どうしたんだよ。笑えよ、お前。おい、お前ら。おい、どうしたお前ら?笑えよ。
[01:38:36.683] [笑い]
[01:38:47.920] 笑笑。
[01:38:50.960] さっきまで笑ってたじゃん。笑い。
[01:38:53.639] さっきまで笑ってましたよね。さあ、笑えよ。さっきみたいに。
[01:38:56.333] [笑い]
[01:39:05.280] ま、そういこと。
[01:39:06.320] ありがとう。続放棄。茶装続放棄。笑えねえや。
[01:39:12.239] ピタッとコメント止まるの気まず。笑笑。
[01:39:15.599] あ、これ分かった。分かった。
[01:39:18.360] あの大砲のとこに行けばいいんだ。大砲のとこに行けばいいんだ。で、大砲でぶちりぶち上がりまくってぶち上げまくって行っちゃえばいいんだ。
[01:39:29.040] ヤッホー。ヤッホー。なん
[01:39:34.800] 普通に働いてんに生活保護もらったらしい。崩すぎるだろ。そんなことできるの?え?そんなことってできるの?
[01:39:45.199] 笑笑。えぐい。笑。
[01:39:47.880] ボーナスマジか。やば
[01:39:49.760] え。そんなことってできるの?どうやってやったの?どうやって聞くね?
[01:39:53.973] [笑い]
[01:39:57.080] あ、そうなんだ。
[01:40:03.119] こんなことできるんだな。
[01:40:07.280] でも離婚してから俺のお母さんに、俺のお母さんに
[01:40:11.004] [音楽]1
[01:40:11.239] 回も養育費払ってないけどね。俺と姉ちゃんの部分
[01:40:15.159] ほんまにクズなんだよね。
[01:40:16.679] 断られても大阪にクズなんだよね。うちの親父って
[01:40:23.080] 悲しくなってきた。クズすぎて開けてくれ。開けちくり。
[01:40:33.920] 結婚ってそんなもん。
[01:40:36.239] そうなの?
[01:40:48.440] ここは相当時間かかるんちゃうか。
[01:40:53.480] 共に息きな大人になりましょうね。ちやめ。
[01:40:57.599] そうですね。
[01:40:59.639] 息な大人にこれこの段階でももう取れないとことかないよね。
[01:41:04.715] [音楽]
[01:41:05.639] か、
[01:41:06.639] 初めは好きで結婚したはずなのに変わっていくもの。
[01:41:10.610] [笑い]
[01:41:15.760] ほな。
[01:41:18.159] 笑笑。かし。
[01:41:24.880] これさあ、この上とかどうやって取るの?
[01:41:35.199] しみる。
[01:41:38.639] え、あれどう取んの?これ。
[01:41:45.480] あ、なるほどね。ああ、ここか。ここはガチガチなとこだね、これね。ここガチだね。
[01:41:48.600] [叫び声]
[01:42:00.000] うわあ。
[01:42:01.440] ここリアルガチです。ここは
[01:42:07.199] まあ、分かった。でも分かった。あのピンク島にはあのロケットがあるということね。
[01:42:11.639] いや、ここ時間食うなあ。でもしょうがない。ここで
[01:42:15.719] 一応一応戸籍場は結婚
[01:42:18.040] 20年目の私の経験団
[01:42:20.679] なあ。20年なすごいですね。まあでも
[01:42:27.080] 20
[01:42:27.440] 年も一緒にいたらまあでもそうよね。別に好きとか嫌いとかもそういうそういう次元じゃないでしょ。いい意味でも。ヤホヤッホー。
[01:42:40.119] ははやぞ。ほ、ヤッホー。
[01:43:00.920] ああ、ちょっと
[01:43:03.840] もうこのほんまカメラさ、お前いい加減にせえよ。ほんまに。
[01:43:09.920] カメラお前ほんまにいい加減に強えよ。きっからごちゃごちゃ。
[01:43:16.599] うわあ、
[01:43:21.320] 怒るよ。
[01:43:23.360] なかなかカメラへの洞ってつかない。
[01:43:29.119] カメラお前ほんまいい加減にせえよと。
[01:43:33.199] 毎回その雲のとこから始めさせてくれればいいのにね。
[01:43:37.040] 本当だよ。
[01:43:39.599] あ、なんだ?え、ちょっとわかんない。何?やめて。もう
[01:43:50.040] 2時40分です。
[01:43:53.639] 実際マリオ64のカメラは切れがち。
[01:43:56.520] もだいぶしんどいよね、このカメラね。
[01:44:02.440] お腹空いてきた。
[01:44:04.119] お腹空いてきたね。うん、分かる。俺もお腹空いてきた。
[01:44:07.080] でもここで食べない。ここで食べないという鋼の石。
[01:44:15.960] ラムネ食べよ。
[01:44:17.560] ラムネ食ラムネもね。
[01:44:19.520] 配信で眠れねえや。
[01:44:20.880] ラムネもね、ラムネックでね、あんまり食べちゃいけないんだよ。
[01:44:32.320] なんか食べはしたんすか?
[01:44:33.960] 夜ご飯食べたよ。夜ご飯食べたよ。
[01:44:37.360] あのな
[01:44:39.400] んだっけ?このこのプレゼント開封しながら食べましたよ。
[01:44:47.480] 汁なしカップ麺。
[01:44:48.800] そう、カップ麺ン。あの謎肉増量のカップ
[01:44:51.760] 麺が出てるからそれ食うわつってさやった
[01:44:54.560] んだけどさ、あのあまりにも感動しすぎて
[01:44:58.599] このあれにあまりにも感動しすぎてあの面
[01:45:02.840] のびノびになっちゃってもうほぼ
[01:45:05.520] シルがなくなってた
[01:45:08.080] 混ぜそばみてなになってた
[01:45:09.480] 笑笑
[01:45:10.320] 混ぜそばみてえなった
[01:45:12.119] そういうことかそう
[01:45:17.679] やっ
[01:45:20.920] え、エモいかこれ?これエモいかこれ?
[01:45:21.477] [笑い]
[01:45:40.400] 1
[01:45:40.599] ク。お前はそれはあかん。
[01:45:51.119] とりあえず上に打ち出してさ。
[01:46:06.679] このまま行っちゃう。このまま。あそこ
[01:46:08.080] 行けない。このまま。あの、あの、この
[01:46:10.239] ままコ度保あ、無理くせ天気や。
[01:46:15.320] ああ、無理だ。それは無理だ。ちょっと、
[01:46:24.199] ちょっと、ちょっと分かったから。この分かった、分かった、分かった。あそこ行こう。あそこ行こう。あそこ行こう。オッケー。オ、オッケー。
[01:46:39.840] ただ羽帽子
[01:46:42.679] が消え消える前に羽帽子が消える前にどっ
[01:46:47.159] か補充しなきゃいけないんだよ。そこも
[01:46:48.920] 忘れるなよ。それも忘れるなよ。
[01:46:52.400] あ、やばなんとか間に合え。[叫び声]
[01:46:55.599] 危ねえ。[笑い]
[01:47:00.599] 笑笑危ねえ笑。危ねえ
[01:47:06.400] 。ああ、待って行かない。
[01:47:07.960] あ、あ、あ、あ、あ。いか、あかん。あ、
[01:47:16.360] 笑笑。あかん。ああ、
[01:47:29.760] と
[01:47:34.800] やってくれるね。
[01:47:37.199] いいリアクション
[01:47:38.960] やってくれる。
[01:47:41.280] 寝ねえよ。うるせえ。寝ねえ。ヤッホ。
[01:47:47.040] ラムネ起こしな。ラムネをよこしな。
[01:47:57.199] ドーピング
[01:48:03.560] うめえ。
[01:48:08.480] ドーピングコンソメスープや
[01:48:26.239] ほ、ほ、な
[01:48:37.360] んで誰もドーピングコンメスープに反応しねえんだよ。ネウロだろうが。
[01:48:45.000] お前らネウロ呼んでねえの?
[01:48:46.719] お、さすがさすがさすが。分かってる。
[01:48:56.199] レウロ後出しだな。知らないんだろ本当は。
[01:49:02.960] ドーピングコンソメスープだ。
[01:49:08.360] なんで伝わんないわけよ。ドッピングコンソメスープだ。
[01:49:11.480] 探索教室しか知らない。
[01:49:13.040] ああ、作者一緒だけどな。確かにな。松井優勢ね。うーん。
[01:49:21.880] んでもうか、もうここ本当俺も最後にしよっかな。ここ最後にしよっかな。
[01:49:34.520] 無理やで。
[01:49:36.599] ヤッホー。
[01:49:37.320] 何何何このクリップは
[01:49:44.560] 難しいて最後にしましたもん。これ
[01:49:47.000] 本当だよな。
[01:49:52.960] とお疲れ様でした。
[01:49:55.926] [笑い]
[01:50:03.199] 可愛い。笑。
[01:50:04.520] もう限界だよ。
[01:50:06.080] は耐久じゃないからな。野生のかうまみてみたいで美味しそうだねっていう女性主人公は他にいないだろうな。
[01:50:14.599] あのやね。
[01:50:18.851] [ため息]
[01:50:20.320] こっちがハーだよ、お前。こっちがハーだよ。
[01:50:22.126] [笑い]
[01:50:25.239] ため息き顔。
[01:50:27.880] こっちがハーだよ。
[01:50:29.119] ネウロ。
[01:50:30.480] ネウロね。
[01:50:31.119] ため息草。
[01:50:34.840] 84です。
[01:50:39.280] 90までは頑張ろうぜ。
[01:50:42.159] 90までは頑張ろうってか120
[01:50:43.880] までやんでやるんだけど。
[01:50:45.960] 120までやるんだけど何
[01:50:48.119] 90
[01:50:48.520] までは頑張ろうって。全部頑張んだよ、バカ。
[01:50:55.079] 90
[01:50:55.480] まで頑張ったらどうなるの?
[01:50:57.239] うん。あと30
[01:50:58.320] 枚になるんだっけ?残りがあと
[01:51:00.400] 30枚だねって言えるだけど。
[01:51:04.840] 一旦寝るのかな?どうなっちゃうんだ?アーセだよね
[01:51:08.920] え。90でワワワワワ休憩あり。
[01:51:13.199] あと40
[01:51:14.320] となるよりは行けるうちは進めておいた方が
[01:51:17.400] そうなんだよ。そうなんだよ。別にね。そう。しかも眠たくはないんですよ。
[01:51:24.000] 寝るよ俺は。俺の考える耐久配信とまた違いますからね。それぞれありますからね。
[01:51:33.880] Kチャンネルと
[01:51:35.880] Kチャンネルとまた違いますか?
[01:51:39.400] 1番また耐久俺もまた耐久だね。
[01:51:49.960] 俺も行かせてもらわないと。
[01:51:52.000] そうだ。そうだよ。まずここまず
[01:51:57.000] 1ここ。
[01:51:59.960] 便でもね、俺まだ割とね、頑張れるよ。まだ全然頑張れるよ。
[01:52:17.000] こっからエビゴー。
[01:52:22.920] エビコー。
[01:52:25.159] ほ、ヤッホー。
[01:52:30.920] うまい。
[01:52:38.599] それはダめだ。スピードがく。あく。
[01:52:46.719] ああ。
[01:52:47.679] いや、でもなんか掴んできた。
[01:52:50.239] 画
[01:52:51.159] 掴んできたよ。掴んできた。
[01:52:55.400] 精価学ね。
[01:52:58.119] ヤッホー。
[01:52:58.840] ヒップドロップしておりないと難しいです。ガ
[01:53:02.360] でもさ、場所覚えなあかんやん。覚えられへんで。わしほんま。あと
[01:53:13.000] 1回1回戻す。
[01:53:14.520] このまま落下が怖いけど。笑笑。
[01:53:17.440] hikピーチしろ。
[01:53:18.978] [叫び声]
[01:53:19.040] そうなのよ。こ
[01:53:21.598] [笑い]
[01:53:22.840] こけ。笑笑。こ
[01:53:26.239] ひカまもいますと。
[01:53:28.280] 笑笑。1人じゃないだろ。みんなに
[01:53:31.480] 1個ずつ覚えさせよう。
[01:53:34.760] レスポンスが悪いんだ。文字だからみんなは。みんなはもう人間じゃないからさ。やっぱみんなって人間じゃないからレスポンスが悪いんだよ。
[01:53:42.199] やっぱ文字だからみんなに
[01:53:45.800] ごめんね、文字で。
[01:53:46.920] うん。本当に本当にみんなが人間、
[01:53:49.880] みんなが人間だったら良かったのに
[01:53:58.360] ねえ、もうやる気がないなら帰ってください。
[01:54:06.400] 文字じゃ友達になれないからね。
[01:54:09.000] そうだね。
[01:54:11.239] やる気がけれよ。
[01:54:12.840] そんなことない。みんな友達
[01:54:14.880] 何もしないなら帰れ。
[01:54:16.320] 山口メンバーね。
[01:54:18.199] 友達ないまんまだよ。
[01:54:20.280] だ友達みんなは僕の友達やな。
[01:54:35.760] 友達量払わないと。
[01:54:37.400] みんなが払う側ね。うん。
[01:54:40.000] 月500円。
[01:54:40.840] 俺がついてるぜ。歌を。
[01:54:42.719] 俺がついてるぜ。俺がついてるぜ。
[01:54:49.159] 笑笑。
[01:54:50.040] なんちゃらのきにゃ。
[01:54:55.239] あれ新しい映画やるんだよな。
[01:54:56.480] さんが5
[01:54:56.920] ドルでサブスクを送りました。まぷんちゃめ。茶まぷんちゃめ。にこよみにこよみ友達です。
[01:55:07.560] ありがとうございます。嬉しい。ぐブ。
[01:55:11.119] てか普通にありがとう。普通にありがとう。
[01:55:15.719] 毎度毎度ありがとうございます。本当にね。
[01:55:18.840] 今月の友達量
[01:55:21.079] 今月の友達量いただきましたね。
[01:55:26.199] 危ないよ。
[01:55:34.400] いつもつも
[01:55:36.159] 小学生の時がちで友達量取られて
[01:55:39.239] ええ、そんなやついたの?本当に本当に取ってくるやついた?
[01:55:40.460] [笑い]
[01:55:52.000] それは確かに聞くね。何それ?ひどい話だね、
[01:55:59.360] マジで。
[01:56:02.400] 毎月マのカード。
[01:56:03.719] ええ、嘘でしょ?ひどいね。
[01:56:08.679] いきなり重いエピソード来た。
[01:56:11.900] [笑い]
[01:56:12.840] 激重エピ来た。まジか。それは効くね。ガチ効だね。
[01:56:18.450] [音楽]
[01:56:21.880] それヤッホーヤッホーヤッホー
[01:56:40.840] おい、今月の友達量として明日一緒に遊べ。
[01:56:46.159] 何それ?ヤッホー。
[01:56:51.480] そうやって言われるさ。
[01:56:58.639] ああ、今いいとこだった。は、[叫び声]
[01:57:06.320] はじゃねえや、バカ。
[01:57:14.480] ほやほやほ。
[01:57:22.480] ただなんかちょっとずつ
[01:57:23.920] レズに行けそう。
[01:57:25.079] いや、うんとね。いや、枚数的にはさ、あと
[01:57:31.159] 40枚、36
[01:57:33.679] 枚でしょ。枚数的にはさ、大したことねえなと思うんだけどさ。
[01:57:42.159] 内容がきちいでや。内容がきちいでや。枚数は大したことがいいよ。
[01:57:44.911] [笑い]
[01:57:54.159] 30何枚って味
[01:57:59.079] 100
[01:57:59.360] 枚コインはまだやってない。
[01:58:00.760] やってない。1個もやってない。
[01:58:03.251] [笑い]
[01:58:03.719] ここクリアするのに1日かかりそう。
[01:58:06.760] 笑笑。
[01:58:08.199] ここをさ、ちょっとどうにかさっさとクリアしちゃわねえとまずいよ、俺。
[01:58:13.731] [音楽]
[01:58:17.560] もう無理や。こうこちたらここまで下ろされるんだよな。確かま、あびが出たらムネぶっ込むからな。
[01:58:35.239] あびが出たら即
[01:58:48.199] マザインゴ
[01:58:49.760] うまい。
[01:58:50.520] アクソクラムだいぶ危ないことしてる。
[01:58:53.960] だいぶ危ないことしてる。これ
[01:58:55.280] 血糖値スパイク。
[01:59:01.159] これでも血糖スパイクになるか。
[01:59:06.199] そのステージするから嫌い。
[01:59:08.639] でもさ、でもさ、これ
[01:59:13.639] 1
[01:59:13.840] 袋ガーって口に全部含んで食べても食べてもだよ。
[01:59:18.719] 135kcだからね。
[01:59:21.840] 人袋全部ガーって言ったら
[01:59:25.400] あの血糖値スパイクになるかもしれないけど。
[01:59:29.560] そんなもんな。
[01:59:31.599] ラムネさ
[01:59:32.719] だから。あの今度
[01:59:34.480] 56
[01:59:34.840] 粒口にバクバク入れてるぐらいじゃスパイクならない。
[01:59:39.000] コー羅のやつうまない?
[01:59:40.560] コー羅のやつ1
[01:59:42.159] 度クリアしてたら落ちる前にスタートボタンからステージ抜けれない?
[01:59:46.520] それがね、そのちゃんそちゃんちゃうねん。
[01:59:48.760] それがこのゲームスタートボタンから抜けられるのはマリオが足地に足をついてる
[01:59:54.639] 血に足つけてる時だけなんすよ。
[01:59:57.119] 落ちてる時はもうダメなんだよ。エビ
[02:00:10.560] クソル
[02:00:20.599] 取れるとこ取っていくよ。
[02:00:27.880] 雲の上で放置してるとそのまま貫通して落ちるよ。
[02:00:31.920] あ、そうなんだ。よし。いいぞ、いいぞ、いいぞ、いいぞ、いいぞ、いいぞ、いいぞ、いいぞ。
[02:00:55.000] いいぞ、いいぞ、いいぞ、いいぞ、いいぞ。い、
[02:01:04.400] 演技が、
[02:01:05.679] 演技がいいぞ。演技がいいぞ。
[02:01:08.040] いい像のテーマ。
[02:01:15.920] 調子が、
[02:01:17.360] 調子もいいぞ。いいぞ、いいぞ。
[02:01:26.040] 危ねえ。ダークネス。とりあえず無理な。とりあえず無理。延長
[02:01:49.800] シャイニングアンドザな。
[02:01:52.760] シャイニング座じゃなくてシャイニングアンドザックですね。うますぎ。うますぎ。あと
[02:02:01.000] 1個や。はいけるじゃん。
[02:02:05.520] すまん。持ってたゲームなのに。中グロガーディウスな
[02:02:10.960] んだっけ?中グロガーディウスな何だっけそれ?なんだっけそれ?行けるやん。行けるやん。うますぎるじゃん。チャバゲームじゃん。
[02:02:21.560] だってだってチまゲームじゃん。
[02:02:23.719] 仕掛え
[02:02:24.880] だってまやめちゃ。あ、ねえ、みんな行けた。ここ行け。ちょっとちょっとちょっとちょっとほんまにやめてね。思んないからそういうの。はい。長黒狩リです。
[02:02:47.760] はい。最難間クリアですと。
