[00:00:55.520] おはちゃまちゃまドンちゃに
[01:14:19.520] 問題はリアンを助けたこのバンキーがんダムバンキーハンターのにされている各データは全て嘘のデータで実しないとは
[01:14:26.320] やっぱ今日は0721
[01:14:28.239] の日らしいからな。はバンディオの共通そこから
[01:14:33.280] ま、ちょっと味けない。
[01:14:34.639] さすがにさすがに味けないんで戻ろすわ。
[01:14:38.880] メタルギアありがとう。
[01:14:42.400] ま、
[01:14:42.880] さて、これからが本番だが
[01:14:45.719] イブスが追ってきたスナッチャーの病院そこを叩くね、
[01:14:49.800] 奴らのスナッチを食いめられるかもしれない。
[01:14:52.600] はい。病院な。
[01:14:53.719] あるいはカルテらしきもが発見できるはわざわざスナッチャーを探す手間がける。
[01:15:01.280] 手がっかりはニトルジョンのメモリー。
[01:15:04.480] そうだ。運が良ければリトルジョンのメモリーに何か残っているかもしれ。
[01:15:09.360] もうやったねん。それ全部さっきジャンカーの行動を全て記録しているのだ。毎一の時のために。
[01:15:17.159] 毎一の時ね、それが起こったということか。
[01:15:22.120] も生できている頃だろ。さんのところ行ってみてくれ。それではギリアン、その奴らの病院の操作を始めてくれ。
[01:15:31.960] はい、わかりました。
[01:15:34.159] もう次はちょっとマジで本当フリーズするんのやめてね。本当にこれアプリフリーズされたら叶わんど。これメモリーちょうだい。
[01:15:48.400] ブロードトライル
[01:15:49.760] 来たかい?ギリアン
[01:15:51.080] 来ました。
[01:15:51.760] リトルジョンのメモリーチップの再生ができたぞ。
[01:15:54.719] かかった。わかった。
[01:15:56.199] 何か映っていたのか?
[01:15:57.159] オリン病院な。
[01:15:58.080] 焦るてない。今から再生するモニターを見ろ。
[01:16:03.080] メモリーはほとんど修復不可能なほどに破壊されておった。スナっちゃんもなかなかやりおるわ。いと言うと何も残ってなかったのか。
[01:16:14.639] まあ待て。そう焦るな。ワンシだけなんとか再生した。映像だけだがどういうことを意味しとるのかわしには分からん。
[01:16:26.639] うん。
[01:16:27.880] しかしジャンが体験した一部であることは確かじゃ。いいか。
[01:16:33.000] これがそうじゃ。
[01:16:35.880] ちょっとさ、この
[01:16:36.679] これがなんだかわかるかね。
[01:16:38.600] ちょっとじちゃんに似てる。
[01:16:42.159] ハリーさ、ちょっとじんちゃんに似てんだよな。このあの上のジョジ立たちの方。立ちの方当て
[01:16:50.600] スナッチ
[01:16:51.159] 髭生したらこんな感じだよな。あいつ
[01:16:53.080] ガウディで調べてみるといい。
[01:16:54.719] 声も似てるし。
[01:16:55.760] だが正規の病院でない場合データは当てにはできんぞ。
[01:17:01.080] このネオーベシティには闇の病院は
[01:17:04.560] 5万とあるからの。
[01:17:06.360] もしかしてこの際は満していてオリンの続きがあるのかもしれないな。
[01:17:13.520] 画像を取り込みました。いつでも見られます。
[01:17:16.600] コマンドは持ち物の中の映像メモリーにあります。
[01:17:19.360] あ、ございます。はい。
[01:17:22.320] ほんだら、ほんだら次何つんだっけ?ま、別にあれか。ナポレオンに行けばいいんだよな。ナポレオンに行けばいいんだよな。
[01:17:44.840] え
[01:17:47.880] 、ここダメなん?ちょ、フロント行こうか
[01:17:50.639] 。
[01:17:57.000] ナポレオンの番号も覚えてないけどね。
[01:18:03.320] 39564オッケー。
[01:18:15.040] オ、
[01:18:24.719] 相変わらず化け物。え、100日、え、何
[01:18:29.840] だっけ?100日
[01:18:33.960] 何だっけ?100日。あ、100日転下か
[01:18:37.679] 。さすがキプレイ。さすがキプレイがいる
[01:18:42.280] と助かるな。100
[01:18:44.840] 日転下だ。そうだ、そうだ。そうだ。
[01:18:45.960] 笑笑。
[01:18:47.960] さすがキプ。
[01:18:52.760] キ。さすがキだね。助かるわ。えー、行きますか。この暗号も何パターンかあってさ、急に違うのよるとさ、ランダムなんだよな。
[01:19:17.159] え、行きます。
[01:19:42.600] もう明らかに1人いるんだよな。いやあ、
[01:19:45.880] ここの絵も好きだな。でもここのこの
[01:19:48.600] アルタミラ前のこのさ、アルタミラ前って
[01:19:51.639] よくあの俺ネタ元ネタ多分なんかあん
[01:19:53.760] だろうけどさ、わかんないんだけど。
[01:19:56.800] アルタミラ前って何が求めたの?このえ、
[01:19:59.880] この1枚絵も好きやわ。このなんか俺あの
[01:20:04.840] 奥が黄色のビルになってて手前がこの2色
[01:20:08.400] で分けられるの好き。
[01:20:09.719] え、飯友はアルタ、新宿アルタ
[01:20:12.560] アルタ。
[01:20:13.400] あ、新宿アルタがあれなのか。モテレなのか。飯い友のパチンコのパが消えてちんこになっとるわ。いいの?いいですね。いいですね。
[01:20:38.639] サンタクローズがいますよ。
[01:20:41.159] これなんかね、本当はここのあの
[01:20:47.239] あ、コナビ301234。これ電話かける
[01:20:49.719] とコナミにも電話かけれるんだよ。電話し
[01:20:52.159] てみる。コナミに。コナミに電話してみる
[01:20:54.360] か。301234
[01:20:57.440] こういうのもあるから面白いんだよな。
[01:20:59.320] こう寄り道も
[01:21:02.199] 331234
[01:21:08.560] さっきCM
[01:21:09.199] で流れた企画で芸能人のそっくりさんは時間までにあるた前に集合あった。
[01:21:14.840] 何それ?
[01:21:15.960] かけた?
[01:21:16.679] あ、やばかけた。これあのなんかね番号あんのよ。こんにちは。コなミのは坂です。これ本当にいるんだ。坂さんってすナっちゃんお買いただきましてありがとうございました。
[01:21:28.360] 速さ換してきてます。え、この
[01:21:30.840] スナッチャー私にとってはすごく
[01:21:32.320] 思い出深い作品になっちゃったんです。
[01:21:34.840] テレビ出演したりパイロットディスクでは
[01:21:36.920] 出演したりしちゃったりして。あ、
[01:21:39.199] そうそう。みんなパイロットディスク買っ
[01:21:40.920] てくれたかな?買いました。もし買って
[01:21:43.400] くれてたら速さはもっと完激。ま、それは
[01:21:46.040] さておき。どうぞスナっちゃの世界を
[01:21:48.440] 思いっきり楽しんでくださいね。皆様から
[01:21:50.480] のお便りお待ちしています。それじゃあ
[01:21:52.199] バイ。
[01:21:54.880] あ、これダイヤル92にもこれ繋げられる
[01:21:56.760] からね、これ。ダイヤルQ2もあるから
[01:22:00.000] エッジチャンネル
[01:22:02.040] エッジチャンネルにもかけたいところだが
[01:22:03.840] 、ま、こういうのもありますよと。
[01:22:09.320] ま、言ったらそうあるんで。ま、でも俺も
[01:22:11.920] ねかけたことない。どっかになんかあ、
[01:22:13.679] あるらしいんだよね。
[01:22:16.880] だしなんかいろんな番号あるしなんか変な
[01:22:20.560] クイズとかもあったりなんかね、この要は
[01:22:23.080] なんか今で言うあれだね、あのメタルギア
[01:22:25.639] ソリッドのあの無線みたいな感じなんだよ
[01:22:27.560] な。
[01:22:27.880] メタルギアスリッツの無線みたいなクイズあったよね。
[01:22:32.560] そうそうそう。のあんのよ。サンタクロースの格好したサンドイッチマンが、え、ティッシュを配っています。トゥルルルルルルルん。あのサンド
[01:22:45.520] 1番伊向きを
[01:22:49.960] 興奮してきたな。
[01:22:55.159] ジョイディジョンの番号な。あれはな。
[01:22:57.280] あ、お前は
[01:22:59.520] は、よくわかったな。
[01:23:02.400] ナポレオン。なんだその格好は?
[01:23:05.440] なんだじゃねえ。よ、
[01:23:08.480] これ本当にナポレオン。
[01:23:09.639] やばい仕事。もう降りるぜ。誰かに狙われているようなんだ。俺もギブスンの旦那たいに殺される。
[01:23:18.679] 似合ってる。
[01:23:20.040] めっちゃ似合ってはいるけどでもなんか
[01:23:22.000] あの電話かけた時のあの化け物みたいな
[01:23:25.400] こんなに可愛いおじいちゃんになると思え
[01:23:27.199] ないんだけど本当にお前ナポレオンか?
[01:23:30.880] 中国人のサンタクロスか?似合わんな。へ
[01:23:33.400] 、悪かったな。
[01:23:35.920] 古典型的なサンタクロスの一緒です。
[01:23:39.920] ま、闇病院のこと教えてや。シには正義に
[01:23:42.679] 登録されてる病院の他に闇系の病院が無数
[01:23:45.679] にある。うん。
[01:23:47.320] それ教えてくれって言ってんの?それを教えてくれって言ってんの?スピタルオりン。どこの言葉だ?まずもらうものをもらおうか。
[01:24:05.520] 本当クソみたいな質問だよな。
[01:24:09.400] 俺もそこに、俺もそこに繋げようかなと思ったけど、なんか今日はうまくいかなかった。
[01:24:16.520] 俺もそこにつげよっかなと思ったんだけど今日はうまくいかなかったんだよ。あんたの探してもと違うかもしれないがオ林病院っていう病院なら知ってるぜ。これさっき言ったな。オ林病院ちょっと教えてよ。
[01:24:51.199] 詳しくは知らないが、RF地区にあるケチ
[01:24:53.520] な病院だ。ま、当たってみたらどうだい?
[01:24:57.159] ま、そんなもんかな。そんなもんかな。
[01:25:01.360] いや、待てよ。闇の開業委員のことなら
[01:25:03.920] あの医療薬のルートから分かるかもしれ
[01:25:06.480] ない。嫁に電話かけろつんだよな。神戸
[01:25:09.119] 薬下研究所ね。嫁が働いてるとこな。嫁に
[01:25:12.199] 電話します。
[01:25:17.719] もうごめんだ。これ気にしようや。
[01:25:21.440] 待てナポレオン。スナッチャーからは俺が守る。
[01:25:24.880] お互い狙われる身だ。スナッチャーには気をつけようや。あ、これやるよ。クリスマスプレゼントで。
[01:25:34.199] ハンダティシュか。
[01:25:35.800] じゃあな。メリークリスマス。
[01:25:41.520] ナポレオが帰ってしまいました。
[01:25:44.080] 仕方ない。奴がビビるのも当然だ。ま、聞きたいことは聞いたしな。
[01:25:49.719] ティッシュの裏に広告が書いてあります。
[01:25:52.880] これはアウターヘブンの広告じゃないか。あいつこんなことまでしてるのか。
[01:26:00.119] はい。オ林病院行きまなんか時折りセーブした方が良さそうだな、これ。マジで。ちょ、あの、フリーズされたらたまらん。
[01:26:25.920] 自動操縦なのにあの変な横のスティックは何なんだろうな。
[01:26:30.159] 2
[01:26:30.360] 本スティックあるけど自動操縦じゃねえのか。
[01:26:36.199] この緊張感とろ。
[01:26:39.119] いろんな意味で緊張緊張感ね
[01:26:43.679] ん。あ、間違えた。車乗っちゃって。
[01:26:45.080] ごめん。間違えた。
[01:26:52.360] トゥルルルルル
[01:26:57.440] 。
[01:27:08.239] ここは動物要因だったんだな。さっき見た
[01:27:10.119] けど。
[01:27:13.159] とりあえず相当で行くぞ。とりあえず
[01:27:14.719] 相当たりで戻し作業するとさっきんとこ
[01:27:16.880] まですぐ戻すからね。
[01:27:21.000] じゃ、これ全部こうやって当たってかない
[01:27:22.880] と次の選択肢が出ないんですよ。これが
[01:27:25.000] もう古典的なアクション、アクションじゃ
[01:27:27.239] ないや。え、アドベンチャーゲームなんで
[01:27:28.920] 。ま、それがいいんだけどな。それがいい
[01:27:31.600] んだけどやり直しってなると結構しんどい
[01:27:34.639] んだよ。
[01:27:36.600] やり直しっていうのは結構しんどいんだな
[01:27:38.719] 。
[01:27:41.199] あ、移動出た。オッケー。オリルり
[01:27:56.920] 。
[01:28:07.600] 倫理感のかけらもないこの改造動物たちね。生体改造済みハミングドッグ
[01:28:16.000] 再開なんか倫理感ない。
[01:28:19.199] せさんこんばんは。再開なんか倫理感ない出ましたね。おお。ポシェットペット。
[01:28:32.360] え、女性のバック剣ペットとして昨年大流行した幽体性の合成生物。それはそのシリーズのでしょ?なし。
[01:28:40.760] 海分クレジットなし。シークファントム海分。袋の中を怪我してるようです。ポシェットペットにはありがちな現象です。女性の化粧品がは服内を傷つけるようです。とんでもないよね、これ。お腹の中傷つけるぐらい女は何、あの化粧品をぶし込んだってことかかわいそうに。
[01:29:00.880] 女は化粧品となると目の色変えるからな。
[01:29:03.800] そういうこと言うから女性の心を傷つける
[01:29:05.639] んですよ。
[01:29:12.679] ちゃんと調べないと先き進めねえからな。
[01:29:23.040] てんてんてんてんてんてんルルルルル
[01:29:30.600] 。
[01:29:35.480] ま、ここはもうどうでもいいんだ、正直な
[01:29:37.040] 。
[01:29:38.960] ここはもうどうでもいいんだって。
[01:29:44.400] カチここでいいんだよね。私は死にません
[01:29:46.960] 。これ私は死にませんわ。さ、あのな、何
[01:29:50.520] だっけ?えー。
[01:29:53.040] 徹じゃん。ここでカチこでいいんだよね。何?何が元ネタなの?これ昔のドラマでしょ?これもこれ何が元ネタなの?カチこでいいんだよね。わかんない。元ネタがあ、うるさい。何?
[01:30:08.080] ATオリジナル?
[01:30:10.239] え、オリジナルなの?違うでしょ。なんかモテルダんでしょ?
[01:30:13.320] 東京ラブストーリー。
[01:30:14.639] あ、東京ラブストーリーの中のセリフでそういうのがあるの?アンティークトレンディドラマの略です。
[01:30:20.960] 全盛紀に流行ったドラマが再放送されてん
[01:30:22.840] ですよ。なるほどな。
[01:30:27.480] この辺りでスナッチの噂を聞いたことは
[01:30:30.880] ないですよね。
[01:30:42.679] んくせえ。
[01:30:47.400] うーん。
[01:30:50.280] 臭いねんかしよってセリフがある。
[01:30:53.760] 臭いね。何それ?どんな、どんなセリフれ?どんなセリフそれ?神、
[01:31:04.320] どんなセリフれ?東京ラブストーリー全然見たことないけど。見たことない。
[01:31:12.360] そのええ走らん。笑笑
[01:31:20.360] あ、そうなんだ。まあ、でも多分さ、このこのゲームはなんかその昔のドラマみたいなこと言ってるけど発売当時のあれはその当時やってたドラマなんだろうな。多分な。
[01:31:42.360] でもさ、そんなさ、新しいドラマ、これ
[01:31:44.280] 当時からしたら新しいドラマのセリフをさ
[01:31:46.480] 、早速ゲームに入れるって相当あれだよな
[01:31:49.560] 。相当緩いよな。世界、あの、なんて言う
[01:31:52.159] んか、その著作権とか
[01:31:55.360] 今怒られるもな、そんなことしたら。
[01:31:59.239] ローラローラ、レオやめて。全くなんて
[01:32:03.040] ドラマ見てたんだ。1991のマあだって
[01:32:05.880] これが1992だからね、このゲーム出た
[01:32:07.719] のは。へえ。
[01:32:13.159] もう全部見たよ。全部見ましたけど。
[01:32:18.880] え、全部見たんだけど。
[01:32:30.239] ん、まだなんかダメか。
[01:32:34.480] ああ、この辺聞いてないか。ああ、ごめん
[01:32:36.880] 。聞いてなかった。聞いてなかった。
[01:32:38.080] 新しいの出たわ。
[01:32:42.239] この病院は違う。あ、
[01:32:43.360] スナッチャーは犬を嫌います。とてもここがスナッチャーのメンテナンス病院とは思えません。な
[01:32:49.760] んで犬嫌うんだろうな。ロボットもそうだ。
[01:32:52.080] 間違ったようだな。操作は振り出しに戻ったというわけか。
[01:32:56.560] 悲観しないでください。操作はこれからですよ。トライサイクルに戻りましょう。
[01:33:01.800] はい。で、嫁さんに電話してみようかってとこだな。オ林病院か。
[01:33:11.880] 残念ながら違いだったようですね。
[01:33:14.440] ああ、そういうことか。中学でバレちゃうからってことね。で、犬が苦手なんじゃなくてバレるのがやだってことか。
[01:33:39.800] じゃあちょっと嫁に電話してみよっかな。
[01:33:49.440] さっきどこでフリーズしたんだっけ?嫁に
[01:33:51.320] 電話し終わったところで
[01:33:54.239] フリーズしたんだよな。あのビデオ通話の
[01:33:56.560] 画面で。
[01:34:02.719] 本当はこういうところの話もちゃんと聞い
[01:34:04.960] ていきたいんだけどな。
[01:34:08.760] 時々不安になるんだ。明日はこうして君の
[01:34:11.159] 顔を見られないのかもしれないってね。
[01:34:13.159] バカね。大丈夫よ。嫁さんがい
[01:34:16.159] るっていうのに
[01:34:21.800] 持ち金でも見せてみようかな。
[01:34:24.920] 冗談マジなら怒るわよ私。何が何お金は
[01:34:28.159] 見せるだけでなんでそんな怒ってんだよ。
[01:34:30.760] 私贅沢な女。私と付き合うにはお金が
[01:34:32.960] かかるわよ。なんでお金見せるだけで見せ
[01:34:36.719] ただけだろうが。
[01:34:43.920] これで買おうとしたのかな?お前をこれで
[01:34:47.119] 買わせてくれ。
[01:34:49.639] え、さすがに覚えたよ。番号39の
[01:34:52.360] 3444
[01:35:11.520] もう見たねん。これもさっき
[01:35:14.480] 驚いたでしょう。これはビデオテープです。
[01:35:19.000] 私今は外出中です。
[01:35:21.199] この嫁さんめっちゃ美人だよ。ネ
[01:35:23.239] 神戸薬下研究所
[01:35:25.440] 3級の19までご連絡ください。
[01:35:28.280] めっちゃ美人だね。
[01:35:29.639] どうも驚かしてごめんなさい。
[01:35:31.920] バイ。
[01:35:33.560] 美人のバー出た。
[01:35:34.760] も金髪だし。
[01:35:36.119] なんでなんでしかも金髪のに金髪ま金髪人はいいよな。
[01:35:42.080] 笑笑ダブル
[01:35:43.639] 美人のバーいよね。
[01:35:45.440] バイ。
[01:35:49.119] しかも金髪だし
[01:35:52.080] 。そこ結構そこが重要なんだな。金髪金髪
[01:35:55.679] なのが39の1009だな。
[01:36:01.679] オ胸
[01:36:13.119] だろお前。はい。ネ神戸見です。
[01:36:15.719] 他の男に誘ってんじゃねえの?
[01:36:17.440] ギリア
[01:36:18.199] 村元開けすぎだよ。ルルルルルル。この曲も好きなんよ。この曲も好きなんよ。ジェミ君と離れて暮らしてみてわかったんだ。俺の記憶を失う前の君との記憶は戻りそうもない。しかし俺の君への思いはギリア
[01:36:40.280] ど森で聞いたことある。
[01:36:42.080] え、この曲ねえよ。ねえだろ。実はスナッチャーがあのキッドマンみたい。
[01:36:50.560] ニコールキットマンでもね、なんかね、これね、あの元ネタトあるんだよ。キャラクターの顔も。なんか映画のなんだっけな。なんか元ネタあるよ、この人も。そのね、このキャラクターのデザインもなんかね、元ネタる。うん。
[01:37:06.040] ギリアンなんかもろあのなんだっけ?あの
[01:37:12.400] あのなんだっけ?ブレードランナーのなん
[01:37:15.040] とかシルなんだっけ?なんとかデッカード
[01:37:17.719] 。うん。顔そのまんまだし。
[01:37:22.040] イリアンいつでもいいわ。私にできること
[01:37:23.800] な。このこの人もなんか映画の元ネタが
[01:37:28.119] あるらしい。で、ジェミミーっていう名前
[01:37:29.760] もな何だっけな。なんかの映画の
[01:37:32.520] バイオニックジェミーっていう
[01:37:34.000] キャラクターから撮ってるらしいよ。俺は
[01:37:36.360] 全然わかんないけどね。そのあれは
[01:37:40.040] その元の映画はわかんないけど。
[01:37:54.000] 大林病院。ああ、犬、犬猫病院でしょ。
[01:37:59.280] 見てると素晴らしいものを作れるんやね。
[01:38:01.520] ま、そうなんだな。すごい。だから映画っていうものをゲームに消化させた
[01:38:05.800] 1
[01:38:05.960] 番最初の人かもしんないよな。映画っていう映画のエッセンスをゲームに消化させたのはもう小島監督だろうな。
[01:38:13.119] 1
[01:38:13.239] 番最初は今はもうどんなゲームでもさ、ほぼほぼ映画みたいなゲームじゃん。ムービーがあって
[01:38:26.760] すげえや。ブレードランナー見た?
[01:38:29.000] ブレイドランナー見たよ。うん。見た、見
[01:38:30.360] た、見たけど、あの、やっぱ俺最初この
[01:38:35.320] スナッチャーが好きで、じゃあその元の先
[01:38:38.440] 見てみようかなと思って見たんだけど、
[01:38:40.040] やっぱりね、その良くも悪くも昔の映画
[01:38:43.360] すぎて多分俺みたいになんかその、いや、
[01:38:47.760] めちゃめちゃ奇粋の映画好きか俺みたいに
[01:38:51.480] スナッチーのあれを楽しん、モデレーター
[01:38:54.159] を楽しんで見る以外じゃなかったら多分今
[01:38:56.520] の人たち見んのきついんじゃないかな、
[01:38:57.960] あれ。
[01:38:58.560] ま、名作ではもちろん名作映画だし映画好きの人からしたらこんなこと言ったら怒られるかもしんないけどね。ま、古い映画だね。古くて多分今見ても多分みんなは多分なんかその
[01:39:08.800] 分かる
[01:39:09.480] なんかちょっとものなんつうか古さが否めないやっぱりまでもあの最近になって
[01:39:15.239] Netflix
[01:39:15.920] ねあのブレードランナーなんだっけ?
[01:39:18.040] 20
[01:39:18.880] なんだっけ?なんかその続編出たんだよね。オリジナルドラマみたいな感じで。そっちは面白いかもな。
[01:39:24.199] その昔のそのブレードランナーの映画のぞ
[01:39:26.920] 、何十年後かの世界のなんか話が出たんだ
[01:39:30.280] よね。そっちまだ見てないけど俺。でも
[01:39:33.440] このゲームやった後にブレードランナー見
[01:39:35.960] たら確かにうわ、めちゃくちゃ
[01:39:39.159] 小島監督めちゃめちゃパクな色々。パク
[01:39:42.119] るっていい意味でね、オマージして
[01:39:47.360] 俺がさ、ゴズリングのやつ
[01:39:49.159] 俺がさめわかんない。そうなんだ。ごズご
[01:39:57.080] なんかその俺がめちゃめちゃかっこいいっ
[01:39:58.560] て言ったらオープニングのさ、ネオ神戸
[01:40:01.320] シールの夜景とかあれまんまあの
[01:40:05.560] ブレードランナーだもんな。
[01:40:11.080] なんかね、ブレードランナーって結構でも
[01:40:13.080] いろんな話出てくるんだよね。
[01:40:17.000] あの、俺のもう
[01:40:18.800] 1
[01:40:18.920] 個好きなゲームのさ、あの、ライフイズストレンジってゲームあるじゃん。ライフイズストレンジにもブレードランナーの話出てくんだよね。
[01:40:32.960] え、そうなん?で繋がるんや。
[01:40:35.639] そう。
[01:40:37.560] ブレードランナーで繋がってた俺の好きな
[01:40:39.280] ゲームはあの
[01:40:43.480] 、ま、これネタバレになっちゃうから
[01:40:44.599] あんま言わないけど、ライフイズ
[01:40:47.040] ストレンジでさ、あの相棒の女の子何て
[01:40:49.880] 言うんだっけ?黒エがさ、
[01:40:53.080] ま、過去に戻ったら黒エが大変なことに
[01:40:55.000] なっちゃってましたみたいなパターン時に
[01:40:56.719] あるじゃん。パターンというか、その、ま
[01:40:58.679] 、黒エがちょっと車に乗ってるところ、
[01:41:00.679] あそこで一緒に見てる映画がブレード
[01:41:03.199] ランナーなんだよな。
[01:41:14.599] 黒江が車椅スにま、そんなま、そういうこともあるんですよ。そういうこともあるんです。
[01:41:22.360] あ、
[01:41:28.400] 明日やろうと思って。
[01:41:30.320] 絶対嘘だ。絶対嘘だろ。
[01:41:37.199] さっきここでフリーズしたんや、さっき。あ、フリーズしなよかった。
[01:41:41.480] 笑かった。セーブしよう。
[01:41:43.639] 1回戻ってきたぜ。戻ってきた。
[01:41:46.239] 30分ぐらいで
[01:41:49.360] 取り戻した。
[01:41:57.719] ほんで、そしたらどこする?どうする?うーん、ちょっとおじさんに会いに行ってみるか。
[01:42:09.679] 砂とポリノどっちが好き?
[01:42:11.520] それ昨日も同じ質問されてさ、結局答えらんなかったんだよね。いや、でもギリギリなっちゃうかも。いや、ポリンスもめちゃくちゃいいけどね。
[01:42:20.520] 笑笑。ポリスノーツもめっちゃいいけど
[01:42:23.280] ギリギリあのどっちもゲームとしての点数
[01:42:27.560] は100点なんすよ。なんだけど扱ってる
[01:42:30.560] 題材がスナっちゃんの方が好き。俺は
[01:42:33.159] ポリスノてた宇宙の話じゃん。宇宙の話で
[01:42:36.159] なんかそのねもっと壮大な話なんだけど俺
[01:42:39.280] はこっちのなんか
[01:42:41.400] な何て言うのかな。Bこっちの方がB感
[01:42:44.639] あるやん。
[01:42:47.080] なんかバイオロイドが人を殺して川をかぶってとかなんかそういう方がなんか好きなんだよな。ポリスノーツはちょっと壮大すぎる話が
[01:42:54.960] の方がいいね。
[01:42:55.840] うん。俺は好き。いい意味で
[01:42:59.239] B
[01:42:59.520] 級。うん。おさん、俺やっぱりギブスンの代わりはできないよ。弱を吐くようなやつとは私は話さん。おさんドルジョンのメモリーは確かなんじゃ。
[01:43:16.400] 必ずこの病院を存在するに違いない。
[01:43:26.280] うーん
[01:43:30.320] と、とりあえずどうすればいいんだっけ?
[01:43:40.280] そんな病院聞いたことないわね。
[01:43:46.800] 私の調べたいの?それ仕事悪かった。言い
[01:43:50.280] すぎたよ。
[01:43:54.800] うーん。ちょっと移動してみる。
[01:44:06.239] あれどうすりゃいいんだっけな。
[01:44:23.239] あれ?どうすらいいんでしたっけ?これ忘れちゃった。忘れちゃった。どうすらいんだっけ?病院が見つからへんねんやけど。
[01:44:38.520] あ、うどん屋がありますよ。うど
[01:44:40.880] 飯でも食うか。
[01:44:42.040] あ、むいちゃん、こんばんは。
[01:44:42.880] は、開いてませんね。少し待たないとダメみたいです。
[01:44:48.440] 開きましたよ。開きました。いらっしゃい。いらっしゃい。う
[01:44:51.599] わ、俺初めて見る俺。これ
[01:44:52.880] 開いたみたいですよ。行きましょう。ただただた。何にしましょうか?
[01:44:58.639] え?これを4つくれ。
[01:45:00.119] あ、2つで十分ですよ。
[01:45:02.159] あ、いいや。4つだ。2
[01:45:03.719] つで十分ですよ。
[01:45:05.719] うどんも。
[01:45:06.800] ほら、分かってくださいよ。
[01:45:08.639] これさあ、
[01:45:11.080] やばに言われたっけ?よく食べるわねって。
[01:45:15.119] ギリアん早く食べていきましょう。ほら早く。
[01:45:20.040] これあれだな。あのブレードランナーの丸パくりだわ。丸パくりっていうかもうこれ全く同じシーンが出てくるわ。ブレードランナーにもこれ
[01:45:29.360] うん。ブレードがランナーした。
[01:45:30.800] これブレードランナーの1
[01:45:31.719] 番最初のシーンだよね。
[01:45:33.560] 2つで十分ですよってね。
[01:45:35.119] そのままでしたね。
[01:45:36.080] そのまんまだよね。今のね。初めて見た。今のゆけさんこんばんは。初めて見た。むいちゃんもこんばんは。
[01:45:43.800] 今日はね、スナッちゃーっていうゲーム
[01:45:45.520] やってんすよ。
[01:45:48.360] もう2度とネブ焼きは食わんからな。
[01:45:50.239] 初めて見た、今のムービー。へえ、そうの
[01:45:54.159] あるんだな。
[01:45:57.000] 今そのままだったよね。ブレードランナー
[01:45:58.719] ね。
[01:46:00.599] 2つで十分ですよ。分かってくださいよ。
[01:46:03.679] てね、なんか言うんだよな。日本語で。
[01:46:06.400] アメリカの映画なのに日本語で言うんだよ
[01:46:09.599] 。
[01:46:14.960] えー、ま、この辺のちょっと調べてみるか
[01:46:17.760] 。なんか起きるまで
[01:46:20.360] クリスマスセールで湧き返っていますね。
[01:46:22.560] スナっちゃのことなんか誰も気にしてない
[01:46:23.960] ようだ。
[01:46:26.480] ネオン感のイメージを表現した3Dが主流
[01:46:29.159] です。ふ、
[01:46:31.599] 本当にいろんなCMが流されてますね。
[01:46:33.800] もう役に立つようなCMはありませんね。
[01:46:40.119] みんなっちなことなんかまるで気にして
[01:46:41.719] ない。
[01:46:44.080] 大型モニターの前に大勢の待ち合わせの人がいます。うん。
[01:46:50.840] 年末の雰囲気が好き。
[01:46:52.760] いいよね。このクリスマスムードっていうのがクリスマスの時のクリスマスのお話ってのもまたちょっとおしゃれ。おしゃれなんよな。クリスマスの話ってのもおしゃれだよな。なんかね、クリスマスを題材にしたゲーム結構好きなんだよね、俺。
[01:47:12.560] たまたまだけど誰かが変なもの押してたぞ
[01:47:14.880] 。これもね、これもブレードランナーなん
[01:47:18.199] だよな。これもブレードランナーのセリフ
[01:47:21.520] なんだよな。タバコのスカイですよ。そう
[01:47:24.679] か。
[01:47:27.159] ブレードランダ見た後にやった方が絶対
[01:47:28.800] 面白いな、これ。本当にもネタが多すぎる
[01:47:31.480] 。
[01:47:33.599] どこ行こっかな
[01:47:38.440] 。
[01:47:39.199] 本部からの研究回転です。つぎます
[01:47:41.960] 来た、来た。どうもこんにちは。お、みかじん。
[01:47:44.800] ア、どうした?
[01:47:45.440] やっと捕まえたわ。
[01:47:46.400] どうした?
[01:47:47.000] さっきカトリーヌから電話があったの。
[01:47:48.639] あ、カトリーヌね。
[01:47:49.440] あなたに渡したいものがあるって。
[01:47:50.880] 娘ね。
[01:47:51.400] 渡したいものなんだろうな。
[01:47:54.760] なんだかひどく怯えていたわよ。アリスが吠えるって。
[01:47:59.520] いつだそれは?30
[01:48:01.239] 分ぐらい前よ。
[01:48:04.960] しまった。
[01:48:07.040] リリア急がないと。
[01:48:13.119] この曲も好き。
[01:48:15.560] この曲も好きだな。
[01:48:23.639] あとクリスマスのゲームって言ったらあれ
[01:48:25.599] だよな。あの
[01:48:28.480] リンダキューブとかもそうだよな。リンダ
[01:48:30.360] キューブもあれクリスマスの話でしょ。
[01:48:42.679] クリスマスか。
[01:48:44.440] ジャンジャックギブスンの家に着きました。どうします?ロックカトリーヌいかい?返事がありません。カトリーヌいかい?ないね。あれ?鍵がかかっていません。
[01:49:00.520] 何?
[01:49:09.119] 娘がいない。ギブスの今に入りました。
[01:49:12.159] カトリーヌ彼女はどこに?カトリヌ
[01:49:14.360] 見当たりません。心配になってきました。
[01:49:22.199] おお、だいぶ荒らされてんじゃねえかよ。
[01:49:31.199] あ、これは
