[00:00:31.199] おしゃ、毒。
[01:34:32.840] あの木取ろうぜ。
[01:34:35.600] 昔のブハスであのモア出てきたよな。
[01:34:38.400] 13万いいね言っててビビった。
[01:34:40.600] VHS
[01:34:41.119] ってあのあのモアでえ、何それ?知らね。
[01:34:44.679] 13
[01:34:45.239] 万いいね。何それ?すごいな。俺の逆り待ちは
[01:34:53.040] 13いねだったの?いや、嘘。持ったわ。
[01:34:56.880] 13ももらってない。3位ねとか
[01:35:00.400] 3位ねとかあったと思うけど
[01:35:06.560] 正直で偉い
[01:35:10.719] ランディは多分いいねしてくれたと思ったな。確かな。ランディ優しいからね。
[01:35:16.600] やバティの小山がいいねしただけで価値がある。
[01:35:19.400] そう、ヤバティの小山がいいねしたんでいやどうしようかなと思ってそれパクられて曲にされたらそしたら俺さすがにもらうよ。
[01:35:27.040] 作死権は下ね。
[01:35:38.679] 知らんけど。すごい。
[01:35:41.440] こいつどこに託するかによるんだよ。あ、地面食べちゃうまんなんだ。地面食べた食べおじさんなんだ。ここはもう回復しまくっていくしかない。こいつ強い。怒りのボスが一番強い。
[01:36:16.159] 強えな。
[01:36:18.560] どうしてもやっぱこいつだと長期戦になる
[01:36:20.760] んだよな。結構当ててるんだけど。えー、
[01:36:25.639] そえ。え、何そのルール?知らないよ。
[01:36:30.280] あ、
[01:36:33.480] え、ダメなん?
[01:36:34.480] 茶窓びっくりと
[01:36:43.000] ちゃまだリえん。
[01:36:46.520] 嘘でしょ?
[01:36:51.480] ちょ待て。
[01:36:53.320] ちょ待ってい。ま、まですか、それ?うわ、これめっちゃむずいぞ。
[01:37:04.800] 2段ジャンプなしで行くの?これ
[01:37:08.400] どっちが本物かわからんかった。
[01:37:10.880] ちょっに聞いた。
[01:37:14.360] ちょ、待って。
[01:37:23.520] いや、これ2段ジャンプなしは相当だよ。
[01:37:37.960] うわ、しかも
[01:37:46.760] しかもこれ転がりながらジャンプできるん
[01:37:48.400] だ、こいつ。それはちょっといいな。
[01:37:55.320] なんぜ。
[01:37:57.599] え、でもこれ助けいいだけの話でしょ。
[01:37:59.480] 助けいいだけの話だろ。これで勝って。
[01:38:04.080] うわあ、もうどうしよう。これで。いや、
[01:38:06.199] これキー取り行くか。
[01:38:08.599] で、キ鳥。いや、木取り行け。いや、
[01:38:11.719] やめよう。行っちゃおう。
[01:38:15.239] いや、もうここで助けたってえよ。これ
[01:38:19.679] あの下の穴には絶対ダめね。入っちゃもう
[01:38:22.480] 。いや、もうここもう金めっちゃ使う。
[01:38:25.520] あ、こいつもこれ以上は育たないんだ。
[01:38:27.280] オッケー。
[01:38:42.239] めっちゃむずいぜ。当てんのこれ。
[01:38:46.599] こいつのリーチでこのバスだるそう。
[01:38:50.920] だいぶだるいよ。ただ攻撃力が強いから。攻撃力強いから。危ない。入るなよ。危ない危ない危ない。
[01:39:12.400] え、まだ死なない。おい、危ねえ。怖ええ、怖ええ。
[01:39:21.599] ぐーぐ。
[01:39:27.119] 衝撃の仕様に呆然実質。
[01:39:29.239] ちょっと待って。
[01:39:31.599] 嘘でしょ?これなんで酔ってんねん。ちパち
[01:39:38.080] なんで弱ってんねん。
[01:39:40.480] え、あ、
[01:39:42.159] ゲチ、これ。これゲチ。まだこれ。
[01:39:54.880] この仕様えぐいな。捕まったら食格草。
[01:39:59.040] なんで酔なって帰ってくんねん。アメリカ留学した金肉君と一緒じゃねえかよ。アメリカに行ってガリガリになって帰ってくるっていう。
[01:40:11.000] ダブル
[01:40:12.199] 下地かよ。それガリガリになって帰ってきた。あいつアメリカ行ったのに
[01:40:17.560] そっくりの別人かもしれん。
[01:40:19.360] 本当だよな。本当にこれ本人か。
[01:40:23.760] あとこれで来ちゃったけど大丈夫かな?
[01:40:30.560] 待って待って待って。
[01:40:37.239] 待って。全
[01:40:44.719] あ悪くないぞ。
[01:40:50.000] 地味なんて地味な。いや、行けるしょ。あね、あ、あ、いや、もうさすがに頼むよ。
[01:41:10.560] 今日のゲームってこんな感じになるんやろうな。
[01:41:21.239] やばい。ちょっと、ちょっと、ちょっと、ちょっと。
[01:41:28.520] ガネージ者みたいやな。ダブル。
[01:41:52.920] まだ入った。オッケー。危ねえ。危ねえ。危ね。よかった。パターン見つけた。パターン見つけた。危ねえ。
[01:42:06.360] うう、危ねえ。うわ、パターン見つけたな。
[01:42:19.920] こいつも初化されるんやろうなって思ってた。
[01:42:23.719] いや、よかったよかったよかった。
[01:42:26.719] これでまだ4割という事実。
[01:42:31.239] 嘘でしょ?あ、一応これさ、見といていい
[01:42:34.960] ?
[01:42:39.960] 腹ラっぱルーインズ。オッケー。
[01:42:45.480] うわあ、しめった。
[01:42:50.000] くんくん。この遺跡は女なんだそれ?女の
[01:42:54.480] 匂いがするぞ。誰もいないぜ。変なこと
[01:42:56.480] 言うねよ。
[01:42:57.000] でもなんたら絶対どっかにくんくん何?
[01:43:00.960] 任せなさい。早く行けよ。怒ってんじゃん。女の匂いがいるって。
[01:43:05.599] また稼ぎ場所見つけないと。
[01:43:07.480] そうだね。ここちょっとちょっと
[01:43:14.840] どんな匂いだろうか。
[01:43:19.040] どんな匂いなんですかね?女の匂いってわかんない。
[01:43:22.520] 何?
[01:43:24.320] え、
[01:43:26.960] いやいやいやいやいやいやいやいや
[01:43:31.000] 待って待って待って。ああ。
[01:43:35.960] ちょっと待ってください。
[01:43:38.000] ちょっと待ってくださいよ
[01:43:39.560] 。それはちょっと聞いて聞いてないです
[01:43:42.840] やん。それはそれは聞いてないですやん。
[01:43:47.800] ビッドいや、これ終わりやん。
[01:43:51.599] いや、これ終わりやん。
[01:43:53.080] これパスワードリセットした方がいいんじゃね?コイン回収入ります。いや、
[01:43:58.280] 長クラブもいますと。
[01:44:03.520] ちょっと違うとこ行こう。ちょっと違うとこ行く。なんかコイン稼げそうなとこ行く。
[01:44:13.920] ゲチな。
[01:44:15.119] 下だよ、これ。
[01:44:18.760] 女の匂いで浮かれて死亡。
[01:44:22.920] またむそうだよ。またむずそうだ。え、やる気はあります。なんでコインが全然初期地にねんだよ。
[01:44:40.199] 巨乳じゃなくて巨がに挟まれ脂肪。
[01:44:43.679] 巨乳に挟まれてえな。俺もな。
[01:44:49.639] うわ、
[01:44:57.960] BGMいいな。
[01:45:04.920] 自分で挟んだことはあるの?挟めねえそうだな。自分の群れはピ
[01:45:12.880] 無理。いいね、この曲ね。さすがに無理。
[01:45:16.639] ドラゴンクエスト6
[01:45:17.840] の塔とどっちが好き?な
[01:45:19.639] んだっけ?ドラドラゴンクエスト
[01:45:21.280] 6の塔って何だっけ?やっ忘れちゃった。
[01:45:23.880] なんだっけ?え、なんだっけ?え、
[01:45:27.320] 30-40cm
[01:45:29.520] あったら届くんじゃね?デレデ
[01:45:33.840] デレデレてデレててレてレテレてレ
[01:45:49.000] デレデよく出たね。デレデよく出たよな。
[01:45:54.199] これ右側稼ぎスポットっぽいな。
[01:45:56.400] ちょっと待って。ここ稼げたらでかいよ。ああ、さすがにね。
[01:46:02.679] ラーの鏡使うとこね。
[01:46:04.159] さすがにね。
[01:46:05.480] そうそうそう。さすがにな。
[01:46:15.320] BGMめっちゃいい。
[01:46:22.159] これさ、全部岩落としてくんじゃね?あ、だとしたら
[01:46:26.599] 1個そこ積んじゃったな、そこ。
[01:46:28.960] さすがキぬよ。
[01:46:30.800] さすが木はすげえな。山下よ。すげえぜ。やっぱりドンデドデンデドデンデドン。めっちゃ
[01:46:49.639] BGMいいな。本当。この曲。
[01:46:51.000] この曲ってか、このこのゲーム全部良くない?
[01:46:53.320] BGM
[01:46:53.760] 今んとこ曲数は少ないけどめっちゃいい。うわあ、
[01:47:00.599] 足りんかったわ。キぬ予さすがにな。あべ。いや、取んない方が良かったんじゃない?これやべ。いや、さすがにさすがに待て。
[01:47:20.040] さすがに待って。いや、全然金たまんねえよ、こんなん。
[01:47:29.000] 怖すぎ。あぶねえ。いや、どっかでお金稼げるポイントがあればさ、正直さ。あ、なるほど。一旦ここでリセットしろってことか失敗したらなるほどね。ちょっとここ
[01:47:44.360] キーボードの触り方が年の小室みたい。
[01:47:47.960] え、キーボードの触り方。
[01:47:55.480] 笑笑。やばい。やっちゃった。
[01:48:08.040] やってもた。
[01:48:10.280] 邪魔だりえん。
[01:48:12.679] やってもたなあ。
[01:48:15.040] てもた
[01:48:17.320] てもたな。
[01:48:19.040] 小室に気を取られ。
[01:48:22.280] これは手もたで手もたなあ。間違えた。
[01:48:28.880] 曲は初代悪魔白ドラキュラの作。そうそうそうそうさんいいよね。
[01:48:35.599] てもたな。まあでもぶっちゃけぶっちゃけこれあのキーボードであのあの何?パスワードで復活しても調味変わんないからあれでもあれか初期地なのか。全部空っぱになっちゃった。
[01:48:48.920] これ間違えるとリセットするしかねえんだよ。間違えるとリセットするしかねえんだよ。
[01:48:57.520] 空っぱ
[01:48:58.560] カラっパになっちゃったよ。え、なんだっけ?ラッパ。ラっパ。
[01:49:04.199] まだズルツールは使ってないんですか?
[01:49:07.480] ん?ズルツール。いや、ズルツールね。肉さんこんばんは。あのね、あのね、これね、前回思ったんだけど、ズルツールあんまずるくないよ、これ。
[01:49:17.960] あんまずるくないんだよ、これ。実はずル
[01:49:20.159] ツール。あの、昨日ね、あの、
[01:49:21.800] グラディウス2を後ろにさして、あの、
[01:49:25.159] コンティニューできる状態にしたんだけど
[01:49:26.560] 、コンティニューしても、あの、なんつう
[01:49:28.760] の、パラメーターがね、初期地にリセット
[01:49:31.360] されるんだよ。だからね、意味ねえんだよ
[01:49:32.960] ね。ぶっちゃけ意味
[01:49:34.639] ねえんだよ、ぶっちゃけ。だから、これ、
[01:49:36.239] あの、普通にここから、あの、あれした方
[01:49:38.520] が早い。早いか、変わんないんだよね。
[01:49:42.639] いや、ここから
[01:49:46.040] 残念。
[01:49:47.679] そうなんだよ。だ、本当にずルしたいんだったら
[01:49:49.960] よっぽどずる。
[01:49:50.880] 本当にずルしたいんだったらあのでもするか
[01:49:54.040] あのフルフロッピーディスク買ってきてフロッピーディスクにあの
[01:49:59.199] 10
[01:49:59.400] 倍カートリッジでセーブすれば丸ごとセーブできるからでもフロッピーディスクってどこに売ってんの?今のは
[01:50:05.840] 7年。この
[01:50:08.599] 7
[01:50:08.840] 年にしてどこでフロッピーディスって買えるんだよ。
[01:50:12.000] カのフロッピーディスクなんかもうどこにも売ってねえだろ。
[01:50:16.760] 意外と電気屋にあるんじゃないの?
[01:50:18.520] え、あるのかな?未だに。え、どうしよ?一服してきていい?ちょっと
[01:50:22.199] 秋場ま秋場に行けばあだな。ちなみにさ、ここ足おっそ。まジかよ。
[01:50:30.080] アマゾン
[01:50:31.480] Amazonあるかな?ま、あるか。
[01:50:34.880] BGMめっちゃいいっ。
[01:50:36.560] うわ、めっちゃ稼げるけどここで。
[01:50:43.360] 1服でも2服でもしてきていい。
[01:50:45.000] 今だとネットオークションとかですかね。
[01:50:47.239] あ、そうなんだ。
[01:50:47.880] フロッピーマジでくれる。
[01:50:49.840] 今令和8じゃぞ。
[01:50:52.079] 2300円に売ってるよ。
[01:50:54.639] あ、嘘売ってるんだ。え、じゃあ買おうかな。あ、でも
[01:50:59.360] MDX
[01:51:00.000] 送ってくれるって言うしな。ただでもらえるし。
[01:51:02.599] いいですよ。なら準備して発想。
[01:51:05.320] ありがとうございます。だきます。
[01:51:07.920] ほら、やっぱ持つべきものはリスナーよな。
[01:51:10.800] うお、ゲッス。
[01:51:15.239] え、なんで着払いでせめて着払いでいいすよ。着払いでお手数をら用意しなよ。ラーメン
[01:51:23.280] ラーメン奢んねえとな。またジパング奢ってあげるから。
[01:51:27.079] 当たり前が。
[01:51:28.079] おあ、待って。ここ待って。見て見て。ここ
[01:51:31.360] 20円回復してる。
[01:51:32.880] 回復してるけどさ、このリフトを必ずこすっていう自信ないわ、俺。あそこ
[01:51:39.840] 20円稼げるけど、あのリフトを毎回必ず
[01:51:44.679] 死ぬて
[01:51:45.480] 死ぬよね。絶対ね、ずっとやってたらね。いや、さすがにそれはちょっと無理だわ。
[01:51:53.280] 入りすく入りたン
[01:51:54.639] なあ。
[01:51:56.639] え、え、これどうすんだこれ?え、え、え、どうすんだこれ?え、
[01:52:05.320] レトロゲーマーの発言とは思えんな。
[01:52:08.520] 何が何が何が
[01:52:10.960] 何がよ。
[01:52:13.719] え、なんでさす
[01:52:24.679] 1回も1回も成功しないんかい?
[01:52:28.520] ダブルさすがに。笑笑
[01:52:31.360] 1
[01:52:31.480] 回も成功しないんか。
[01:52:32.920] 笑笑
[01:52:34.360] そり到底無理だわ。そら底無理よ。
[01:52:40.520] 頼りねえの。
[01:52:43.599] あのさあ、
[01:52:46.400] あのさあやな。ほんまにこれ。
[01:52:52.040] いや、これがさ、当てんのめっちゃむずい
[01:52:54.119] んだよ。
[01:52:56.760] 全然当たんねえし。
[01:53:00.560] いや、これ無理だよ。そろそろ真面目に
[01:53:04.440] やってもらって。
[01:53:05.599] 真面目真面目大真面目よ。いや、どういてくれな。行かれへんって。え、お前から来るの?
[01:53:17.679] はしごで回転するのすげえな。
[01:53:19.719] 本当だよな。どうなってんだこれ。待って待って待って待って待って待って待って。ジャンプ。
[01:53:42.760] このさ、ルデルデルルデルルのさ、ニクニクニクニクみたいな音良くない?これさ、あたこ無視して進むしかねえ。
[01:53:58.239] リーチレ
[01:53:59.639] リーチが0なのよ。
[01:54:04.520] ちょ待って。
[01:54:20.000] いや、ジャンプ力低いよ。ほほほ。
[01:54:23.920] ちょっと待ってよ。ちょっと待ってよ。
[01:54:36.440] もうおつやモードだね。これも無理だと
[01:54:38.800] 思ってるやん、みんな。あ、これ行けへん
[01:54:40.960] のやろうなって思ってるよね。俺も思っ
[01:54:43.040] てる。俺も思ってるよ。だが粘る。だが
[01:54:46.599] 粘る。スピードも上げちゃう。
[01:54:50.440] おつやでだよ。
[01:54:57.000] このさ、鳥が
[01:55:04.040] 見よ。クリアしたるからな。クリアしたん
[01:55:06.440] ねん。
[01:55:09.719] ジャンプ力がこれ。え、なんで落ちた?今
[01:55:13.400] な。
[01:55:16.000] 頑張れ頑張れ。
[01:55:18.599] タバコすぎ来て。
[01:55:21.079] ちょ、これ死んだらタバコ吸わせて。もう無理や。イライラして。イライラして。手が震れてきた。ほう。
[01:55:32.920] プカプカ。
[01:55:34.320] プカプカしてきていいか?ちょ、これむずいねん。このこうしてこう。こうしてこう。で、マジでシャス
[01:55:48.040] BGM全局神局だな。
[01:55:53.960] めっちゃ好き。この曲。危な。気をつけて。
[01:55:55.880] ジムがもいますと。ムがあのドランクドラゴン司の本名ね。つかジムが
[01:56:09.360] うスのケストラ行きたい。
[01:56:11.679] 絶対ねえだろうな。でもなんかそのコなミのレトロゲームのさ、オーケストラとかやってほしいよね。
[01:56:18.239] 1作品に限ったら無理だろうけど。お疲れ。
[01:56:21.920] エアム。お疲れちゃん。またこ
[01:56:25.119] れまたむずいよ。これ
[01:56:31.239] やってるね。
[01:56:32.360] やってますよ。ドンドンドン。
[01:56:46.880] いや、ムジ。これジャンプ力が低すぎて。ちょ待って。マジで待って。ここマジ
[01:56:59.280] お2キルじゃん。ブグム良すぎか。
[01:57:02.960] いや、ブムマジでいい。本当にこのここのブグムやばいよね。一番好きかも今んとこ。
[01:57:14.040] これドラキュラでもそうだけどコナみって
[01:57:16.360] なんかこういうね、なんかピラミッド
[01:57:18.040] みたいな曲すげえいいんだよね。
[01:57:22.079] ピラミッドみたいな曲ね。すごいいいのよ
[01:57:24.119] 。てかここ行け。ちょっと待って待。
[01:57:29.840] さすがに下手すぎるって。
[01:57:31.679] インド風というか。
[01:57:32.840] そう、インド風の曲めっちゃいのよ。
[01:57:35.440] 無理じゃん。笑。
[01:57:36.760] 届かなくない?まず物理的にジャンプ力なきゃダめだったんだ。
[01:57:42.560] 満できないよ、これじゃあ。
[01:57:44.040] いや、これジャンプ力が足りなすぎるって。
[01:57:47.320] ここで3時間あるな。
[01:57:49.040] あるよね。マジで今全然今じゃないし。あ、来た。あ、よしよしよしよしよし。およしよしよし。あ、なるほど。
[01:58:05.320] ここでこれやるんだ。うわ、これ2段
[01:58:08.520] ジャンプあったらすぐなのにな。
[01:58:15.040] しかもここ早く行かねえと。
[01:58:18.560] あれ閉まっちゃうってことだよね。いや、
[01:58:20.159] ここそ相当むずいぞ。ここうま下手くそだ
[01:58:24.159] 。
[01:58:32.800] ちょっとさ、ちょっと、ちょっと。
[01:58:34.880] ちょっと、ちょっと、ちょっと、ちょっとやだよ。物理的ジャンプ届かないって。
[01:58:47.920] ちょっと男子い。ドンドンドン。いや、なんかそのノックバックでうまいことノックバックでいけね。
[01:59:01.920] うまいことノックバックでだってここ
[01:59:04.639] 明らかに距離た。これ無理だろこれ。
[01:59:09.880] ええ。
[01:59:19.679] え、
[01:59:22.199] いや、無理だよこれ。
[01:59:25.239] え、え、
[01:59:32.079] あ、あ、あ、今行けたのに。今行けた。あ
[01:59:34.599] 、分かった。あっちから、あっちから乗る
[01:59:35.920] のか。
[01:59:38.880] あっちから乗るんだ。こっから。あ、
[01:59:41.599] こっちからか。
[01:59:51.719] いや、違うよな。
[01:59:56.920] ここだよな。あ、今行けそうだな。
[02:00:01.079] い、これ絶対乗れないって。絶対乗れるん
[02:00:05.760] です。
[02:00:07.639] 乗れたわ。ごめん。乗れました。乗れない
[02:00:11.480] よ、ここ。絶対乗れないよ、次。
[02:00:21.599] あ、分かった。
[02:00:22.960] 地近づいてきてる時に乗るんだ。
[02:00:25.800] 乗れたり乗れなかったりしろ。
[02:00:27.719] こういうことね。あ、全然こういうことじゃない。
[02:00:33.040] 膝が痒くなってきた。
[02:00:34.840] なんで?ちょっと待って。
[02:00:50.639] これ
[02:00:58.760] ちょ、もう
[02:01:02.520] 無理ですよ、これ。もうぶっちゃけ
[02:01:18.880] おは
[02:01:20.920] 。おは。
[02:01:29.159] どディ。
[02:01:31.599] お猿のところジ常ジパクパク
[02:01:34.800] おああ
[02:01:36.040] 得て大やけのジもイライラするよってイライラするねえ乗れへ
[02:02:03.599] いや、もう乗れへんよ、これ。
[02:02:32.639] 虫が絶妙に邪魔。うん。もうこれジャンプ力強化してくる前提だからさ。ここさ、こんなとこでゲームオーバーになってたらさ、終わりなんだよね。
[02:02:44.800] 雲無限脇き
[02:02:46.199] そうなんだよ。
[02:02:49.880] 見てるだけでいいなります。
[02:02:51.960] ヤになるだろ、これ。マジであ、もうやだ。もうやだ。
[02:03:00.320] え、あ、
[02:03:06.159] 大パンしてく。雲で死んだ。ああ、た、
[02:03:11.520] 雲だ。はい、お疲様でした。タバコ吸ってくるわ。ちょっとタバコ吸わせてください。ちょっとこれ無理や。
[02:03:18.119] ほんま好き。
[02:03:19.480] これ無理やで。こんなあかん。こんなあかん。こんなあかん。
[02:03:30.000] やだ、やだ、やだ、やだ、やだ、やだ。一服しますと。一服させていただきますと。な、
[02:03:37.800] 5分休憩でいいわ。
[02:03:48.639] バグって超エコかかるんだけど。笑。
[02:04:06.159] 攻略が通り民でね。
[02:04:25.639] うしろ。
[02:08:07.719] うあ。
[02:08:08.960] お化け。
[02:08:10.920] おら、やるぞ。いや、む、むずない。
[02:08:37.199] ヤニア抜き。
[02:08:39.400] ああ、ヤニア抜き。なんかありそう。
[02:08:46.280] なんかそういう
[02:08:47.880] 少女少女向けのゲーム。ヤニア&amp;抜き
[02:08:52.599] さ。やりますぜ。これどうする?コンティニューする?
[02:09:05.639] とグラヤニア抜き
[02:09:07.639] ねえ。これどうする?それヤニと抜きだろ。
[02:09:11.520] ここはどうするこれ?最初からなんか最初からやっても変わんねえんじゃねえか。いやでもどいやあかな。なんだっけ?腹っぱルーインズだ。
[02:09:26.199] 吸って太郎抜いて太郎。
[02:09:29.199] 何?
[02:09:31.599] オ、
[02:09:36.280] 稼げるとこねえかな?
[02:09:41.320] お仕事。
[02:09:49.400] もう稼ぎポイントで妥協しなくなった。
[02:09:51.880] いや、それだってだってこれ無理よ。稼が
[02:09:54.360] なきゃ。あ、これがここなんか。
[02:09:58.000] 稼がなきゃ無理だよ、これ。申し訳ないけど、また地獄の稼ぎが始まるぞ、これ。
[02:10:07.400] 世の中金だよ、金。
[02:10:08.800] そうなんだよ。世の中ね、金か金顔かお金なのよ。だっけなんだっけ?なんか買分あったよな。買分あったよな。買分世の中で金か金かお金なのよみたいな。
[02:10:22.159] あ、なんかったっけ?足音
[02:10:31.599] 世の中ね、顔かお金かなのよ。
[02:10:33.800] ああ、顔かお金かなのよ。反対からの読んでも世の中金かお金かなのかなかなか。そう。
[02:10:43.400] 声優さんが3秒で思いつきそう。
[02:10:45.880] もう声優さんはこんな思いつかない。逆に簡単すぎて。
[02:10:51.320] 撃ててもねえし。新聞士。
[02:10:57.239] 笑笑。
[02:10:57.880] 落ち着いてやれよ。
[02:10:59.440] すみません。もたざる物すぎて涙が止まりません。な
[02:11:03.440] んでそれもたざるものすぎて。
[02:11:10.599] いや、これさ、ここ20円もらえたりし
[02:11:13.040] ないんかな?ここの20円稼げたりしない
[02:11:15.840] ?えー、もうなんか奇跡的に大丈夫だった
[02:11:19.119] 。
[02:11:20.920] もうひどすぎるよ、それは。
[02:11:24.639] それはひどすぎるよ。
[02:11:30.599] どうか稼げねえか。うわ、そこ稼げんの?
[02:11:35.880] でも無理だよね。でも無理だよね、この
[02:11:38.559] 20円。
[02:11:41.480] ちょっと時間かかるよな。
[02:11:52.320] いや、さすがに無理か。
[02:12:00.239] おはムセックス
[02:12:02.599] 。おセピアメトイヤキ。カミング
[02:12:04.360] ありがとう。
[02:12:06.360] 何?何?ワゲーム?ああ、ゲーム。うス。
[02:12:10.280] うス。
[02:12:12.400] コナミシス
[02:12:14.440] っていうゲーム。スゲームネムイズウシス
[02:12:19.159] もうバカだから。もう高卒高卒なんだから
[02:12:22.000] 。英語なんかできねえよ。
[02:12:26.480] お
[02:12:29.520] うしす。
[02:12:34.320] ああ、だめか。
[02:12:44.679] X波の自動翻訳欲しい
[02:12:46.719] なあ。それ実装してほしいよね。確かに配信でそれあったら神だよな。
[02:12:52.360] 4
[02:12:52.599] 文字変えるとシス。そ
[02:12:55.159] 4
[02:12:55.360] 文字変えたらそれそうだろ。大体そんな当たり前。
[02:12:59.559] 4文字のもの全部4文字変えたらそうだ。
[02:13:02.880] あはアせコみリッド
[02:13:06.280] A
[02:13:06.800] ロットオフガメスフォアテムスックスアイレセントリープライエドバムピレキッレアラストモンスアイットワスハード
[02:13:20.719] イエス
[02:13:21.440] ええ
[02:13:23.480] ええなんでここジャンプできねえんだよええ
[02:13:29.679] まジか、
[02:13:34.400] マジか。へえ。
[02:13:41.320] それな、
[02:13:43.320] あのね、本当にね、チまゲームの配信にね、外人にね、あの、定着しないのはね、マジでね、こういう扱いをされるから。
[02:13:52.159] 多分たまにね、なんでここバグって
[02:13:54.400] ジャンプできねえんだけどなんで
[02:14:00.360] 全然そのなんか頑張って翻訳しようという
[02:14:03.880] あれがないからな。ねえ何ここだけ
[02:14:05.920] ジャンプ力なんか低くなんの何なの
[02:14:13.239] 方もいます。ま大体大体そういうの
[02:14:16.520] はめちゃムックスにゲーム出したよな。
[02:14:19.360] 先月バンパイアキラーやったけどむずかったわ。バンパイアキラーめっちゃむかったわ。
[02:14:25.960] そうやって言ってんだ。ヴンパイアキラーって何?ヴンパイアキラー?え、なんだ?バンパイヤキラーって何?あ、ダメージ食らうんかい?
[02:14:40.000] 7
[02:14:40.360] 万するやつ。
[02:14:41.599] それはね、MSXじゃないよ。
[02:14:43.199] 分かって。
[02:14:44.880] それは分かるだろ。
[02:14:45.800] の海外名かね。
[02:14:47.239] 多分そうだね。バンパイアキラーってん
[02:14:49.800] だろう?悪魔女ドラキュラの海外名。それ
[02:14:51.880] キャッスルバニアだよな。でもな、
[02:15:00.679] あの7万するやつはメガドライブのやつだ
[02:15:03.239] よな。
[02:15:11.280] いや、ど、あぶなどっか稼げねえか、これ。
[02:15:15.040] 無か。
[02:15:17.320] ここ稼げたりしない?10
[02:15:18.639] 円。いや、マジで
[02:15:26.520] BGMいいな。
[02:15:35.440] このさ、キュンキュンキュンキンキンキンキュンって音分かる?めっちゃ良くない?イエップバムピレキレアット
[02:15:48.280] s
[02:15:48.840] ムスックスバージョンオフカストレアセス
[02:15:54.079] A
[02:15:55.400] ラテアフテアフィアストカレありますよ。僕も持ってます。
[02:16:01.639] フア。
[02:16:02.239] MSX
[02:16:02.800] 版悪魔術ドラキラ。これね、これもまたおもろい。違うんだよね。ファンビコン版と違うんですよ。
[02:16:08.719] お、
[02:16:09.280] ファンビコン版と違うんだよ。俺はコナミのあのコナミマニアだからな。で発売された
[02:16:20.559] 86年の悪城。悪
[02:16:23.079] 悪城。お前悪城ってひどい。ひどい。えっと
[02:16:28.040] ひどい。5時だね。悪目城
[02:16:30.480] イエスやっとs
[02:16:32.280] ておねヤンクスほアショウングちゃまさんおっほ
[02:16:38.160] 悪魔城悪魔城ああ騙されるなよ危ねえここの
[02:16:44.240] 5円取れたりしないかここの5
[02:16:46.040] 円あめだ稼げないんドンドンここめっちゃ好きの
[02:16:52.679] BGM
[02:16:53.519] ドゥドンドンドンドンどっか稼げるポイントねえ
[02:17:01.920] 稼ぎ絞られてきたな
[02:17:03.439] ねえ。全然稼げないね。ここはここはどこ?
[02:17:07.599] 深田エミの曲混ざってても気づかなそう。何?の曲魔女。
[02:17:12.800] あ、カンカンカンカンにねにゃんちゃらにんちゃらにゃん。あれふの曲じゃねえから。別に
[02:17:24.599] 別にあれ深いの曲じゃねえよ。
[02:17:27.519] 別にあれ深が出してる曲じゃないからね。ま、どんなぞ。ドン
[02:17:36.639] 違うんだ。
[02:17:37.840] ただエミオッピある。
[02:17:45.519] よしよしよし。うわ、どうずるこれ行けるか?しかもこれ壊せねんかい。もうこれ行くしかねえよな。
[02:17:56.200] だもな。行くしかねえよな。いや、でもこれ無理だよ、多分。多分無理だと思うな。さすがにこれは無理だと思うわ。どこにいんの?
[02:18:11.000] おいらが行くしかねえな。
[02:18:28.559] いやいやいやいやいやいやいやいやいやいやいやいやいやいや
[02:18:31.760] 即死だけはあれ飛距離長いなきっ
[02:19:12.280] 威力が
[02:19:15.840] やったよ、それ。いやあ、ちょっとさ、これおい、おい、おい。
[02:19:35.200] フロッピー準備したので明日発送しますわ。
[02:19:38.479] ありがとうございます。
[02:19:39.000] 月曜には届く。
[02:19:40.160] 月曜には月曜まで待そうかな。月曜まで待ちかな、これ。うーん。これ稼げないんだよ。
[02:19:52.840] ホルムズ通れる。
[02:19:56.280] なんで東京から発送されんのにわざわざホルム経由するんだ。いやあ、これ待ってよ。
[02:20:27.680] 何こいつは倒せない?
[02:20:31.280] のゲームだとクイックセーブなるものがあればちょになるよな。
[02:20:36.439] そうだね。
[02:20:38.439] あ、乗れるのね、これは。
[02:20:52.280] え、これ乗れる?
[02:20:56.920] いや、無理だな。
[02:21:13.720] よし。
[02:21:31.800] いや、どっかで稼がせてくださいね、これ
[02:21:34.359] 。
[02:21:38.359] いや、その楽取るよりもまずはまずは
[02:21:40.640] ちょっと稼ぎだな。どっか稼げねえか。
[02:21:45.040] う、なんで。うわ、またなんか知らない手
[02:21:48.080] 出てきた。うわ、うわ、うわ、うわ。それ
[02:21:50.280] はそれはやっていいこととやっちゃいけ
[02:21:52.640] ないことがある。やっていいことでやっ
[02:21:53.920] ちゃいけないことがあるよ、
[02:21:59.280] これ。倒せねえからな、俺。
[02:22:09.760] 全然稼げないね。
[02:22:13.080] やっぱマジで最初のステージで5000
[02:22:14.920] ぐらい貯めたろうかな。マジで
[02:22:20.720] しかもこれもさ、何気にあれだよな。落ち
[02:22:24.560] たら終わりだよな。
[02:22:27.280] カンストまでやるべ。うわあ、ジャンプ
[02:22:30.880] 足りねえ。9999
[02:22:33.000] 必要かも
[02:22:33.920] ねえ。うわ、また最初からなんだこれ。
