[00:00:36.280] うい。お疲れ
[01:23:54.760] わざったか。
[01:23:59.920] どう取る?どう取るのがいいんだろうな。これむずいよな。
[01:24:18.400] ちょっと
[01:24:25.120] 縦のツ橋は1
[01:24:26.239] 個しかないんだよ。でも多分確実なのは確実なのはもうここれはもうこのムーブは絶対確実。
[01:24:32.639] すぐひらめくでしょう。ああ、もう何それ
[01:24:34.880] ?何それ?
[01:24:38.400] よかった。
[01:24:44.320] そうすっとよ。
[01:24:49.719] こいつが取れないんだよね。
[01:24:56.239] 待って待って。だるい誰る誰あるお前?
[01:24:58.440] おいおいおいおいおいおいおいおい。
[01:25:02.639] よし。
[01:25:05.159] ド
[01:25:26.080] をどこで使うかだよな、問題はな。
[01:25:30.719] いや、待って。
[01:25:35.360] いや、あの上のやつどうやって取ろうかな
[01:25:37.520] 。
[01:25:42.360] だってそっち行けないんだもんね。そっち
[01:25:44.119] 行けないんだよね。
[01:25:47.440] こっち行けないのよね。
[01:25:58.880] 行けないんですよね。
[01:26:10.199] ええ、もう
[01:26:15.920] 1回最初からやっていい?
[01:26:25.440] おつみ
[01:26:27.040] ちょっとね、このこのね、あ、パンダさんこんばんは。
[01:26:30.360] あね、これ上のこの上のさ、上の段のあの
[01:26:36.159] ドリルをどうやって取るかなんだよね。上
[01:26:38.679] の段のドリルどう取るんだろうな。あれ
[01:26:41.480] さっき1回取れたよな。俺どう取ったん
[01:26:43.239] だろう?あれ下行って。
[01:26:46.800] あ、下行って。あの橋がかかっ
[01:26:51.560] そこもうそこ優先にしよっか。じゃあそこ
[01:26:54.320] 優先にしさせてもらうか。そこの道を
[01:26:57.040] 開けよう。ごめんね。
[01:26:57.880] みんなもうみんなの脳みそ多分ついてこれれてないと思うけどみんなの脳みそじゃついてこれてないとは思うんだけど
[01:27:07.000] ちゃまさんこんばんは。
[01:27:09.119] こういうことやんな多分ワクワクさんこんばんは。
[01:27:10.960] 正解走ってるけど
[01:27:13.320] こういうことやんな。こうなほんでこう。そしたらもうあとは全部いけるっしょ。そしたらあと全部取れるっしょ。もうパンダさんとワクワクさんこんばんは。
[01:27:25.639] 今日はね、エルギーザの封印という
[01:27:27.360] MSX
[01:27:27.920] のゲームをやってます。実機でやっています。実機で。
[01:27:41.560] 我
[01:27:42.639] 割じゃねえ。よし、行った。よしよしよしよしよしよしよしよし。行ったいった行ったったったった。いったいったった。
[01:27:54.000] 行った、行った、行ったよと。ふう。オー。うまし。はい。うまし。はい。天のサイト。
[01:28:06.920] グ。グ。グ。
[01:28:09.159] 天のサイト。
[01:28:09.960] 正解や。
[01:28:12.239] エムスゴッド。
[01:28:13.679] 正解や。ありがとう。
[01:28:18.280] イエス。イエスイエスと。
[01:28:20.800] いい感じ。
[01:28:21.679] いい感じ。いい感じ。
[01:28:23.639] やるじゃん。
[01:28:24.840] いいね。いいですね。あ、お前またか。
[01:28:37.520] やだね。嫌な敵がいる。どこも行けねえぞ、これ。あ、あ。おええ。
[01:28:50.280] お前何?あ、お前は普通、
[01:28:55.920] 普通の時も乗っていいんだ。
[01:28:59.000] 動いてる時に当たんなきゃいいんだね。
[01:29:01.920] まずこっち行かすとか。
[01:29:09.560] 広いね。
[01:29:13.440] いっぱいあるなあ。
[01:29:31.400] おお、なるほどね。ここから選んでいき
[01:29:34.719] なさいと。
[01:29:37.560] まずちょっとどうなってるんだ?
[01:29:47.760] うーん。
[01:29:49.880] うん。なるほどね。
[01:29:54.440] じゃ、まずは
[01:30:02.000] あ、いや、いいんか。ああ、なるほど。
[01:30:04.040] ここで取って、ここで取って、こう上持っ
[01:30:06.639] てけばいいんだもんな。
[01:30:13.800] ああ、違うよ。違う、違う、違う。ゼタす
[01:30:18.040] 。
[01:30:20.080] いや、絶対違ったな、これ。
[01:30:23.920] いやいやいやいや、もう最悪や。最悪最悪
[01:30:26.679] 最悪最悪。
[01:30:30.320] ねえ、
[01:30:36.119] くそ難しいな。
[01:31:02.040] うい。
[01:31:02.639] 人筋縄ではいかんですな。
[01:31:04.520] 人筋縄ではいかんですなあ。今日ここクリアして終わりにしたいな。今日ここクリアして終わりにしたい。
[01:31:25.480] だってこことかもよく考えない。よくよく
[01:31:27.360] 考えないとこれさ、ほらこれだってさ、上
[01:31:31.880] から入るわけにいかないからね。ここに横
[01:31:33.760] で来なきゃいけない。横掘りでここに持っ
[01:31:35.400] てこなきゃいけないわけでしょ。
[01:31:52.159] で、これも多分無理だもん。乗れないんだ
[01:31:54.000] もんな。
[01:32:00.199] なるほど。こいつをだからいいタイミング
[01:32:02.520] で
[01:32:04.280] ここに止めなきゃいけないんだ、まずは。
[01:32:09.400] うわ、もうだるいな、お前。
[01:32:19.159] あ、ギリ乗れねえ。あ、よしよしよしよし
[01:32:21.800] よしよしよし。まずこれはこうやって取る
[01:32:24.400] 。これはこうやって取ればいいと思う。
[01:32:29.880] あとそこどう取るかだよな。そこをな。
[01:32:37.040] あと5個でしょ。
[01:32:46.199] まず何も持たずに行ってみるか。
[01:32:55.159] 取れるのは取れるからな。こことかはこれ
[01:32:57.440] 取っちゃって
[01:33:01.840] あとはどうするかだよね。
[01:33:06.400] ここ1個掘ってもいいな。ここ1個掘掘る
[01:33:09.639] か。ここ1個掘ろう。下に。
[01:33:22.159] 早くしない。あの、あいつが復活するから
[01:33:23.600] な。こっから
[01:33:25.679] 来んなよ。ああ、くそ。タイミング悪いな
[01:33:27.920] 。
[01:33:31.760] 間に合え、間に合え、間に合え、間に合、
[01:33:32.840] 間に合え。よし。ナイス。よし、よし、
[01:33:35.080] よし、よし、よし、よし、よし、よし。
[01:33:38.520] オ。
[01:33:46.719] やだな。もうくれ。
[01:33:54.040] あとは順番だけ。
[01:33:57.119] ま、こういうことだよな。こういうことだよな。えっと、次取んなきゃいけないのはあそこな。
[01:34:12.320] だから下横下と
[01:34:14.679] こうなんかあいつ復活で一旦待
[01:34:44.239] いいか?ここ怖い。あいつ来そうな気が
[01:34:45.679] する。
[01:34:50.040] こいつ復活するの待つわ。1回
[01:34:55.080] 行けるか?行けるかな?行けるな。
[01:35:07.480] オ、よしよしよし。あと1個な。あと1個
[01:35:11.000] 横掘り持ってくればいいんでしょ。
[01:35:12.480] オッケー。オッケー。あ、行けるじゃん。
[01:35:13.639] 悩んだ。行ける、行ける、いける。よし
[01:35:14.760] よしよし。これは勝ったべ。
[01:35:19.320] いやいや
[01:35:22.800] 、もう
[01:35:31.840] マジかよ。おミ毒。
[01:35:42.920] うーん。
[01:35:43.480] うーん。ま、今日ここまで。はい。はい。すいません。今日ここまで。
[01:35:50.520] え、すいません。いや、今日はちょっと、ちょっとごめんな。今日ちょっと早いんだけどさ。ちょ、今日ここまでね。すまねえ。
[01:35:59.000] ビブレジュムプ
[01:36:01.040] すまねえ。ちょっと今日ここまでさせてもらう。今日ちょっと刀らし。今日はなんか疲れちゃってるから最近ちょっと疲れてるんで。でもおもろいじゃん。
[01:36:12.159] でもおもろいじゃんてことでますか?運動しちゃったしね。
[01:36:15.800] 運動しちゃったからもう疲れちゃってクリアできるでしょう。クリアできるでしょ。するでしょ。できるとかじゃない。するでしょ。
[01:36:25.320] 20
[01:36:25.639] ステージ行こうね。
[01:36:27.040] まあ今週の今週の土日てか今週はもうずっとこれよ。
[01:36:32.000] やれ。
[01:36:32.760] 今週はずっとこれよ。今週はずっとこれ行きますからよろしくお願いします。ということでちょっと今日
[01:36:37.280] 1
[01:36:37.400] 時間半何とも短い何とも短い配信なんですけどもすんません。
[01:36:41.440] じゃあもうウィーク
[01:36:43.080] やります。明日はやらない。次は水曜日。
[01:36:46.960] お疲れ様でした。ゆっくり休んでください。次はね。
[01:36:50.600] ソフト増えた。増えたよ。ちゃん。
[01:36:52.560] ソフト増えた。うん。ソフト増えた。ありがとうござ
[01:36:56.600] ということでありしゃ。
[01:36:57.920] S
[01:36:58.119] サイズぐらいの満足感。おつんげ。こんくらいがいいのよ。こんくらい。こんくらい。ということで今日はレードしよっかな。
[01:37:05.119] 今日はレドしよっかな。おつまげ。ありがとうね。
[01:37:07.920] エルギーザウィーク。エルギーザウ。
[01:37:11.920] ということで、ということでお疲れちゃん。
[01:37:15.320] ありがと。ありがとうな。やっぱレトロゲームなんよな。やっぱレトロゲームなんよな。ということで誰にしよっかな。
[01:37:27.520] なんによ。
[01:37:28.880] レトロゲームなんにょ。誰にレードすんだよ。
[01:37:36.840] おつおつ。
[01:37:42.000] はもお疲れちゃん。はも疲れ。じゃ、今日はお猫にデートしよう。じゃあお猫にデレドするわ。じゃあ今日は
[01:37:57.320] お疲れ様でした。
[01:37:58.800] はい。お疲れちゃん。あ、わかさんもありがとうね。ありがとうね。お疲れちゃん。お疲れちゃん。ということでありがとうござました。今日はお猫にレドしたいと思います。
[01:38:08.199] 次の配信は水曜日かも明日かもしれないし
[01:38:10.560] 水曜日かもしれません。ざして待て。ざし
[01:38:15.199] て待て。ということで
[01:38:20.040] お疲れちゃん。バイバイ。ということで
[01:38:23.840] またね。
[01:38:32.360] できる時でいい。
[01:38:35.719] ありがとう。この後アーカイブ移動ね。
[01:38:38.239] あ、はいはいはい。わかりました。
[01:38:40.040] エボ玉エボた。エボ玉。
[01:38:44.320] いや、もうこの後はだるいからまた明日やるわ。
[01:38:46.320] 笑笑。
[01:38:48.040] 明日やります。今日は終わりだ。オの光が夢を派手なバカはめちゃけてる。
[01:39:03.080] 大の谷エルギーザの封印
[01:39:06.719] めちゃめちゃけてるや。
[01:39:08.760] めちゃけじゃない?え?
[01:39:16.960] ドラックエ7
[01:39:18.040] はなんかあんまりなんか見返す人いないんじゃない?
[01:39:22.239] お休み時代を超えたゲームで心を踊らせたい時間は今日は終わりだ。
[01:39:31.560] レオンの光が夢を継続
[01:39:35.840] 派手なバカは
[01:39:39.400] 今日は脱いで
[01:39:41.760] 邪魔
[01:39:43.960] み楽しい時間
[01:39:48.080] は今日は終わりだ。邪魔
[01:39:56.000] じゃまたね。
[01:40:04.880] おやすみまげる。
