[00:01:40.439] エボ
[01:48:29.560] 村か蜂は村か蜂は村か蜂はくっそほんま
[01:48:35.480] こいつらマジゴミすぎるって。
[01:48:46.080] やす。
[01:48:52.880] どりゃー
[01:48:54.960] いった。
[01:48:57.280] あっしゃ、行ったぞ。こいつは絶対負けねえから。
[01:49:20.080] かよ。い
[01:49:23.239] や、マジでボスが弱くて助かった。硬。さすが最後だから。めっちゃ勝てえな。やあ。
[01:49:37.199] よしあし終わろう。今日はもうすいません。今日はもうここで終わりです。すいません。ペこで終わら
[01:49:46.159] 怒りボスだったらゲロだったね。ポチパチパチじゃん。まじしたね。
[01:49:53.920] よかったよ、みんな。
[01:49:56.920] 5万5万、5万すめん、5
[01:49:59.320] 万すめん。今日はちょっとここで終わらせてもらうわ。残り
[01:50:01.760] 1
[01:50:02.000] ステージ。また今度やります。明日後日か明後日かな。明後日。ごめん。明日じゃない。
[01:50:06.400] 朝、明日、明後日にやります。すま、
[01:50:08.000] ほんまごめん。ほんまごめんな。ほんま
[01:50:09.840] ごめん。3明日ちょっと明日はちょっと
[01:50:13.719] 休み。
[01:50:16.719] ああ、すんません。ちょっとほんま
[01:50:19.560] ちょっとこのままやりたかったんだけど、
[01:50:20.599] ちょ、今日はちょっと寝るね。ごめん、
[01:50:21.920] ごめん。
[01:50:27.040] いや、よかった。でも最後にクリアできて
[01:50:30.080] いやあ、残り1ステージ、2ステージかな
[01:50:32.840] ?どっちだろう?わかんねえけど2
[01:50:34.560] ステージかな。
[01:50:35.520] まあまあまあ、ここまでにここまでにしますわ。
[01:50:41.360] サブスク欲しい人を
[01:50:43.040] なんやねんそれ。なんやねんそれ。何それ?サブスク、サブ岐投げてくれんの?
[01:50:49.840] はい。
[01:50:54.079] はい。ついことで
[01:50:55.320] はい。
[01:50:56.560] つうとで今日はね、ここまで打ちますわ。すんません。ありがとうございました。
[01:51:00.639] うんさんがサブスクしました。
[01:51:03.239] 自分のサブスクじゃねえか、それ。自分のサブスクじゃねえか。
[01:51:06.880] ありがとう、サブスク。いやあ、
[01:51:09.560] 笑笑。
[01:51:10.520] ちょっと本当中途半端で申し訳ないわ。
[01:51:12.400] 笑笑。
[01:51:13.440] 中途半端で申し訳ない。ちょっとここまでにします。今日はありがとうね、みんなごめんね。ちょっと短くて。えっと、今日はじゃあ
[01:51:23.560] 8
[01:51:23.719] にネートします。気持ちよく寝れそうだね。
[01:51:26.440] いや、気持ちいい。ま、本当はクリアしたかったけど。本当は今日クリアしたかっ。
[01:51:30.920] お疲れちゃん。
[01:51:31.560] お疲れちゃんみんなありがとうね。また次。もう涙の最終回
[01:51:35.840] 3で
[01:51:37.480] 涙の最終回3でお会いしましょう。
[01:51:39.760] ということでありがとうござました。ありがとうござました。
[01:51:42.800] お疲れ様。またね。
[01:51:43.880] お疲れ様。ありがとね。ありがとね。レドもありがとうね。きたちゃんね。きたちゃん。レドもありがとね。
[01:51:50.719] 1
[01:51:52.800] お疲れ。
[01:51:54.040] う。お疲れちゃん。
[01:51:55.480] 部作がちょうどええねん。お疲れ。
[01:51:58.480] 涙の3部作やね。
[01:52:00.719] 荒らした。
[01:52:01.119] お疲れ様お疲れちゃありね。レさありがと
[01:52:03.119] が待ち受けているのや。
[01:52:04.280] さて、ラストステージどんなマが待ち受けているんでしょうかね。
[01:52:07.560] ということでお休み代を超えたらフ男は
[01:52:27.159] みんなありがとねが心
[01:52:36.840] を包むき時代を共に感じるカロンが就職なんて冗談ミステア
[01:52:46.040] 430ジャッミステア430
[01:52:49.239] ジャッミンお休み時代を超えたゲームで心をクラップクラックラッの光が夢
[01:53:04.480] を継続派手
[01:53:06.639] なバカは
[01:53:09.920] 今脱いで
[01:53:12.239] じゃげ休み
[01:53:17.560] 楽しい時間は今日は終わりだ。
[01:53:23.599] おげちゃんまたね。
[01:53:35.480] お休み。
