[00:00:29.080] あ。
[02:10:40.639] また
[02:10:42.639] 何それ?
[02:10:46.960] 弾取って穴に。
[02:10:48.760] 弾の弾取って穴にね。
[02:10:56.079] 一旦黙らすと一旦黙らせておいて
[02:10:59.440] 海分解なよし
[02:11:10.520] すご
[02:11:11.559] いし
[02:11:12.480] 気づいてくれたか
[02:11:14.599] えん、やっとちょっとずつなんか雪時け、雪け。あ、やっと
[02:11:28.880] やっと雪け。ちょっとずつ雪どけしてきた。
[02:11:33.360] へへへ。
[02:11:35.040] なんやねん。なんやねん。はい。雑魚。
[02:11:42.760] コンビニ肉マン食べたい。
[02:11:44.480] うわ、分かる。コンビニの肉マン食いたい。今なんやねん。もう諦めなって。はい。お疲れちゃん。はい。終わり。へて。へて。はい。さらに最後に。あ、間違ってコピーちゃった。間違ってコピーしちゃった。やばいやばいやばいやばいやばい。バカ。お前何やってんだよ。
[02:12:04.320] お疲れるれちゃん。
[02:12:05.639] やばいやばいやばいやばいやばい。何をやってんだ野郎。
[02:12:11.440] バカ野郎。おい、しかも負けんじゃねえかよ。すぎる。笑笑。あ、
[02:12:20.040] すぎる。
[02:12:20.920] 笑笑。
[02:12:25.960] おしれえじゃん。
[02:12:27.239] 配信者の鏡。
[02:12:28.719] おしれえじゃん。なほね。おしれえじゃん。おしれえじゃんかよ。
[02:12:36.280] おしれえゲーム。
[02:12:40.960] 間違ってコピーしちゃった。
[02:12:42.639] 面白い女。間違ってコピーしちゃった。よし、テトリス狙いで行くぞ。テトリス狙いで行くからな。
[02:13:06.199] よしよしよしよし。え、ドーン。くばれ。
[02:13:12.000] あ、しかもテトリスでやるとその場にある
[02:13:14.520] 弾全部もらえるんや。その場にある弾が
[02:13:17.679] 全部もらえる。え、俺コピーやなんだけど
[02:13:21.159] 。俺コピー嫌なんだけど。
[02:13:28.040] あと弾もらえるのはいいんだけどさ、弾があったとこが穴になっちゃうのがやなんだよね。うわ、またこういうの、このと、このブロックどうすらええねん。
[02:13:45.119] コピーが役立つ局面の方が少ないですよね。
[02:13:48.360] そうだよね。
[02:13:57.000] ああ、じゃあもうこれコピーしよう。いただき
[02:14:00.480] せっこ。
[02:14:01.440] これね、溜まってると使う技のレベルを選べない。
[02:14:04.880] ああ、それがね、難しいよね。
[02:14:17.480] いやあ、もうこういうブロックが
[02:14:23.280] やばいやばい。まずまず
[02:14:26.040] あれ?さっき長い棒来る予感してなかった
[02:14:28.400] ?
[02:14:31.800] ちょっと長い棒早く。ねえ、なんで長い棒
[02:14:34.480] 来ないの?これねえ。
[02:14:39.239] ずっぷしできないの?ずっし。
[02:14:41.760] 敵に行ってる。相手と奪い合いです。
[02:14:45.119] って相手と奪い合いなんだ、これ。おい、おもろ。相手と奪い合いなんや。
[02:14:50.679] のネクストブロックは相手と共して
[02:14:53.199] だからなんかさっきから俺おかしいと思ったんだよ。ネクストブロック考えてやってんのにさ。来ないから相手と奪い合いなんや。はあ、おもろ。
[02:15:06.199] え、めっちゃおもろいやん、これ。
[02:15:10.559] だから逆に言えば欲しい身のを取ることに集中するのが強力。
[02:15:22.639] やべ、絶対欲しい。絶対欲しい。絶だずすれば逆に有利進められます。
[02:15:31.480] だるいってお前。
[02:15:37.760] ずっぷし
[02:15:38.880] ずプしさね。あれ?これはちょっと俺が想像したの違う。まずいよ。
[02:15:58.199] それ気づかずに今まで前線してたの。すごい。
[02:16:02.440] やばい。
[02:16:03.920] え、何?何?え、なんか、なんかよくわかんないの多いな。
[02:16:17.440] ミラー使ってましたね。
[02:16:19.079] 何?ミラーなんだ?
[02:16:20.119] ミラーか。
[02:16:21.960] やばいやばいやばいやばいやばい。や、これ無理やろ。いや、無理やって。もう一旦無理。
[02:16:34.280] かあ。強いなあ。
[02:16:41.960] ちょ、違うキャラ使ってみようか。
[02:16:49.359] はあ、なるほどね。
[02:16:52.120] 面白いやん。
[02:16:54.719] 分かった。一旦オッケー。いや、おもろい
[02:16:57.000] 。え、めっちゃおもろい。普通にこれ
[02:16:59.160] ちょっと違うゲームやってみよう。
[02:17:01.559] ちょっと次の違うネクスト、ネクスト
[02:17:06.760] 、え、リクエストゲームちょっとかじろう
[02:17:09.439] かな。ちょっと次のやってみようか。いや
[02:17:12.399] 、普通にテトリス武踏概念、これ流行るで
[02:17:15.200] 。
[02:17:16.960] テトリス武踏概念。これ流行るでしょ、
[02:17:18.960] これぶっちゃけ。
[02:17:23.200] えー、面白かったっすね。テトリス。これ
[02:17:25.519] 入りそうだよね。これおもろかったっす。
[02:17:27.719] す。
[02:17:28.599] あ、ちょっとプレスとかちょっと見れないんで、これちょっとこれは用意できないんで、今、え、ドカポン王国
[02:17:35.359] 4、
[02:17:36.559] またなんか、また同じようなゲームなんですけど、また同じようなゲームじゃねえけど。ドカポン王国
[02:17:43.519] 4だよ。次は
[02:17:45.599] 流行ったからゲームだから知っている人がここにまあまあいました。
[02:17:49.639] そうね。結構みんな知ってたね。
[02:17:54.240] ドカポン王国4ってどれ?スーファミ入っ
[02:17:57.800] てんだっけ?
[02:18:02.040] ドカポン俺はも買ったのは覚えてんだけど
[02:18:04.800] 入れてないかもな、まだ。
[02:18:09.319] あ、入れてねえや
[02:18:12.120] パーラー4ミニパチンコ実機
[02:18:13.960] シミュレーション
[02:18:14.519] ドカポンは友達とやると面白いです。ああ
[02:18:17.120] 、そうなんだ。ちょっとドカポンごめん。
[02:18:19.240] 今入って後にしよう。えっと、次が
[02:18:26.599] 、えー、アークザラット。ごめん、
[02:18:28.439] ちょっと今できない。ま、できるんだけど
[02:18:30.240] 。ポリメが入ってるからできんだけど。
[02:18:35.120] クレオンしんちゃんと入ってたっけ?
[02:18:37.240] クレオンしんちゃんって入れてなかったか
[02:18:38.840] な?
[02:18:41.319] クレオンしんちゃんも入れてなかったかな
[02:18:45.599] ?買っただけだったかもな。
[02:18:48.319] 俺あんまりスーパーファミてかスーファミ
[02:18:50.519] のリクエスト多いな。俺あんまりスー
[02:18:53.679] ファミさ、通ってないからさ、あんまり
[02:18:55.399] カツっと持ってないんだよね。ああ、
[02:18:56.880] ごめん。入ってないわ。いや、まあ、今
[02:18:59.559] 探して入れればできるんだけど、ちょの
[02:19:01.880] ちょっとあるよ。え、
[02:19:05.880] ああ、アリウレさんのアクトレーザー。
[02:19:08.639] アクトレーザーは入ってでしょ。てか、
[02:19:10.160] アクトレーザー俺配信でやんなかったっけ
[02:19:11.840] ?これアクレーザーって俺配信でやって
[02:19:14.000] ないんだっけ?普通に俺これクリアして
[02:19:16.399] ことあるから、これ。
[02:19:18.639] スーパーファミコンのアクレーザーって
[02:19:19.960] いうゲームなんですけど、これ知らない人
[02:19:21.280] 、ま、知らない人の方が少ないよな。超
[02:19:24.000] ド名作ゲームね。超ド明ゲーム。
[02:19:30.399] この曲なんよ。
[02:19:33.599] ててて
[02:19:35.880] 。
[02:19:38.399] いや、懐かしいね。
[02:19:41.559] アクトレイザー。これ面白いっすよ。この
[02:19:45.120] ゲームマジで面白いよ。
[02:19:48.559] ちょっとやるか。
[02:19:49.439] かっこよ。
[02:19:51.280] 結構面白いんだよ、このゲーム。自分が神様になるんだよ。自分が神様になって
[02:19:57.280] 素晴らしいゲームですね。
[02:19:58.359] そう。自分が神様になってき、
[02:20:02.640] あの、なんて言うの?自分は神様になってなんか人間たちの反栄をさせていくっていう。ただアクションゲームなのね。横スクロールアクションと街をエディットする。
[02:20:15.280] ちょ、ま、見てて。ま、見てて。
[02:20:16.960] ま、見ててくれ。
[02:20:19.280] BボタでYボタン終わった。はい。え、神
[02:20:22.399] 様の名前?俺はレ橋本レ。よろしく。
[02:20:29.200] お目覚めになりましたか?レ様。僕は力を
[02:20:32.240] 失ったレ様のお手伝いをさせたくになった
[02:20:34.439] エンジェルです。今や地上は魔物だけが
[02:20:37.120] はびこる後輩した土地となっています。え
[02:20:39.280] 、こうもこれもレ様の力を封じ込めた魔王
[02:20:42.399] サタンの幸せと言いましょう。
[02:20:44.920] 姉様が元の力を取り戻すには人間たちの、えー、進行心が必要なのですが、まずは人間を住ませる土地を作るため地上のもと魔物と戦いに赴きましょう。いです。じゃ、まずは戦闘からやんのか。これ
[02:21:00.240] 神になって民を育てるパートと魔物から地域をアクションパートがあります。
[02:21:05.760] そう、そう、そう、そう。オ、また曲がいいのよ。曲が。
[02:21:18.200] まずはアクションパートからなかは
[02:21:22.720] 曲り。ちょっと曲大きめにしよう。音
[02:21:25.640] 大きめにしよう。
[02:21:34.200] ただ俺下手くそ
[02:21:37.600] だよ。ただ俺下手くそだぞ。
[02:21:41.000] 揚げ好きそう。笑。
[02:21:42.760] いや、好き好き。このゲームは普通にクリアしたことあるから俺。
[02:21:45.560] ゲーム界の伝説の逸話残してる
[02:21:47.880] BGM。
[02:21:48.600] そう、そう、そう。保る誘導だからね。下手くそやな。下手くそやな。あれ、これどうやって行くんだっけ?これ。あれ、これどうやって行くんでしたっけ?ちょ、待って。めっちゃむずい。
[02:22:07.280] こ、
[02:22:10.600] ちょっと待って。むずくね
[02:22:17.760] 。いや、みんなに待ちくり、待ちモード
[02:22:20.520] 見せていいから。ここはクリアしねえと。
[02:22:22.920] みんなにマッチクリエイトモード見せたい
[02:22:24.640] からさ。
[02:22:25.040] また微妙に橋切れ。
[02:22:27.479] いや、切れてないはず。さっきとから。
[02:22:30.920] これは大丈夫なはずだよ。
[02:22:34.439] これ乗れないんだっけ?これ。
[02:22:36.760] え、これ乗れないの?これ
[02:22:40.880] 乗れねえわ。
[02:22:44.000] 覚こ
[02:22:48.880] 行くのね。ここで
[02:22:56.200] 危ない危ない危ないよ
[02:22:59.080] 。を確信男。よしよしよしよし。
[02:23:05.520] ありがとう。ナイスクリップ。あれ?これ何?どうやって行くんだ?こいつ倒さなきゃいけないんだっけ?あ、こいつ倒さなきゃいけないんか。普通に曲いいよな。マジでこれレコード買ったもん、俺。これ曲すぎて
[02:23:24.160] に神ゲやってるじゃねえか。
[02:23:27.200] アクトレーター。アクトレーザーやってます。ただ俺もこれクリアしたことあるからさ。
[02:23:35.319] ま、配信では多分やってないかもしんない
[02:23:37.120] けど、
[02:23:43.040] あいつこっち来るよね、
[02:23:46.680] あれ。え、あいつこっち来ねえの。いや、
[02:23:50.680] なんやねんそれ。あいつこっち来ねえんか
[02:23:53.279] い。
[02:23:56.720] いや、ちょっとマッチクリエイトモード
[02:23:58.040] まだ行かねえとさ、みんなにどんなゲーム
[02:24:00.200] だか伝えられね。
[02:24:06.160] いた。動き出すタイミングが微妙すぎる
[02:24:10.439] だろ、お前。レてレ
[02:24:15.720] 。あ、来た。
[02:24:20.720] ほ
[02:24:25.240] でもこんなもうゴリ押しで。
[02:24:32.040] よしよし。
[02:24:37.040] まだ魔法が使えねえからな。魔法が使える
[02:24:39.279] とさ、ボスも結構簡単なんだけど。やばい
[02:24:42.800] 。いやいやいや。
[02:24:45.279] それはまずい。それはまず。
[02:24:50.000] よし。オッケー。危ねえ。
[02:24:52.520] なんとか先闘
[02:24:55.120] 危ねえ。おお
[02:24:58.279] これで今フィルモアいでフィルモアが解放
[02:25:01.640] されるわけですよ。
[02:25:03.279] 解放されるわけ。こっから神ゲーだからな。いや、これも神ゲー。自分はこのね、この勇者の像に乗り移って戦ってる。来ました。あ、今人が生まれましたよ。人が生まれましたよ。今
[02:25:20.479] してきた。
[02:25:22.319] 名様、このフィルはフィルモはもうようやく人間の住める土地になりましたね。これから魔から人々の生活を守ってあげなくてはなりません。
[02:25:31.840] 僕はレ様の言う通りに動きますから、天使
[02:25:34.240] の矢で魔物を退治してください。地上に
[02:25:36.680] 存在してる魔法陣は魔物の巣です。レン様
[02:25:39.479] が人間を上手に導いてあげれば人々はこれ
[02:25:42.200] を封印するでしょう。魔物の巣を全て封印
[02:25:45.080] した時、この地域を開いてる魔物が現れ、
[02:25:47.640] こいつを倒した時にフィロマは人間だけの
[02:25:50.319] 土地のです。では姉さんは可愛い人間様の
[02:25:52.640] ために頑張りましょう。突然ですが、ここ
[02:25:55.200] フィルモアの人々は何か伝えたいことが
[02:25:57.000] あるようですよ。
[02:25:59.359] おお、神よ。
[02:26:00.399] ここフィルモアでは樹目が多く非常に家を立てづらいのです。あたりの木をイカ槌で焼き払い我々に道を伸ばす方学をおお示しください。だってさ、どうやってやるんだっけで?あ、これこれこれこれイカず血を落とす。イカ槌を落とせるねん。
[02:26:17.880] 紙に差しずするとは。
[02:26:19.800] そうなんだよな。神にあれこなんだっけ?どうすればいいんだっけ?これってどとりあえずやっちゃっていいんだよねえ。
[02:26:27.240] ここにさ、道も連れてけばいいんだっけ?どなな、俺もよく覚えてないやもん。ま、とりあえずじゃあちょっと木切っ飛ばすか。
[02:26:41.960] 町に雷落としたれ。
[02:26:44.040] あれ?これどうやったらさ、人を導く街の
[02:26:47.600] 方向?
[02:26:59.240] あ、今モンスター湧いた音した。
[02:27:03.479] あ、あ、はい、こういうのね、こういうの
[02:27:05.359] 倒さな、倒さなあかんねんや。こうやって
[02:27:07.920] で人をね、今、あの、今画面右上にさ、
[02:27:11.760] 右上にさ、2って出てるやん。
[02:27:13.200] これがあのなんつうの?あの人
[02:27:15.600] イブラトラブイトナムだ。
[02:27:16.960] 何何何何何?
[02:27:17.960] ダ音不
[02:27:19.479] 何?何?すごいすごいの出てるよ。
[02:27:22.359] 笑笑
[02:27:24.080] あのこれが人口なんすよ。で人口が増えれば増えるほどけやん。
[02:27:29.640] 人口が人口が増えればあ、間違え。来た来た来た来た。まだ人口が人口が増えれば増えるほど神が強くなるのよ。
[02:27:45.760] で、敵を倒すと、敵を倒すとこのなんて
[02:27:50.960] いううの、この雷を落としたりとかこう
[02:27:53.560] いうことでできる回数が増えるから
[02:27:56.200] どんどんどんどん雷を落として
[02:28:00.800] 街を発展させていきましょう。
[02:28:04.279] 敵多いな。こんな多かったっけ?敵。
[02:28:11.560] 人工2人手はよこ作りせ。
[02:28:13.560] はよ小作りせいや。あ、イカ槌を落とすには
[02:28:17.439] SPが12
[02:28:18.359] 必要。あ、だ、結構足りねえな。まだ9
[02:28:19.960] しかない。はいはいはい。じゃあさらに街の方向こうこうでただこの周りをこうやってどんどん発展させていくんだな。
[02:28:34.920] こうやってその間俺はこのモンスターたち
[02:28:38.160] を意外とシビア
[02:28:41.960] はいはいはいはいで
[02:28:44.520] 意外とこんなにあれだっけ
[02:28:48.000] であれだよねこまで多分街は発展すれば
[02:28:55.359] ああ人口めっちゃ増え
[02:28:58.120] てますやん曲が頭から離れなくなる
[02:29:01.760] いやあ、あ、狼よ。我々は獲物を取ると
[02:29:06.520] いうことを覚えました。これで我々は魔物
[02:29:08.880] 捧ぐことができます。道を魔物導いて
[02:29:12.319] ください。なるほどな。なるほどな。
[02:29:14.080] オッケー。オッケー。じゃあ、あ、なんか
[02:29:17.319] これが可愛いんだよ。こいつらがな。
[02:29:19.680] こいつらがちょっとずつ発展してくから。
[02:29:21.399] こうやって道をあ、待って。道をたどる前
[02:29:24.920] にまだあれだな。ちょっと待っちょっと
[02:29:27.600] 待って。えっと、
[02:29:30.680] イカ槌をもう1回落とさなきゃいけない。
[02:29:34.680] ここな。ちょっと待って。こいつは倒さないと。でからのからのえ、
[02:29:46.520] アクションもいいけどこうやってちまちま発展させるのも好き。
[02:29:50.640] こ、そうなんだよ。この発展パートが結構好きなんだよね。
[02:29:56.920] 人口14人でしょ。これがアクション
[02:30:00.160] パートの神様の強さになるんで、どんどん
[02:30:02.399] 。
[02:30:08.000] で、とりあえずこのあの街モードの
[02:30:10.880] クリア目標はこの魔物、この魔物の巣を
[02:30:14.720] 全部封印することなんだ。そこまでこう
[02:30:16.359] やってこう道を発展させて村を発展させて
[02:30:19.960] 封印することにパートあるなんて。で1個
[02:30:23.080] 1個が別ゲだもんね。本当だったらああ、
[02:30:26.840] 来た、来た、来た、来た、ああ、いいよ、
[02:30:29.120] いいよ、いいよ、いいよ、いいよ、いいよ
[02:30:31.359] 。ああ、いいですね。
[02:30:43.200] もうちょっとや。ここ、ここまで来れば
[02:30:44.680] これが封印される。いた。
[02:30:47.240] おお、魔物の巣封印中。頑張れ、頑張れ。
[02:30:53.920] おお。
[02:30:57.200] あ、え、人間たちは魔物巣を自らの力で
[02:31:00.319] 見事に封印しました。魔物の巣から何か
[02:31:03.040] 見つかってみたいですよ。
[02:31:05.520] 不思議な像が見つかったのでご報告いたし
[02:31:07.720] ます。捧げ物として検張しますのでどうぞ
[02:31:10.200] おめください。
[02:31:14.479] いいね。いいしたら
[02:31:19.240] 次こっち行くか。
[02:31:28.560] こ
[02:31:28.680] れってさ、こっち行けるの?こうやって。あ、だめだ。じゃあこっち行こう。
[02:31:39.920] 違うタイプのゲームにつまぜるタイプは結構あって賛否両論起こりがちですが。アクトレーザーはパートのバラもう読むの?
[02:31:47.680] そう、バランスがマジでいい。
[02:31:49.600] で、ちゃんとこっちの発展状況がそのアクションパートにも影響を及ぼすってのがうまいよね。あとは曲が良すぎる。本当にこの曲がたまに頭から離れなくなるよね。やってないのに。
[02:32:03.840] これがスーファミのゲームなのもすごい。
[02:32:06.279] そうだね。本当にほぼロンチだもんね。ほぼね。が良いはめちゃくちゃ強い。
[02:32:11.319] そうなん。こんな無限にできちゃうもんな。
[02:32:18.840] これが本当に私の力なら東の森から何か聖
[02:32:21.600] なる力を感じるんですが。東の森って多分
[02:32:24.600] ここのことだよな。
[02:32:37.399] でもこんなに敵湧いたっけ。すげえ湧くな
[02:32:40.359] 。
[02:32:44.600] 稼げ物を取る
[02:32:50.359] 輝きの玉。
[02:32:52.920] これを飾せば天空の魔物も消滅すると言わ
[02:32:56.200] れるしなもの。今年の捧着物はこれで全部
[02:32:58.040] 受け取ってくださってありがとうござい
[02:32:59.080] ました。受け取ってくださってありがとう
[02:33:02.000] ございました。だっていいね。君たちもさ
[02:33:04.640] 、あのサブを投げてそれを言ってほしい。
[02:33:07.960] 受け取ってくださってありがとうござい
[02:33:09.200] ました。
[02:33:11.600] 神と民なんだから。
[02:33:17.279] 笑笑な。よしよしよし。
[02:33:31.640] 感謝のお手紙を捧げます。
[02:33:36.359] これイカ槌落としちゃおっか。この辺
[02:33:40.560] 手紙の勝ちは
[02:33:44.560] 冗談じゃん。冗談じゃん。手紙が
[02:33:48.840] 1番嬉しいじゃん。
[02:33:52.960] 一生すれる。
[02:33:57.240] 冗談やがな。あ、待ち建来た来た来た。
[02:34:02.840] ああ、ほら見てみんな。人口がもう
[02:34:06.080] 70
[02:34:06.560] 人にまで増えたよ。お、いいね、いいですね。な、何なんだこいつ。
[02:34:17.520] 髪た民か。
[02:34:19.760] 何?何?何?しかもこれここに行かずを落としてこの岩このこいつらの家もあの壊すことができるんだよね。
[02:34:31.920] 神称えた旅か。ええ、すご。魔物のず封印中来た。お、やってます。やってます。お、いいぜ。
[02:34:49.080] 自らの力で見事に封印しましたよ。
[02:34:51.720] フィルモアの文化レベルが上がったよう
[02:34:53.399] です。お、
[02:34:55.960] あ、やばいやばいやばいやばいやばいや。
[02:34:58.000] 何やってんだお前。おい何やってんだお前
[02:35:01.240] 。
[02:35:03.040] どうやって倒せね?
[02:35:06.279] 勝てるわけねえだろうが。クソっぷル。あ
[02:35:11.160] 、直した。直した。ああ、みんな見て。
[02:35:13.399] ほら、麦、麦の、麦わの家からさ、この、あ、レベルアップ来た。
[02:35:19.319] エム弱わよわ。
[02:35:21.359] 麦ラー、麦わ、
[02:35:23.680] 麦。レベル
[02:35:25.760] 2になりました。HPは9
[02:35:27.000] になりましたね。今度のレベルが上がるのは人口が
[02:35:30.120] 200人になった時。結構先だな。人口が
[02:35:34.439] 200
[02:35:34.720] 人になったら俺のレベルが上がるって。あ、なんか伝えたいことがあるってよ。お、神よ。
[02:35:42.000] 私は南頭の崖の大きな岩より聖なる力を
[02:35:44.840] 感じるのです。あそこには何かが埋まっ
[02:35:46.640] てるのではないでしょうか。南頭の何?岩
[02:35:48.880] 。ここ?ここ?ここか。
[02:35:53.439] ちょっと待って。分かった。じゃ、そっち
[02:35:55.279] にそっちにそっちにじゃあ道。あ、じゃ
[02:35:58.000] ここやんないとだめだ。
[02:36:01.319] ここやらんといかんわ。
[02:36:11.160] お前なんやねん。さっきから
[02:36:21.359] 田中シングル
[02:36:24.439] 怒りの怒りの高シングルそしたらそしたらそっちに導いてやるか。ああ、ちょっと待こやんなきゃいけねえ。
[02:36:40.160] いや、間違えた。
[02:36:49.439] 楽ン号霊雷。
[02:36:52.000] ラクス号霊。ラクスン号霊やな。え、どこ行った?
[02:36:58.880] 笑笑
[02:37:01.880] ちょっとここもここもここも楽するよ。楽するよ。
[02:37:11.560] はい。ラつンゴレ来。はい。ちょっと待っ
[02:37:13.760] てこう
[02:37:18.520] からの導き。の導き。
[02:37:23.240] ここ
[02:37:25.000] なんかここになんかあるって言ったよな。
[02:37:27.920] あ、これも封印しちゃいたいな。
[02:37:31.000] 一旦待ちますか。
[02:37:38.520] お、来た、来た、来た、来た。
[02:37:43.439] わあ、すげえ。ちょっとずつ、ちょっと
[02:37:45.840] ずつどんどん増えていってる。いいね、
[02:37:51.880] これがおもろいのよ。結構なんかずっと
[02:37:53.960] やってるとさ、
[02:38:02.240] ちなみに、あ、待って待って待って。お前
[02:38:03.840] 待て待て。何する気だ、お前?バカ野郎。
[02:38:09.720] ああ、危ねえ。よかった。よかった。
[02:38:12.840] 危ねえ。
[02:38:15.640] 人口が減るとさ、やっぱ俺のレベルが
[02:38:17.640] 上がんなくなっちゃうからなるたこう助け
[02:38:20.399] てあげたいんだな。お前さ、うざ。
[02:38:26.120] あのドラゴンうざいね。
[02:38:33.960] いいですよ。
[02:38:39.640] お、ここに来たらなんかあんのかな?いや
[02:38:43.080] 、ドラゴンだ。
[02:38:51.760] うぜえ。マジで敵が。
[02:38:55.680] あ、え、行ったけど何もないの?行った
[02:38:57.680] けど何もない。
[02:39:02.080] あ、あれ行ったんだけど。こっちから行か
[02:39:05.040] なきゃダメだったかな?
[02:39:12.279] これ封印しよう。
[02:39:17.479] お脳作業してら。
[02:39:28.600] いいぞ。
[02:39:30.880] どんどん発展させろよ。
[02:39:44.200] こいつどうにかしてえよな。まだ橋を
[02:39:47.160] かける技術ってのが持ってないんだよ。
[02:39:48.800] 多分こいつらは文化レベルが低いから。
[02:39:51.800] もうちょっと人口が増えたら多分
[02:39:55.040] 橋をかける技術みたいなのが発展して。
[02:39:59.120] バカ野郎。バカ野郎バカ野郎。
[02:40:02.319] どこに持ってく、お前?まずいまずいまずまずまず待。あ、ああ、あ、あ、あ。あ、あれ?死んだ。え?死んだ。
[02:40:12.560] 笑笑。ドゥルトゥルルトル。曲がいいよね、これ。曲がいい。
[02:40:30.800] あ、もう184人になったよ。あ、ここ
[02:40:33.800] だけでいいから封印してくれ。もう。
[02:40:37.840] よしよしよしよしよし。
[02:40:44.760] よし。
[02:40:52.040] 不思議な弓矢が見つかった。
[02:41:00.800] 素晴らしい技術が生まれました。我々は川
[02:41:03.120] におお、来た、来た、来た、来た、来た。
[02:41:05.200] 川に橋をかけることができるようになった
[02:41:06.800] のです。これからは川の向こう岸にも家を
[02:41:08.640] 建てることができます。
[02:41:11.000] おお、めっちゃ立ててますやん。いいです
[02:41:13.800] やん。ええやん。ええやん。
[02:41:23.319] じゃあちょっと
[02:41:25.560] 発見させてこうか。
[02:41:28.560] 血肉一種ん
[02:41:37.279] ついさっきまでモンスター育てたのに今度は人間を育てるんですか?神は気まぐれなんです。
[02:41:43.520] 気まぐれなんですね。こいつらのいいところは自力でやっぱりそう成長していくとこだよね。俺ら俺はたまにやってあげればいいだけだ。モンスターはもう自分じゃ成長してないからな。
[02:41:58.200] これ建設が嬉しくてね。これ街建設が嬉しくてね。この
[02:42:04.000] あ子様の猫の名前人間なの好き。
[02:42:06.680] 何それ?そうなの?そうなの?人口
[02:42:13.080] 400
[02:42:13.479] 人だって。あ、犬、犬買い始めてるよ。ほら、犬がいる。犬買い始めてる。
[02:42:29.439] お前マジやめろ。
[02:42:43.479] いや、こいつマジ当たりづらい。
[02:42:52.000] めっちゃ発展してますやん。
[02:43:00.479] いいね。
[02:43:05.760] よし、これラストね。ここがラスト。
[02:43:20.560] 来た、来て、来た。
[02:43:27.840] おお、
[02:43:32.399] ピルマの文化レベルが上がりました。
[02:43:38.560] 最後の魔物の巣が封印されてから不思議な
[02:43:40.760] 出来事か。私はこの頃毎晩同じ悪夢を見る
[02:43:44.399] のです。夢には南頭の大穴より
[02:43:47.240] ミノタウロスという化け物が現れ人一人を
[02:43:49.439] 呪い殺すと私には余地能力があるせいか
[02:43:53.120] すにこの体が魔物の呪に蝕ばまれてるよう
[02:43:55.880] な気がするのです。神様ことが怒らのうち
[02:43:59.240] に地上へ戦いに向き身のタウルスを
[02:44:01.560] 消し去ってください。ということで、え、
[02:44:04.439] アクションパートに向かうわけですな。
[02:44:07.439] これでアクションパートに向かうことに
[02:44:09.279] なるわけですよ。
[02:44:12.000] おたき、こんばんは。たき、お疲れ。
[02:44:21.399] チまどくせ。
[02:44:22.760] 茶どくせ晴。あ、うんちゃんもお疲れちゃん。
[02:44:43.000] 釣って今度はえー
[02:44:46.319] うお下金じ
[02:44:48.479] 釣って今度はここのミノタウルスを倒して
[02:44:51.439] くれと
[02:44:53.279] まこんなような
[02:44:55.840] こんなようなゲームなんですわな
[02:45:01.479] そういえばとばくて今出てないぽいけど
[02:45:03.960] 大丈え?
[02:45:07.200] あ、本当だ。全然忘れてたわ。確定してなかったわ。
[02:45:13.800] 笑笑。本当だ。笑笑。
[02:45:16.319] 危。え、俺勝
[02:45:17.160] きっこきいこきこ。きっこ
[02:45:19.040] 5kg。こ、勝てるでいいんだよな。勝てたんだよもんね。
[02:45:24.680] ね。1番だよな。これ1
[02:45:26.080] 番でいいんだよな。
[02:45:26.640] テトリスとアクトが面白すぎた。
[02:45:29.279] きっこ5kg。きっこ
[02:45:31.200] 5kg。きっこ
[02:45:32.840] 5kg。1
[02:45:34.479] です。こっちも忘れてた。高ジェットストリーム高き
[02:45:43.080] キっこずこきっこずこジェットストリーム高き
[02:45:51.080] うん。まあいいかな。こんなものかな。ま、こんなようなゲームでございます。アクトレーザー面白くないですか?面白くないすか?
[02:45:57.840] リーム高き
[02:45:58.960] 面白くないすか?ま、全然クリアまでやるって言われたら全然できますけどね。全然できますけども。
[02:46:06.720] ちなみにこのゲーム
[02:46:09.319] NintendoSwitchSteam
[02:46:11.720] であのリメイク版が発表されまして何年か
[02:46:15.080] 前に12年前かな?リメイク版え
[02:46:18.080] アクレイザールネサンスってやつが出てる
[02:46:19.960] んだよ。これのリメイク。それもすごく
[02:46:22.800] 面白そうなんだよね。それもすごく面白
[02:46:25.479] そうなんだよね。あのなんかね、あの天使
[02:46:28.160] がめちゃめちゃなんかなんかすんげえ
[02:46:30.120] 可愛くなってるみたいな。あの天使いた
[02:46:32.520] じゃん。あれがなんかすげえあの可愛く
[02:46:35.160] なってるみたいな。なんか聞いたな。
[02:46:37.520] すごい面白そうなんだよね。ま、そんな
[02:46:39.680] ようなゲームでございましたと。はい、
[02:46:41.560] ありがとうございます。えー、まあ
[02:46:45.800] そのうちはうん
[02:46:47.840] 。リクエストで
[02:46:48.560] よかったね。
[02:46:49.399] やるかもしれません。やらないかも。やら
[02:46:52.240] ないかもしれません。はい。
[02:46:57.040] えー、ほんで次は次は次は何?
[02:47:04.240] えー
[02:47:07.600] 、次はね、え、アークザラットはできない
[02:47:10.920] でしょ。アクアトレーターやりました。
[02:47:12.760] シルバーサーバー。いや、
[02:47:15.560] シルバーサーバーやんなくていいよね。
[02:47:18.000] もうシルバーサーバーは分かってるもんね
[02:47:19.600] 、みんなね。もう
[02:47:20.720] 本命
[02:47:21.840] シルバーサーバーはもうやんなくていいよ
[02:47:24.200] ね。いや、今、今さ、この、いや、今ね、
