[00:00:34.440] おす、おす。
[01:29:13.960] わからん。わからん。わからん。パズルが本格的になってきた。
[01:29:18.480] いや、もうずっと本格的。わからん。わからん。わからん。
[01:29:21.280] グぐブグ。
[01:29:26.719] 自信があるから。
[01:29:27.719] ありがとう。
[01:29:29.040] 自信があるから。レトロゲーム好きでいてください。
[01:29:33.760] そうだな。そうだな。なんだか来てないかい。なんだか来てないかい。これなんだかえぬ。
[01:30:04.960] でもさ、さん
[01:30:12.920] え
[01:30:24.719] だめか。
[01:30:30.080] わあ、ダメなんだ。
[01:30:32.000] ええ、なんか惜しい気がする。なんか惜しい気がするんだよね。なんか行けそうな感じない?なんか行けそうな感じちゃう?
[01:30:49.639] 行けそうでしたね。
[01:30:51.080] なんか行けそうやったよね。
[01:31:06.600] うーん。ここで壊すのは間違ってるんだろうか。
[01:31:10.000] 行くな。
[01:31:11.320] 行くよ。メス書きがいる。ここを掘るのは間違ってるのかな?でもさ、ここも掘らなあかんやん。
[01:31:22.280] でも
[01:31:28.159] ここも掘らなあかんや。
[01:31:36.480] いや、これは間違ってる気がするけどな。
[01:31:59.119] いや、全然ダめだよ、これ。間違ってるよ
[01:32:01.800] ね。ええ、
[01:32:05.000] なんやのこれ。わかんね。これどう取るん
[01:32:08.440] だよ
[01:32:18.960] ん。あれでもさ、待って。ここ掘るために
[01:32:23.600] スコップ1個必要じゃん。ここ掘るために
[01:32:26.520] スコップ1個必要なんじゃん。ほんで俺さ
[01:32:28.760] 、なんか片くにさ、片くにそこ一掘ってさ
[01:32:33.080] 、なんかあれしてるけどさ、結局ここまで
[01:32:35.679] さ、これここ通れるんだったらさ、別に
[01:32:39.119] ここ掘る必要なくない?
[01:32:41.920] で、ここ掘らなければあそこにスコップ
[01:32:43.639] 使えるよな。は、それじゃん。絶対
[01:32:47.920] 絶対それじゃん。普通にあそこ通らないの
[01:32:49.840] を守ればいいだけの話じゃね?
[01:32:53.560] 違います。
[01:33:06.080] 左にアイテムがつあるのがね。
[01:33:11.159] 左に。
[01:33:14.520] ああ、そうか。でもそうか。そうだよな。
[01:33:16.760] でもそうだよな。この上のドリルが、この
[01:33:19.199] 上のドリルがどうやっても取れなくなっ
[01:33:21.040] ちゃうんだよね。
[01:33:29.560] えー、待って。全然わかんねえな。
[01:33:35.719] そうだよ。このドリルが取れなってまう
[01:33:37.719] ねん。
[01:33:47.560] え、わかんねえな。これ何?
[01:34:10.199] あ、やべ
[01:34:13.520] 。ちょっと、え、ちょっと待って。
[01:34:15.480] めっちゃむずいな、これ。んだろう。
[01:34:17.920] やべえ、マジで12時まで余裕かと思っ
[01:34:19.840] たら意外と全然やばいな。
[01:34:23.639] これやばくない?ここ
[01:34:36.679] クソはった時のクリアってドパが気になる
[01:34:39.320] 。
[01:34:41.440] 何?クソは何?どういうこと?どういう
[01:34:43.000] こと?クソはまった時のクリアでドパが金
[01:34:45.360] になる。なる、なる。
[01:34:46.000] 脳みそも、もうマジであの脳みそが一縮しちゃう。気持ちよすぎてド見すぎてドパきになる。うん。
[01:34:53.679] ドパおじ
[01:34:54.440] ドパじになっちゃう。江戸走りしちゃう。江戸走り。えー、わかんねえな。これは
[01:35:02.360] クリアルート分かっている人いるの?
[01:35:04.560] なんかね、分かってねえくせに分かってるふりばっかしてるやついっぱいいんだよ。腹立つんだよな。わかんねえくせに。あ、そこじゃないよみたいなよ。
[01:35:14.760] 笑笑。腹立つなん、こいつらマジで。
[01:35:17.520] 笑笑。
[01:35:18.840] こいつら腹立つんな。分かってねえくせにさ。
[01:35:21.880] わからないんだ。笑わ。
[01:35:26.119] こういうのがいっぺいるんだよ。絶対分かってねえから。絶対分かってねえからな。
[01:35:30.719] 笑笑。
[01:35:35.119] いや、むずいよ。
[01:35:41.560] いや、ここ1点目はこれだと思うんやけど
[01:35:45.600] さんの味方だけどね。いよ。
[01:35:49.679] 1
[01:35:49.880] 手目はこれやと思うんやがね。す、笑。
[01:35:55.600] 1
[01:35:55.840] 手目はここやと思うんやがね。どうなんやがね。むー。
[01:36:09.520] このドリルをどう取る?これね、あの
[01:36:12.280] エンチャンのために説明するけど、これ
[01:36:14.199] アイテム持ってる間ジャンプができなく
[01:36:16.080] なるのよ。アイテム持ってる間ジャンプが
[01:36:18.280] できなくなっちゃうのよ。
[01:36:20.679] だからこれ拾えないのよね、これ。この
[01:36:22.360] ドリルを拾えドリルが拾えないのよ、これ
[01:36:25.600] 。
[01:36:30.119] むず。笑
[01:36:31.320] そうなんだ。めっちゃむずいんだよ。
[01:36:37.280] やっぱでもここ1段掘っとくのは正解な
[01:36:40.000] 感じするけどな。じゃないと今度ここに
[01:36:42.239] こうやって乗れなくなっちゃうからさ。
[01:36:43.960] ここに乗れなくなっちゃう。このここは
[01:36:45.920] もう乗れないのよ。この高さは。
[01:36:47.600] あべあいんか。これでこれでこれでこれで
[01:36:50.760] こうな感じするけどね。
[01:36:54.960] 着眼点
[01:36:56.760] 偉そうに偉そう
[01:36:59.119] に分かってねえだろ。
[01:37:02.360] ダブル。笑笑。これ、これ、これじゃないの?でも俺分かったかも。
[01:37:22.400] 嘘。や、絶対ない。絶対ない。えが分かるわけないやん。
[01:37:28.400] えんちゃんが分かってたら俺もうビりビり散らかすぞ。だってえんちゃんあれじゃんだって。えんちゃんあれじゃんだってあのこないだ配信してる時に俺がさ、
[01:37:40.239] あのすいません。
[01:37:42.440] あのソロモンの鍵やってよって言ったらステージ
[01:37:45.599] 2
[01:37:45.760] で積んでたもん。えんちゃん。え、わかんないて言っての指示で動いてみて。
[01:37:51.320] あ、確かにえんちゃんの指示で動いてみよっかな。じゃあえんちゃんの指示で動いてみる。
[01:37:57.960] ちょっとこれ、これ終わったらね。
[01:38:07.599] あ、てかもうこれだめだ。いや、わかん
[01:38:11.239] ねえ。これ
[01:38:16.560] どうかな。エチャン分かるんだったら指示
[01:38:18.119] していいよ。いや、わかんねえな。どう
[01:38:22.880] 考えてもアイテム取れないじゃん、あれ。
[01:38:39.360] えー、なんだろう。全然わかんない。
[01:38:44.280] とりあえず動いていきましょう。
[01:38:45.920] ま、とりあえずな。あ、違う。間違えた。ああ、なんかこんな感じな気もするけどなあ。どうかな。
[01:38:56.800] ああ、
[01:39:06.440] ちなみに
[01:39:12.880] 喋る1段掘る印ドリトル
[01:39:15.440] 下に落下して8個金玉はできるシャベル1
[01:39:18.960] 段掘るはいシャベル1段掘るはいシャベル
[01:39:21.880] 1段掘る左ドリル取る下に落下した8個
[01:39:25.840] 取る下に落下して8個取る。
[01:39:30.119] ああ、ここ、ここ、ここ、ここの、ここの
[01:39:32.440] 、この、ここに落ちるってことね。
[01:39:35.199] 落ちれる。行けるけどいけるけどドリル
[01:39:37.400] 持ってくるからジャンプができんよ。
[01:39:39.679] ドリル持ってるからジャンプができない。
[01:39:42.360] だから結局戻ってこれなくなっちゃう。
[01:39:44.119] ここに
[01:39:48.920] こう落ち、落ちてもいけるけど。
[01:39:57.159] 忘れてた。
[01:39:57.920] そうだ。ジャンプできないんで。そうなんですよね。だから取り行くんだったら何も持ってない状態で行かなきゃいけないんだよね。だからやっぱなんかこれここのこの感じこの感じちょっとありなのではと思ってるよ。この感じ。
[01:40:55.599] ドリルってどこまで掘れるの?
[01:41:00.080] ドリルはドリルはこの
[01:41:02.360] 2マスというかなんていうか
[01:41:05.040] 1ブロックちっちゃい四角
[01:41:07.080] 4つ分でこのスコップは
[01:41:12.760] 1このこの薄薄い薄いと
[01:41:15.679] 1
[01:41:15.840] 個分しか来れない。あれでもなんか行けそうだな。あれなんかでも行けそうだな。
[01:41:33.400] あれ?なんかなんか惜しいなあ。
[01:41:38.080] なんか惜しいなあ。
[01:41:41.440] これも戻れないでしょ。これ
[01:41:44.119] 戻れねえ。惜しくない?これ惜しいな。
[01:41:47.440] なんか1個足んねえな。
[01:41:54.199] なんか1
[01:41:54.599] 個足んないね。惜しいなあ。行けそうだけどね。
[01:42:07.560] あと1月けるかな?笑。
[01:42:10.560] うぜえ。うぜえ。おめ絶対分かってねえだろ。
[01:42:15.560] ダブル
[01:42:23.400] なんか今惜しかったなあ。なんか今匂ったよね。
[01:42:28.280] なんか今匂ったよね。
[01:42:54.000] いや、なんかこれはなんか合ってると思う
[01:42:56.599] んだよな。合ってると思いたい。ここまで
[01:43:00.960] はだってこうやってやる以外取れないもん
[01:43:03.199] 。絶対
[01:43:06.199] ここは合ってると思いたい。
[01:43:31.920] いや、でもこれさっきと同じか、これ。
[01:43:33.320] じゃあ
[01:43:46.480] いや、ダめだね。うわあ。なんだこれ?
[01:43:50.679] わかんねえ。ここ待って。この50
[01:43:54.480] ステージからえぐない?ステージ
[01:43:57.560] 50残り10
[01:43:58.719] ステージのこの牙の向き方が半端じゃないんだけど。やべえ、マジであと
[01:44:06.159] 10分しかねえ。ちょっと待って。
[01:44:09.960] 別にそんなエぐない。
[01:44:12.199] ほらほらこういうこういうのがいるねんて。じゃ、教えてくれよ。もうペットリのあのあれで動くよ、俺。
[01:44:21.719] 教えてくれよ。
[01:44:25.199] 頑張ってウリンク。
[01:44:27.679] いやあ、むずいね。
[01:44:33.760] 俺が賭けで大敗したステージたちの
[01:44:36.960] あれ?あれ?マジで3分とかで3
[01:44:40.159] 分とかでクリアできるから。
[01:44:43.080] 笑笑
[01:44:44.960] マジであれ3
[01:44:45.639] 分とかでクリアできたからな。あのステージだけなぜか。
[01:44:49.599] あのステージだけなぜか。
[01:45:07.320] いやあ、ごめん。わかんねえ。これ
[01:45:16.880] 普段やらねえことやろ。まずは大胆に
[01:45:21.199] 大胆に普段やらねえことやる。
[01:45:40.119] ああ、普通にあれだ。え、大切やね。
[01:45:55.360] 大胆やな。笑笑。
[01:46:06.040] えー、でもなんかやっぱこうなんかわかん
[01:46:08.920] ない。頭が掘り固まってるな。これしか
[01:46:10.760] 思いつかねえ。これちげえの?
[01:46:18.119] これ違うかね?これ
[01:46:23.639] 。
[01:46:32.560] なんならこうしちゃう。
[01:46:58.599] だな。うわ、なんだマジでこれ。いや、
[01:47:02.920] マジかわからん。
[01:47:22.080] これないんだもな。
[01:47:24.840] これ掘れないんだもんな。
[01:47:34.360] ありがとう。
[01:47:57.040] 大きく
[01:48:14.440] でかすぎんだろさおめその
[01:48:26.480] 続き
[01:48:27.760] 可愛いよな。また破さんか。
[01:49:04.960] ちゃまぷんちゃね。
[01:49:23.560] あ。
[01:49:54.800] なんだこれは難しい。
[01:50:00.920] ちょっと冗談じゃなくこれ分かるやついる。冗談じゃなくこれ分かるやつ。どうせモルコペってら余裕とか小ざくだろうけど。冗談じゃなくてマジで分かってるやついる。
[01:50:15.560] 笑笑。
[01:50:19.599] これめっちゃむずくないか?ここ本当に
[01:50:23.000] 分かってるよ。
[01:50:24.040] うるせえ。
[01:50:25.199] 何にもわかんない。
[01:50:26.480] 全然わかんねえな。
[01:50:27.960] 攻略見れば分かるよ、正直。
[01:50:30.360] 1mm
[01:50:30.760] も考えてない。笑笑ドリル使う場所工夫できますね。
[01:50:36.560] ドリル使う場所は確。ドリル使う場所は工夫。いいじゃっりさ、
[01:50:44.119] 1点目だけ教えてくれよ。じゃあ頭使理解
[01:50:48.639] 1
[01:50:48.800] 目だけ教えていく。
[01:50:50.480] 11
[01:50:52.000] 個目の行動。
[01:51:03.679] ドリル使う場所は空の
[01:51:06.679] やっぱやっぱそれはそうなんだ。
[01:51:08.440] まずコダックの電源をつけます。
[01:51:10.639] いや、うるあれマジうるせえから。マジうるせえから。
[01:51:14.199] まず真ん中の右のやつ壊して。笑笑。
[01:51:22.000] やべえ。あ、マジでちょっとこれもう次ラストコンティニューだな。
[01:51:25.079] 怖い。
[01:51:41.360] イライラするな。ラムネクエ
[01:51:44.280] イライラしてないよ。別してねえよ。うるせえ。
[01:51:47.760] うん。
[01:51:50.639] してますやん。してますがな。
[01:51:54.360] こっぱ
[01:51:56.760] うま。真ん中の右のやつ何?
[01:52:01.199] ないで。
[01:52:02.119] お疲れちゃん。
[01:52:03.280] 真ん中の右のやつ何?お、順だ。
[01:52:08.520] さえた。
[01:52:12.320] まだまだまだ吸中してない。
[01:52:17.560] これあるぞ。
[01:52:25.920] なかった。
[01:52:27.280] 落ちちゃだめなんよ。
[01:52:34.679] はしごの右。
[01:52:38.079] はしごの右。ど、どっちのはしごの右よ。
[01:52:53.560] もういいや。苦しんでくれ。なんなんだよ。いいよ。わかんねえよ。泣かないで。
[01:53:24.599] は
[01:54:07.480] なんか惜しいこれ。なんかこれ惜しいぞ。
[01:54:17.040] この扉さえタイム最後行け。
[01:54:20.480] この扉さえ。この扉さえこっちに向いてれば行けてたな。
[01:54:29.360] 一方通行さえ。
[01:54:32.440] ごめん。ラストごめん。これまもこれラストね。ラスト。ラスト。ラストラスト。行くぞ。
[01:54:38.840] 中央左右にドリルは確定か。
[01:54:42.119] ちょっとダメ戻す。中央左右
[01:54:48.079] 覚醒来る。
[01:54:50.400] 俺もうね、逃げない。
[01:54:56.719] かっけ
[01:55:03.360] 右だけで良さそう。
[01:55:07.000] 右だけでいい。
[01:55:10.639] はしご登り中にドリル行けるんか?
[01:55:13.000] はしご登り中にドリルは行けない。行けない。行けない。行けない。はしご登り中にドリル行けない。え、これ合ってるよな。
[01:55:26.400] さっきかドリル使わないと出れない。
[01:55:41.760] ここまでは
[01:55:43.880] それできたら1
[01:55:44.760] つで行けますものね。えちゃんさん良い着点。
[01:55:48.280] お、褒めて伸ばすタイプです。褒めて伸ばすタイプね。
[01:55:55.320] ダブル
[01:55:59.520] 1番いい。
[01:56:05.320] え、これここだよな。これ
[01:56:13.880] そこから降りて右削る。ほんで真ん中ほじほじ。
[01:56:20.880] はあ、そうだわ。あ、いやいや、ダめでしょ、これ。
[01:56:41.480] だめだよ。だってあの8
[01:56:42.560] 個取れなくなっちゃうもん。
[01:56:46.719] その乗ってるとこ削るんだよ。ドパキャンセル。
[01:56:54.400] あの8
[01:56:54.800] 個どうやっとんのさリん。ここ削んなんしょ。
[01:57:23.480] はしご降りたら蓋されるじゃん。政剣付きで壁破壊できないの?
[01:57:36.960] ん、ちょっとわかんない。何?
[01:57:40.560] はしご降りたら蓋される?
[01:57:55.960] あ、全然わかんねえ。
[01:58:23.360] 寝た。
[01:58:40.000] うわ、うわ、うわ、しょうもな。
[01:58:47.679] 何してんの?
[01:58:48.639] しょうもな。
[01:58:50.280] 笑笑残まだあります。
[01:58:54.480] あ、残期まだある。これはブザビでブザビでブザビで
[01:59:01.840] トン兄。えいし。
[01:59:11.199] しもな。ただ俺未だに理解できてない。なんでここ壊すしかないんじゃねえの?なんでここ壊す?
[01:59:21.960] 壊すしかないでしょ。ここだってこの奥のやつどうやってやって取れなくなってまうやん。取れなくなってしまうやん。
[01:59:30.040] どうやったってそこ後からでいいんだよ。
[01:59:47.119] 後から
[02:00:04.480] ボプボ
[02:00:05.119] プやりたいことがある。いや、でもやりたいことがあるって、これ最後なんだけど。やりたいことがあるって、これ最後なんだけど。
[02:00:30.000] いいよ、いいよ。
[02:00:33.560] あ、行けたんじゃね?分かった。分かった
[02:00:35.000] 。分かった。行けたんじゃね?行けたん
[02:00:36.400] じゃね?
[02:00:42.880] あ、
[02:00:56.639] パチパチ。
[02:01:01.239] よっしゃ、行けたろ、これ。よし、よし、よし。危ねえ、危ねえ。
[02:01:12.199] よし、よし、よっしゃ。
[02:01:13.679] 笑笑。
[02:01:17.040] おめでとう。
[02:01:17.599] しびれた。しびれたぞ。
[02:01:21.040] ブーブ。ブグブ。グ。う。
[02:01:24.239] はい。神。
[02:01:27.320] うんちゃんの言う通り。
[02:01:28.960] いや、すごい。でもうんちゃんが言ってることは全然わかんなかったけど。うんちゃんが言ってることは全然
[02:01:36.560] 全然わかんなかったけど。
[02:01:38.719] まあでもまあでもなんか分かったわ。ありがとう。
[02:01:40.679] 勝負強すぎる。かっこよい。
[02:01:44.119] いやあ、危ねえ。ということで飛ば確定します。一
[02:01:48.679] 歩前に来たから気づくかめちゃわざわした。
[02:01:51.520] え、とりあえず討場確定します。
[02:01:55.679] え、ちゃん
[02:01:56.520] 考えてました。さす
[02:01:57.960] 時までにステージ
[02:01:59.679] 51
[02:02:00.119] クリアできました。ま、ほぼうんちゃんのおかげ。いや、みんなのおかげ。
[02:02:03.560] みんなのおかげですけどできました。
[02:02:05.719] パチパチパチパチパチパチ。
[02:02:08.199] いや、これはしびれるね。しびれるね。これは
[02:02:14.599] 到達した時には勝ちを確信したものですが、こんなにいでぶっ込んだったわ。ラス位置でぶっ込みました。
[02:02:23.040] 000ポイント来ちゃ。
[02:02:25.159] ありがとうございます。どうしよっかな。今日この辺で終わりにしたいけど。この辺で終わりにしたいけど。次のステージちょっと見てえな。次のステージちょっと見てえな。でも毎回
[02:02:36.920] 買うわ。
[02:02:37.719] 毎回買った方がいいよ。これプちょっと見たくなるよね。でもね、これ毎回これね、毎回も朝チャップ、朝チャップチャップしようぜ。朝チャップしようぜつって。朝チップすると大体熱中して
[02:02:50.960] 30分ぐらいやっちゃうんだよな。
[02:02:53.560] 朝チャップするか。朝チャップだからね。本当触りだけだよ。耳
[02:02:57.840] やらないからね。見るだけだよ。
[02:03:00.280] 52見てくるね。
[02:03:02.719] いい。
[02:03:02.960] やべ。残り8ステージ。
[02:03:04.760] やったらよろしいがな。
[02:03:06.119] 残り8ステージだぜ。これ全
[02:03:08.920] 60面なんだよ。やべえ。
[02:03:11.440] 52
[02:03:11.880] まで来た。うわあ。うわ、うわ。むずそう。
[02:03:17.560] 待って。
[02:03:19.239] 2面だ。2面ステージだ。
[02:03:21.520] 先っちょだけな。先きっちょだけ
[02:03:24.000] シンプルな迷路っぽい。
[02:03:27.360] なんかそ、見やくなった。
[02:03:28.760] なんかそんなそんな難しそうじゃなくない。なんかそんな難しそうじゃなくない。
[02:03:38.920] 簡単そう。行けそうエッジじゃね。
[02:03:41.840] 行けそうエッジだよね。
[02:03:44.320] 行けそうエッジやねえ。なんかそんなむずくないや。
[02:03:48.320] なしか。じゃあクリアしちゃいましょう。
[02:03:50.840] もアイテムなしだよ。
[02:03:52.400] N、
[02:03:52.840] ここあの掘ったりする必要ないんだよ。
[02:03:55.400] 道グレイのステージだからすぐ行けるね。
[02:03:58.159] ねえ、掘ったりしなくていいんだよ。あ、余裕か。
[02:04:01.360] の敵もない。
[02:04:02.960] 余裕か。
[02:04:09.000] エっちにえっちえっちっちぬっちっちっちっち
[02:04:26.520] ファイナルファンタジーのアーカイブどうなった?
[02:04:29.440] うるしつけえな。ダブル
[02:04:32.040] しつけえな。やったよ。やったよ。後悔しました。ちゃんと公開したよ、ちゃんと。ファイナルファンタジー
[02:04:42.040] X10
[02:04:42.239] の、待って。なんか行け。え、待って。なんかあれあけ上がってたね。ありがとう。怒らないで。
[02:04:56.280] 待って待って待って待って待って待って待って待って待って待って待って待って待って待って。行ける。
[02:04:59.880] これ絶対行ける。これ絶対行けるぞ。これ絶対行ける。ま森ありがとな。いつも気にしてくれて。これってよ。おい、これってよ。
[02:05:17.520] 行けたね。
[02:05:18.800] これ取らなあかんのちゃうんか。
[02:05:21.040] のびハザのネタじゃんか。
[02:05:23.559] おい、取れっていよ。のびハザのネタじゃんか。
[02:05:33.480] あ
[02:05:57.960] 。
[02:06:05.239] あれでもあれでもダメなん。ああ、だからだからだからだから全部取っていかなきゃいけないってことね。もうもうもうもうもうもうもうもう行くわ。もう行く。もう行く。もう行く。もう行く。もう行く。もう行く。ちょっとここだけクリアしちゃおう。ここだけクリアしちゃおう。もう行く。ここだけクリアしちゃおう。ここだけやっちゃおう。
[02:06:28.000] もう行く。
[02:06:30.119] 退職代行。もう行く。行くよ。
[02:06:34.960] 行く。行く。これ行けます。これ多分行ける。
[02:06:42.559] そして次のステージを見てどんどん止まらなくなる。さっきの面だけ難易度違くね?笑
[02:06:48.679] も多分これはやるほないねん。こうなんだ。さっきの面だけ異常に高かったよな。
[02:07:05.320] で、あれ、後で後で取ればいいよな。あれはなかけあったら
[02:07:10.960] 2に入れてたと思うからなくてよかった。
[02:07:23.400] はいはいはいはいはいはいはいはいはいね
[02:07:32.960] 村人村これでこれでいいんじゃないの?これで行けるのでは?え?これで行けるのでは
[02:07:51.599] あとは敵を避けるだけ。
[02:07:57.520] あ、あとゴール行くだけ。あとゴール行くだけでしょ。あ、行けねえや。あ、行けねえや。あれ?あれ?あ、上。あ、いや、行け。はい、行けます、行けます。ルんルん。こっから行けばいいんじゃ。はあ。
[02:08:16.480] いや、行けないやん。え、あ、だからあそこ最後に取ればもう
[02:08:21.960] 1回。もう
[02:08:23.719] 1回。もう1回。もう
[02:08:26.679] 1回。もう1回。
[02:08:27.800] これはいける。笑。
[02:08:30.960] 天然の出た、出た。
[02:08:33.199] もうわっ、もう分かったよ。
[02:08:44.400] なんなら別に
[02:08:48.119] 今日田中シングル少なかったね。養殖のつだ
[02:08:52.320] なん。ああ。ああ。これ最後で。あ、最後でいいやんね。び、びっくりしちゃった。最後でいいやんね。
[02:09:08.159] これは養殖。
[02:09:11.440] これで
[02:09:14.440] いやいやいやいやいやちょ待って。なんで
[02:09:17.079] こんな急に簡単やねん。なんでこんなに急
[02:09:21.000] に簡単になるねん。なんやねん。今までの
[02:09:24.520] 俺の
[02:09:26.239] おいなんやったんや。さっきのステージ
[02:09:28.679] バカむずかったぞ。
[02:09:38.719] がえぐい。
[02:09:39.480] おい、おい、おい、おい。早く消えな。早く消えな。早く消えな。ちょっと、そ、そん、そやめて。そういうあの遅延行為やから。それ
[02:09:54.400] こいつらどうすんの?
[02:09:56.079] え、こいつら?え、
[02:10:05.040] 勝手に消えるんだっけ?笑笑。
[02:10:08.520] 勝手に消えるんだけどさ。やろ。
[02:10:10.840] いや、勝手に消えるんだけど。どっちもが消えるタイミングを待っていくしかねえよ。どっちもが消えるタイミングを。早く死るとまた来るぞ、あいつ。早く死るとまた来るぞ、あいつ。
[02:10:21.360] オケー。おい、おい。こんな、こんなんでいいんかい?
[02:10:28.159] 52ステージ見習ならよ。
[02:10:30.559] 51を
[02:10:31.719] ぐパチパチパチパチパチパチ。
[02:10:35.679] ぐーぐ
[02:10:37.400] 気分がいい。
[02:10:37.960] グぐ
[02:10:39.320] ああ、なんて気分がいいんだ。
[02:10:40.440] ぐーぐ今日クり茶まどペウペウペウチまどペウペウペウまどペウペウペウ
[02:10:49.199] ちょ見ていくか見るだけ見るだけね見るだけ
[02:10:56.320] えつ
[02:10:57.360] いや見るだけよ見るだけ見るだけ
[02:10:59.719] パチパチパチパチパチお触りありやでし化け
[02:11:11.679] ふーん。おしれえコース。
[02:11:23.840] これは難しいね。オクスススピアトスレッス。オクスススピトスレッス。オクスススススピアトスレッス。
[02:11:36.639] わかんないね。はあ。なんだ。難しいんじゃない?ちょっとでもちょっと
[02:11:47.520] アイテムは余裕ありそうです。
[02:11:49.239] 見てく。ああ、なるほど。横
[02:11:50.760] 1列だ。横1列なんだ。あら、なるほね。
[02:12:04.800] なるほね。うーん。おもろえじゃん。
[02:12:13.679] 止まらんねん。
[02:12:15.639] もうね、たまらんねん。待てと。
[02:12:22.440] もう53。
[02:12:23.639] もう53
[02:12:24.760] はクリアなんだが。今日クりあるやが
[02:12:31.280] すごいな
[02:12:32.599] でしょ。
[02:12:42.119] カ無料とでも言いましょうか。
[02:12:51.000] 今日クりありますか?
[02:12:52.360] ないないないない。だからない。もうもうもうもう今日寝るよ。もうもう今日はもう寝るけど。今日はもう寝るけど。
[02:13:02.960] ただやらせてほしい。
[02:13:11.480] 小島よしおもいますと。
[02:13:13.920] ないないないからたない。えー、これ行って取って降りていやあ。
[02:13:36.840] 朝チャップのはずがよ。
[02:13:40.520] あーん。これ多分こいつここで乗ってくん
[02:13:43.520] やろうな。多分な。はい、ということで
[02:13:45.040] 今日はここまでです。はい、今日はここ
[02:13:47.760] まで。もう寝ます。いや、もう明日クリア
[02:13:51.440] そうやな。明日クリアじゃない?
[02:13:54.760] 明日クリアじゃない?お疲れさん。
[02:13:56.880] ありがとね。お疲れさん。
[02:13:59.880] うんさん、うんさん、ありがとう。お疲れちゃん。も疲れ。ペテリもお疲れ。ペロもお疲れ。
[02:14:05.159] CZ
[02:14:05.440] さんもこんばんは。こんばんはじゃ。お疲れ。ということで
[02:14:07.719] おもろかった。お疲れ様。
[02:14:09.159] ああ、えちゃもありがとうね。レドもありがとね。明日で終わりだな。明日で終わりだな。明日で終わりだな。
[02:14:14.840] ありがとなおつ。
[02:14:15.920] 明日で終わりということでありがとうござした。さ誰かにレドしよう。誰かにレドしよう。レトロゲーマーねんか?レトロゲーマー。
[02:14:26.520] レトロゲーマーワイ。あ、ミッシャん。
[02:14:29.239] ありがとう。お疲れちゃん。75連続
[02:14:30.800] ありがとう。75連続視長すごいね。やっ
[02:14:34.760] たねえ
[02:14:36.400] 。
[02:14:40.360] 誰にレドすっかな?レトロゲーマーがい
[02:14:43.320] ねえ。レトロゲーマーがねえ。マステレビ
[02:14:49.280] まやんの?今マスダークマTV
[02:14:55.639] おいおいレトロゲーマーがねえだよ。
[02:14:58.280] やなちゃんもありがとうね。お疲れちゃん。
[02:15:02.119] ダークマスを
[02:15:03.239] ダークマスをやってるのなんか知らねえとこ行こっかな。レトロゲームカテゴ知り合いじゃないの?気持ち良い進捗たです。知り合いじゃねえな。さん知り合いじゃないでもフォロワーしてるはずだな。
[02:15:19.880] してなかったっけな。知ってるな。
[02:15:21.520] グだけか。おつおつ。
[02:15:27.320] じさんもお疲れちゃん。MD
[02:15:28.920] さんもありがとう。
[02:15:30.440] せさんもお疲れさん。ありがとう。せさんもお疲れちゃ。いつもありがとう。
[02:15:34.520] 4の13
[02:15:35.320] 日目が抜けてる後日目も途中で切れてる。ダブル草ダブル。
[02:15:42.320] もうそれは無理。もうそれはマジで無理。もうそれはもうマジで無理だと。もう残ってないから。それはもう上がってないってことは
[02:15:51.960] 笑笑。
[02:15:52.880] いええよ。もうそれはもうええよ。
[02:15:59.000] えっと、もうそれはもう多分もう消え
[02:16:02.440] ちゃったね。ないと思う。もチに残って
[02:16:04.920] ねえもん。
[02:16:08.239] えっと、あとはどうなの?どうすっかな。
[02:16:26.960] はい、巨レドなし。はい、レドなし。もう寝ます。はい、お疲れ様でした。また明日またやりますわ。明日クリアで。はい、よろしく。
[02:16:35.519] よろしく。
[02:16:38.599] ああ、もれた。
[02:16:40.639] そんな気派してた。おやすみ。解散
[02:16:43.599] なんか、なんかあの転合いの人がいなかった。いや、いるんだけど。なんかいるんだけど
[02:16:48.679] とっても悲しい。
[02:16:50.760] ヤす子もいますと。ヤこもいます。へそでちゃを沸かす。お馴染みし
[02:17:14.160] 安子。40kmあると足臭くなるらしい。
[02:17:19.800] 何その情報
[02:17:22.080] 誰だって臭くなるだろ。40kg冗談
[02:17:26.319] 0mで臭いやつもいるのに。
[02:17:35.240] 足臭いの?俺の足バラの香りがするけど何か
[02:17:41.240] の香りがしますけど何か
[02:17:44.280] 臭くて猫せるやつ何それそれ
[02:17:52.920] ま、それはそれでいい匂いだけど豚バラの焼けた香ばしい。
[02:17:58.800] ああ、もう寝るよ。
[02:18:04.080] お、
[02:18:04.479] 全部出す。全部出す。はい、おやみたい。
[02:18:13.880] ゴードゲめ。ゴードゲめ。ゴメ。
[02:18:17.120] はい。お疲れ様でした。
[02:18:18.960] 出す。全部出す。
[02:18:21.280] お疲れ。はい。
