[00:00:36.399] ひ下
[01:59:40.599] でもこのグラニュース2で唯一PSP
[01:59:43.960] にね、勝ち、
[01:59:45.560] あの、移植されてるんだよ、実は。
[01:59:48.840] PSP
[01:59:49.320] のシャラマンダコレクションっていうさ、サラマンダポータブルっていうゲームがあるんだけど、ま、それもプレミアついてんだけど、それのおまけとしてこのゲームが移植されてて、で、その何がすごいって、それはこのカクカク
[02:00:03.239] スクロールをね、あの、ムーズクロールに直したやつなんだよね。
[02:00:07.719] だからもしこのゲームやりたい人はそれをやるのをお勧めするわ。うん。お、
[02:00:12.800] 費用的にも多分そっちの方が安いしね。あれもプレミアついてるけど
[02:00:17.800] MSX
[02:00:19.400] 揃える方がだいぶかかるからな。でも俺はなんかやっぱりこの
[02:00:27.360] MSX
[02:00:28.000] でやりたかったんですわな。やっぱりその移植版も良かったんだけど。
[02:00:44.360] なあ、ちょ、ゆっくり考えさせて。ここね、こりますわな。
[02:00:48.560] ここゆっくり考えさせてえや。マジがありますわな。
[02:01:18.119] いや、あんまり、あんまり、あんまり深い
[02:01:19.760] するね。あんまり深いするね。ここ
[02:01:23.199] ナブさンピポさンピボ危ぶねえ。あ、もう
[02:01:27.800] 、もういっちゃっちゃちゃちゃ。
[02:01:28.719] もう行っちゃっちゃ行っちゃうちゃう。ここすぐ行っちゃうのが一番多分これがあの終わっちゃうよっていう図なんだろうな。あのやもうここもうね、もうじんどる。この戦闘をじど取る。これが大事。戦闘をじど取る。これが大事。まだ下がってくるよ。まだ来るよ。まだ来るからな。まだ来るからな。
[02:01:58.639] よしよしよしよし。オプション
[02:02:00.320] 1
[02:02:00.480] 個もねえけど。まあまあまあまあまま。よしよしよしよし。
[02:02:04.520] 久しぶりに聞いたわ。ナムさん
[02:02:06.480] 4。
[02:02:08.520] 確かにこういうゲームじゃないと出てこないからな。いやあ、ここでセーブしたいな。これむずいぞ。倒すの。オプションしないとこれ。
[02:02:31.040] これちょっと時間かけていいか?ここ危ね。もう正味あのビームが当たってるかどうか俺は見てない。もうこれ避け避けるだけ。俺は避けるだけ。
[02:02:42.400] これを
[02:02:54.000] やたんねえって。
[02:03:11.320] 危ないってよ。それかっこいい
[02:03:28.400] な。このドットがすごいよな。MSXでさ
[02:03:33.199] 。
[02:03:42.400] またこれアンチがねえように撃ってくんな。
[02:03:49.280] ドットとは思えない。
[02:03:52.239] あ、待って待って。あ、よしよし。行け行け行け。ぐンぐンぐンぐンぐン。よしよし。並走取るぞ。ここ頑張ろう頑張ろ。ここ
[02:04:08.119] ぐーぐーぐ。
[02:04:09.639] 行くぞ。ここ頑張るぞ。
[02:04:12.760] ナイス。
[02:04:14.239] この敵の中に入って敵の並走を奪うっていう胸イベントがあるんだよ。ただ
[02:04:19.760] 1
[02:04:19.920] 回でもミスしたらもう終わり。あ、終わった。無理だよ。しかもこれクケアクラブだよ。ああ、多分これステージ
[02:04:34.639] 3
[02:04:34.880] 行っちゃいました。あ、なんか敵がすごい。なんか敵がすごいよ。
[02:04:39.559] 笑。
[02:04:40.760] 敵がすごいよ。えー、なんか俺も特殊並走欲しい。倒した敵の中に入って特殊な走を奪うことができるらしいんだけど、
[02:04:52.320] 1回しかチャンスないのよ、あれ。1
[02:04:54.040] 回でもクリアすると、あの、失敗するともう次進んじゃうんだよね。お、なんだ?
[02:05:02.119] BGMかっこいい。
[02:05:03.280] こんにちは。
[02:05:04.360] お、今もこんちはっす。今もこんちは。
[02:05:07.679] 味のあるゲームを噛みしめている俺は今。
[02:05:14.000] うわ、何これ?すご。
[02:05:17.719] うお、すご。わあ、すごいじゃん。あ、
[02:05:19.880] なんか
[02:05:21.480] ああ、何これは最強なん。
[02:05:26.239] うまいな。避けんの。
[02:05:36.559] よしよしよし。はあ、すごい。これ
[02:05:43.119] はええ、すっごい。はえ、すっごい。これ
[02:05:47.239] フィールドじゃんよ。すごない?これ。あ、間に合わない。間に合わない。むず、むずいけど楽しい。むずいけど楽しいね。
[02:06:08.920] BGM良すぎな。そして全然倒せ。
[02:06:19.079] 結構進んだの?
[02:06:20.639] えっとね、今ステージ
[02:06:22.199] 3。今ステージ3
[02:06:24.599] 無限コンティニューで。しかも無限コンティニューなのにまだステージ
[02:06:28.760] 3だから2
[02:06:29.920] 時間やってんのに。何ステージあるんだろうね、これね。わかんないけど。
[02:06:36.040] いいね。
[02:06:37.280] このさあ、この
[02:06:39.599] グラニポジ。
[02:06:40.880] これすごくない?え、見えないよ。グラニポージ。セラニポージみたいな。
[02:06:58.719] にゃむにゃむさんむずいってむずいけどいいね。この雰囲気が
[02:07:10.360] なむみピーポ
[02:07:11.679] ナムさんピーポたダタたたダタブグムが噛みすぎる。
[02:07:22.599] ブグムがコナミ派クラブ下
[02:07:29.920] だよな。
[02:07:32.119] ほんまに下手
[02:07:34.280] ほんまに下手でも好きなの
[02:07:41.040] ブルムバガマ
[02:07:44.000] バガマがブムね。ブグムBGMのことね。
[02:07:48.440] BGMのこと。ブグムブグムがいいんだ
[02:07:52.599] けど。ホバディボー。
[02:07:55.760] ホバディボー。
[02:08:07.719] これね、このね、画面内に弾が2個しか
[02:08:10.320] 出せないっていうのがまた難しさ白射を
[02:08:12.760] かけている。
[02:08:17.119] この1発外すとこのカが消えるまで次打て
[02:08:21.079] ないのよ。
[02:08:24.440] いや、ここあえてレーザー取らないよ。
[02:08:26.000] あえてレーザーは取りません。
[02:08:28.719] ここはオプション。うん。うん。
[02:08:33.800] いや、すごいよ、これ。このグラフィック
[02:08:37.119] とかすごくない?
[02:08:44.440] え、今何に当たったの?
[02:08:48.320] 当たり判定でかいって。
[02:08:52.320] 今なんか当たってたか?
[02:09:05.280] 全然弾が出ねえ。めっちゃ連打してるのに
[02:09:09.559] 弾が全然出ねえ。
[02:09:20.480] ミサイルじゃないのかもな。
[02:09:22.679] に対応して欲しいな。
[02:09:24.400] あのね、レトフリもね、MSX
[02:09:26.400] やる方法あるんだよ。やる方法あるよ。レトフリでもちょっとめんどくせえけど。あのね、ゲームボーイアドバンスに
[02:09:34.000] マジ
[02:09:34.639] うん。あのね、ゲームボーイアドバンスでもね、自分でやっぱロムとかはあの吸出しはできないけどね。吸い出しさえ吸水出しさえ自分でどうにかできるんであればレトフリでやることはできる。
[02:09:47.719] やっぱね、何が難しいてやっぱ吸い出しな
[02:09:49.920] んだよね。結局
[02:09:52.159] ロムを自分で用意できるんだったらできる
[02:09:54.440] 。ゲームボーイアドバンスの
[02:09:58.239] エミュレーターでゲームボーイアドバンス
[02:10:00.760] であのなんて言うの?この
[02:10:03.719] MSXをやるエミュレーターがあるんだよ
[02:10:05.440] 。ゲームボーイアドバンス上で。
[02:10:10.159] それを入れればあのできる。要は何だっけ
[02:10:15.639] ?レトフリの中のゲームボーイアドバンス
[02:10:19.079] でそのエミレーター立ち上げてそう
[02:10:23.719] で普通にセーブとかもできるしまあでもな
[02:10:27.079] MSXを吸い出し
[02:10:31.000] 確かMSX1しかできないんだよね。確か
[02:10:33.280] 2とかはできない。あ、でもこれ1だから
[02:10:35.639] ね。いや、これワンってやばいよな。あと
[02:10:39.440] あと下手すぎない?ちょ待って。
[02:10:43.079] ちょっとじゃ、本気で行くわ。本気出させてもらいますわ。本気で行きますわ。本気で行きます。もう背筋ピンと
[02:10:57.559] マジ?
[02:11:00.440] 本気と書いてマジ?全然見えてない。全然見えてなかった。今嘘。出てた。
[02:11:09.440] 弾
[02:11:21.920] でデレステデデデデデーん
[02:11:25.119] デレスデデデデデデデーん
[02:11:27.199] デデレステデて
[02:11:29.599] これゲセにはないよこれこれ言うたやろ
[02:11:32.320] さっきそれ
[02:11:34.559] あのローマ数字の2がゲ戦にあったやつや
[02:11:37.280] ねんこれは家庭用のオリジナル
[02:11:39.000] 初の初の家庭用オリジナル作品なんだよ。だから同じ
[02:11:42.960] 2でも
[02:11:44.360] あれなんすわな。違うんすわ。
[02:11:47.159] 2
[02:11:47.400] なんすよ。ま、ファミコンまでもファミコンと同時期ぐらいの話なんだけどこのゲームのいいところはそのファミコン版、ファミンってやっぱ最強だったんすよ。ファミコン版やった方が良くねって言われることが多かったんですけど、このミコンに負けないように頑張ってるのがいいのよ。
[02:12:07.520] ファミコンにはない要素をたくさん入れて
[02:12:09.440] さ、確かにスクロールとかね、あの処理
[02:12:12.679] 能力はファミコンとかずっと上だけどこれ
[02:12:14.960] には負けないよと知識はあります。あ、
[02:12:17.440] 実疑はダめ。うん。エロいことも一緒俺
[02:12:21.920] 知識はいっぱいあるんだけどな。うん
[02:12:25.280] 。知識はあるんだけど実疑。笑笑
[02:12:28.679] 知識しかない。
[02:12:38.480] お、いいよ、いいよ、いいよ。
[02:12:45.119] ここBGMめっちゃかっこよくね、
[02:12:50.599] あいつ弾出しすぎやで。
[02:12:54.000] いやあ、どうしよっかな。オプション狙う
[02:12:56.480] かな。やっぱな。オプションな。
[02:13:04.480] エビ
[02:13:05.239] はあ。ブグムもっと聞きてえよ。やん。
[02:13:31.079] ま、これ無限コンティニューなだけが、
[02:13:34.000] あの、無限コンティニューだけが救いです
[02:13:36.760] わ。ビギミ気味
[02:13:39.480] 。
[02:13:41.400] いや、このゲームビギミ味マジ言う。弾の
[02:13:44.520] 出が遅い。ちンちンち。
[02:14:04.840] スズメじゃねえんだからさ。チュンちン弾売ってるだけで終わっちまんだよ。これ
[02:14:10.800] 邪げの本気と書いてマジなやつかせよ。ダスにムスックスメシス
[02:14:17.719] や。ナイスクリップ。ミサイルを出す。ミサイルは出す。全部出す。
[02:14:33.320] あ、だ、ここちょっとこれ無理だよ。す、全部出す。ああ。いや、ここでパワーアップ取れなかったらもう無理やで。
[02:14:56.320] ここでパワーアップ取れな。
[02:14:59.599] あかんで。
[02:15:03.320] せめてミサイルぐらいを取っとかないとな
[02:15:05.000] 、マジで。
[02:15:11.880] いや、ダブルを取るか迷うんだよ。これ
[02:15:13.760] ダブル結構罠だからさ。要は1画面に弾が
[02:15:17.159] ね、2つしか出ないからね。ダブル取っ
[02:15:18.880] ちゃうとね、もう1発打つだけでもう
[02:15:22.719] まムマムマム
[02:15:23.920] まムマムマムマムマムマムアべアばぺアブ危ない
[02:15:40.559] ちょっと、ちょ、ちょ、ちょ、ちょ、ちょ
[02:15:41.480] 。
[02:15:44.400] ほ、
[02:15:48.480] どれ、どれ、どれ、どれ?これか?オ、ま
[02:15:51.599] 、ま、ま、危な。よし、よし、よし、よし
[02:15:53.119] 、よし。いいぞ。
[02:15:55.520] 行けない。それは行けない。
[02:16:00.400] きついって。これ間に合わねえって、これ
[02:16:02.719] 。あ、だ、じゃあ、こうか。じゃあ、こう
[02:16:04.159] か。じゃ、おお、おしれえ。
[02:16:07.639] なんだこのゲームは?お、
[02:16:13.280] おもろすぎやろよ。できてはりますわ。このゲーム何?今度はやめて。そういうの。
[02:16:30.400] あとは
[02:16:35.559] これなんか壊しちゃいけない柱とかねえよ
[02:16:37.519] な、これ。グラディウス
[02:16:39.920] ジェネレーションにもこんなのあったよ。
[02:16:42.679] なんか壊しちゃいけない柱が実はある
[02:16:44.399] みたいな。
[02:16:48.040] うわ、ダブル取ってねえからしんどいな、
[02:16:49.319] これ。いや、やめ。早い。敵の動き早いの
[02:16:52.439] 。
[02:16:59.599] いや、ダブル取っちゃおうかな、これ。取るわ。さすがに上処理できないのしんどいわ。うん。連射力めっちゃ落ちるんだけど。いや、その後ろから来んのやめてよ。後ろから来んのやめてよ。あ、こっちだ。絶対こっちだ。あ、あ、あ。
[02:17:33.639] イエ。もう
[02:17:35.599] 1発で行こうぜ。1
[02:17:36.840] 発で行かせてくれ。頼む。
[02:17:38.760] うますぎ。
[02:17:40.319] あ、来た。ボスかっこよ。あ、これさっきと一緒じゃん。お、こいつ超苦手なんだって。めっちゃ時間かかるから。やもビームの量がすげえ。
[02:17:58.280] すごい、すごい。もう弾が見えない。自分
[02:18:00.639] の弾がどこ行ってのかわからん。
[02:18:10.000] これ正面にいた方が安全じゃないか、
[02:18:11.719] こいつ。もしかして。あ、正面、正面にい
[02:18:14.920] た方が安全じゃないか、こいつ。
[02:18:21.439] うん。そうだ。やっぱりこいつ正面だ。
[02:18:24.399] アンチ、アンチではないけど、
[02:18:27.479] ほら、正面にいた方がなんかあんまり避け
[02:18:29.439] ないで済むというか。
[02:18:33.920] いいぞ、いいぞ、いいぞ、いいぞ、いいぞ
[02:18:34.719] 、いいぞ。アプデ
[02:18:41.559] 。この胸ポイント。これ敵の中に入って敵
[02:18:43.280] の能力奪うというこのMSX版にしかない
[02:18:46.639] ポイント。
[02:18:49.200] いや、1個ぐらい、1
[02:18:50.719] 個ぐらい欲しくない。何で、
[02:18:53.519] 1
[02:18:53.639] 個ぐらいさ、あの特殊並走欲しくない?今んとこ全部失敗してるけど
[02:18:58.960] 1
[02:18:59.160] 個ぐらい欲しい。この敵の中のこのさ、黄色いのがさ、無理なんだ。
[02:19:15.399] 1個も取れん。1個も取れん。
[02:19:17.719] これ敵の特殊並走。あ、また始まっちゃった。
[02:19:21.599] 会感
[02:19:23.120] んだよ。無理だろ。ステージ
[02:19:30.200] 5かな?今じゃこれ
[02:19:31.960] 1個進んだってことだよね。1
[02:19:33.280] 個進んだんだよね。多分ね。
[02:20:06.920] むずいな。レーザーはレーザー。うの早、
[02:20:09.960] 早。
[02:20:11.720] なんか今、え、
[02:20:14.920] バカ早かったけど、今なんか
[02:20:30.120] ちょっともう難しい難しい
[02:20:33.240] 難しいです。
[02:20:47.880] いやあ、もうこの空中戦からもうね、殺し
[02:20:52.560] にかかってくるんすわ、こいつらは。この
[02:20:55.200] なんか準備段階のこのさ、ステージが
[02:20:57.120] 始まる前のこのここで
[02:21:01.040] 殺しに来るね、このゲームは。
[02:21:13.560] いや、そのめちゃんこ早い。このこれ早
[02:21:17.240] すぎでしょ。敵のこの動き石みたいな。何
[02:21:19.840] これ氷?なんだろう?
[02:21:26.160] BGMよ。BGMよ。え、ちょっとBGM
[02:21:31.880] かっこいい。BGMかっこいい。
[02:21:35.600] ブグムがいいな。今ブグム。
[02:21:41.000] 聞かせろ。
[02:21:42.800] 俺も聞きてえのに。ビ気味良かったな、今。微気味。
[02:22:05.080] むずい。これさあ、この正体を全部倒すの
[02:22:09.640] めっちゃうわー。もう難しい。
[02:22:26.080] うまいよ。いいよ。いいよ。いいよ。うまいよ。うまいよ。うまいよ。うまいよ。うまいこ。うまいよ。うまいよ。うまいとこ。ああ、でもあ、取れない。あ、取れない。取れない。取れない。
[02:22:54.800] あと
[02:22:57.319] 全然取れない。だめだ。全然取れない。
[02:23:03.359] これ難しいの。弾2個しか打てないんだ
[02:23:07.800] からさ。
[02:23:26.479] い、ちょっと、ちょっと、今、ちょっと
[02:23:30.720] 集中させてください。
[02:23:37.160] ほんまにもほんま
[02:23:40.080] ほっぱで
[02:23:47.840] ちゃんとやれよ。
[02:23:50.160] やんだよ、ちゃんとよ。
[02:23:54.359] よし。
[02:23:58.600] あ。
[02:24:13.319] いい声泣きやがるぜ。笑笑。おさん、
[02:24:16.920] こんばんは。めっちゃむずいぜ、これ。
[02:24:21.800] めっちゃこら危ねえ危ない。だいやもついたらこっちのもんや。早すぎんだよな。このもう
[02:24:38.680] 1速ぐらい欲しいかスピード。
[02:24:43.520] PGブグムが
[02:24:48.680] 白いの早い上に無敵かよ。
[02:24:50.800] あれ?倒せねえんだ。弾の量が多い。
[02:25:00.960] ここは欲んない方がいいな。ここは欲ん
[02:25:02.880] ない方がいい。取れないアイテムは取ら
[02:25:05.439] ない。無理していかない。ダブルが欲しい
[02:25:08.000] ところだな、今な。
[02:25:11.080] うん。だからこのね、このね、このね、
[02:25:13.760] これ、これ、これ、これ、この、この、
[02:25:16.000] この、これ、この、この、この、これ、
[02:25:17.399] これ、これ、この、これ、この、これ、
[02:25:19.120] これ。
[02:25:22.479] 目がつ。うわあ、びっくりした。これこれ乙つ。あ、いや、そのさ、ビーム、ビームやめて、それ。うん。いや、レーザーじゃないぞ。ここは
[02:25:42.720] 背の星じゃな。
[02:25:44.279] そう。背景の星と敵の弾がわかんねえ。下行っちゃおう。
[02:25:50.279] ああ、こっちが正解ルートだな。こっちが正解ルートだった。よしよしよし。なるべくこのきめル。
[02:26:03.279] うまくない。うまくない。よし。ビギがい。ビ気味がいい。
[02:26:20.120] いや、これ上は嘘でしょ。上は嘘でしょ。上は嘘でしょう。
[02:26:30.600] はい、最強。はい、最強装備。その壁を貫通して来るな、お前たちは。後ろにも気を配れよ。後ろにも気を配れよ。来るからな、こいつらは。どの方向からでも。
[02:26:47.399] いや、待って、待って。うますぎ。何この
[02:26:49.319] ステージ?このステージ俺と相性がいい。
[02:26:54.760] BGMもいいね。
[02:26:58.960] よしよしよしよしよしよしよしよしよし
[02:27:01.960] よしよし。
[02:27:04.560] え、何何何
[02:27:07.560] ?どれ?何が敵?何すんのこれ?いや、
[02:27:10.359] もうそれは分からない。見えだ。
[02:27:14.880] どっからやねん、それ。
[02:27:19.080] ちょ、ちょ、ちょ、ちょい、ちょい、
[02:27:20.359] ちょい、ちょい、ちょい。
[02:27:22.680] なんやねん、それ。
[02:27:25.040] 何?なんだったか?今なんか音楽変わった
[02:27:27.439] けど。
[02:27:53.240] さすがにダブルだな、ここはな。いや、
[02:27:56.200] ダブルは罠だったかな?
[02:28:00.359] 無理だ。
[02:28:03.040] いや、無理よ、それ。無理よ。
[02:28:10.800] さす。こいつ倒せねえか。よし。1個だけ
[02:28:13.520] でも。よし。
[02:28:18.880] う
[02:28:44.080] 。いや
[02:28:51.640] 、無理、無理、無理、無理、無理ですわ。
[02:28:54.439] 無理ですわ、それは。
[02:29:07.279] だめだ。当たんね。
[02:29:24.720] いやあ、早いよ。
[02:29:36.520] あー、難しい。
[02:30:03.640] むず
[02:30:13.160] いくらビ気味がいいって言ってもこれさ、
[02:30:17.120] 難易度高すぎません?
[02:30:28.000] あぶねえ。
[02:30:35.720] なるべくこの下にいいよ。なるべくこの下
[02:30:37.000] にいた方がいい。なるべくこの下に逃いた
[02:30:38.680] 。
[02:30:41.200] うん。
[02:30:45.479] やばい。
[02:31:06.399] え、え、それも当たり判定なん?それ、それ、その、それも、それもダメなん?そ、それも当たり判定な。
[02:31:18.279] びっくり。
[02:31:20.439] それオッケーなんかと思ったわ。
[02:31:21.960] ちょっと開いてて可愛い。
[02:31:24.520] おじ、嘘。奥ちょっと開いてる。
[02:31:27.359] 影かと思った。笑。
[02:31:30.399] 可愛すぎだろ。チャ魔ゲーム。
[02:31:33.800] お口ちょっと開いてんだ。可愛い。
[02:31:41.640] え、
[02:31:51.240] ふう。ふふう。これ無理いけない。これ。
[02:31:57.319] いや、早いです。
[02:32:01.439] 早いです。
[02:32:05.040] い、あれ影だと思うよな。どう考えても。
[02:32:08.600] あ、危ない。
[02:32:21.840] まずい。もうこれ下行っちゃう
[02:32:31.040] な。なね。なんかさ、え、何かそこの、あ
[02:32:33.439] 、ごめんな。でも
[02:32:35.560] あ、あ、
[02:32:39.359] もう1回行くぞ。
[02:33:01.080] やいんですよね。この石、石がね。
[02:33:06.840] 危ない危ない危ない危ない危ないのよ。
[02:33:09.479] 危ないよ。危ないよ。危ないよ。危ないよ
[02:33:10.720] 。危ない危ないよ。危ない。
[02:33:15.439] よしよしよしよしよし。
[02:33:18.600] そいつらがやばい。そいつらもやばい。
[02:33:19.960] そいつらもやばい。
[02:33:23.040] やばいやばいやばいやばいやばいやばい
[02:33:24.240] やばや
[02:33:26.640] 。よしよしよし。やめて。気をつけて。気
[02:33:30.200] をつけてよ。気をつけてよ。石気をつけて
[02:33:32.920] よ。気をつけてよ。気をつけてよ。
[02:33:42.439] 気をつけてよ。
[02:33:44.760] 気をつけてよ。気をつけてよ。気をつけて
[02:33:46.840] よ。
[02:33:49.600] 落ち着きてけ。
[02:33:52.319] お前ポーピむずい。
[02:34:03.600] えぐい。笑。
[02:34:05.800] これマジでむずいって。コなミの社員は何?これクリアされたらなんか
[02:34:14.040] 長知る。
[02:34:15.720] クリアされたらなんか
[02:34:18.479] クリアされたらなんか死ぬ呪いゲームでも
[02:34:20.880] かかってんの?俺の作ったゲームもし
[02:34:24.680] クリアされたら死な
[02:34:30.160] お前らシルお前ら自調。
[02:34:38.120] お前ら自調系
[02:34:42.000] が待っている。笑。
[02:34:47.920] 極系が待ってんのか。これクリアされたらそのぐらいの執を感じる。いや、ちょ。ほんまやめて。ほんまやめてやめてやめてやめて。その鼻くそ、鼻くそば飛ばしてく。これむずむずいですやん、それは。
[02:35:21.760] あ、BGM目マジでかっこよくない?ここ
[02:35:32.399] 。
[02:35:35.359] ここのBGM超好き。かっこいい。
[02:35:43.399] うん。
[02:36:02.800] 厳しいなあ。
[02:36:06.319] そう。簡単には行かせてくれなよ。なっ
[02:36:08.319] てんねんな、これ。
[02:36:28.439] よしよしよし。
[02:36:30.800] ここあんまり行きすぎると食らうからね、
[02:36:33.680] これ。
[02:36:41.160] 気をつけてよ。気をつけてよ。気をつけて
[02:36:42.439] よ。気をつけてよね。気をつけて。それは
[02:36:44.640] 壁を貫通します。あいつは
[02:36:59.640] 言てるから。笑
[02:37:01.920] 忘れちゃだめ。
[02:37:07.760] ああ、間違えました。
[02:37:12.479] 間違えました。いや、もうちょ、ほんまに
[02:37:15.160] でも俺今これステージ何だろう?ちょっと
[02:37:17.680] 待って。わし今ステージ何なの?これ結構
[02:37:20.720] 来たよね。もうこれクリアあんじゃねえの
[02:37:23.000] ないかな?ステージどんくらいんだろうね
[02:37:24.720] 、これね。えっとね、なんかこの
[02:37:27.520] アドバイスみていのがさ、なんだよこれ、
[02:37:29.880] これ、これ、これ。古代惑星大陸。ああ、
[02:37:33.680] 今ステージ4ですね。このステージはこの
[02:37:36.399] ステージではバリアが欲しい。最初に装備
[02:37:38.319] すること。いや、そんなこと言われても
[02:37:40.040] 無理やって。どうやってバリアまで貯めん
[02:37:43.000] ねん。あれをおい、えっと、レーザーを
[02:37:47.000] 打ってくる放題をわざと近づいて方針を
[02:37:48.800] 出させて早めに倒すと楽である。最終の
[02:37:51.200] ボスの母管は移動が俊敏で最初は戸惑うが
[02:37:54.520] 23以上のスピードアップをして母管が
[02:37:56.760] 突入してきたらスリットの間に入り込んで
[02:37:58.880] 倒すと早い。いや、もうそこまで行って
[02:38:01.240] ないんだよね。え、バリア取れつったって
[02:38:04.080] これ相当だぜ。
[02:38:09.600] 絶対倒せねえし。
[02:38:12.040] こな波みゆの旗だ。
[02:38:14.439] ちょ、ちょ、全然これ倒せないんですけど。まずの簡単だからね。なんかあ、ここでじゃあオプションを取らずにバリアを取る。
[02:38:37.920] 取った方がいいよってことなのかな。いや
[02:38:40.479] 、でもオプション取りたなるやん。
[02:38:43.960] 大好きなんだから俺オプションが
[02:38:47.880] オプション大好き。オプションもりもリ。
[02:38:53.200] うん。
[02:39:03.720] 無理だ。
[02:39:07.279] 難しい
[02:39:09.040] 難しいなあ。
[02:39:28.000] ちょっとすぎる。まだた。
[02:39:37.600] え、じゃ、ちょっと次バリア狙ってみるか
[02:39:39.399] 。バリア狙ってみるか。
[02:39:43.080] いや、でも並走ま、あんまり並走関係ない
[02:39:46.040] のかな、ここ。だあ
[02:39:50.240] 、
[02:39:53.640] 難しい。
[02:40:00.479] ちょ、ちょ、ちょ、ちょ、ちょ、ちょ、
[02:40:03.479] マジでBGMが良すぎるだけで、良すぎる
[02:40:07.479] だけで繋いでるな、今。
[02:40:10.520] BGMが良すぎる。
[02:40:24.080] このレーザーの砲題がね。
[02:40:46.479] ガード、ガード、ガード、ガードで行く、
[02:40:47.720] ガードで行くわ。じゃあ、そこまで言うん
[02:40:49.359] だったらガードで行くよ。じゃあ
[02:40:54.040] これ、この、この隕石に当たっても大丈夫
[02:40:55.640] なんかな?ガードってこれ。あ、何?あ、
[02:40:59.080] え、ちょ、待て。
[02:40:59.800] え、ちょっと待って。誰?わかんない。レダンス。レーダーす。レーダー。ちょっと今今立て込んでる。今建んでる。レダざ出す。うわ。
[02:41:08.560] パチパチ。
[02:41:11.520] ちょっと待って。おわ嬢あざす。お嬢り。レド。レドあざす。デカレイド。あざす。
[02:41:17.680] さん、レイドからこんばの
[02:41:20.880] アルティメットレイドあざす。アルティメットレイドあざす。ありがとう。
[02:41:23.920] 今日はですな今日はですなってますから。
[02:41:30.439] MSX実機でな。
[02:41:32.319] ありがとうね、レド、レド。ありがとう。
[02:41:34.439] レドありございます。今日もうおっさんほいホい。とんでもないおっさんホいホいであの
[02:41:41.120] MSX版グラディウス2じゃないからね。
[02:41:44.000] グラデウス2
[02:41:44.760] じゃなくてグラデウスこんばんは。う
[02:41:48.279] 4万2621
[02:41:50.840] ウルチマ4万2621
[02:41:54.080] ティメットチャレイドからこんにちは。え、何?え、あれなん?え、お嬢し
[02:42:02.800] そこなんだ。ウルち266
[02:42:06.479] ウルチマ4万2617
[02:42:09.439] ウルちマ4万に吸いれました。
[02:42:14.760] あぎたレモンさんどうもこんばんは。ありがとうからありがとう。そう、
[02:42:20.279] MSX、
[02:42:23.600] MSMSX
[02:42:25.279] 実機にてやってます。どうも。あざす。レドこんばんは。レドあざレあざこんばんは。あちゃんさんお帰り。お帰り。あ、フォロー。
[02:42:32.800] 4万2616
[02:42:35.200] ウルマ4万216
[02:42:37.880] 今日これ今日これやってるあるあのお
[02:42:41.319] ネットちゃ可愛いよねんのり
[02:42:43.720] おおっさんホいホいグラディウスにまねあのレードからあのお越しの皆さんどうもこんばんは。チマゲームと言いますのレトロゲーマーとしてあのぼちぼちやってます。ぼちぼチやってます。
[02:42:56.840] 今日はMSX
[02:42:59.479] 本体を使いましてグラディウス
[02:43:01.279] 2
[02:43:01.439] というゲームを文句を言いながらやっています。
[02:43:04.120] 高かったんじゃないですか。
[02:43:05.439] 難しすぎて。ま、ちょっとそれは言わないでくれ。
[02:43:08.680] ナイスレ。
[02:43:09.359] もうそれはもう俺もちょっと自分で怖いぐらいお金使ったんで。これはちょっとあのあまりにちょっとそれが触れないでほしいですね。ということでちょっと続きやりますか。ありがとうね、レドね。レドありがとうございます。さあ、やりましょう。いや、マジでめちゃくちゃでもね、このゲームいいぞ。おもれえぜ。
[02:43:27.399] ステージ4
[02:43:30.120] ステージ4まで来てんだよ。
[02:43:33.120] このこの8ドずつの
[02:43:37.040] 8ドずつガクガのスクロールなんだけど、
[02:43:39.760] それがまたいい。このガクガクの
[02:43:43.000] スクロールがまた味があっていいよな。
[02:43:47.600] あ、ちなみに俺あのゲームはめっちゃこ
[02:43:50.560] ブー下手くそです。ゲームを早い早い早い
[02:43:54.439] 。
[02:43:57.080] よいしょ。これ下に入るの鉄ね。ここなわ。くそ。めっちゃ難しいぜ。めっちゃ難しい。
[02:44:10.080] 難しそう。
[02:44:11.439] バカむずい。これ本当にぜ非やって欲しいけどね。でももうこの目が慣れたわ、俺は。
[02:44:24.439] このガクガクのスクロールにいやでもオプションだよな。やっぱな。むずすぎった。マジで
[02:44:40.319] もう60スに見える。
[02:44:43.720] 笑笑。
[02:44:44.600] 目が超えたよね。もう、もう目が超えたよな。え、
[02:44:48.200] 60120FPSぐらい出てない?今
[02:44:50.840] 120FPSぐらい出てるしょ、これ。
[02:44:56.200] やっぱオプションいよ。ここ
[02:44:57.359] 遊んでる側はこのスクロールには慣れてくる不思議。
[02:45:01.080] 笑笑
[02:45:01.760] あ、遊んでる側はね、目が慣れてくるんだけどね。見てる方きついやろ、これ。もう今日はいいの。もう今日はおっさんホいホいはよしゃあ若者追い滴き彫り配信してるから。今やこれ下行くべきだった。下行くべき。行けるかな?行けるか行けるか?行ける。
[02:45:21.160] ギリギリ間に合う。
[02:45:24.040] 見えないじゃん。見えないよ。
[02:45:33.560] ただBGMが神。マジでブグムが神すぎる
[02:45:37.319] 。ブグムが。
[02:45:41.600] よし。ああ、難しい。
