[00:00:11.719] ちゃまドペペペちゃまドペペペちゃまドペ
[01:56:46.280] もやっぱりひさんはいないなうわこいつが
[01:56:50.079] 起こすんじゃないんだまさかは告白でき
[01:56:53.760] ないの
[01:57:01.119] か橋本さんどこにいるんだしょうがない
[01:57:04.400] 今日は帰るかだめだやっぱキャラクターが
[01:57:06.520] ちょっと全然起きてなく
[01:57:11.880] て怒るべきイベントが全然起きてない
[01:57:18.159] ねなんかあれだなあんまりまだ誰かとみ
[01:57:21.639] そうなやんない方がいいかもねなんか誰と
[01:57:25.159] も絡まないで1人であのとか君みたいなさ
[01:57:29.119] 1人でハッピーで終われるやつ
[01:57:32.119] 笑笑色々フラグが足りないそうねなんか人
[01:57:36.400] ば起こしてくれ
[01:57:38.760] て起こしてくれて
[01:57:42.760] よ誰にも誰にも人畜無みたやつ行った方が
[01:57:47.800] いいかもな
[01:57:52.239] ういうやつが起こしてくれるんだと思うん
[01:57:54.400] だよ
[01:57:55.119] ねなんかとんでもねあのなんか1人で
[01:57:58.840] めちゃめちゃ起こせるようなやついねえか
[01:58:01.159] なちょっと次ちょっと考えようあの
[01:58:03.800] あんまりなんか誰かとどうのこうのみたい
[01:58:06.000] な
[01:58:06.760] やめようそいつが起きてなかったら
[01:58:08.800] イベントが起き
[01:58:10.199] ない書いてあるから起こしてくれんのかな
[01:58:12.639] と思ったらそうじゃねえんだな
[01:58:24.000] 扉入る時こっち向く
[01:58:34.040] なああひと
[01:58:37.119] さん涙は汗で流せ
[01:58:43.199] だ今日のことはすっぱり忘れ
[01:58:47.599] てまた明日チャレンジだなあそうだそうだ
[01:58:50.320] よおちょっとまたあれだよまた今度やる
[01:58:52.920] からひとさんが起きてからひとさん側で
[01:58:55.719] やれば成功しそうな感じするねどうせ一緒
[01:58:58.520] でしょ
[01:58:59.239] 多分さあ晩飯だ食って食って食いまくっ
[01:59:04.360] てチラーだもっと美しい筋肉をもらう
[01:59:10.360] プロテインプロテインかけたご飯
[01:59:13.599] も結構いけるなきしょいなこいつマジ
[01:59:16.880] きしょいなあとは適度な運動と共用だ
[01:59:22.119] プロテインご飯だっ
[01:59:29.960] て味ついてなかったらまあねいや貴いだろ
[01:59:35.679] ゲロまずそうまうちのいこのじいちゃん
[01:59:40.239] うちのいこのお父さんの方のじいちゃんは
[01:59:43.639] あのバナナで飯食ったバナナとかあのブド
[01:59:48.840] とかで飯食ってたけど
[01:59:56.199] 笑笑ギまずい
[01:59:59.280] だろとび箱こ飛ぶぞきいよね考えたらきい
[02:00:04.639] よ
[02:00:08.199] ねエビチリ好きだけどエビチリでご飯でも
[02:00:11.560] 嫌なのエビチリでご飯やだいいだろ別に
[02:00:13.960] それはダメなん
[02:00:15.119] だそれは美味しいと思って食べてるのかな
[02:00:18.360] うん美味しいんじゃねえの甘いじゃん甘
[02:00:22.639] 甘からねシチュでご飯は全然ありだろお
[02:00:27.679] 飛んだおお飛んだ
[02:00:29.760] ぞあそであすごいハートがシチュでご飯は
[02:00:34.639] 余裕シチオンライスしちゃうよ俺あこれ
[02:00:37.400] もらいますうわすげえ溜まったよしよし
[02:00:39.520] よしいいが溜まったいいぞ焼きでご飯は
[02:00:43.320] おいしいよねお好み焼きでご飯はわかん
[02:00:45.320] ねえわお好み焼きがご飯じゃん
[02:00:52.199] でご飯はないないない気持ち悪何それ
[02:00:53.960] 気持ち
[02:00:55.639] 悪パサパサやん
[02:01:01.239] 全部終わりましたちょっと竹内力は微妙
[02:01:04.800] でしたねでご飯ないないない
[02:01:10.079] ないとそば飯食うなよお前食ういいよ別に
[02:01:13.800] 食わねえからそば飯なんて食わねえよ別
[02:01:17.719] に笑笑焼きそばは焼きそばだろうが
[02:01:24.880] 笑笑食べて
[02:01:27.239] よおでんでご飯はみんなおでんでご飯それ
[02:01:30.840] はあり俺おでんでご飯全然
[02:01:33.520] あり焼きそばはうまいねおでんでご飯
[02:01:38.239] 行けるよねこれ結構行けねってやつ多いん
[02:01:41.199] だよえおでんでご飯行けんだろえマジ
[02:01:47.199] でごおしいよねおでごい無がいるんだよえ
[02:01:53.599] おでんでご飯全然ありなんだ
[02:01:55.719] けどうまいよねちょっとちょっともおでん
[02:01:59.599] のおしかけちゃったりして待て待て味噌
[02:02:02.760] かけるタイプかどうかでも違うおで日本酒
[02:02:06.119] 飲めるのになんでご飯が無理なんだよな
[02:02:08.480] なんだ味噌かける俺の知らないあ橋元橋元
[02:02:12.520] 瞳男を欲しがる
[02:02:15.000] 女行けちゃうけるよね
[02:02:19.199] さんえ誰行く
[02:02:25.920] 誰
[02:02:27.840] 行くはけの内って誰ああせあれか竹の内
[02:02:33.000] あれねはいはいはいはいあの生徒
[02:02:36.320] ねはの内力太しえギリのハートなった
[02:02:40.440] ばっかりの
[02:02:41.520] 竹の内なんだこれなんだけ明子あき子と
[02:02:46.280] 打ち解けることができないことに悩む嫌っ
[02:02:48.159] てるわけではないが素直になりきれないで
[02:02:50.000] いる将来の夢はF1レサ味噌かけるなんだ
[02:02:53.480] これもちょっとなんか
[02:02:55.880] ある
[02:02:58.880] エエならエロなら体のなるなエロンなら
[02:03:04.000] 多分ギリのお母さんとエッチするよな
[02:03:08.239] ああ恵
[02:03:11.760] だあこれやりこれやっていいこれめっちゃ
[02:03:15.960] おもろいんだ
[02:03:18.639] よんじゃんちゃん
[02:03:21.880] 彼女恵来た恵野郎恵行きます田村恵
[02:03:28.880] 行くこいつらった
[02:03:33.960] な田村恵はクズバンドマンの彼氏全が恵に
[02:03:39.159] 惚れてる
[02:03:42.040] そうそうちゃまくのバンド仲間派どうだっ
[02:03:45.079] たの何
[02:03:46.760] が何がどうだったて何が
[02:03:52.040] いいいい奴らだよいい奴らだよまずい何が
[02:03:56.880] もまずくねえよ別にいい奴らなんだけど
[02:04:00.239] やっぱ一緒にいすぎるとやっぱさギシする
[02:04:02.880] じゃんで解散して12年経つとまた仲良く
[02:04:06.719] なれんだよそういうもんだかもめ田村恵
[02:04:12.119] に固まってますね彼氏がお谷カのができて
[02:04:19.119] るってことねえだろ
[02:04:22.320] 大田ひちゃん起きてこんなアパートで
[02:04:25.480] ドラム生ドラム
[02:04:28.960] 笑今日はバンドの練習日をごめんちょっと
[02:04:31.639] これぶっ込んでいいぶっ部屋ドラぶんます
[02:04:36.040] こんな壁薄そうなのに
[02:04:37.880] なあこれ起こせねえなよし食ったあーいい
[02:04:42.360] や使おうごめんここは
[02:04:47.880] 使うちょっと俺に似てる
[02:04:50.639] な消エナジー10なかったからもったい
[02:04:53.199] なかったなでもしょうがね起こせないのし
[02:04:55.040] ないもんなまた貯めれゃいいん
[02:04:58.119] だ
[02:04:59.760] あれこう
[02:05:01.520] いういるよねひちゃん起きたちょっと俺に
[02:05:05.280] 見てる私に思ったよ
[02:05:08.760] 笑今日はバンドの練習よバンドの
[02:05:12.599] 練習最近行ってないでしょ行きたくないん
[02:05:16.159] だ
[02:05:17.440] よひちゃん行こうようるせえよバカ
[02:05:22.760] クズですねひちゃんクズ今日バンドの練習
[02:05:26.599] 行こう
[02:05:28.320] よひちゃん才能あるんだからさねおに俺
[02:05:34.440] 才能何がわかんだ
[02:05:37.280] よくだ
[02:05:42.119] なごめんなさい
[02:05:51.880] し出さねめっちゃ下がるひちゃんのドラム
[02:05:54.040] はすごいよまそうだろうな魂が震えるよ俺
[02:05:58.360] の才能がそうさせるんだ自然と涙が出
[02:06:01.199] めっちゃ持ち上げるめっちゃ持ちいい
[02:06:06.320] 彼女いいなけなげだねこんなクズ男のため
[02:06:12.400] にああ始まった
[02:06:17.159] あちゃんが練習してる
[02:06:22.480] ひちゃんうまくなった
[02:06:31.040] ねめ話しかけんな気が死ぬだろなんで褒め
[02:06:34.880] たの
[02:06:39.880] に
[02:06:41.920] すぎる
[02:06:45.159] すぎるぶっ込んだのに
[02:06:48.559] すぎんでなんだよゲセン行くかバイト
[02:06:53.679] 行こう片やゲセン片やバイト
[02:06:58.840] ですいでちゃん怒った当たり前だバカ野郎
[02:07:03.239] え夕方の練習出よ機嫌が悪いんだ行くか
[02:07:07.880] よお願いだから練習出てああ少し考えとく
[02:07:12.159] よじゃあバイト行ってくるね後で連絡する
[02:07:17.800] わゴミゴミオブゴミ
[02:07:23.079] 太田
[02:07:25.920] 秀太田
[02:07:29.040] 秀ゴミだ
[02:07:31.520] ない感ぶっ込んだのに半分ぐらい減ったぞ
[02:07:35.559] ここのゲの下りうっすら覚えてる気がする
[02:07:38.920] 楽しみったかなあみんなちょっとずつ起き
[02:07:41.760] てきた人が起きてきたこれみんな起きると
[02:07:43.960] 思っとぞろぞろぞろぞろみんな動くんだよ
[02:07:48.000] ここひたすらにくだったのだけは記憶ある
[02:07:51.760] クズだ
[02:07:57.719] ねメグはどこでバイトしてん
[02:08:04.559] のあああはいはいあのあれかえっとあの
[02:08:08.440] 白いムーディ勝山と一緒のところ
[02:08:18.159] かカフェ店員だっけそうだじゃないよいい
[02:08:22.760] ところだってあるよ恵みコメ恵が恵が見
[02:08:27.119] てるな配信
[02:08:29.599] を囲いならぬ恵
[02:08:42.040] 笑笑レッドウッド
[02:08:48.880] カフどんなBGM
[02:08:52.960] 一緒に着替えるんか
[02:08:59.960] いやばいです
[02:09:02.480] よあ人起こさなそうだな今度試合があるん
[02:09:07.000] だあボクサーねえすごいですね尊敬し
[02:09:10.360] ちゃい
[02:09:11.119] ますまだまだだ
[02:09:14.639] よそういうのってすごいですよなんなんだ
[02:09:18.719] よお前出す
[02:09:20.360] な応援してますいい子だなめっちゃいい子
[02:09:24.440] じゃ
[02:09:25.360] ないめっちゃいい子
[02:09:28.559] じゃん金バドの練習サボるんです
[02:09:33.679] うん練習させるにはどうすればいいんです
[02:09:38.119] か明日のボクサーを読めえ漫画
[02:09:43.320] のそれに全てが書いて
[02:09:48.440] あるあれは人生のバイブルだ
[02:09:54.239] だめだこいつめっちゃこいつ人に対しては
[02:09:56.639] ハート出すんだけど
[02:10:02.599] なでちゃん練習来るか
[02:10:10.040] な心配だな電話しようかなまた怒られるぞ
[02:10:13.360] 電話なんかしたら電話したら来るかな来
[02:10:15.960] ないよ
[02:10:19.840] 多分ちゃん悪くないの私が悪いのって言っ
[02:10:23.480] ちゃう
[02:10:25.760] タイプ私はひちゃんのことが好き子だ
[02:10:31.280] などこが好きなんだろうああ見えて
[02:10:36.800] もいちゃんって優しいからだめだなこう
[02:10:40.719] こういう女いるんだ
[02:10:43.079] よDVされてぶん殴られてもこうやって
[02:10:45.760] 言うんだから恐ろしいよな
[02:10:52.559] ひちゃんあやばいやばいやばい電話なんか
[02:10:54.199] 絶対しまずあひちゃん練習行こう絶対怒ら
[02:10:56.679] れるぞえそんなこと言わないでよえちょ
[02:11:00.760] 分かったファミレスねファミレス行くんか
[02:11:03.320] いえちゃん練習行かないっ
[02:11:19.320] て練習行かないんだなひちゃう
[02:11:34.679] ななんかあんまり人起こさなそうだな
[02:11:37.320] 起こしてほしいなファミレスってまだ行っ
[02:11:39.159] てないから多分起こせるかもしんないけど
[02:11:44.239] ねキャラ起こさないとさイベントが
[02:11:48.679] 起こせるだけあるかなハートが最悪いい感
[02:11:51.880] ぶっ込むけどあと2つあったよ
[02:11:57.079] ねアミレバ
[02:12:01.280] ああいいねこいこれさすがに起こすでしょ
[02:12:03.880] さすがにこれ起こすわだから他人だから
[02:12:06.000] めっちゃ使うぞ
[02:12:07.840] これ今から練習行こう
[02:12:12.440] よ行かねえよ
[02:12:15.440] バカ朝のことを謝る
[02:12:19.679] よしゲが余計なことするからだあてお疲れ
[02:12:24.440] ごめん
[02:12:25.480] なさいじじうるせえんだよひちゃんのこと
[02:12:28.840] 心配してるのにやばいハートがああまた
[02:12:32.440] 泣く
[02:12:34.440] しよくずすぎるマジでこいつあ来たいや
[02:12:39.400] これいい感ぶっ込む
[02:12:43.639] か
[02:12:45.679] いや連打するか
[02:12:51.520] おい起きてくださいドラマーだっけ
[02:12:59.639] そうこれだ他人だから40使うん
[02:13:05.599] だよし結構3でもでかい3人起こしたいい
[02:13:13.159] ぞ近藤対地あ起きたこれもらう
[02:13:20.119] ああハートラ
[02:13:23.000] ハートあれ寝て
[02:13:25.920] た大丈夫です
[02:13:32.440] かおいいぞいいぞいいぞよ
[02:13:46.480] ぜうう腹壊したひちゃん
[02:13:53.040] 大丈夫これちょ今から練習行こうと思った
[02:13:58.559] けど最近練習の前にお腹痛くなる
[02:14:02.960] ねそれじゃ反省会だけでよ反省会というな
[02:14:06.800] の飲み会なそれ目的なんだからみんな結局
[02:14:10.920] 今度は反省会かよ
[02:14:21.280] も練習行かないうるせえな行かねえよ俺は
[02:14:25.280] 天才なんだよ楽しみでやってんだからそう
[02:14:28.239] かもしれないけどだから練習はいらねえの
[02:14:31.840] そうだね天才だもんねそうだろそう思う
[02:14:37.800] だろやべえハート
[02:14:40.280] が
[02:14:41.880] こいつもうドクロ出すな
[02:14:46.000] よちゃん反省会は
[02:14:48.880] 行こう反省だかねえよ
[02:14:52.920] もかっこいいよ朝のことを謝ってるじゃ
[02:14:57.079] ないうるせえようぜえんだ
[02:14:59.800] よ何を心配してるの
[02:15:03.719] に
[02:15:05.800] ああほっとけ
[02:15:08.360] バカえ
[02:15:14.599] でかいお前
[02:15:16.920] らお前らんなんだ
[02:15:19.960] よバカでけえド出た笑笑でかい笑笑バカ
[02:15:25.280] でけえドク出たの今見たことないドクが出
[02:15:29.960] たくそでかかったな
[02:15:32.880] 今しいよこいつらいい加減にせよお前ら
[02:15:36.159] マジ
[02:15:40.599] で髪の毛邪魔くせ
[02:16:09.679] ええなんかむずいなでまだここも起こせる
[02:16:13.199] はずバンドメンバーを起こせる
[02:16:17.040] からいた居酒屋いいのかな
[02:16:29.800] いいのかな笑居酒屋いいのかなあここも
[02:16:33.080] 起こせるぞいいぞいいねたくさん起こすね
[02:16:36.800] みんなどうしたのこれバンドメンバーね
[02:16:38.559] みんなどうしたのね返事し
[02:16:41.920] てみんな見てくれあの後ろに実は来てるん
[02:16:45.160] だよ実はあの後ろにいますひちゃんも様子
[02:16:49.280] を見に来ました
[02:17:01.160] オ
[02:17:04.559] オでかいねこの3人起こせのでかいマジで
[02:17:08.880] ハート出してくれよああ起きたあれめぐみ
[02:17:15.000] ちゃん来てたんだ大丈夫みんな
[02:17:21.319] ああ大丈夫だよううよかっ
[02:17:25.280] たさあ飲もう
[02:17:27.880] ぜただやだな彼氏のバンドの打ち上げに
[02:17:31.399] 来る女めっちゃ嫌いだ
[02:17:34.000] わ彼氏のバンドの打ち上げに関係者ずらし
[02:17:37.679] てくる女めっちゃ
[02:17:41.319] 嫌いいるんだよ
[02:17:43.920] な笑笑頼んでもねえのに物販に立つ
[02:17:49.160] 女いるんだよ
[02:17:51.920] なあ頼んでもないのになんか物販に立って
[02:17:56.399] 何々物販やってまとかいう女いらねえんだ
[02:18:00.120] よなマジでいらないんだよ
[02:18:06.960] ないましたねゴリゴリさんが実際経験した
[02:18:10.960] あいたようちのバンドにも全然関係ない
[02:18:14.160] そういうのファン減らないのいやもう別に
[02:18:17.679] 減らないんじゃない減らないよ別にあまた
[02:18:19.920] だなこいつみたい
[02:18:31.960] いるんだよなそういう関係者ずら
[02:18:35.800] するあの
[02:18:38.920] やつなんかその楽屋入ってきちゃうやつと
[02:18:42.359] かもいたもんねさすがに怒ったけどえてる
[02:18:44.760] ああそうそうそうそうそうそうそう
[02:18:54.760] あ
[02:18:58.719] 弱いいいね弱く
[02:19:03.399] てこんくらい遅いといいよな楽で
[02:19:07.439] なあの時はごめん
[02:19:11.359] ね俺男だったら超嬉しいわなんかさ自分が
[02:19:16.000] ライブし終あった知らねえおっさんが物販
[02:19:18.000] 立ってさまるまる物販やってまクソ燃える
[02:19:21.960] だろなんだこいつってなる
[02:19:25.760] だろ
[02:19:27.599] 笑笑なんだこの親父本当に笑笑おっさんが
[02:19:32.599] やってたら
[02:19:34.800] なこんばんはもっちゃ
[02:19:37.760] 疲れるけど笑笑
[02:19:52.120] どうよ楽しんでくれた楽しくないわは
[02:19:59.280] 帰れめぐはさ田村恵いい子だけど
[02:20:03.720] さにわさんて人がいるんだがあれって
[02:20:07.160] ちゃまくう違う違う
[02:20:10.479] 違ういい子なんだけどさめぐちゃんには
[02:20:13.439] 悪いんだけど
[02:20:15.319] さ頼むぜ
[02:20:19.040] リーダーついに
[02:20:21.880] え何かや
[02:20:23.520] 君俺たちもうヒとは無理だわついにそうだ
[02:20:29.920] なやるいなめ
[02:20:32.560] ちゃんえそうな
[02:20:35.000] のもう少し待ってもらえないか
[02:20:41.120] なこうまいも何もないし
[02:20:45.720] なんには私が言うから無駄だよ
[02:20:50.760] 悪と思んだでも俺たも結構待ったしな
[02:20:53.080] 代わりにめちゃんが叩いてよそうだな
[02:20:55.760] みんなお願いし
[02:21:03.880] ますあトイレに逃げたぞびっくりしたじゃ
[02:21:08.000] ねえかひたんにメール出してみようメグの
[02:21:10.560] やつこっちに来るから
[02:21:26.520] これひがハッピーだとここで乱入してくる
[02:21:30.000] んだよなひ側も頑張んなきゃいけないんだ
[02:21:33.160] けどまそれまた後で店員さん起こして
[02:21:36.000] ほしいなこれ起こさないんか
[02:21:40.840] なマジでもこういうバンドマンいるからな
[02:21:43.720] マジで働かないであの女のファンにあの
[02:21:48.319] 養ってもらって前回乱入したよねそうひひ
[02:21:51.720] ちゃんパートで
[02:22:01.359] ねもうひちゃんなのかもうひ
[02:22:05.880] ちゃんうんでも別に順番関係ないから
[02:22:09.520] ね結局ひちゃん来なかった覗いてるきっと
[02:22:14.880] ここまで来てたんだよ
[02:22:18.720] ねきっとそうだよに違い
[02:22:24.280] ない来たんだよ絶対なんすごいすごい自分
[02:22:27.960] に都合のいい解釈だから今日はいい1日
[02:22:30.520] なんだそれなんだよ
[02:22:33.840] それだめだやっぱめだね
[02:22:38.800] なんかいい1日になんなかった
[02:22:45.160] なうわどうしよう結構起こしたぞ色々
[02:22:55.680] ちょっと色々起こしたんす
[02:22:57.640] けどちょっと次どこ行こうかなおなん
[02:23:12.319] だいるのかよくわかんないこのムービー
[02:23:15.640] パートいらねえだろこのゲームにこんな
[02:23:18.200] なんかインフォメーション
[02:23:22.600] クローバーシステム開発
[02:23:24.359] リポートなんとか読めねえもう字が潰れ
[02:23:30.960] てクローバーの仮システムで験者となるの
[02:23:33.840] も今日で全回目確早くて読めねえよ脳に
[02:23:37.359] 書き込まれて仮想空間のイメージが私の心
[02:23:39.120] に何らかの影響を残してる違いないえ胸人
[02:23:42.560] としてはこのでクローバーはなんとかと
[02:23:45.680] 同じ開発は中止
[02:23:48.120] だこいるいらん別にこの別になこのなんか
[02:23:52.479] ストーリー性みたい
[02:23:57.359] の
[02:24:00.279] セーブえ次誰行こっかなちょっとババ君の
[02:24:05.720] 弟行って公園行ってさ公園なんか結構色々
[02:24:10.080] 面白い人いたと思うんだよな
[02:24:13.479] ちょっとひちゃんもやりたいけどちょまだ
[02:24:16.160] ひちゃん無理だと思うひちゃんはちょっと
[02:24:18.960] まだ
[02:24:20.640] ババ君クソ貧乏クソ貧乏の家1番最初
[02:24:25.200] のここめっちゃ気になるなボブ
[02:24:29.399] つみボブつみ行きてえ
[02:24:33.040] けどボブつみめっちゃ気になるけど
[02:24:36.880] な酒飲みまくってるクソ親父あそうそう
[02:24:40.439] そう
[02:24:42.080] そうそう辻すぎ騎士あのあバンドマンね
[02:24:47.120] えーこんばんは幸あロお疲れ
[02:24:51.080] ルーマニアマニアと同メーでないけど同
[02:24:53.920] なんどうしてあそうそうそうそうえ辻かや
[02:24:59.880] 20歳レンタル店員バンドのボーカル作も
[02:25:02.439] 担当メジャーデビューを目して一般受け
[02:25:04.600] する歌詞をうと努力するしかしメンバーに
[02:25:06.760] は死の方向
[02:25:08.600] 田村恵に恋愛感を抱くこれバンドメンバー
[02:25:12.359] みんなねひちゃん以外は一緒に暮らしてん
[02:25:14.399] だけどみ見てくれ
[02:25:20.319] 好きなんだ
[02:25:21.359] よ田村恵がねめちゃめちゃ好きなんだよ
[02:25:25.160] みんななドロドロ笑ドロドロです田村恵が
[02:25:29.880] ついでると言っても過言では
[02:25:34.240] ないちょっとさあ小ささんね
[02:25:40.479] ええとんでもねえ小さえくちろとしてる
[02:25:45.040] 小坂令子父小坂なんだろうモオかなモオの
[02:25:49.800] 持つ会社の経により貧乏になってしまった
[02:25:52.359] が周囲には隠している同級生そがそがと
[02:25:55.960] 恋愛関係そのそに貧乏になったことを
[02:25:58.160] 打ち明けられずに
[02:26:01.600] 悩むそがこれ気になここも行きてえ
[02:26:06.200] けどドクロめっちゃ出そうだ
[02:26:10.640] な1回ババ君弟言っていい
[02:26:15.200] かババ弟行こうかなババ弟
[02:26:21.200] ババ弟行くわちょっとこれ色々起こせそう
[02:26:23.840] な感じすんだよねババ行きますもう1
[02:26:28.120] 回弟クソハッピーなの笑う弟食パン1枚
[02:26:32.680] しか食ってないのにハッピー初値83ある
[02:26:34.800] から
[02:26:43.920] なお疲れさんこんばんは久しぶりにこれ
[02:26:47.760] やってます
[02:26:59.399] いやでもこれ結構さなんかまったりやるの
[02:27:02.640] いいゲームだよねなんかそのガツガツやん
[02:27:05.040] なくてつむじゃな見てるだけでいいしあ
[02:27:09.680] 可愛いちょっとお猫に似てないお猫の顔見
[02:27:13.080] てることある人おねにちょっと似て
[02:27:16.560] ないおねに似て似てねちょっと似てない
[02:27:20.720] 確かに似てるよね似てるよね笑笑ババ次郎
[02:27:26.399] じゃん似てる笑笑似てるよねお猫にね
[02:27:31.840] 笑笑お猫の顔見たことある人がしかわかん
[02:27:34.680] ねけどお猫まで似てらそっくりだわ分け目
[02:27:40.000] までそっくり
[02:27:41.439] だ畳がかなりくびれてるゴキブりいるしね
[02:27:45.319] よく見たらにちゃんあまた水飲んでるババ
[02:27:48.760] く
[02:27:50.560] 何も食べてない水で我慢
[02:27:53.960] しようばばあーでかいドが誰かさまだ
[02:27:59.680] 頑張れそうだおい誰か幸せにしてやって
[02:28:03.160] くれよこいつらをよ兄ちゃんすごい
[02:28:06.040] なお前にも苦労かける
[02:28:09.880] な見てらんねえよおくれクソ親父
[02:28:14.960] てめえゴキブが
[02:28:18.120] いるとちゃん
[02:28:23.840] あんだ次郎毎日弁当1つぐらいは奢って
[02:28:26.800] あげるよばくお持ちになる
[02:28:33.520] はお金持ちになっ
[02:28:36.479] て兄ちゃんを楽させるん
[02:28:40.880] だ俺と母ちゃんは2人は2人でうまくやっ
[02:28:44.240] て
[02:28:46.040] よなんだ仲間外れか
[02:28:49.040] い
[02:28:52.359] 笑笑せち
[02:28:54.640] がれいやでもそうだよなこんなクマジであ
[02:28:59.439] パンが1枚だけ
[02:29:01.080] か腹減った
[02:29:09.960] よおい次郎このパン食べろよお兄ちゃん
[02:29:14.160] 食べないの半分粉しようようんちゃん
[02:29:17.880] こんばんは地獄を見ています今僕はもう
[02:29:20.720] 食べたんだよ
[02:29:23.600] いでけえでかなんだこのハートうう美味し
[02:29:29.240] そうだなむしゃ
[02:29:33.399] 無しおいしいよおいしい
[02:29:35.960] よ悲し
[02:29:40.840] すぎる悲しすぎない
[02:29:43.560] かさあ僕も少しで
[02:29:47.920] もお金を稼いでお兄ちゃんのあ勉強してる
[02:29:52.560] ば
[02:29:53.720] 君仕事を助けてあげるんだなんで幸せの
[02:29:57.479] ハードルが低いこの親は何してんこの親何
[02:30:01.399] もしてない寝てるだけ働いてないゴミゴミ
[02:30:05.240] 親子供たちに働かせて自分寝てる
[02:30:11.600] だけ風呂にも入りませ
[02:30:15.680] んゴミすぎるお母ちゃんどこにいるんだっ
[02:30:18.920] けなババババ
[02:30:21.920] さ公園に靴磨きに行きますお猫がマジでお
[02:30:25.840] 猫に似てんだけど子に体吹いてもらってる
[02:30:29.240] んだよねあ
[02:30:30.880] そうちょマジでお猫に似てるぞこのババ
[02:30:37.840] 次郎そっくりよダブルババ次郎の正体
[02:30:42.760] プルプルプルプルお猫
[02:30:47.920] じゃんさ公園行きますか
[02:30:53.520] アバター情報これでねアバター情報ロード
[02:30:56.000] 画面でこの誰がどこに行ったるかみたいな
[02:30:58.439] のを見れるの
[02:31:01.080] よ工事現場行くんだなあいつはなうん
[02:31:04.359] やっぱ工事現場行くんだなあいつらはなだ
[02:31:06.680] からなんかどこで何か固まってるって
[02:31:08.760] 分かればこれ見てあこいつやれば起こせる
[02:31:11.319] んじゃんみたいなのが分かるやっとキャラ
[02:31:14.240] 増えてきたからちょっとずつ賑やかになっ
[02:31:15.720] てき
[02:31:18.920] たキャラが増えてこないとねイベントが
[02:31:22.359] ねババ次郎は多分この待って待ってマジで
[02:31:27.240] お
[02:31:29.640] ね今回はおこじゃんごめん何回も言って
[02:31:33.600] 申し訳ないけどこれマジで超似てるからね
[02:31:36.920] 笑笑お猫だろこれマジで超似
[02:31:41.680] てるだめだ笑笑を猫にしか見えない笑笑見
[02:31:46.479] てあ来ましたよしよし固まってます
[02:31:50.720] 待ますあ誰かいる
[02:31:52.720] なあヨク萌え萌えちゃんはどこか
[02:31:57.760] なもちゃんせんのかもえちゃんせんのか
[02:32:01.040] これポお猫ロポリお猫プレステ1のお猫あ
[02:32:06.560] あこれもらっとくきらせるからなもらっ
[02:32:08.439] とくぞこれあなんかいるよ2人もえちゃん
[02:32:14.920] 遊ぼうあれ固まってるあお母さんもいるん
[02:32:17.760] だ
[02:32:21.479] もちゃん起き
[02:32:24.160] て起こせるか
[02:32:26.920] なあ余裕だ行けるや友達だからあだめだ
[02:32:34.680] 危なたなかったちょっと足んなかっ
[02:32:38.479] たカプセル使用した危ねえあもったいねえ
[02:32:41.640] カプセル使っちゃっ
[02:32:43.680] た俺の連打力がなさ
[02:32:46.680] すぎるあれあれねて
[02:32:50.840] これもらうこれ全部もらうごめんもらう
[02:32:53.279] わいい感使っちっ
[02:32:55.720] たすごい心配しちゃったよ次郎君
[02:32:59.640] ありがとうもえちゃんが元気で僕嬉しいよ
[02:33:02.399] あら次郎君じゃない萌えと仲良く
[02:33:06.520] ねなんかお母さんパツキンかこれやんまま
[02:33:10.240] くせえ
[02:33:16.399] ななんかまだ固まってるやついるねいいぞ
[02:33:20.160] 起こせはあお客さんいないや次郎君暇なの
[02:33:23.960] かなお客さん次郎君
[02:33:27.359] らあお客さんて靴磨きのあ靴磨きのお客
[02:33:32.680] さんねうんとね絵を描いてあげるえ本当
[02:33:36.800] こっち来
[02:33:39.319] てじっとしてて
[02:33:43.279] ねいいねババ次郎も公園に眉毛が2解放
[02:33:47.920] するとええのかそうもちゃん可い
[02:33:52.680] なはいできまし
[02:33:56.120] た次郎君と萌えの絵おラブラブじゃねえか
[02:33:59.520] よいいじゃんえ
[02:34:01.399] ドキドキすごく上手だねあいあもうハート
[02:34:06.080] がいいぞハートがたくさんええそれだけな
[02:34:10.240] のかなめんどくせえ女だなめんどくせえ女
[02:34:13.760] だななんでおいもうなんなんだ
[02:34:18.240] よガのくせにそんなんだよお前せてんじゃ
[02:34:21.240] ねえよあ起こす
[02:34:23.560] かもえちゃんの
[02:34:26.680] お父さんどうしたんだろ動かないや固まっ
[02:34:29.160] てんね勇気
[02:34:30.399] 出せよねもえちゃんノク
[02:34:34.880] さんおじちゃん大丈夫
[02:34:37.359] たこ焼き屋のね米倉
[02:34:48.240] まべタンクないのがしんどい
[02:34:56.720] なお起きましたあんだよどうした次郎じゃ
[02:35:02.640] ねえ
[02:35:05.040] かこんばんはキッティヒーあめさん
[02:35:09.200] こんばんはその場で動かなかったんですよ
[02:35:11.600] 俺が信じらんねえな他人の家の子供でも
[02:35:15.000] 呼び捨てにするタイプの男ね次郎は嘘つか
[02:35:17.880] ねえからな
[02:35:21.800] 知らない家の子供でも呼びにするタイプの
[02:35:26.479] お父さんいるよ
[02:35:30.000] なあたこ焼き焼いてるくれないかおい
