[00:00:27.679] ピース
[01:05:36.520] 時までレベル上げ終わり。もうストーリーすいません。今日ハズれ会。
[01:05:39.215] [笑い]
[01:05:41.480] レベル上げ。
[01:05:42.079] はい。今日は外れ会です。大して面白い話も多分しません。
[01:05:47.480] メタルもうね、もうメタル行けんの?もうメタル行けるんだったら行くよ。俺行っちゃうよ。やっちゃうよ、俺。とりあえず
[01:06:00.319] 1回出るわ。
[01:06:00.960] 玉金に頼るしかプ
[01:06:02.760] 金玉のシを数えてみる。それだけじゃお腹がするわ。てかそりそうでしょ。それはお腹空くわな。
[01:06:16.200] ダブル
[01:06:17.880] なんやねん。なんやねん。
[01:06:24.079] ちょっとちょっと歌った。俺もちょっと恥ずかしいみたいな。歌った。歌
[01:06:27.030] [笑い]
[01:06:29.240] 数えてないで働く。
[01:06:33.440] 歌った。俺も恥ずかしいみたいな。あります。
[01:06:38.880] これが多分チマゲームかにそれだと名がそばカスからそばカスから新なっちまう。笑
[01:06:42.096] [笑い]
[01:06:54.039] おもろすぎるやろ。そのネタ落ちましたね、綺麗に。え、それいいや。それ俺が言ったことになんない?それ。
[01:07:02.640] そ、俺が言ったことになんない?それおもろ。
[01:07:04.880] それもそれだとお前これだとあれだな。局名がそばカスじゃなくて
[01:07:11.799] 進カスになっちゃも本当に本当にすいません。レードしていただいて本当こんな話ばっかり本当に今年
[01:07:16.079] 30になります。僕終わりです。今年
[01:07:19.200] 30になります僕。
[01:07:22.839] 笑笑うとこそこか。
[01:07:25.920] しかもなんで笑うとこそこかい。わしが
[01:07:27.291] [笑い]
[01:07:30.680] 30
[01:07:31.000] になるのがそのおもろいか?わしがわしが
[01:07:35.920] 30
[01:07:36.240] になってこんなこと言ってんのか。それで笑ってたの?もしかしてさちゃんって
[01:07:41.000] 金玉の話で笑ってたんじゃなくて、こんな平日の夜にパソコン画面に向かって金玉の話してることにそういう自称に対して笑ってたんだ。なるほどな。
[01:07:53.039] 笑わ、笑ってたんじゃなくて笑われてたんだ俺って。そういうことか。ということでね。はい。今日はレベル上げしていきます。
[01:08:07.119] 30
[01:08:07.559] て。笑笑。
[01:08:08.760] お前何歳やねん。こら。GG。こら。
[01:08:11.880] 気づきのちんまげ。
[01:08:13.359] 気づいちゃったね。あ、待って。おい。思った俺。お、待って待って待って。俺ここで装備買ってませんや。おい。
[01:08:21.159] ここで装備買ってない。装備やねんで。
[01:08:23.560] 笑笑な
[01:08:26.679] んで弾の話してんのと思ったけど弾も受けなんや。なんやなんやねん。ちょっとここで防具とか買ってないんですよ。そういえばよ。
[01:08:41.600] 笑うの?[音楽]
[01:08:44.880] 俺の5回分の配信レイドとか誰普段まず
[01:08:48.920] レイドって俺まず誰からも来ないんだけど
[01:08:52.000] ま、僕もしないんだけどね。友達ないから
[01:08:54.199] ね。あのもう俺の配信5回俺の外れ会俺の
[01:09:00.400] 外れ会の配信の5倍5日分ぐらいのWが
[01:09:04.679] 流れてる。今日
[01:09:07.400] 俺こんなおもろいこと言ってんのに誰も
[01:09:09.560] 笑わないねんこいつら。
[01:09:11.440] 本当に誰も笑わないから。笑笑がね。配信者のか笑か。
[01:09:12.092] [音楽]
[01:09:21.262] [笑い]
[01:09:21.960] ま、そこまでされるとなんかもうありがみ薄いわ。なんかそこまでされるとこれちょっといらねえもん全部売るぜ。
[01:09:29.777] [音楽]
[01:09:32.799] わがままだな。け草。笑顔が溢いですね。
[01:09:34.362] [笑い]
[01:09:38.719] そうでしょ。そうでしょ。
[01:09:40.080] だからおめらも思っちゃいでもなんかでももうなんからさすがに嘘臭いわ。なんかもう
[01:09:47.560] ありがみないわ。それなんかもう
[01:09:49.520] さすがに今日の下比率ひどすぎるけどな。笑笑
[01:09:51.393] [音楽]
[01:09:53.199] いやもう本当に冷静にそって言われると僕もちょっと言いすぎかなってさちょっと思ってた今日くないよ。笑笑
[01:10:00.000] ちょっとちょっとさすがにうん。ごめん。もうちょっとはいはい。下ネタ禁止します。こっから本当にお前いい加減にせえよ。ほんまに
[01:10:06.320] ドラクエやっとんねん。こちはドラクエ
[01:10:08.840] をしめろや。ドラクエ好きで見に来とる
[01:10:11.840] やつもおれやぞ。いい加減にせえよ。
[01:10:14.840] ほんま
[01:10:16.760] 下ネタ言うなよ。
[01:10:24.040] ていうと誰も何も喋れなくなっちゃうから
[01:10:25.560] ね。あ、俺の母さんも見てるけど。俺の
[01:10:28.199] お母さんも見てるけどね。配信にお母さん
[01:10:29.840] 見てんの。弾のくせに。何がや玉ゲームて
[01:10:34.360] 。
[01:10:37.320] え、ちょっと、え、レベル上げしに来たんです。あ、待って。何これ?匂いね。匂い袋。これ売るよ。全部俺で見に来てる人もいるみたいじゃんね。
[01:10:47.723] [笑い]
[01:10:48.560] いるみたいじゃんねってかおるねん。そういうのがおるねん。そういうの。いや、弾ゲームそんなおもろないやろ。別に弾絶対そんなおもろないやろ。
[01:11:03.120] 玉げ、もう
[01:11:04.920] 草の安売りやめな。もっと大事にしな、自分の草を。草の安売り良くないよ。笑
[01:11:12.679] も、もうなんやな。思んないコメント欄。これ
[01:11:16.880] 思ら、重んないコメント欄やな、今日。弾いや、玉ホームみたいにわんないな。なんやねん、このコメント欄。
[01:11:18.509] [笑い]
[01:11:28.199] なんか
[01:11:29.800] 2000年代の2000
[01:11:32.520] 年代のネットみたい。おんな。ここのコメント欄しょうもな。ちょ、買うで今日。え、ちょ、何買おうかな?大カ槌ね。大カ槌ってさ、ちょ、ほ、ちょ、もうせな、おめえら本当に思んないことずっと。あ、ちゃうか。
[01:11:34.229] [笑い]
[01:11:56.800] いいか?1
[01:11:57.520] 回いいか?大寿司つってこれさ、攻撃力めっちゃ上がるけどさ。笑
[01:12:01.719] お、ほんまにうるさいぞっ
[01:12:05.600] たもんじゃないよね。うん。ちょっとうまいこと言うね。この晴のちさって人ダブルしか打たないからほんまに発言金入れようかな。ダブル。これ荒らしじゃない?これ荒らしだよね。笑。
[01:12:19.120] ほらこれもう荒らしだ。いや、荒らしやろ。これ
[01:12:21.760] 何で気づくの?笑笑。こっぱ
[01:12:25.080] じゃこれじゃ。
[01:12:25.760] これさ、命中率低いとかあるか?
[01:12:28.800] 笑笑。
[01:12:29.480] 命中力、命中率低いとかありますか?ないすか?これ買っていいすか?
[01:12:34.520] みたいな頭視点んだから使えばいい。
[01:12:36.600] 誰が大きかに確かに今日俺確かに今日大き槌みたいだけどもドラクエのドラクエの大き槌みたいだけどな。確かに今日俺
[01:12:44.719] して噛まないで
[01:12:45.880] 確かに確かに今日俺大き槌みたい買うかじゃあじゃ買うわ。
[01:12:46.280] [音楽]
[01:12:50.040] 4600円の大カずっち
[01:12:53.920] じゃ。これか。凍たるね。これさ、全然攻撃当たんねえとかねえよな。これ全然攻撃当たんねえとかねえよな。ま、この色だとどっちかっていうとブラウニーなんですけどね。
[01:13:10.360] どっちかという今日も今日顔出しやめるわ。なんかもうおもろいこと言える自信ない。
[01:13:14.445] [音楽]
[01:13:16.960] 天手ドブロックみたいだな。
[01:13:18.560] 今日面白いこと言える自信ないわ、今日。今日ちょっともうこっちだけにしていい?うわ、お笑えやお前。そこは笑えお前とか言っちゃったもん、俺。さくちゃんに初めてごめん。それなんだ?
[01:13:22.960] [笑い]
[01:13:32.080] なんでそこで笑わへんねん?
[01:13:33.800] 笑笑。
[01:13:34.520] お、よしよしよしよし。ま、そこまでがセットですわな。
[01:13:38.520] で、何し、
[01:13:39.719] えー、ほんでなんだっけ?え、スネークソードね。スネークソードを渡します。あ、めっちゃええや。
[01:13:47.560] うわ、やだ。
[01:13:48.199] だからさ、このあれだよ。刃のブーメランが良くないんだよ。もう弱いんだよ。てことはね。てことはね。ゲマさん、こんばんは。切れてないって
[01:13:58.331] [音楽]
[01:13:59.239] おもろいやろ。せやねん。いや、でもこれなんで俺がおもろいかって言うと半年配信休んだからなんすよ。半年配信休んでごらん喋れるね。
[01:14:14.440] 回る回るペラが半年配信じゃちょっと半年配信休む前のチマゲームやっていいか?半年配信休む前のもう毎日から
[01:14:30.880] 10時から平日ね[音楽]10時から2
[01:14:33.560] 時まで配信して3時に寝てえ
[01:14:37.159] 7
[01:14:37.320] 時前に起きて仕事行ってた時のチまゲームの配信ね。
[01:14:47.480] 次何やんだよ、これ。ああ、もレベル上げしんどいわ。もうい
[01:14:50.076] [音楽]
[01:14:56.880] 懐かしい。
[01:14:58.719] 懐かしい。もう、もうええって。もう、もうレベル上げしんどい。
[01:15:05.639] これ。
[01:15:05.920] おい、これもうメタルスライムどこでんの?これ。おい、これメタルスライム教えて。
[01:15:10.960] メタルスライムどこでんの?これ
[01:15:12.520] 実際の故調がない。
[01:15:13.920] おい、メタルスライムどこでんの?これ調べて早く。
[01:15:20.960] この
[01:15:23.080] はあ。
[01:15:25.360] ダマドベリーベリーくてパセ島だよ。
[01:15:28.679] どこだよ島?
[01:15:29.440] 誰もフォローできない。
[01:15:31.719] どこだよ島って
[01:15:33.840] 怖いからやめて。
[01:15:35.000] やめよ。[笑い]
[01:15:36.320] ルフィッシュ。
[01:15:36.960] 嘘。
[01:15:38.360] 半年休むとこうなりますから。やっぱ人間ね、寝るって大事よ。
[01:15:43.920] 巻き上がれ
[01:15:44.760] 寝よ、みんな。
[01:15:46.520] いいとこ見せます。
[01:15:47.600] うん。楽しくなかったよ。うん。楽しくなかったね。楽しくないからなんかもう義ム義でしたね。うん。おいえ。祈りの指輪出るじゃん。祈りの指は出るじゃん。もう今祈りの指輪
[01:15:49.027] [笑い]
[01:16:03.159] 1
[01:16:03.320] 個ドロップしただけでこんな嬉しいんだぜ。寝るって最高やで。
[01:16:09.000] 人生の質が上がる。本当に。ちょ、忙しい忙しい忙しいっていうか別仕事のそれは変わんないんだけど。
[01:16:18.760] たんだっけ?
[01:16:19.480] お母さん心配してた。
[01:16:21.520] QOL
[01:16:22.239] 爆上がり。最近僕は土日はあの朝起き
[01:16:25.440] 7時に起きて1
[01:16:26.520] 時間ウォーキングに行くからね。
[01:16:28.327] [笑い]
[01:16:28.880] 最
[01:16:29.440] やばない?チャバゲーム最近俺配信やってた頃なんか土曜日なんか起きんの
[01:16:37.040] 3時やね。夕方の偉い。
[01:16:39.480] いや、そうすると元気出るんだよね。いいよ健康って。健康は
[01:16:47.199] 1番だね。ということで今日も
[01:16:50.040] 12時に終わるから。あと1
[01:16:51.000] 時間だよ。お前らと喋れんのも。
[01:16:55.120] でさ、どこでちょっとさ、今現段階でさ
[01:16:58.560] とかイベント
[01:16:59.400] そうだ。そこでもう燃え尽きたら俺がね。それスライムならドムドラ
[01:17:06.840] ドムドーラに出るんだ。あれドムドーラってどこだっけ?
[01:17:11.159] バギマ
[01:17:11.679] ドムドーラって俺も言ってた。ま、いいや。でも行けるよな、ここ。ここってことはでも行けるよね。このもうアレフガルドにいるってことはね、行けるもんね。そう、レベルアップね。
[01:17:21.800] 去年の年末、去年じゃないか、もう昨年に
[01:17:23.719] なんのか、2024年の年末にその
[01:17:29.199] あれ、そのイベントやってもう燃え尽きた
[01:17:32.560] んだよね。もうそれエンジンかかんなく
[01:17:34.360] なっちゃって。それでそっから7月ぐらい
[01:17:37.600] まで6月ぐらいまでやったんだけど、あ、
[01:17:40.320] これちょっと一旦無理やと思って。
[01:17:43.960] そうやねんな。
[01:17:46.400] ほんで何だっけ?ドムドーラ。どこやねん
[01:17:49.040] 。ドムドーラって。
[01:17:50.360] ゴムドーラってまずどこだっけ?あ、この辺。あ、これもしかしたあれと一緒か?こないのドラ
[01:17:56.360] 1
[01:17:56.560] と。あ、じゃあ行ける。じゃあ行こうや。じゃあ行こうじゃん。じゃあ行こうじゃん。
[01:18:03.040] あれ行けなかったの?マジで残念だった。
[01:18:06.520] あ、そうか。行けなかった。そうか。でも来ようとしてくれてただけで嬉しいわ。
[01:18:08.544] [音楽]
[01:18:12.360] カンク郎もいますと
[01:18:14.439] [笑い]
[01:18:15.080] ナルトじゃん。か、やっぱ拾ってくれると嬉しいよね。
[01:18:18.719] こういうちょっとしたボケをね、拾ってくれると嬉しいね。俺お前らが気づか、俺お前らがあれだよ。気づかないような細かいろんなネタとかいろんなとこに散りばめてんねん。結構スルーされてるからね。なんでこいつらわかんねえんだよって。そのたイライラしてんだから。やっぱね、拾えるやつは拾えるんすよ。その辺ちょっとみんなちょっとがちょっと勉強してきから来てほしいわ。
[01:18:36.054] [笑い]
[01:18:42.639] さっきクソ肘方やってたよな。
[01:18:45.224] [笑い]
[01:18:47.760] うん。
[01:18:48.560] 変態変態クソとかのやつだ。ま、でもそれはもうみんな、みんな分かってたからな。それはみんな分かってたから。
[01:18:54.760] 思んないのは拾われない。おいおいおいおいおいおい。
[01:18:59.199] 言うね言うね。リッキーもや。リッキーリッキー誰かさ拾ってくれるかと思ったんだよ。経験値が
[01:19:06.760] 666
[01:19:07.639] だったからラッパーのリキダディダティのあのなんかもう草やってらりっちゃった時のあのなんかインスタ配信の俺のここのタトゥーがよ。
[01:19:17.159] あ、これ6の6の6のあ、6の6の6の6
[01:19:19.960] の6
[01:19:20.239] のってやったのに誰も拾ってくれない。お前らもっとたけど名前出てこない。やってる。俺もリッキーって出なかった。なんかこれ誰だっけなって思いながら顔出てんのに名前出てこなかった。だそういう時はコメントせな。そういう時はコメントしなあかんで。あ、それキー草とか言えよ。人任せにしないでな。コメント。
[01:19:28.454] [笑い]
[01:19:47.040] 君のその1
[01:19:47.840] コメントファンがたけコプターだった。
[01:19:49.920] 君のその1
[01:19:50.800] コメントがこの配信を作ってるんだよ。分かるか?リッキーってシングファンが竹コプターだったみたいな人。そうそうそうそうそう。あ、そうそう。
[01:20:00.550] [笑い]
[01:20:05.840] あのキダディダディてあの
[01:20:08.400] 中途半素晴らしいス
[01:20:12.400] ラッパーがいるんだけどインスタライブをやってたのこうやってさ画面に
[01:20:17.320] 画面に向かって喋ってんだけどこうやって喋って画面に向かってるこでちょうど天井のさあの天井のファンが回ってもうずっとなんかコプターついてるみたいになっててコメントでたコプターコプターって言われてるやつなお前らなんだ分かってんじゃん。
[01:20:28.060] [笑い]
[01:20:35.639] 分かってんじゃん。それ拾っていけよ。
[01:20:40.120] 笑っててキーボード打てないんだよ。
[01:20:41.320] さっきは違うけど。さっきは違うけど。
[01:20:43.120] 言わなくていいからね。言わなくていい。
[01:20:45.480] 知らなかったらみんな幸せなんだから。
[01:20:48.199] えー、リムルダールルってどこだよじゃ
[01:20:51.360] ない。ど、どこ行くことしたんだっけ?
[01:20:53.280] リムルダール違う。ドムドーラね。ドム
[01:20:56.920] ドーラってここやんな。この辺だよな。
[01:20:59.159] ドムドーラってな。この辺だよね。
[01:21:06.280] なあ。あ、よしよ。よしよし。いいね。すぐ反応できる。
[01:21:14.600] いいね。そんくらいのレスポンスでくれるとね、だいぶ助かります。僕も。え、もう今日多分さ、レベルちょっと上げてあのボス倒せないぞ。多分
[01:21:28.760] 12時までやもん。あと1
[01:21:30.040] 時間しかないもん。
[01:21:31.600] 丁寧に振られてて沈黙が正解かと思っちゃった。
[01:21:35.480] うん。多分ね、俺は答えてくれてありがとうと思ってるけどね、いもこはね、ああ、答えなくてよかったなって多分思ってます。答えるべきじゃなかったなって多分思っ
[01:21:47.639] ひどいねんな。みんなうん。そこは右じゃないし。しかもそこはうゆじゃない本当に。あ、うん。うん。深くうなついてる。
[01:21:58.040] でも嬉しいか受けるかだからどっちも良いじゃね。笑笑
[01:22:01.071] [音楽]
[01:22:03.120] せねえ。ここ何?あ、ここなんだ?え、これ何?ここ何だっけ?
[01:22:13.159] 行くよ。それ
[01:22:19.960] 何でしたっけ?この洞窟。こんなとこあったか?
[01:22:23.239] 本当に1クリアしました。
[01:22:24.920] こっ見てたやん。
[01:22:27.239] え、ずっと見てて、え、また不思議な帽子
[01:22:29.440] なんですけど、めちゃくちゃ落ちてる。え
[01:22:31.080] 、またこれ装備しよう。またこれ装備
[01:22:33.719] しよう。
[01:22:35.787] [音楽]
[01:22:37.400] 不思議な帽子2つ落ちることあんの?これ
[01:22:39.400] 結構運良くね?めっちゃ運良くね?俺神
[01:22:43.920] は味方してるな。どこ?え、なんだっけ?
[01:22:48.639] 1から2を連続やったとは思えない。
[01:22:51.159] レスポ何も覚えてねえ。
[01:22:54.127] [笑い]
[01:22:55.000] なんだっけここ?何ここ?岩山の洞窟
[01:22:58.120] 1
[01:22:58.280] も2も昔のもやったことある?
[01:23:00.120] そうだよ。うん。昔のもやった。ドラクエ
[01:23:02.120] 1配信してる時に耐久配信で
[01:23:04.560] 30
[01:23:04.920] 何時間やって眠気限界来てここで寝てたらお尻出して
[01:23:07.960] banされたわ。
[01:23:08.880] どっちもどっち
[01:23:09.600] ケ出して寝蔵で寝蔵でケ出してそんなことある?
[01:23:14.432] [笑い]
[01:23:14.440] いいとこ見せます。
[01:23:16.360] どっちもどっちの要素ある?いや、ぶっちゃけロゲーマーでもなければこっちやった方がいいと思うよ。正直きついで。今レトロゲーム好きじゃない人間がファミコンのレトロあのドラクエ
[01:23:28.960] 1
[01:23:29.159] やろうとしてもぶっちゃけめっちゃきついと思う。やっぱね、そこも楽しめる人じゃないとなんかうん。こっちやった方がいいと思う。なんて栃なのに行くよ。
[01:23:43.907] [笑い]
[01:23:45.520] 何気に栃木あれだからね。何気に栃木ってあの広いからね。
[01:23:51.800] でも人生しながら叫んでる人見るとちょっと続クゾクしちゃうの。
[01:23:57.663] [笑い]
[01:24:00.400] 人生縛りね。ようやったよね。ようやったよな。
[01:24:06.159] ここですね。
[01:24:07.719] なんかでもまたやりたいなって気もあんだよね。またやりたいなって気もするんだよね。
[01:24:15.320] するんだけど、まあな、
[01:24:19.639] ドラクエ7もリメイクやった後にプレステ
[01:24:22.199] 2でやったら石板に発狂してそう
[01:24:25.080] 7でやる。
[01:24:25.679] ちなみにプレステ1です。ちなみにドラク
[01:24:27.679] 1はプレステ1です。
[01:24:29.719] こういう風にあのうざいうざいレトロゲーオタも出してこ
[01:24:33.320] ながら真んネりにならないようにするの大
[01:24:34.343] [笑い]
[01:24:35.880] うざいうざいレトロゲーオタも出していきます。あ、ちなみにドラクエンドラクエ
[01:24:39.760] 7はFあのPS1です。
[01:24:42.600] これ間違えないでください。人生リバ知らん。もう人生縛りせ。いやね、なんか育成系のゲームで人生縛りはやりたいのよ。だポケモンとかねじ込んで良い。
[01:24:59.840] なんでだよ。ダメに決まってんだろ。どういうことだよ。ダメに決まってんだろ。
[01:25:01.198] [笑い]
[01:25:08.480] 人生ポケモンとかドラクエストモンスターズとかだったらリカバリー効くじゃん。まだ
[01:25:14.000] やりきった人生
[01:25:15.400] 叩き込む
[01:25:17.960] 行くよ。
[01:25:21.119] 最後の方はなかった。最後の方はなかったよ。間最後のは最後の方はマジなかったけどでも俺最初の方よやってたやんようやってたやん俺。今ならできると思うねんな。
[01:25:35.480] ドラゴンクエストテリーのアンダーランド
[01:25:37.880] 人生縛りやりてえ。あ、ここメタル
[01:25:40.440] スライム出んの?ここメタルスライム出ん
[01:25:42.920] の?
[01:25:46.280] 救急隊員に怒られた中だと仲良くしてる。
[01:25:48.480] どういうこと?あ、一緒に。あ、俺も
[01:25:50.560] モコライトと俺一緒にあの救急車乗ってる
[01:25:53.080] からな。[笑い]
[01:25:54.960] 救急車乗ってるから。そんで病院に運ばれ
[01:25:58.000] て俺マジで全然そん時現金持ってなくて
[01:26:00.920] モコラ初対面だったのにモコラにごめん。
[01:26:03.424] [音楽]1万円貸1
[01:26:04.719] 万借りてるからね。病院台足りなくてドラ
[01:26:07.354] [笑い]
[01:26:11.080] うん。そう病院台足りなくて
[01:26:13.080] 1万借りてるから初対面で
[01:26:16.600] いいとこ見せます。え、リスナーに売り付けないで。
[01:26:24.040] 懐かしいね。
[01:26:25.159] 未だに返してない。
[01:26:26.440] 返したよ、バカ。お前ふざけんな。それは返して。普通にそれはっていうか、それもえ。
[01:26:29.624] [音楽]
[01:26:34.639] ここってなんか他に何かあんのかな?
[01:26:36.400] メタルスライム以外探してみるか。犬の花
[01:26:40.119] 。ほら犬だよ
[01:26:43.400] ね。これレミラーマっていつ手に入るの?
[01:26:47.760] あ、出るん。四つ員なんだよこれ。
[01:26:53.760] ちょっと待って。
[01:26:55.840] 出るやん。ガ域じゃない。
[01:26:59.719] じゃなくて命令。え、魔人切りやっていいよな。魔人切りやっていいよね。必中拳ね。これ必中拳ってちなみに
[01:27:09.280] 魔人の
[01:27:10.080] チなしょうがねえなつってよっこらせてせ。
[01:27:11.545] [笑い]
[01:27:19.400] これさ、必中拳ってチナチナ必中拳ってそういうこと?そういうこと?メダルとは関係ないか?でもメタルは関係ねえか。こっちの方が
[01:27:29.600] 15
[01:27:30.400] 無人切り使ってくれるで。そういうことだよ。
[01:27:33.960] そういうこと。君の想像通り。これ君の想像通りだよ。えー、こ、魔じ切り。ま、どっちの方がいいかな?いや、魔じん切りよりこっちだろ。
[01:27:46.199] MP食いすぎ。
[01:27:49.560] 本田もいますと。お、よくよく拾えるぜ。え、今のは難しいと思ったよ。今のは。今のは難しいと思った。さすがだな。えー、これ回し蹴りとか入るんかな?入んねえかな?技って入んねえのかな?ね、
[01:27:56.740] [笑い]
[01:28:14.520] 4回攻撃。いや、わかんね。どうしよう。
[01:28:17.400] これも狙うか。なん
[01:28:20.320] 行くよ。な
[01:28:21.400] んやねん。それや。
[01:28:24.840] なんやねん。
[01:28:31.320] ほ
[01:28:34.600] 何?全然当たらん。当たるどころか抽選にも参加できず。抽に
[01:28:43.600] 準備して出かけた街アプで空振りする感じ。
[01:28:47.176] [笑い]
[01:28:49.800] 待ち人小ずオフ会
[01:28:51.719] 0人ウどうもちゃまです。
[01:29:02.119] 今日は12
[01:29:02.920] 時までってずっと言っとるやろかい。
[01:29:06.840] 平日は12時じゃない。
[01:29:10.440] お前らがめっちゃコメントしてくれて、
[01:29:13.400] めっちゃ反応良くて、俺の気分がめっちゃ
[01:29:15.239] 良くなったら1時までもしかしたらな、
[01:29:18.280] それは君たち次第だよ。
[01:29:21.880] それは君たち次第。
[01:29:24.840] 見せてみて君たちの努力
[01:29:28.119] じゃあいいかな。13[笑い]時間助かる
[01:29:30.840] 。いや、じゃ、じゃあ12時だな。じゃん
[01:29:35.280] の早い。早いよ。
[01:29:37.960] 諦めんの。もっとちょうだいよ。もっとちょうだいよ。明日のお昼
[01:29:46.679] 12時までの配信。な
[01:29:48.239] わけあるかい。なわけあるかい。フラマさん、こんばんは。今レトロレベル上げ中やね、今日。今レベル上げてかもう今日多分レベル上げで終わりやな。今日レベル上げで終わり。
[01:30:02.719] いや、最後ラスボラスボ頑
[01:30:07.159] コメントが賑ってあんたの嫌がくなることなんて誕生そんなことねえだろ。別にそんなことねえだろ。
[01:30:11.017] [笑い]
[01:30:16.600] こんばんは。
[01:30:18.560] こんばんは。こんばんは。こんばんは。わわわわわ。どうもこんばんは。全員ばっちりやっちゃって。ばっちり行け。
[01:30:27.679] 行くよ。
[01:30:31.600] え、なんかどうなんだろうな。金貯めて装備買った方が早い気がすんだよな。金貯めて装備買った方が早くねえか、これ。
[01:30:34.597] [音楽]
[01:30:38.920] いいとこ見せます。
[01:30:47.560] なめんなよ。どうしても飛び膝蹴りってさ、技たまにこいつ打つけどさ、それ見ると外したらダメージ食らうんじゃねえかって思っちゃうんだよな。
[01:31:00.119] ポケモンのだからよ。チャーレムがよ、よう外すねんな。あれ
[01:31:06.320] チャーレム同じこと言うただ。俺たち世代はさ、飛び膝蹴りコールチャーレムやねん。
[01:31:08.657] [笑い]
[01:31:14.840] させなさい。
[01:31:15.719] すごない?これ
[01:31:16.960] いいとこ見せます。
[01:31:18.199] すごない?これな。やっぱチャーレムだよな。
[01:31:24.199] え、どういうリアクションそれ?と
[01:31:27.199] どういうリアクション?やっぱチャーレムなんよ。飛び膝蹴りって
[01:31:33.239] サワ村ラーじゃねえの?
[01:31:35.639] 違う。もうおっさんやな。確かにとこトコトコトコトコみたいなな。とこトコトコトコトみたいな鳴き声な。おい、ザオラル来たで。これは勝ったな。
[01:31:38.133] [笑い]
[01:31:50.920] 沢村ってま、ちなみに沢村の鳴き声は
[01:31:54.800] ボンボンね。俺クソに似てるから。サ沢村
[01:31:58.199] の鳴き声ボンボン。
[01:32:03.800] 久々だね。ポケモン鳴き声クイズ何でも
[01:32:07.840] できる。今来た来た来た来た来た来た。
[01:32:11.920] これちなみにさ、全員ばっちり頑張れてさ
[01:32:14.520] 、勝手に狙ってくんねえのかな?勝手に
[01:32:17.320] 狙ってくんない?これ。
[01:32:19.440] いや、やめるか。借りに行こう。借りに行く。
[01:32:24.600] やってごらん。
[01:32:25.719] ええ、何?え、じゃていい。信じていい?頼まいよ。頼まよ。行けよ。いいぞ。まずは逃げなかった。いいぞ。や
[01:32:37.520] あ。お、行く、行く、行く、行く。お、いいよ。え、え、なんでこれなんで死なないの?え、
[01:32:43.639] HP3じゃねえのかよ。HP3
[01:32:45.600] じゃねえのかよ。
[01:32:49.040] 頼む。逃げんなよ。逃げんなよ。危ね危ね。頼む頼む頼む頼む。頼む頼む頼む頼む。ヒッチヒ中ヒ中。お前は早せて早。
[01:33:01.159] ナイス
[01:33:04.040] ナイス。まあまあ
[01:33:06.080] 1
[01:33:06.159] 匹倒したから。よしよしよしよしよし。あ、いいじゃん。いいじゃん。いいじゃん。いいじゃん。いいじゃん。かなりいいよ。うん。かなりいいよ。今回
[01:33:13.480] AIめっちゃいい感じ。
[01:33:16.960] ここですね。
[01:33:19.000] めっちゃいいじゃない?
[01:33:19.880] いいじゃん。ムスゴッド。
[01:33:21.840] いいじゃん。キモ。うわ。ええ。え、
[01:33:32.280] HPの伸びがえぐい。もう
[01:33:34.880] いいじゃん。すげえじゃん。
[01:33:36.679] HP20
[01:33:37.719] ってもう別人やで。腕めっちゃ太なって帰ってきてんじゃん。
[01:33:42.840] も[笑い]
[01:33:44.560] HP20上がるってもう相当別人のそれよ
[01:33:48.600] 。
[01:33:54.920] こいつ底しれねえタフネスが
[01:34:04.520] 痛いでしょでもこいいね。ここいわ。
[01:34:07.000] ちょっとここちょっと今日長めに
[01:34:08.480] ゴリラ
[01:34:09.320] ゴリラゴリラゴリラの正式名称な。ちなみにマリオの本名はマリオマリオな。ちなみにちなちなマリオの本名マリオマリオね。ここなんかもっと色々ありそうだけどな。あと
[01:34:24.639] 6個もだからあるやん。どうしよっかな。
[01:34:29.480] そなんだ。ヨッシーはルイージはヨッシーの本名お願いします。
[01:34:35.600] あ。
[01:34:37.080] あ、は。あ、
[01:34:42.760] 笑笑。
[01:34:48.000] また切れていら。うボー。
[01:34:50.520] ピロリンピロリン。
[01:34:54.159] どうか行かないで。
[01:34:58.159] 何これ?
[01:35:03.320] めっちゃ痛そうな顔。
[01:35:05.119] 強制終了。はぐたに攻撃当たらないみたいになっていら怖い。これ
[01:35:10.960] 8カス下のから不正な電波が
[01:35:14.520] もうパソコンが限界なんです。てか多分かった。もしかしてこれ暖房つけてるからかも。暖房ま直当たりパソコン攻撃して暑さでなんか
[01:35:25.719] USB
[01:35:26.800] に色々差しすぎやねん。もう刺すのが大好きやねんな。ちゃまけゲームは。
[01:35:34.639] あちになっちゃ。
[01:35:35.440] もうさせそうなとこあったらもうすぐだからすぐ。え、もう何?毎回毎回これめんどくせ。これで
[01:35:43.159] 5分ぐらい取られんねんな。これで
[01:35:45.239] 5
[01:35:45.360] 分ぐらい毎回取られんねん。いにせえよ。ほんまいい加減にせえよ。
[01:35:50.280] だとそんなことが起きちゃうのか。
[01:35:53.679] ちょっと待ってね。ちょっとすぐすぐすぐだからちょっと
[01:35:56.400] ってるもの刺さないで。
[01:35:58.840] ちょっとちょっと待ってな。ちょ、ちょっと待ってよ。おお。
[01:36:02.101] [音楽]
[01:36:02.800] なんでなんちょそこなんでなんでここに俺が打つんだよ。
[01:36:06.840] てないです。
