[00:00:14.879] やり漫画な。
[01:29:36.320] 跳ね返えるようになってんだ。それもそれ
[01:29:37.840] でメタルに結構有効なんだよね。
[01:29:44.000] ビスモビーストモードがね。MP30
[01:29:47.440] も使うからね。おめえらやめて。殴ってこい。ここからだ。ここだ。せい。
[01:30:06.320] いや、もう全然
[01:30:20.320] 当たないんですけど
[01:30:22.920] 頼む
[01:30:25.880] な。
[01:30:29.600] 頼むよ
[01:30:31.480] 。ここだ。ナイス、ナイス、ナイス。
[01:30:35.280] で、レベル上がった。イエー。
[01:30:43.280] おいしい。お味しい。
[01:30:44.199] お味しい。お味しい。これだ。
[01:30:46.880] MPレベルレベル1上がるだけでさ、MP
[01:30:50.320] が10ね、8ぐらい上がるからね。
[01:30:53.679] 結構レベル1上げるだけでもね、ドラクエ
[01:30:55.800] 1
[01:30:56.000] っていうのはね、世界が変わるもんなんですよ。
[01:30:56.213] [音楽]
[01:30:59.239] ビーストモードでは早やぶさ切りか。
[01:31:01.360] そう、そう、そう。[笑い]なんで?あ、
[01:31:04.080] 俺の、俺の実況プレイを見てあれしてる?
[01:31:07.480] 今攻略を得てる。そうだよ。これが1番
[01:31:11.000] いいよ。わかんねえけど。もっと効率の
[01:31:13.639] いい方法あるかもしんないけど。
[01:31:16.920] ビーストモードはぶりですよ。やっぱり1
[01:31:19.360] 番いいのは。
[01:31:22.520] あともう1レベだけ上げよう。
[01:31:24.280] ちなみにどんくらいんだろ?口笛。何?口笛って
[01:31:33.760] 1万5000。あと15匹もか。あと
[01:31:37.480] 15
[01:31:37.880] 匹からないと。たかダブルシャドゲートシャドりました。ダブル矢印。
[01:31:40.753] [音楽]
[01:31:44.000] 懐かしい。あれ?懐かしい。あれだな。それ何?その懐かしい。ちょっと待って。
[01:31:53.440] 懐かしいクリップが久しぶりに見たい。
[01:31:59.040] おお
[01:32:00.719] ほ。
[01:32:02.480] ちょっとこれ映せないんだけど。どうやっ
[01:32:03.800] て映すんだ、これ?どうやって映すんだ?
[01:32:06.199] これ
[01:32:16.080] だいぶ古いな、これ。だいぶ古いよ、この
[01:32:20.440] クリップ。
[01:32:23.520] ちょっと待って。
[01:32:27.360] だいぶ古いクリップ。突然闇を引き裂が
[01:32:30.600] 走った。光る棒の先端にと手を結ぶ。おお
[01:32:34.199] 、手。手が足元にぽっと穴が外骸外交が
[01:32:37.280] 登ってき何
[01:32:39.704] [笑い]。
[01:32:43.679] いやに持って意味がわからん。
[01:32:46.560] 何をスイッチ持ってる?これ
[01:32:49.719] 意味がわからん。なんだよこれ。斜め上すぎるだろ。
[01:32:55.440] びっくり。
[01:32:56.880] いやあ、懐かしい。
[01:32:57.880] って。笑。
[01:32:59.639] 懐かしいね。あのシャドウゲートね。シャドウゲートあのですね。僕結構あのゲーム好きでシャドウゲートがよいしょ。シャドウゲートがね好きでね買っちゃったんだよね。
[01:33:13.280] これみんな知ってる?これ
[01:33:15.800] 好きなクリップゲート
[01:33:17.480] 64
[01:33:18.320] ゲーム楽しんでる時で否定された。
[01:33:18.349] [笑い]
[01:33:20.600] え、みんなこれ知ってる?シャドウゲート
[01:33:23.239] 64
[01:33:31.119] 買っちゃいました。
[01:33:31.920] ぬアに
[01:33:32.800] やりたくて
[01:33:34.159] 人気作品ですか?
[01:33:35.880] え、超絶マイナー
[01:33:37.119] こんなものが
[01:33:38.239] こんなものがあるんだぜ。シャドウゲート
[01:33:40.440] 64めっちゃおもろそうじゃない?
[01:33:42.584] [笑い]
[01:33:43.400] これめっちゃおもろそうじゃない?これ
[01:33:46.560] シャドウゲート64好きなクリップ言うと
[01:33:49.360] 黙ってる時はえ黙っ
[01:33:52.800] てる時はゲーム楽しんでる時で否定された
[01:33:54.440] 時どういうこと?どういうこと?どういう
[01:33:55.440] こと?俺俺が俺がゲーム黙ってゲーム
[01:33:57.360] やって俺がゲーム黙ってやる時
[01:34:01.719] 俺が黙ってゲームやる時は楽しんでる時だ
[01:34:03.679] よ。[笑い]
[01:34:05.320] やけに今日喋るなっていう時は不安な時。
[01:34:09.880] 俺が配信やってて黙ってゲームやってる時は楽しい時
[01:34:12.719] こんばんは
[01:34:13.760] よもっちゃんあっちゃんかと思ったびっくりしたなんでお疲れ今年もありがとうございました。年の瀬配信今日もドラクやってます。
[01:34:14.680] [笑い]
[01:34:22.600] 息き抜きにマリカ付き合うよ。
[01:34:24.840] マリカマリカも全然やってねえよ。もうもう
[01:34:28.480] Sッ2買ったのに全然Sッ2
[01:34:30.719] のソフトやってねえんだから。ドンキーコングバナンザなんて俺配信で
[01:34:33.920] 1日でやめたぞ。
[01:34:35.719] マリカワールドか王か迷ってる。
[01:34:37.800] おもろいよ、おもろい、おもろい。
[01:34:39.280] おもろいとは思うけど、別に配信ではあんまりやらな、やらなくてもいい。シャドゲート
[01:34:51.239] 64
[01:34:51.920] だろ、お前。そんなことより作道ゲート
[01:34:53.800] 64やれよ。シャドゲート[笑い]
[01:34:56.639] 64
[01:34:57.159] だ。世の中は楽しみすぎるだろ、これ。最近ちょっと
[01:35:02.600] 64
[01:35:02.960] のゲームを集めるのにさ、結構今お熱で結構
[01:35:07.280] 64いっぱい買ってんのよ。
[01:35:10.199] ここだ。
[01:35:11.960] そっち狙うんか?ワンダープロジェクト
[01:35:14.800] J2と
[01:35:15.600] から決める。
[01:35:18.040] いや、買おうとしてもこれなかなか売ってないで。これ激レアですよ。これなかなか売ってない。これ
[01:35:27.960] シャドウゲートってアニメないっけな。
[01:35:30.520] え、あるのあるの?シャドウゲート絶対アニメないっしょ。あの変なゲームだよ。
[01:35:36.719] あのファミコンで俺が前やったあの
[01:35:39.880] なんか死ぬと骸骨出てくるやつ。あの俺
[01:35:42.679] スタンプになってるやつ。これ何ぼしたん
[01:35:44.960] だっけな。
[01:35:47.360] でも安かったよ。8000円ぐらい。
[01:35:54.360] いや、それはこのってやつは月風笑
[01:36:01.520] 安かったよ。8000
[01:36:02.679] ぐらい。安いって。安い、安い、安い。あの、これ本当に普通に屋とかで買おうとしたら
[01:36:12.360] 1万6000円とかすんだ。
[01:36:13.520] のソフトと同じぐらいする。
[01:36:15.320] うん。いや、でもこれ8000
[01:36:16.639] 円で中古で出会えたのはマジ奇跡。めっちゃ安いと思った。
[01:36:19.320] 残念。
[01:36:20.800] あ、そうそう。そのスタンプ。そのスタンプ。
[01:36:32.800] もうメタスラム出ねえ。
[01:36:37.880] ま、来年どっかでやろうかな。
[01:36:41.280] やっぱね、NEND64ってこの箱が
[01:36:43.960] でかくていいんだよね。なんかでっかくて
[01:36:46.119] ワクワクするだろう箱[音楽]が。
[01:36:49.920] これがね、4のいいとこなんすよね。
[01:36:52.320] 分かる
[01:36:53.000] 箱がでかくていいよね。か。で、しかも
[01:36:55.719] なんかカセットとか重たいのよ。なんか
[01:36:58.520] その重厚感がね、
[01:37:02.159] いいんですよ。ほら、めっちゃ良くないか
[01:37:06.560] ?めっちゃ良くない?シャローゲ。
[01:37:10.760] もうゲームっぽりのとこの説明書のこの
[01:37:17.000] その取り出す時のプラの音使っていうね。
[01:37:22.560] いいだろう。これめっちゃおもろそうだぜ。めっちゃおもろそうだぜ。これ見ろよ。この
[01:37:32.400] 6464
[01:37:34.040] 巻。この絵の
[01:37:35.767] [笑い]
[01:37:38.679] 64の絵だ。
[01:37:40.800] 64のソフトでも説明書入れた前いい。
[01:37:44.560] 本当だよな。本当だよな。
[01:37:45.920] 兄と落と玉割り感して
[01:37:47.560] 64買ったわ。
[01:37:49.040] うわあ、なんか青春って感じ。この
[01:37:54.679] 64
[01:37:55.239] 巻のあるこのたまらんやろ。これおもろすぎる。何これ?何の何のあれ?何の送りっぽい?これ。
[01:38:02.960] あ、おい。な
[01:38:04.639] んだこれ?
[01:38:06.040] 俺が黙々とゲームやってるってか本当に面白え時だよ。
[01:38:08.760] あ、同じこと言ってる。そう。俺が黙々とゲームやってる時は本当に面白い時ね。あの夜けに喋る時は不安な時。このゲーム
[01:38:09.173] [笑い]
[01:38:17.119] 見てワクワクしてたよな。
[01:38:18.719] いや、やばいゲーム選んじゃったかなの時ね。そう。
[01:38:21.760] 変えて
[01:38:22.639] こういうのをさ、こういうのをさ、読むのが楽しくてな。これ最高でしょ。これね、お前らには読ませてあげない。画面変えてって。そんなん気汚いって引き換えられてたんよ。で遅れた。
[01:38:36.719] あ、そうなんだ。お疲れ。お疲れ。お疲れ
[01:38:39.679] ちゃん。今日もやってますよ。今日もやっ
[01:38:42.520] てますよ。シャドウゲイト64やってい
[01:38:46.760] ます。あ、やってますじゃねえや。ごめん
[01:38:47.800] 。全然書けない。ごめんちゃ。
[01:38:49.040] ドラゴンクエストラゴンクエストシャドウ
[01:38:51.159] 6やない。今見せてただけ。みんなに自慢
[01:38:53.440] してただけいろ。お前らも欲しいだろう
[01:38:56.000] つって。
[01:38:58.040] やっぱ64のゲームしき回にしてさ。やめ
[01:39:02.800] てやろうよね。やんないや。これまだあっ
[01:39:05.480] よ。
[01:39:06.639] 来年のつかどっかでやんのだ。よいしょ。いいよね。やっぱり箱付きっていいよな。
[01:39:16.679] この前は豆腐ったんだけど、裸の金銀
[01:39:19.520] 2200円済んだな。
[01:39:21.480] 今ポケモンエぐ高いぜ。今ポケモンの裸ソフトでも普通に
[01:39:26.719] 5000
[01:39:26.920] 円とかするからね。頭おかしいだろ。誰が買うねん。ま、外人が買うんだけど。外人が買うねんけど。
[01:39:38.520] プラチナ[音楽]8000円した。
[01:39:40.239] 高いマジ高い。本当に
[01:39:42.400] それでか。
[01:39:44.119] インバウンド価格ってやつだよな。もう本当に今レトロゲームなんか買えねえよ。ポイポイ買ってそう。
[01:39:52.000] うん。いや、そう。マジでそうだよ。
[01:39:56.440] バカよ。
[01:39:57.719] バカよ。もう買えねえよ、マジ。今レトロゲーム本当にお店買えない。
[01:40:03.960] Åとかポテトとかじゃ絶対買えない。あれもう博物館だよ。マジで
[01:40:08.960] エメラルドプラチナはマジでネズれしない。しないね。そのやっぱクリスタルもそうだけどやっぱマイナーチェンジ版あれもない方悪く言えばさ版商法だからさ。その完全版高いのよ。ま、全部持ってるんですけどね。全部
[01:40:26.520] 3つずつぐらい持ってるんですけどね。
[01:40:32.840] うざ。
[01:40:35.880] でも俺が変った時なんてさ、ポケモン赤青緑金。あ、もう全部箱付きで持ってんだけど
[01:40:43.119] 1個箱付きで500円とかだったんだよ。
[01:40:46.040] 5
[01:40:46.239] 年ぐらい前は誰も手つけてないの。あのぶフの青い青いさ、ジャンクコーナーあるじゃん。あそこにぶん殴がってたんだから。時代だよな。良かった。勝って。
[01:40:59.080] こんな値上がりすると思わなかった。
[01:41:04.960] これでどうだ?
[01:41:11.840] えっと、はぶ
[01:41:15.239] 俺たちポケモンがいない年だしね。
[01:41:17.679] そう、そう、そう。1996
[01:41:18.920] 年生まれね。エメラルドとか
[01:41:26.880] 1万5000ぐらいするっしょ。
[01:41:28.080] 多分今たけえよな。お、いいね、いいね、いいね、いいね。おし、ナイス、ナイス、ナイス。いいぞ、
[01:41:39.440] いいよ、いいよ。年、
[01:41:41.320] そう、来年30周年だね。
[01:41:51.599] 来年俺3
[01:41:52.840] かったやつがまだ動いてくれて感動した。
[01:41:55.280] いや、割とね、ゲームボーイアドバンスはね、動くよ。あんな壊れるようなもんじゃないよ、あんまり。ファミコンとかも動くしね。いや、カセットって壊れないんだよね。
[01:42:07.719] ま、また3てなんだよ。
[01:42:09.480] 29°や、まだ。お前間違えんな。いや、もう
[01:42:15.840] 30
[01:42:16.520] の台乗っちゃうんですけど。来年もうおっさんやん。
[01:42:22.159] 1なんて5
[01:42:22.920] さポタ交換ってどんくらいの年数経ってたらやるべき?
[01:42:28.159] あのね、エメラルドとかそういうのはね、めっちゃ早いんだよね。あの、あの、中で時計動かしてるゲームっていうのはね、早いんだよ。だから、ま、
[01:42:40.080] 2年に1回とかかな、他のゲームは
[01:42:42.440] 8
[01:42:42.639] 年ぐらい、ま、持つんだけどセーブデータだけだったら電池を、あの、中で時計動かしてるゲームっていうのはめっちゃ早い。
[01:42:49.280] 2年とかでなくなっちゃう。
[01:42:54.080] まあつってもポケモンは別にデータ消える
[01:42:56.960] わけじゃないからね。あのポケモン
[01:42:58.760] クリスタルだよ。やばいのはポケモン
[01:43:00.719] クリスタルは電池がなくなるとあの
[01:43:05.040] データも消えちゃう。
[01:43:09.320] エメラルドはねとね、あの時計の電池をね
[01:43:12.599] 分けてるから別に時計が止まるだけで電池
[01:43:16.199] 変えたからだからってデータ消えたりはし
[01:43:18.159] ないんだよ。
[01:43:20.960] すでにおっさん高の現物。あれ?モコラって何歳?モコラ何歳なんだっけ?
[01:43:25.960] 笑笑
[01:43:26.639] まあま俺俺を誰だと思ってんだ?お前俺を誰だと思ってんだ?詳しいよ。詳しいよ。で、あのゲーム内で時計を動かしてるゲームボイアドバンスのゲームはえっとポケモンポケモンエメラルド、ポケモンルビーサファイア、ポケモンファイアレッドリーフグリーンと僕らの対陽だけね。
[01:43:49.480] 意外と少んね。僕らの太陽も電池すぐなくなるね、あれ。あれもデータ消えたりはしないんだけど時計が動かなくなっちゃうんだよ。ただ僕らの太陽は太陽のゲームだからね。時計がめちゃめちゃ大事なんですわな。
[01:43:50.431] [音楽]
[01:44:03.440] 時計がめちゃめちゃ大事なんですわな。時計がめちゃめちゃ大事なんですわな。
[01:44:12.880] 笑笑。
[01:44:14.840] これなんとかなんですわなって結構はまってんだよ。
[01:44:17.942] [笑い]
[01:44:18.080] なんかしいべですわな。知らんわっていう。なんやねん。ですわなって。最流行ってんの俺の中で。なんとかなんですわな。
[01:44:23.182] [笑い]
[01:44:30.320] ここだ。
[01:44:37.199] もうやめて。
[01:44:42.199] やっぱそこでします。
[01:44:47.280] やっぱそこで事故しますわな。頼むよ。これ倒したよ。よし。
[01:44:55.760] イグわな。
[01:44:57.280] イグわなですわな。ラッパーもいますと。お、
[01:45:04.040] 3000
[01:45:04.599] は熱いんじゃない?結構今稼いたよ。あと
[01:45:09.480] 8000。いいね。
[01:45:12.920] ま、レトロゲームのことは何でも聞いて欲しいですわな。何でも俺に聞いて欲しいですわな。勇者だからって優しくないですわな。
[01:45:23.443] [笑い]
[01:45:30.360] やらポケモンとか高なったよな。てかポケモンだけじゃねえ。もう今レトロゲーム高すぎて買えません。
[01:45:30.648] [音楽]
[01:45:35.119] マジで月に
[01:45:36.719] 1
[01:45:36.880] 本なんかご褒美的な感覚でこういうの買う買うぐらいでクズもいますと。そうなんか感した感じで言われても困るんですけど。タから飛びたですわな。いいなあ。景気がいいね。タから飛びた。タから新地遊びですわな。
[01:45:41.782] [笑い]
[01:46:07.639] 行ってみてえな。飛びたし地マジで僕らの家族
[01:46:11.719] 1面してゲロ吐きそうだった。
[01:46:14.760] 何僕らの家族って全然知らねえゲームなんだ。
[01:46:17.560] コースですわな。こんばんは。
[01:46:19.960] やおみお味噌なめこんばんは。久ぶ。
[01:46:21.083] [笑い]
[01:46:27.719] 僕夏のスピンオフ作品。
[01:46:29.560] ええ、そんなのあるの?え、なん?ゲーム現アドバンス?
[01:46:34.719] ゲーム現場アドバンスもマグワうって言い方がじやん。
[01:46:39.280] プレステ2
[01:46:40.239] お猫お疲れやってるよ。やってる。あ、プレステ
[01:46:43.760] 2
[01:46:43.920] なんだ。へえ。知らねえ。そんなゲームあるんだ。ま、そんな長くはやんないけどね。今日
[01:46:53.679] 普にちょっと8
[01:46:54.239] 時ぐらいまでやって、あとは年越しに備えますわな。
[01:46:58.920] 年越しに備えますわな。せ
[01:47:04.920] 年かけてガキるゲーム。
[01:47:06.800] 何それ?何それ?絶対おもろないやろ。それ逃げんな。逃げるなって言ってますわな。グランドクロスは効かないんですよ、こいつには。ま、もうあのお猫あれだよ。でもレベル上げしてるからもう地獄ですよ、これ本当に。
[01:47:07.589] [笑い]
[01:47:34.360] 一晩64ゴールド
[01:47:37.000] シャドウゲート64
[01:47:44.040] なんか64のゲームやりてんだよね、今。
[01:47:46.520] あのなんか新い新いポリゴンのゲームが
[01:47:49.599] やりたい。
[01:47:54.679] 64のおすすめゲーム教えてください。
[01:47:57.840] 64のおすすめゲーム。
[01:48:00.800] パーフェクトダークみんなで。
[01:48:02.280] うわあ、もう最高。パーフェクトダークいいね。大御しって感じですか?
[01:48:15.199] ま、でも64
[01:48:16.040] なんて言っても世代じゃないもんね。多分みんなお猫も知らないんじゃない?お猫って
[01:48:21.280] 64
[01:48:21.679] に子供の頃多分通ってないよね。あいつ良くてゲームキューブとかだろうな。
[01:48:27.480] クソが
[01:48:29.280] あったよ。
[01:48:30.360] あった。え、でもリアはしてないよね。リア体はしてないでしょ。多分なんかあるなぐらいの俺もリアし
[01:48:41.119] 話。
[01:48:42.760] お前は黙ってろ。
[01:48:43.560] 元気で中してたよ。
[01:48:45.080] お前なんかまだお前なんか子供の枠にもいない。お前は精子だ。まだ精子。お前がまだ父さんの右金玉にいる頃の話してんだよ。元気で中してた。ええ。
[01:48:57.159] してないんだよな。
[01:48:58.440] いや、して、え、俺らはしてるでしょ。ギリ幼稚園の頃
[01:49:01.639] 64だったでしょ。
[01:49:02.679] 左だよ。
[01:49:04.180] [笑い]
[01:49:04.599] 知らん。どっちでもいいよ。別に知らねえ。
[01:49:14.239] 親父が持ってて少しやったくらい。
[01:49:16.320] あ、ああ。まあでも確かに俺のもんじゃなかったな。お姉ちゃんのだったわ。うん。俺も姉ちゃんのやつがい。
[01:49:21.920] 64
[01:49:22.280] とマリオとパラッパラッパーは同時みたい。
[01:49:24.880] あ、やっぱちょっと上の世代だな。でもそうリアル世代でそれやってる人らちょっと上なんだ。俺らの俺らのお兄ちゃんお姉ちゃん世代ね。ああ、ゲームキューブだよな。確かにゲームキューブだよな。俺らが
[01:49:37.920] 1番世代は
[01:49:41.400] ここだ。ここだ。
[01:49:47.800] こっちのに64だったかな。
[01:49:51.639] おさ発見。おさん。
[01:49:55.159] おさ発見しました。中
[01:49:58.199] 1の時に64[音楽]
[01:50:00.159] じじ見つけた
[01:50:01.821] [笑い]
[01:50:03.800] かわいそうかわいそうに年上なのに
[01:50:11.520] やめたれ
[01:50:12.440] てことは何C03
[01:50:13.880] が小学校とかもっとちっちゃい頃はスーファミとかいいな。でもスーファミリアル世代なんて羨ましいな。
[01:50:26.960] 一番羨ましいのがさ、子供の頃にファミコンやってそのまま大人になって未だに未だにゲームやってる
[01:50:33.639] けどこの誰見た目は若いよ。
[01:50:36.920] それは知らんけど。た目は知らんけど。
[01:50:41.880] そうかも。うん。そうだね。俺らが
[01:50:43.840] 96
[01:50:44.360] だからやっぱちょっと上なんだよ。それやってんの。
[01:50:49.760] ここだ。
[01:50:53.280] そのうち言われんだろうな。ゲームキューブ世代って言うとじじんって言われる。
[01:50:57.920] いや、もう言われてるって。もう言われてるよ。もう、もう、綾たにゲームキューブなんか通じねえもんな。綾たか、お前、お前が思うゲームキューブの
[01:51:06.960] 1
[01:51:07.079] 番面白いゲーム言ってみ。ゲームキューブのなんか面白いゲーム。
[01:51:18.639] ゲームキューブわからん。
[01:51:21.000] ほら、
[01:51:23.360] りますからね。
[01:51:24.040] 信じられないでしょ。もう霊は
[01:51:26.719] 8年って嘘だろ。
[01:51:28.000] マジかよ。
[01:51:29.520] え、
[01:51:31.400] ランディには聞いてねえ。お前おっさんなんだから。
[01:51:34.177] [笑い]
[01:51:34.400] シーマンは何のハード?
[01:51:38.360] シーマンはプレステ2
[01:51:39.599] だよ。もっと言ったらドリームキャストだけど。
[01:51:42.880] 笑笑。
[01:51:43.840] もっと言ったらドリームキャストだけど。
[01:51:46.560] ドリキャス。
[01:51:47.400] ドリキャスだよな。
[01:51:49.400] まあでもドリキャスは俺も全然とプレステ
[01:51:52.840] 俺もドリキャスは全然触ってない。全然世代とかあれつ出たゲームだ
[01:51:59.719] 64とかと一緒だよね。多分こっ
[01:52:03.760] 持ってる持って持ってはいる。持ってはいるよ。持ってはいるし配信できるけど全然思い出のゲームも何もない。知識も何もないから全然やってない。
[01:52:16.159] ドリキャスのシーマに悪口いまくってストレスで死んだ。社会の祝図じゃねえか。
[01:52:19.372] [笑い]
[01:52:22.360] 1998年11月27日。
[01:52:25.159] それドリキャス。それドリキャス。
[01:52:29.440] ドリキャスはなんかのゲームで
[01:52:31.639] 1度。
[01:52:32.199] へえ。
[01:52:34.400] ドリームキャスト。
[01:52:36.360] あ、198
[01:52:38.040] 年なんだ。へえ。重くそクリスマス戦狙ってんじゃん。
[01:52:47.480] ドリキャスのコントローラーマジで使い
[01:52:49.920] あのマンマのやつね。まのやつで
[01:52:52.239] と思ったら企画浮かんできて死んだ。
[01:52:55.398] [笑い]
[01:52:55.800] シーマン。お前らシーマン殺しすぎな。やべえ。配信でやろうかな。
[01:53:02.280] チーマン
[01:53:09.960] でもああいうゲームななんか結構モロハの
[01:53:13.159] 剣でさ、めちゃめちゃ面白いパターンと
[01:53:15.920] めっちゃ思ん、めっちゃ滑るパターンが
[01:53:17.800] あるんで、配信でやるとゲームはおもろい
[01:53:20.079] んかもしんないけど、ちょっと配信でやる
[01:53:22.520] と滑るパターンがあるからな。怖いんだよ
[01:53:24.400] ね。手出すの。
[01:53:30.840] なんやねん。
[01:53:39.159] 初代シーマンは滑る可能性ある。
[01:53:43.199] あれ、プレステ2
[01:53:44.119] のやつとはまた違うの?ドラキャスのやつって。あれ移植じゃないんだ。
[01:53:47.599] ランパートのことか。
[01:53:49.763] [笑い]
[01:53:50.119] 笑。
[01:53:50.679] もうランパート。ランパートは滑ってねえよ。あれはただ
[01:53:54.520] 1発やなだけ。めっちゃ受けたけど、もう
[01:53:57.840] 2度とやらない。あ、違うんだ。
[01:54:00.679] 初代シーマンとドレキャ、あのプレス
[01:54:03.280] 2のやつって
[01:54:06.159] プレステ2は原人育てる続編のはあ
[01:54:09.040] あ、そんなんだったな。北京原成キットか。なんかそれ友達がやってんで見てたわ。無法無法ってやつでしょ?あれは初代とは違うんだよ。
[01:54:21.203] [笑い]
[01:54:24.520] プレステ2
[01:54:25.079] で出てる。あ、でも出てるんだ。
[01:54:26.920] も移植版あるで。
[01:54:28.000] あ、移植版やっぱどっちもあるのね。移植版もあるしあれもあると無法無法ってやつでしょ。それしか覚えてないけど。
[01:54:38.679] 食版あるんや。それ知らんわ。
[01:54:40.440] あ、じゃあプレステ2
[01:54:41.280] で揃うんだったらいいね。ドリームキャストはもうなんか一応配信できるように揃えようと思って一式揃えたけどさ、何やっていいかわかんねえんだよな。
[01:54:53.840] いくらすんだ?今
[01:54:55.440] そんな高くないんじゃない?別に。ただま、あのさ、プレステ
[01:54:59.920] 2
[01:55:00.119] 用のマイクとか買わなきゃいけないじゃん。それが高そう。ゲームより
[01:55:04.840] マイクがね。
[01:55:05.800] うん。心がねみたいな。ま、でも俺プレステ
[01:55:12.280] 2
[01:55:12.440] のマイク持ってんだけどね。デカボイスっていうプレステ
[01:55:16.440] 2
[01:55:16.679] のゲーム持ってるからさ。それについてるんだよ。それ配信でやってドスべりしたけどね。
[01:55:22.119] [笑い]
[01:55:23.239] 配信でやってドス滑りして1
[01:55:24.599] パートでやめた幻のチマゲームのデカボイス配信あれおもろいと思ったんだけどな。
[01:55:31.400] 笑笑
[01:55:33.599] 高かったねんでマイクとか全部ついてっかマンシーできるん?
[01:55:37.199] マンシーできるよ。マンシーできるよ。別一緒だもん。だってマイクはだソフトだけ買えばいいんじゃない?
[01:55:44.320] ドリキャスシーンAmazonで500
[01:55:46.760] 安いな。
[01:55:50.239] ま、ドリームキャストってそんなゲーム
[01:55:52.560] 高騰してるイメージないわ。まだ
[01:55:55.480] ドリキャスで高いゲームってあんのかな?
[01:55:58.880] あのフライの試練のアかけ山ぐらいじゃ
[01:56:01.480] ない?ドリキャスで高いのわかんないけど
[01:56:04.840] 。[音楽]あんのかもしんない。知識全然
[01:56:07.400] ないからわかんないけど。
[01:56:14.040] クリムドンってドリキャセガサターンデてデててんデレレレデデデレデレんデんデレんデんでしょ
[01:56:25.639] シムやれ
[01:56:27.079] ああシェム持ってるよシムも持ってるシェンムーって何だっけ?シェンムーって
[01:56:36.520] さ、あの龍がごとの電身たいなやつなんでしょ?
[01:56:44.880] せや、
[01:56:47.880] まあな、なんか長そうなんだよね。
[01:56:52.510] [音楽]
[01:57:05.079] ドリキャスか全1
[01:57:06.440] 回も配信でやったことないね。ジェットセットラジオぐらいかな。ちょっとやってみたいの。ジェットセットラストゾン
[01:57:12.480] 1がサターンで2がドリキャス。
[01:57:14.360] あ、2
[01:57:14.639] がドリキャス。なんかあの温泉から出てきてるやつ。
[01:57:18.800] あのコンバット量なんだっけ?コンバット
[01:57:21.639] エチ前だっけ?
[01:57:24.159] 主人公コンバットエチゼ前コードネーム
[01:57:26.599] コンバットエゼ前ってコードネームなのに
[01:57:28.800] 本名入ってるってコード[笑い]
[01:57:31.400] ネームの意味ないやんけてやつね。
[01:57:33.880] コンバットエね。越エってバレてますやん
[01:57:37.639] 。
[01:57:43.159] せっかくだからこの赤い扉を選ぶぜ。一昔
[01:57:46.800] 前は天務のぞ。
[01:57:48.360] この階段はっていう普通の階っちゃいたのに全部滅したな。
[01:57:54.159] へえ。
[01:57:54.560] 意味ないですわな。
[01:57:56.400] 意味ないですわな。ま、チェムーの続編出ないのは当たり前ですわな。残頭ですわな。ま、残頭ですわな。ここからだ。
[01:58:24.320] ちょっとやめて。マジでもう
[01:58:35.199] ここだ。
[01:58:36.679] 頼むよ。いや、もう
[01:58:41.800] 1匹で。1匹でいいから勝ってくれ。
[01:58:47.440] 頼む。もう回。もう下手くそ。下手くそ。
[01:58:59.119] せい。
[01:59:07.599] なんかドリキャスのゲームやってみよっかな。
[01:59:24.560] あとどんくらいでレベル上がんね。あ、
[01:59:27.280] もうちょっとだ。もうちょっとだ。もう
[01:59:28.560] ちょっとだ。あと160だ。あ、あと
[01:59:30.840] 160だ。
[01:59:33.760] 160だったらこいつら、こいつら殺せば
[01:59:35.719] よくね。わざわざメタルじゃなくて。
[01:59:49.760] よし。ぎーガーデインが来たからこれで担でしょ。ゴンみていなやつ。
[01:59:58.532] [笑い]
[02:00:07.480] これで勝つる。えー、もう余裕ですわな。
[02:00:16.000] ですわな。これで担りますわな。敵全体に凄まじい雷が振り注く。これなんですよ。これを求めてたんですよ。よし、じゃあ行くか。
[02:00:40.400] ちょっと待って。じゃあちょっと道具袋
[02:00:42.960] から
[02:00:44.639] もう賢者の精水とかもさ、もうもう使おう
[02:00:48.199] ぜ。もう勝てねえよ。じゃないと
[02:00:53.679] 魔法の説もさ、もうガンガン使ってく。
[02:00:57.639] もう
[02:00:59.199] つこたらええねん、こんな。
[02:01:06.880] ちょっと待って。じゃあ回った。じゃあ
[02:01:08.320] 行くぞ。さっきのなんかわけわかんねえ
[02:01:10.040] クソ強えやつんとこ。ちょっと待って。
[02:01:12.079] ちょ、行く前におい。行く前においだから
[02:01:17.679] ちょっと待って。おけ。
[02:01:20.360] 行く前におトイレ行ってくるから。ちょ
[02:01:21.679] 待ってわ。そしてその間俺は素晴らしい
[02:01:24.040] 部屋でも見てる。
[02:01:27.239] あ、こちて。なんか最って腰んねんな。
[02:01:31.199] なんか腰が痛い。
[02:01:35.199] トイレというヤニですわな。ヤじゃないよ。おトイレ
[02:01:37.439] [笑い]
[02:01:42.000] じじですわな。そういうことにしてあげないと。ドリキャス見えた。
[02:02:21.979] [音楽]
[02:02:32.199] ສ
[02:02:49.489] [音楽]
[02:04:01.599] ສ
[02:05:10.520] 寒。よいしょ。はい、どうも。よいしょと。寒すぎんだろ。
[02:05:25.280] どうも。
[02:05:29.000] 寒すぎ。
[02:05:30.960] 足が冷えた。めっちゃ。じゃあ続きやりますわな。続きやりますわな。
[02:05:40.040] 何飲んだ?
[02:05:41.360] ん?何飲んだって?何が?何飲んだって普通に。
[02:05:44.480] は社教でもする。
